Orthogroup	Syas	Prah
OG0000001	Syas.g_00966, Syas.g_00967, Syas.g_00093, Syas.g_02373	Prah.g_02270
OG0000003	Syas.g_01418	Prah.g_02448
OG0000003	Syas.g_00054	Prah.g_02435, Prah.g_00281, Prah.g_01075, Prah.g_00275, Prah.g_02449, Prah.g_02433, Prah.g_00169
OG0000004	Syas.g_00176	Prah.g_01022
OG0000004	Syas.g_00509, Syas.g_00174, Syas.g_00311, Syas.g_00072	Prah.g_01413
OG0000005	Syas.g_02704	Prah.g_01652
OG0000006	Syas.g_00720, Syas.g_00942, Syas.g_01684, Syas.g_02565	Prah.g_00475, Prah.g_01767
OG0000007	Syas.g_01232	Prah.g_01546
OG0000007	Syas.g_02681	Prah.g_01676
OG0000008	Syas.g_00886	Prah.g_00970
OG0000008	Syas.g_00887	Prah.g_00969
OG0000009	Syas.g_01450	Prah.g_00432, Prah.g_01895
OG0000010	Syas.g_01334	Prah.g_00311
OG0000013	Syas.g_00158, Syas.g_01552, Syas.g_01555, Syas.g_01557	Prah.g_01956
OG0000014	Syas.g_01816	Prah.g_02171
OG0000015	Syas.g_02007, Syas.g_00968	Prah.g_01155, Prah.g_00576
OG0000016	Syas.g_02048	Prah.g_00015
OG0000016	Syas.g_01086	Prah.g_01270
OG0000017	Syas.g_00856	Prah.g_01397
OG0000018	Syas.g_01290	Prah.g_00378
OG0000019	Syas.g_01696	Prah.g_02086
OG0000022	Syas.g_02758	Prah.g_01209
OG0000025	Syas.g_00231	Prah.g_00604
OG0000026	Syas.g_02070	Prah.g_00038
OG0000028	Syas.g_01793	Prah.g_02184
OG0000030	Syas.g_01644	Prah.g_00132
OG0000030	Syas.g_01645	Prah.g_00131
OG0000031	Syas.g_01827	Prah.g_02248
OG0000033	Syas.g_02328	Prah.g_02307
OG0000034	Syas.g_02371, Syas.g_02838	Prah.g_01376
OG0000035	Syas.g_02814, Syas.g_02818	Prah.g_00408
OG0000037	Syas.g_01479, Syas.g_00147, Syas.g_01928	Prah.g_01901
OG0000038	Syas.g_01885	Prah.g_02494
OG0000038	Syas.g_01887	Prah.g_02496
OG0000039	Syas.g_02795	Prah.g_01758
OG0000041	Syas.g_00996	Prah.g_01737
OG0000042	Syas.g_01121, Syas.g_02147	Prah.g_00135, Prah.g_01256
OG0000044	Syas.g_00894, Syas.g_02453	Prah.g_00994, Prah.g_00343
