Orthogroup	Syas	Prap
OG0000001	Syas.g_00966, Syas.g_00967, Syas.g_00093, Syas.g_02373	Prap.g_01925
OG0000004	Syas.g_00176	Prap.g_00802
OG0000004	Syas.g_00509, Syas.g_00174, Syas.g_00311, Syas.g_00072	Prap.g_01480
OG0000005	Syas.g_02704	Prap.g_00204
OG0000006	Syas.g_00720, Syas.g_00942, Syas.g_01684, Syas.g_02565	Prap.g_01470
OG0000007	Syas.g_01232	Prap.g_01270
OG0000007	Syas.g_02681	Prap.g_01779
OG0000008	Syas.g_00886	Prap.g_01888
OG0000008	Syas.g_00887	Prap.g_01887
OG0000010	Syas.g_01334	Prap.g_00669, Prap.g_00318
OG0000012	Syas.g_00111, Syas.g_00827	Prap.g_00236
OG0000013	Syas.g_00158, Syas.g_01552, Syas.g_01555, Syas.g_01557	Prap.g_01385
OG0000014	Syas.g_01816	Prap.g_01403
OG0000015	Syas.g_02007, Syas.g_00968	Prap.g_01840, Prap.g_01794
OG0000016	Syas.g_01086, Syas.g_01050	Prap.g_00514
OG0000017	Syas.g_00856	Prap.g_01163
OG0000018	Syas.g_01290	Prap.g_00478
OG0000019	Syas.g_01696	Prap.g_01462, Prap.g_00480
OG0000025	Syas.g_00231	Prap.g_00747
OG0000026	Syas.g_02070	Prap.g_00923
OG0000027	Syas.g_01480	Prap.g_01912, Prap.g_01860
OG0000028	Syas.g_01793	Prap.g_01889
OG0000030	Syas.g_01644, Syas.g_01645	Prap.g_01569
OG0000031	Syas.g_01827	Prap.g_00080
OG0000033	Syas.g_02328	Prap.g_00087
OG0000034	Syas.g_02371, Syas.g_02838	Prap.g_00572
OG0000035	Syas.g_02814, Syas.g_02818	Prap.g_00121
OG0000037	Syas.g_01479, Syas.g_00147, Syas.g_01928	Prap.g_01067
OG0000038	Syas.g_01885, Syas.g_01887	Prap.g_01530
OG0000039	Syas.g_02795	Prap.g_00814
OG0000041	Syas.g_00996, Syas.g_02585	Prap.g_01731
OG0000042	Syas.g_01121, Syas.g_02147	Prap.g_01572
OG0000046	Syas.g_01553, Syas.g_01556, Syas.g_01558	Prap.g_01384
OG0000048	Syas.g_01734	Prap.g_00548
OG0000051	Syas.g_01445	Prap.g_00611
OG0000053	Syas.g_01287	Prap.g_00142, Prap.g_01834
OG0000054	Syas.g_00961, Syas.g_00957	Prap.g_01161
OG0000055	Syas.g_00203	Prap.g_01805
OG0000057	Syas.g_01055, Syas.g_01038	Prap.g_00799
OG0000058	Syas.g_01151	Prap.g_00081
OG0000059	Syas.g_01639	Prap.g_01691
OG0000061	Syas.g_01184	Prap.g_00456
OG0000062	Syas.g_02702	Prap.g_00206
OG0000063	Syas.g_02074	Prap.g_01903
OG0000064	Syas.g_02423, Syas.g_00946	Prap.g_00883
OG0000065	Syas.g_02420	Prap.g_01069
OG0000066	Syas.g_00094	Prap.g_01230, Prap.g_01867
OG0000067	Syas.g_00596, Syas.g_00352, Syas.g_02346	Prap.g_00783
OG0000068	Syas.g_00969, Syas.g_01261	Prap.g_00059
OG0000069	Syas.g_00779, Syas.g_00876	Prap.g_01312
OG0000070	Syas.g_00173	Prap.g_01316
OG0000071	Syas.g_02854	Prap.g_00561
OG0000072	Syas.g_02326, Syas.g_01524	Prap.g_00999
OG0000073	Syas.g_01230	Prap.g_01267
OG0000075	Syas.g_01921, Syas.g_02194	Prap.g_01606
OG0000076	Syas.g_02156	Prap.g_01580
OG0000077	Syas.g_02510	Prap.g_01099
OG0000078	Syas.g_02561	Prap.g_01472
OG0000079	Syas.g_01699	Prap.g_01459
OG0000080	Syas.g_02616, Syas.g_02149	Prap.g_00093, Prap.g_00095
OG0000081	Syas.g_00391	Prap.g_01238
OG0000082	Syas.g_00837	Prap.g_01183, Prap.g_01790
