Orthogroup	Syas	Syaj
OG0000001	Syas.g_00966, Syas.g_00967, Syas.g_00093, Syas.g_02373	Syaj.g_01950
OG0000004	Syas.g_00176	Syaj.g_00441
OG0000004	Syas.g_00174, Syas.g_00311	Syaj.g_01314
OG0000004	Syas.g_00072	Syaj.g_02853
OG0000005	Syas.g_02665	Syaj.g_01736
OG0000005	Syas.g_02704	Syaj.g_01698
OG0000006	Syas.g_01684, Syas.g_02565	Syaj.g_02635
OG0000007	Syas.g_01232	Syaj.g_00091
OG0000007	Syas.g_02681	Syaj.g_01721
OG0000008	Syas.g_00886	Syaj.g_00496
OG0000008	Syas.g_00887	Syaj.g_00497
OG0000009	Syas.g_01450	Syaj.g_01885
OG0000010	Syas.g_01334	Syaj.g_01445
OG0000012	Syas.g_00111, Syas.g_00827	Syaj.g_00003, Syaj.g_01793, Syaj.g_00831, Syaj.g_00172
OG0000014	Syas.g_01816	Syaj.g_02522
OG0000015	Syas.g_02007	Syaj.g_02242
OG0000016	Syas.g_02048	Syaj.g_02276
OG0000016	Syas.g_01086	Syaj.g_00590
OG0000017	Syas.g_00856	Syaj.g_00255
OG0000018	Syas.g_01290	Syaj.g_01413
OG0000019	Syas.g_01696	Syaj.g_02613
OG0000022	Syas.g_02758	Syaj.g_01220
OG0000025	Syas.g_00231	Syaj.g_00383
OG0000026	Syas.g_02070	Syaj.g_02298
OG0000027	Syas.g_01480	Syaj.g_00396
OG0000028	Syas.g_01793	Syaj.g_02506
OG0000030	Syas.g_01644	Syaj.g_02396
OG0000030	Syas.g_01645	Syaj.g_02395
OG0000031	Syas.g_01827	Syaj.g_02501
OG0000033	Syas.g_02328	Syaj.g_01990
OG0000034	Syas.g_02371, Syas.g_02838	Syaj.g_01959
OG0000035	Syas.g_02814, Syas.g_02818	Syaj.g_01378
OG0000037	Syas.g_01479, Syas.g_00147, Syas.g_01928	Syaj.g_02902
OG0000038	Syas.g_01885	Syaj.g_02115
OG0000040	Syas.g_01972	Syaj.g_02208
OG0000042	Syas.g_01121, Syas.g_02147	Syaj.g_02399
OG0000044	Syas.g_00894, Syas.g_02453	Syaj.g_01344
