Orthogroup	Syas	Prao
OG0000001	Syas.g_00966, Syas.g_00967, Syas.g_00093, Syas.g_02373	Prao.g_01254
OG0000004	Syas.g_00176	Prao.g_00133
OG0000004	Syas.g_00509, Syas.g_00174, Syas.g_00311, Syas.g_00072	Prao.g_00370
OG0000005	Syas.g_02665	Prao.g_01565
OG0000005	Syas.g_02704	Prao.g_01472
OG0000006	Syas.g_00720, Syas.g_00942, Syas.g_01684, Syas.g_02565	Prao.g_00379
OG0000007	Syas.g_01232	Prao.g_00603
OG0000007	Syas.g_02681	Prao.g_01552
OG0000010	Syas.g_01334	Prao.g_00985
OG0000012	Syas.g_00111, Syas.g_00827	Prao.g_00062
OG0000013	Syas.g_00158, Syas.g_01552, Syas.g_01555, Syas.g_01557	Prao.g_00463
OG0000014	Syas.g_01816	Prao.g_01213
OG0000015	Syas.g_02007, Syas.g_00968	Prao.g_00703
OG0000016	Syas.g_02048	Prao.g_00160
OG0000017	Syas.g_00849, Syas.g_00856	Prao.g_00036
OG0000018	Syas.g_01290	Prao.g_01108
OG0000019	Syas.g_01696	Prao.g_00387, Prao.g_00720
OG0000022	Syas.g_02758	Prao.g_01126
OG0000025	Syas.g_00231	Prao.g_00467, Prao.g_00776
OG0000026	Syas.g_02070	Prao.g_00177, Prao.g_00992
OG0000027	Syas.g_01480	Prao.g_00576, Prao.g_01293
OG0000028	Syas.g_01793	Prao.g_01348, Prao.g_00456
OG0000030	Syas.g_01644, Syas.g_01645	Prao.g_01753
OG0000034	Syas.g_02371, Syas.g_02838	Prao.g_01266
OG0000035	Syas.g_02814, Syas.g_02818	Prao.g_01397
OG0000037	Syas.g_01479, Syas.g_00147, Syas.g_01928	Prao.g_00247
OG0000038	Syas.g_01885, Syas.g_01887	Prao.g_01794
OG0000039	Syas.g_02795	Prao.g_00124
OG0000040	Syas.g_02028	Prao.g_01531
OG0000040	Syas.g_01972	Prao.g_01109
OG0000041	Syas.g_00996, Syas.g_02585	Prao.g_01598
OG0000042	Syas.g_01121, Syas.g_02147	Prao.g_01750
OG0000048	Syas.g_01734	Prao.g_00509
OG0000051	Syas.g_01445	Prao.g_01304
OG0000053	Syas.g_01287	Prao.g_01417
OG0000054	Syas.g_00961, Syas.g_00957	Prao.g_00044
OG0000055	Syas.g_00203	Prao.g_00721
OG0000057	Syas.g_01055, Syas.g_01038	Prao.g_00136
OG0000059	Syas.g_01639	Prao.g_01639
OG0000061	Syas.g_01184	Prao.g_01089
OG0000062	Syas.g_02702	Prao.g_01474
OG0000063	Syas.g_02074	Prao.g_00179
OG0000065	Syas.g_02420	Prao.g_00245
OG0000067	Syas.g_00596, Syas.g_00352, Syas.g_02346	Prao.g_00741
OG0000068	Syas.g_00969, Syas.g_01261	Prao.g_01239
OG0000069	Syas.g_00779, Syas.g_00876	Prao.g_01508
OG0000070	Syas.g_00173	Prao.g_00554
OG0000071	Syas.g_02854	Prao.g_01276
OG0000072	Syas.g_02326, Syas.g_01524	Prao.g_00309
OG0000073	Syas.g_00358, Syas.g_00264, Syas.g_01230	Prao.g_00605
OG0000075	Syas.g_01921, Syas.g_02194	Prao.g_01719
OG0000076	Syas.g_02156	Prao.g_01743
OG0000077	Syas.g_02510	Prao.g_00217
OG0000078	Syas.g_02561, Syas.g_02308	Prao.g_00377
OG0000079	Syas.g_01699	Prao.g_00390
OG0000081	Syas.g_00391	Prao.g_01860
OG0000082	Syas.g_00837	Prao.g_00024
OG0000085	Syas.g_02695	Prao.g_01545
OG0000086	Syas.g_02470	Prao.g_00227
OG0000087	Syas.g_02374	Prao.g_00277
OG0000089	Syas.g_01512	Prao.g_00490
OG0000090	Syas.g_00062	Prao.g_01858
OG0000091	Syas.g_00907, Syas.g_00146	Prao.g_00081
OG0000094	Syas.g_00208, Syas.g_01716	Prao.g_00955
OG0000095	Syas.g_01021	Prao.g_00974
OG0000097	Syas.g_00114, Syas.g_01443	Prao.g_01048
OG0000098	Syas.g_00091	Prao.g_01257
OG0000099	Syas.g_01826	Prao.g_01214
OG0000100	Syas.g_00567	Prao.g_01470
OG0000101	Syas.g_01589	Prao.g_01687
OG0000102	Syas.g_02152, Syas.g_01395	Prao.g_01748
OG0000103	Syas.g_02009	Prao.g_01828
OG0000104	Syas.g_02027, Syas.g_02026	Prao.g_01837
OG0000105	Syas.g_01739	Prao.g_01378
OG0000106	Syas.g_01451	Prao.g_00505
OG0000107	Syas.g_01669	Prao.g_00518
OG0000108	Syas.g_01253	Prao.g_00586
OG0000109	Syas.g_01236	Prao.g_00600
OG0000110	Syas.g_00359, Syas.g_00818	Prao.g_01867
OG0000111	Syas.g_01037	Prao.g_00137
OG0000112	Syas.g_00452	Prao.g_00704
OG0000113	Syas.g_00571	Prao.g_00763
OG0000114	Syas.g_00252, Syas.g_00674	Prao.g_00845
OG0000115	Syas.g_02548, Syas.g_01285	Prao.g_01150
OG0000116	Syas.g_01198, Syas.g_00317	Prao.g_01099
OG0000117	Syas.g_01122	Prao.g_01332
OG0000118	Syas.g_02835	Prao.g_01264
OG0000120	Syas.g_01828	Prao.g_01215
OG0000121	Syas.g_02821	Prao.g_01399
OG0000122	Syas.g_00393	Prao.g_01436
OG0000123	Syas.g_01582	Prao.g_01694
OG0000124	Syas.g_02137	Prao.g_01759
OG0000125	Syas.g_01889	Prao.g_01796
OG0000126	Syas.g_01992	Prao.g_01836
OG0000128	Syas.g_02046	Prao.g_00158
OG0000129	Syas.g_01880	Prao.g_00190
OG0000130	Syas.g_02522	Prao.g_00208
OG0000131	Syas.g_02367	Prao.g_00283
OG0000132	Syas.g_02334	Prao.g_00302
OG0000133	Syas.g_00457	Prao.g_00458
OG0000134	Syas.g_01509	Prao.g_00491
OG0000135	Syas.g_01938	Prao.g_00516
OG0000136	Syas.g_02740	Prao.g_00545
OG0000137	Syas.g_01333	Prao.g_00581
OG0000138	Syas.g_01235	Prao.g_00601
OG0000139	Syas.g_00069	Prao.g_01854
OG0000140	Syas.g_00090	Prao.g_01853
OG0000141	Syas.g_00875	Prao.g_00045
OG0000142	Syas.g_00746	Prao.g_00074
OG0000143	Syas.g_00742	Prao.g_00078
OG0000144	Syas.g_00718	Prao.g_00091
OG0000145	Syas.g_00948	Prao.g_00701
OG0000146	Syas.g_00451	Prao.g_00705
OG0000147	Syas.g_00450	Prao.g_00706
OG0000148	Syas.g_00577	Prao.g_00757
OG0000149	Syas.g_00282	Prao.g_00788
OG0000150	Syas.g_00874	Prao.g_00796
OG0000151	Syas.g_00148, Syas.g_00659	Prao.g_00855
OG0000152	Syas.g_00461	Prao.g_00902
OG0000153	Syas.g_00543	Prao.g_00921
OG0000154	Syas.g_00219	Prao.g_00948
OG0000155	Syas.g_01131	Prao.g_01069
OG0000156	Syas.g_01206	Prao.g_01287
OG0000157	Syas.g_01207	Prao.g_01286
OG0000158	Syas.g_02185	Prao.g_01220
OG0000160	Syas.g_02820	Prao.g_01398
OG0000161	Syas.g_02826	Prao.g_01404
OG0000162	Syas.g_02751	Prao.g_01410
OG0000163	Syas.g_01488	Prao.g_01443
OG0000164	Syas.g_02648	Prao.g_01576
OG0000165	Syas.g_02609	Prao.g_01583
OG0000166	Syas.g_01629	Prao.g_01651
OG0000167	Syas.g_01449	Prao.g_01717
OG0000168	Syas.g_02184	Prao.g_01727
OG0000169	Syas.g_02170	Prao.g_01737
OG0000170	Syas.g_02161	Prao.g_01739
OG0000171	Syas.g_02139	Prao.g_01758
OG0000172	Syas.g_02110	Prao.g_01767
OG0000173	Syas.g_02092	Prao.g_01782
OG0000174	Syas.g_01940	Prao.g_01810
OG0000175	Syas.g_01994	Prao.g_01820
OG0000176	Syas.g_02038	Prao.g_01845
OG0000177	Syas.g_02039	Prao.g_01846
OG0000178	Syas.g_02040	Prao.g_01847
OG0000179	Syas.g_02054	Prao.g_00163
OG0000180	Syas.g_02055	Prao.g_00164
OG0000181	Syas.g_02056	Prao.g_00165
OG0000182	Syas.g_02057	Prao.g_00166
OG0000183	Syas.g_02061	Prao.g_00170
OG0000184	Syas.g_01872	Prao.g_00192
OG0000185	Syas.g_01861	Prao.g_00195
OG0000186	Syas.g_02525	Prao.g_00203
OG0000187	Syas.g_02524	Prao.g_00204
OG0000188	Syas.g_02502	Prao.g_00221
OG0000189	Syas.g_02432	Prao.g_00235
OG0000190	Syas.g_00133	Prao.g_00236
OG0000191	Syas.g_02400	Prao.g_00256
OG0000192	Syas.g_02395	Prao.g_00260
OG0000193	Syas.g_02366	Prao.g_00284
OG0000194	Syas.g_02363	Prao.g_00287
OG0000195	Syas.g_02360	Prao.g_00289
OG0000196	Syas.g_02337	Prao.g_00299
OG0000197	Syas.g_02336	Prao.g_00300
OG0000198	Syas.g_02335	Prao.g_00301
OG0000199	Syas.g_02327	Prao.g_00308
OG0000200	Syas.g_02298	Prao.g_00322
OG0000201	Syas.g_02279	Prao.g_00330
OG0000202	Syas.g_02278	Prao.g_00331
OG0000203	Syas.g_02277	Prao.g_00332
OG0000204	Syas.g_02276	Prao.g_00333
OG0000205	Syas.g_02267	Prao.g_00340
OG0000206	Syas.g_02240	Prao.g_00345
OG0000207	Syas.g_02237	Prao.g_00347
OG0000208	Syas.g_02236	Prao.g_00348
OG0000209	Syas.g_01837	Prao.g_00357
OG0000210	Syas.g_01838	Prao.g_00358
OG0000211	Syas.g_02552	Prao.g_00371
OG0000212	Syas.g_02562	Prao.g_00378
OG0000213	Syas.g_01707	Prao.g_00395
OG0000214	Syas.g_01730	Prao.g_00405
OG0000215	Syas.g_01766	Prao.g_00429
OG0000216	Syas.g_01770	Prao.g_00431
OG0000217	Syas.g_01778	Prao.g_00434
OG0000218	Syas.g_01780	Prao.g_00436
OG0000219	Syas.g_01783	Prao.g_00437
OG0000220	Syas.g_01784	Prao.g_00438
OG0000221	Syas.g_01785	Prao.g_00439
OG0000222	Syas.g_01804	Prao.g_00446
OG0000223	Syas.g_02221	Prao.g_00459
OG0000224	Syas.g_02215	Prao.g_00461
OG0000225	Syas.g_01522	Prao.g_00480
OG0000226	Syas.g_01518	Prao.g_00484
OG0000227	Syas.g_01516	Prao.g_00486
OG0000228	Syas.g_01513	Prao.g_00489
OG0000229	Syas.g_01497	Prao.g_00540
OG0000230	Syas.g_01495	Prao.g_00542
OG0000231	Syas.g_02749	Prao.g_00553
OG0000232	Syas.g_01276	Prao.g_00564
OG0000233	Syas.g_01352	Prao.g_00569
OG0000234	Syas.g_01331	Prao.g_00582
OG0000235	Syas.g_01254	Prao.g_00585
OG0000236	Syas.g_01237	Prao.g_00599
OG0000237	Syas.g_01220	Prao.g_00612
OG0000238	Syas.g_01215	Prao.g_00618
OG0000239	Syas.g_00012	Prao.g_00631
OG0000240	Syas.g_00013	Prao.g_00632
OG0000241	Syas.g_00754	Prao.g_01861
OG0000242	Syas.g_00059	Prao.g_01859
OG0000243	Syas.g_00777	Prao.g_01162
OG0000244	Syas.g_00784	Prao.g_01165
OG0000245	Syas.g_00786	Prao.g_01167
OG0000246	Syas.g_00790	Prao.g_01171
OG0000247	Syas.g_00802	Prao.g_01181
OG0000248	Syas.g_00805	Prao.g_01183
OG0000249	Syas.g_00807	Prao.g_01185
OG0000250	Syas.g_00814	Prao.g_01864
OG0000251	Syas.g_00845	Prao.g_00029
OG0000252	Syas.g_00950	Prao.g_00032
OG0000253	Syas.g_00846	Prao.g_00033
OG0000254	Syas.g_00869	Prao.g_00049
OG0000255	Syas.g_00132, Syas.g_01062	Prao.g_00055
OG0000256	Syas.g_00104	Prao.g_00066
OG0000257	Syas.g_00757	Prao.g_00069
OG0000258	Syas.g_00733	Prao.g_00082
OG0000259	Syas.g_01006, Syas.g_00708	Prao.g_00099
OG0000260	Syas.g_00705	Prao.g_00102
OG0000261	Syas.g_00701	Prao.g_00104
OG0000262	Syas.g_00695	Prao.g_00108
OG0000263	Syas.g_01103	Prao.g_00119
OG0000264	Syas.g_02588	Prao.g_00129
OG0000266	Syas.g_00186	Prao.g_00658
OG0000267	Syas.g_00377	Prao.g_00669
OG0000268	Syas.g_00390	Prao.g_00670
OG0000269	Syas.g_00601	Prao.g_00736
OG0000270	Syas.g_00598	Prao.g_00739
OG0000271	Syas.g_00590	Prao.g_00747
OG0000272	Syas.g_00589	Prao.g_00748
OG0000273	Syas.g_00563	Prao.g_00771
OG0000274	Syas.g_00562	Prao.g_00772
OG0000275	Syas.g_00230	Prao.g_00775
OG0000276	Syas.g_00237	Prao.g_00780
OG0000277	Syas.g_00238	Prao.g_00781
OG0000278	Syas.g_00241	Prao.g_00784
OG0000279	Syas.g_00288	Prao.g_00791
OG0000280	Syas.g_00889, Syas.g_00481	Prao.g_00792
OG0000281	Syas.g_00970	Prao.g_00797
OG0000282	Syas.g_00672	Prao.g_00847
OG0000283	Syas.g_00409	Prao.g_00879
OG0000284	Syas.g_00416	Prao.g_00884
OG0000285	Syas.g_00436	Prao.g_00889
OG0000286	Syas.g_00460	Prao.g_00901
OG0000287	Syas.g_00534	Prao.g_00918
OG0000288	Syas.g_00220	Prao.g_00947
OG0000289	Syas.g_00205	Prao.g_00958
OG0000290	Syas.g_01016	Prao.g_00971
OG0000291	Syas.g_01018	Prao.g_00973
OG0000292	Syas.g_02020	Prao.g_01025
OG0000293	Syas.g_01197	Prao.g_01098
OG0000294	Syas.g_01196	Prao.g_01097
OG0000295	Syas.g_01139	Prao.g_01077
OG0000296	Syas.g_01137	Prao.g_01075
OG0000297	Syas.g_01124	Prao.g_01067
OG0000298	Syas.g_01123	Prao.g_01066
OG0000299	Syas.g_01087	Prao.g_01049
OG0000300	Syas.g_01082	Prao.g_01046
OG0000301	Syas.g_01081	Prao.g_01045
OG0000302	Syas.g_01080	Prao.g_01043
OG0000303	Syas.g_01071	Prao.g_01036
OG0000304	Syas.g_01066	Prao.g_01032
OG0000305	Syas.g_01023	Prao.g_01247
OG0000306	Syas.g_01929	Prao.g_01244
OG0000307	Syas.g_01270	Prao.g_01230
OG0000308	Syas.g_01272	Prao.g_01229
OG0000309	Syas.g_01364	Prao.g_01225
OG0000310	Syas.g_02796	Prao.g_01382
OG0000311	Syas.g_02799	Prao.g_01384
OG0000312	Syas.g_02804	Prao.g_01387
OG0000313	Syas.g_02823	Prao.g_01401
