Orthogroup	Syas	Prat
OG0000001	Syas.g_00966, Syas.g_00967, Syas.g_00093, Syas.g_02373	Prat.g_01285, Prat.g_01286
OG0000004	Syas.g_00176	Prat.g_00772
OG0000004	Syas.g_00509, Syas.g_00174, Syas.g_00311, Syas.g_00072	Prat.g_00236
OG0000005	Syas.g_02704	Prat.g_01440
OG0000006	Syas.g_00720, Syas.g_00942, Syas.g_01684, Syas.g_02565	Prat.g_00248
OG0000007	Syas.g_01232	Prat.g_00458
OG0000007	Syas.g_02681	Prat.g_01592
OG0000008	Syas.g_00886	Prat.g_00376
OG0000008	Syas.g_00887	Prat.g_00377
OG0000010	Syas.g_01334	Prat.g_00682, Prat.g_00662
OG0000013	Syas.g_00158, Syas.g_01552, Syas.g_01555, Syas.g_01557	Prat.g_00334
OG0000014	Syas.g_01816	Prat.g_00314
OG0000015	Syas.g_02007, Syas.g_00968	Prat.g_00701
OG0000016	Syas.g_02048	Prat.g_00014
OG0000016	Syas.g_01086, Syas.g_01050	Prat.g_01219
OG0000017	Syas.g_00856	Prat.g_00567
OG0000018	Syas.g_01290	Prat.g_01177
OG0000019	Syas.g_01696	Prat.g_00255, Prat.g_01180
OG0000022	Syas.g_02758	Prat.g_01448
OG0000025	Syas.g_00231	Prat.g_01003
OG0000026	Syas.g_02070	Prat.g_00033
OG0000027	Syas.g_01480	Prat.g_01474, Prat.g_01548
OG0000028	Syas.g_01793	Prat.g_00380, Prat.g_00327
OG0000030	Syas.g_01644, Syas.g_01645	Prat.g_01799
OG0000033	Syas.g_02328	Prat.g_01265
OG0000034	Syas.g_02371, Syas.g_02838	Prat.g_01259
OG0000035	Syas.g_02814, Syas.g_02818	Prat.g_01353, Prat.g_01352
OG0000037	Syas.g_01479, Syas.g_00147, Syas.g_01928	Prat.g_00106
OG0000038	Syas.g_01885, Syas.g_01887	Prat.g_01839
OG0000039	Syas.g_02795	Prat.g_00760
OG0000040	Syas.g_02028	Prat.g_01578
OG0000041	Syas.g_00996, Syas.g_02585	Prat.g_01640
OG0000042	Syas.g_01121, Syas.g_02147	Prat.g_01796
OG0000044	Syas.g_00894, Syas.g_02453	Prat.g_00619
OG0000046	Syas.g_01553, Syas.g_01556, Syas.g_01558	Prat.g_00335
OG0000048	Syas.g_01734	Prat.g_00278
