Orthogroup	Syas	Pras
OG0000001	Syas.g_00966, Syas.g_00967, Syas.g_00093, Syas.g_02373	Pras.g_00235
OG0000004	Syas.g_00176	Pras.g_01571
OG0000004	Syas.g_00509, Syas.g_00174, Syas.g_00311, Syas.g_00072	Pras.g_01084
OG0000005	Syas.g_02665	Pras.g_00563
OG0000005	Syas.g_02704	Pras.g_00429
OG0000006	Syas.g_00720, Syas.g_00942, Syas.g_01684, Syas.g_02565	Pras.g_00148, Pras.g_01093
OG0000007	Syas.g_01232	Pras.g_01375
OG0000007	Syas.g_02681	Pras.g_00550
OG0000009	Syas.g_01450	Pras.g_00956
OG0000010	Syas.g_01334	Pras.g_00523, Pras.g_01942
OG0000012	Syas.g_00111, Syas.g_00827	Pras.g_01499
OG0000013	Syas.g_00158, Syas.g_01552, Syas.g_01555, Syas.g_01557	Pras.g_01179
OG0000014	Syas.g_01816	Pras.g_01158
OG0000015	Syas.g_02007, Syas.g_00968	Pras.g_00127
OG0000016	Syas.g_02048	Pras.g_00855
OG0000017	Syas.g_00849, Syas.g_00856	Pras.g_01474
OG0000018	Syas.g_01290	Pras.g_00037
OG0000019	Syas.g_01696	Pras.g_01101, Pras.g_01681
OG0000022	Syas.g_02758	Pras.g_00019
OG0000025	Syas.g_00231	Pras.g_01183, Pras.g_01735
OG0000026	Syas.g_02070	Pras.g_00873, Pras.g_01949
OG0000027	Syas.g_01480	Pras.g_01348, Pras.g_00185
OG0000028	Syas.g_01793	Pras.g_00169, Pras.g_01172
OG0000030	Syas.g_01644, Syas.g_01645	Pras.g_00753
OG0000034	Syas.g_02371, Syas.g_02838	Pras.g_00219
OG0000035	Syas.g_02814, Syas.g_02818	Pras.g_00350
OG0000037	Syas.g_01479, Syas.g_00147, Syas.g_01928	Pras.g_00960
OG0000038	Syas.g_01885, Syas.g_01887	Pras.g_00795
OG0000039	Syas.g_02795	Pras.g_01562
OG0000040	Syas.g_02028	Pras.g_00489
OG0000040	Syas.g_01972	Pras.g_00036
OG0000041	Syas.g_00996, Syas.g_02585	Pras.g_00597
OG0000042	Syas.g_01121, Syas.g_02147	Pras.g_00750
OG0000048	Syas.g_01734	Pras.g_01227
OG0000051	Syas.g_01445	Pras.g_00508, Pras.g_00179
OG0000053	Syas.g_01287	Pras.g_00886, Pras.g_00370
OG0000054	Syas.g_00961, Syas.g_00957	Pras.g_01482
OG0000055	Syas.g_00203	Pras.g_01682
OG0000057	Syas.g_01055, Syas.g_01038	Pras.g_01574
OG0000059	Syas.g_01639	Pras.g_00637
OG0000061	Syas.g_01184	Pras.g_00056
OG0000062	Syas.g_02702	Pras.g_00431
OG0000063	Syas.g_02074	Pras.g_00875
OG0000065	Syas.g_02420	Pras.g_00958
OG0000066	Syas.g_00094	Pras.g_01416
OG0000067	Syas.g_00596, Syas.g_00352, Syas.g_02346	Pras.g_01701, Pras.g_00311
OG0000068	Syas.g_00969, Syas.g_01261	Pras.g_00250
OG0000069	Syas.g_00779, Syas.g_00876	Pras.g_00538, Pras.g_00464
OG0000070	Syas.g_00173	Pras.g_01328
OG0000071	Syas.g_02854	Pras.g_00209
OG0000072	Syas.g_02326, Syas.g_01524	Pras.g_01022
OG0000073	Syas.g_00358, Syas.g_00264, Syas.g_01230	Pras.g_01377
OG0000075	Syas.g_01921, Syas.g_02194	Pras.g_00719
OG0000076	Syas.g_02156	Pras.g_00883, Pras.g_00743
OG0000077	Syas.g_02510	Pras.g_00929
OG0000078	Syas.g_02561, Syas.g_02308	Pras.g_01091
OG0000079	Syas.g_01699	Pras.g_01104
OG0000080	Syas.g_02616, Syas.g_02149	Pras.g_00279, Pras.g_00277
OG0000081	Syas.g_00391	Pras.g_01408
OG0000082	Syas.g_00837	Pras.g_01462
OG0000085	Syas.g_02695	Pras.g_00543
OG0000086	Syas.g_02470	Pras.g_00939
OG0000087	Syas.g_02374	Pras.g_00990
OG0000089	Syas.g_01512	Pras.g_01209
OG0000090	Syas.g_00062	Pras.g_01410
OG0000091	Syas.g_00907, Syas.g_00146	Pras.g_01518
OG0000094	Syas.g_00208, Syas.g_01716	Pras.g_01915
OG0000095	Syas.g_01021	Pras.g_01934
OG0000097	Syas.g_00114, Syas.g_01443	Pras.g_00098
OG0000098	Syas.g_00091	Pras.g_00232
OG0000099	Syas.g_01826	Pras.g_00294
OG0000100	Syas.g_00567	Pras.g_00427
OG0000101	Syas.g_01589	Pras.g_00687
OG0000102	Syas.g_02152, Syas.g_01395	Pras.g_00748
OG0000103	Syas.g_02009	Pras.g_00829
OG0000104	Syas.g_02027, Syas.g_02026	Pras.g_00838
OG0000105	Syas.g_01739	Pras.g_01126
OG0000106	Syas.g_01451	Pras.g_01223
OG0000107	Syas.g_01669	Pras.g_01239
OG0000108	Syas.g_01253	Pras.g_01358
OG0000109	Syas.g_01236	Pras.g_01372
OG0000110	Syas.g_00359, Syas.g_00818	Pras.g_01451
OG0000111	Syas.g_01037	Pras.g_01575
OG0000112	Syas.g_00452	Pras.g_01665
OG0000113	Syas.g_00571	Pras.g_01723
OG0000114	Syas.g_00252, Syas.g_00674	Pras.g_01801
OG0000115	Syas.g_02548, Syas.g_01285	Pras.g_01994
OG0000116	Syas.g_01198, Syas.g_00317	Pras.g_00046
OG0000117	Syas.g_01122	Pras.g_00150
OG0000118	Syas.g_02835	Pras.g_00221, Pras.g_00222
