Orthogroup	Syas	Prad
OG0000001	Syas.g_00966, Syas.g_00967, Syas.g_00093, Syas.g_02373	Prad.g_00609
OG0000004	Syas.g_00176	Prad.g_01269
OG0000004	Syas.g_00509, Syas.g_00174, Syas.g_00311, Syas.g_00072	Prad.g_01759
OG0000005	Syas.g_02665	Prad.g_00928
OG0000005	Syas.g_02704	Prad.g_00438
OG0000006	Syas.g_00720, Syas.g_00942, Syas.g_01684, Syas.g_02565	Prad.g_01750
OG0000007	Syas.g_01232	Prad.g_00132
OG0000007	Syas.g_02681	Prad.g_00941
OG0000009	Syas.g_01450	Prad.g_01888
OG0000010	Syas.g_01334	Prad.g_01304, Prad.g_01011
OG0000012	Syas.g_00111, Syas.g_00827	Prad.g_01412
OG0000013	Syas.g_00158, Syas.g_01552, Syas.g_01555, Syas.g_01557	Prad.g_01664
OG0000014	Syas.g_01816	Prad.g_01685
OG0000015	Syas.g_02007, Syas.g_00968	Prad.g_01108
OG0000016	Syas.g_02048	Prad.g_01973
OG0000017	Syas.g_00849, Syas.g_00856	Prad.g_01387
OG0000018	Syas.g_01290	Prad.g_01515
OG0000019	Syas.g_01696	Prad.g_01742, Prad.g_01125
OG0000022	Syas.g_02758	Prad.g_01993
OG0000025	Syas.g_00231	Prad.g_01660, Prad.g_01181
OG0000026	Syas.g_02070	Prad.g_01955, Prad.g_01004
OG0000027	Syas.g_01480	Prad.g_01298, Prad.g_00353
OG0000028	Syas.g_01793	Prad.g_01204, Prad.g_01671
OG0000034	Syas.g_02371, Syas.g_02838	Prad.g_00618
OG0000035	Syas.g_02814, Syas.g_02818	Prad.g_00515
OG0000037	Syas.g_01479, Syas.g_00147, Syas.g_01928	Prad.g_01884
OG0000038	Syas.g_01885, Syas.g_01887	Prad.g_01582
OG0000039	Syas.g_02795	Prad.g_01260
OG0000040	Syas.g_02028	Prad.g_00369
OG0000040	Syas.g_01972	Prad.g_01516
OG0000041	Syas.g_00996, Syas.g_02585	Prad.g_00894
OG0000042	Syas.g_01121, Syas.g_02147	Prad.g_01624
OG0000044	Syas.g_00894, Syas.g_02453	Prad.g_01213
OG0000048	Syas.g_01734	Prad.g_00735
OG0000051	Syas.g_01445	Prad.g_00342
OG0000053	Syas.g_01287	Prad.g_00494
OG0000054	Syas.g_00961, Syas.g_00957	Prad.g_01395
OG0000055	Syas.g_00203	Prad.g_01126
OG0000057	Syas.g_01055, Syas.g_01038	Prad.g_01272
OG0000058	Syas.g_01151	Prad.g_00565
OG0000059	Syas.g_01639	Prad.g_00855
OG0000061	Syas.g_01184	Prad.g_01496
OG0000062	Syas.g_02702	Prad.g_00436
OG0000063	Syas.g_02074	Prad.g_01953, Prad.g_00081
OG0000065	Syas.g_02420	Prad.g_01886
OG0000066	Syas.g_00094	Prad.g_00090
OG0000067	Syas.g_00596, Syas.g_00352, Syas.g_02346	Prad.g_01146
OG0000068	Syas.g_00969, Syas.g_01261	Prad.g_00594
OG0000069	Syas.g_00779, Syas.g_00876	Prad.g_00952, Prad.g_00400
OG0000070	Syas.g_00173	Prad.g_00057
OG0000071	Syas.g_02854	Prad.g_00628
OG0000072	Syas.g_02326, Syas.g_01524	Prad.g_01820
OG0000073	Syas.g_00358, Syas.g_00264, Syas.g_01230	Prad.g_00130
OG0000075	Syas.g_01921, Syas.g_02194	Prad.g_00775
OG0000076	Syas.g_02156	Prad.g_01631
OG0000077	Syas.g_02510	Prad.g_01915
OG0000078	Syas.g_02561, Syas.g_02308	Prad.g_01752
OG0000079	Syas.g_01699	Prad.g_01739
OG0000081	Syas.g_00391	Prad.g_00098
OG0000082	Syas.g_00837	Prad.g_01374
OG0000085	Syas.g_02695	Prad.g_00948
OG0000086	Syas.g_02470	Prad.g_01905
OG0000087	Syas.g_02374	Prad.g_01854
OG0000089	Syas.g_01512	Prad.g_00755
OG0000090	Syas.g_00062	Prad.g_00096
OG0000091	Syas.g_00907, Syas.g_00146	Prad.g_01431
OG0000094	Syas.g_00208, Syas.g_01716	Prad.g_01038
OG0000095	Syas.g_01021	Prad.g_01018
OG0000097	Syas.g_00114, Syas.g_01443	Prad.g_01454
OG0000098	Syas.g_00091	Prad.g_00612
OG0000099	Syas.g_01826	Prad.g_00566
OG0000100	Syas.g_00567	Prad.g_00440
OG0000101	Syas.g_01589	Prad.g_00807
OG0000102	Syas.g_02152, Syas.g_01395	Prad.g_01626
OG0000103	Syas.g_02009	Prad.g_01548
OG0000104	Syas.g_02027, Syas.g_02026	Prad.g_01540
OG0000105	Syas.g_01739	Prad.g_01717
OG0000106	Syas.g_01451	Prad.g_00739
OG0000107	Syas.g_01669	Prad.g_00724
OG0000108	Syas.g_01253	Prad.g_00027
OG0000109	Syas.g_01236	Prad.g_00013
OG0000110	Syas.g_00359, Syas.g_00818	Prad.g_01364
OG0000111	Syas.g_01037	Prad.g_01273
OG0000112	Syas.g_00452	Prad.g_01109
OG0000113	Syas.g_00571	Prad.g_01168
OG0000114	Syas.g_00252, Syas.g_00674	Prad.g_00245
OG0000115	Syas.g_02548, Syas.g_01285	Prad.g_00641
OG0000116	Syas.g_01198, Syas.g_00317	Prad.g_01506
OG0000117	Syas.g_01122	Prad.g_01214
OG0000118	Syas.g_02835	Prad.g_00616
OG0000120	Syas.g_01828	Prad.g_00564
OG0000121	Syas.g_02821	Prad.g_00513
OG0000122	Syas.g_00393	Prad.g_00474
OG0000123	Syas.g_01582	Prad.g_00800
OG0000124	Syas.g_02137	Prad.g_01616
OG0000125	Syas.g_01889	Prad.g_01580
OG0000126	Syas.g_01992	Prad.g_01541
OG0000128	Syas.g_02046	Prad.g_01975
OG0000129	Syas.g_01880	Prad.g_01943
OG0000130	Syas.g_02522	Prad.g_01924
OG0000131	Syas.g_02367	Prad.g_01846
OG0000132	Syas.g_02334	Prad.g_01827
OG0000133	Syas.g_00457	Prad.g_01669
OG0000134	Syas.g_01509	Prad.g_00754
OG0000135	Syas.g_01938	Prad.g_00727
OG0000136	Syas.g_02740	Prad.g_00066
OG0000137	Syas.g_01333	Prad.g_00032
OG0000138	Syas.g_01235	Prad.g_00012
OG0000139	Syas.g_00069	Prad.g_00092
OG0000140	Syas.g_00090	Prad.g_00091
OG0000141	Syas.g_00875	Prad.g_01396
OG0000142	Syas.g_00746	Prad.g_01424
