Orthogroup	Syas	Syap
OG0000001	Syas.g_00966, Syas.g_00967	Syap.g_00785
OG0000001	Syas.g_00093, Syas.g_02373	Syap.g_02195, Syap.g_02194, Syap.g_02201, Syap.g_02615
OG0000003	Syas.g_01418	Syap.g_00679
OG0000004	Syas.g_00072	Syap.g_01987
OG0000005	Syas.g_02665	Syap.g_01773
OG0000005	Syas.g_02704	Syap.g_01218
OG0000007	Syas.g_01232	Syap.g_00275
OG0000007	Syas.g_02681	Syap.g_00621
OG0000009	Syas.g_01450	Syap.g_02081
OG0000010	Syas.g_01334	Syap.g_02757
OG0000013	Syas.g_00158, Syas.g_01552, Syas.g_01555, Syas.g_01557	Syap.g_00586, Syap.g_00580, Syap.g_00583
OG0000014	Syas.g_01816	Syap.g_01675
OG0000015	Syas.g_02007	Syap.g_02606
OG0000015	Syas.g_00968	Syap.g_00786
OG0000016	Syas.g_02048	Syap.g_00071
OG0000016	Syas.g_01050	Syap.g_00404
OG0000017	Syas.g_00849	Syap.g_00449
OG0000018	Syas.g_01290	Syap.g_02010
OG0000019	Syas.g_01696	Syap.g_01586
OG0000025	Syas.g_00231	Syap.g_01846
OG0000027	Syas.g_01480	Syap.g_01440
OG0000028	Syas.g_01793	Syap.g_01658
OG0000030	Syas.g_01644	Syap.g_00787
OG0000030	Syas.g_01645	Syap.g_00788
OG0000031	Syas.g_01827	Syap.g_02479, Syap.g_01083, Syap.g_02076
OG0000033	Syas.g_02328	Syap.g_01198
OG0000034	Syas.g_02371, Syas.g_02838	Syap.g_02193, Syap.g_02614, Syap.g_02280
OG0000035	Syas.g_02814, Syas.g_02818	Syap.g_02465
OG0000037	Syas.g_00147, Syas.g_01928	Syap.g_02492
OG0000038	Syas.g_01887	Syap.g_00139
OG0000039	Syas.g_02795	Syap.g_01749, Syap.g_01748
OG0000040	Syas.g_01972	Syap.g_01819
OG0000041	Syas.g_02585	Syap.g_01510
OG0000042	Syas.g_01121	Syap.g_01891
OG0000042	Syas.g_02147	Syap.g_01120
OG0000044	Syas.g_00894	Syap.g_00378
OG0000046	Syas.g_01553, Syas.g_01556, Syas.g_01558	Syap.g_00581, Syap.g_00584, Syap.g_00587, Syap.g_00973
OG0000048	Syas.g_01734	Syap.g_02340
OG0000051	Syas.g_01445	Syap.g_01574
OG0000053	Syas.g_01287	Syap.g_02006
OG0000054	Syas.g_00961	Syap.g_00678
OG0000054	Syas.g_00957	Syap.g_00774
OG0000057	Syas.g_01055, Syas.g_01038	Syap.g_01569
OG0000059	Syas.g_01639	Syap.g_01918
OG0000060	Syas.g_00975	Syap.g_00795
OG0000061	Syas.g_01184	Syap.g_00228
OG0000062	Syas.g_00070	Syap.g_01365
OG0000062	Syas.g_02702	Syap.g_01220
OG0000063	Syas.g_02074	Syap.g_01796
OG0000066	Syas.g_00094	Syap.g_01972
OG0000067	Syas.g_00596	Syap.g_00194
OG0000068	Syas.g_00969	Syap.g_00108, Syap.g_00144
OG0000069	Syas.g_00779	Syap.g_01936
OG0000069	Syas.g_00876	Syap.g_01543, Syap.g_01545
OG0000070	Syas.g_00173	Syap.g_00802, Syap.g_00915, Syap.g_00953
OG0000071	Syas.g_02854	Syap.g_01483
OG0000072	Syas.g_01524	Syap.g_00555
OG0000073	Syas.g_00358, Syas.g_00264	Syap.g_01020
OG0000073	Syas.g_01230	Syap.g_00273
OG0000075	Syas.g_01921, Syas.g_02194	Syap.g_01064
OG0000076	Syas.g_02156	Syap.g_01111
OG0000077	Syas.g_02510	Syap.g_00416
OG0000078	Syas.g_02561	Syap.g_01149
OG0000079	Syas.g_01699	Syap.g_01589
OG0000080	Syas.g_02616	Syap.g_01035
OG0000085	Syas.g_02695	Syap.g_00611
OG0000087	Syas.g_02374	Syap.g_02617, Syap.g_02202, Syap.g_02203
OG0000089	Syas.g_01512	Syap.g_00115, Syap.g_02042
OG0000090	Syas.g_00062	Syap.g_01451
OG0000091	Syas.g_00146	Syap.g_01861
OG0000094	Syas.g_00208	Syap.g_02781
OG0000095	Syas.g_01021	Syap.g_01556
OG0000098	Syas.g_00091	Syap.g_01975
OG0000099	Syas.g_01826	Syap.g_01385
OG0000101	Syas.g_01589	Syap.g_00472
OG0000102	Syas.g_02152	Syap.g_01116
OG0000103	Syas.g_02009	Syap.g_02607
OG0000104	Syas.g_02027	Syap.g_02321, Syap.g_00051, Syap.g_02320
OG0000104	Syas.g_02026	Syap.g_02318
OG0000105	Syas.g_01739	Syap.g_01369, Syap.g_01368
OG0000107	Syas.g_01669	Syap.g_02496
OG0000108	Syas.g_01253	Syap.g_00733, Syap.g_02255
OG0000109	Syas.g_01236	Syap.g_00279, Syap.g_02237
OG0000110	Syas.g_00818	Syap.g_01313
OG0000111	Syas.g_01037	Syap.g_01566, Syap.g_01568
OG0000112	Syas.g_00452	Syap.g_02023
OG0000113	Syas.g_00571	Syap.g_02714
OG0000114	Syas.g_00674	Syap.g_01255
OG0000115	Syas.g_01285	Syap.g_02004
OG0000116	Syas.g_01198	Syap.g_00241
OG0000117	Syas.g_01122	Syap.g_01889
OG0000118	Syas.g_02835	Syap.g_02286
OG0000120	Syas.g_01828	Syap.g_02075
OG0000121	Syas.g_02821	Syap.g_02471
OG0000123	Syas.g_01582	Syap.g_00100, Syap.g_00099, Syap.g_00098, Syap.g_00464
OG0000124	Syas.g_02137	Syap.g_02456, Syap.g_02457, Syap.g_01130
OG0000125	Syas.g_01889	Syap.g_01046, Syap.g_01047
OG0000126	Syas.g_01992	Syap.g_02317, Syap.g_02316, Syap.g_02576
OG0000127	Syas.g_02540	Syap.g_00737, Syap.g_00735
OG0000128	Syas.g_02046	Syap.g_00069
OG0000129	Syas.g_01880	Syap.g_00129
OG0000130	Syas.g_02522	Syap.g_01688, Syap.g_01689
OG0000131	Syas.g_02367	Syap.g_02189
OG0000132	Syas.g_02334	Syap.g_01205
OG0000133	Syas.g_00457	Syap.g_02017
OG0000134	Syas.g_01509	Syap.g_02047
OG0000135	Syas.g_01938	Syap.g_02090
OG0000136	Syas.g_02740	Syap.g_00089
OG0000137	Syas.g_01333	Syap.g_02756
OG0000138	Syas.g_01235	Syap.g_00278
OG0000139	Syas.g_00069	Syap.g_00410
OG0000140	Syas.g_00090	Syap.g_01976
OG0000141	Syas.g_00875	Syap.g_01541, Syap.g_01542, Syap.g_01544
OG0000142	Syas.g_00746	Syap.g_00895, Syap.g_00894
OG0000143	Syas.g_00742	Syap.g_00900, Syap.g_00899, Syap.g_00901
OG0000144	Syas.g_00718	Syap.g_02504, Syap.g_02503, Syap.g_02502, Syap.g_02772
OG0000145	Syas.g_00948	Syap.g_01860
OG0000146	Syas.g_00451	Syap.g_02024
OG0000147	Syas.g_00450	Syap.g_02025
OG0000148	Syas.g_00577	Syap.g_02720
OG0000149	Syas.g_00282	Syap.g_00824
OG0000150	Syas.g_00874	Syap.g_01540
OG0000151	Syas.g_00148, Syas.g_00659	Syap.g_00142
OG0000152	Syas.g_00461	Syap.g_02012
OG0000153	Syas.g_00543	Syap.g_02682
OG0000154	Syas.g_00219	Syap.g_02761, Syap.g_02760, Syap.g_01876
OG0000155	Syas.g_01131	Syap.g_02777, Syap.g_01878, Syap.g_01879
OG0000156	Syas.g_01206	Syap.g_00248, Syap.g_00284, Syap.g_00283
OG0000157	Syas.g_01207	Syap.g_00249, Syap.g_00286
OG0000158	Syas.g_02185	Syap.g_01075
OG0000159	Syas.g_01155	Syap.g_00852
OG0000160	Syas.g_02820	Syap.g_02470, Syap.g_02469
OG0000161	Syas.g_02826	Syap.g_02476
OG0000162	Syas.g_02751	Syap.g_02531
OG0000164	Syas.g_02648	Syap.g_01391, Syap.g_01392
OG0000165	Syas.g_02609	Syap.g_01381, Syap.g_01382
OG0000166	Syas.g_01629	Syap.g_00512, Syap.g_01238
OG0000167	Syas.g_01449	Syap.g_02080
OG0000168	Syas.g_02184	Syap.g_01076
OG0000169	Syas.g_02170	Syap.g_01049, Syap.g_01093
OG0000170	Syas.g_02161	Syap.g_01467, Syap.g_01106, Syap.g_01468
OG0000171	Syas.g_02139	Syap.g_01128, Syap.g_02454, Syap.g_02453
OG0000172	Syas.g_02110	Syap.g_01143, Syap.g_00635
OG0000173	Syas.g_02092	Syap.g_00982, Syap.g_00983
OG0000174	Syas.g_01940	Syap.g_02092
OG0000175	Syas.g_01994	Syap.g_02654
OG0000176	Syas.g_02038	Syap.g_00059
OG0000177	Syas.g_02039	Syap.g_00061, Syap.g_00060
OG0000178	Syas.g_02040	Syap.g_00062
OG0000179	Syas.g_02054	Syap.g_00077, Syap.g_02638
OG0000180	Syas.g_02055	Syap.g_00078, Syap.g_02640
OG0000181	Syas.g_02056	Syap.g_00079, Syap.g_02641
OG0000182	Syas.g_02057	Syap.g_00080, Syap.g_02642
OG0000183	Syas.g_02061	Syap.g_00084
OG0000184	Syas.g_01872	Syap.g_01337
OG0000185	Syas.g_01861	Syap.g_01322
OG0000186	Syas.g_02525	Syap.g_01684
OG0000187	Syas.g_02524	Syap.g_01686
OG0000188	Syas.g_02502	Syap.g_02547
OG0000191	Syas.g_02400	Syap.g_02233
OG0000192	Syas.g_02395	Syap.g_02224
OG0000193	Syas.g_02366	Syap.g_02187
OG0000194	Syas.g_02363	Syap.g_02183
OG0000195	Syas.g_02360	Syap.g_02180
OG0000196	Syas.g_02337	Syap.g_01208, Syap.g_02167
OG0000197	Syas.g_02336	Syap.g_01207, Syap.g_02166
OG0000198	Syas.g_02335	Syap.g_01206
OG0000199	Syas.g_02327	Syap.g_01197
OG0000200	Syas.g_02298	Syap.g_01181
OG0000201	Syas.g_02279	Syap.g_02265
OG0000202	Syas.g_02278	Syap.g_02264
OG0000203	Syas.g_02277	Syap.g_01601
OG0000204	Syas.g_02276	Syap.g_01602
OG0000205	Syas.g_02267	Syap.g_01616
OG0000206	Syas.g_02240	Syap.g_01628
OG0000207	Syas.g_02237	Syap.g_01426, Syap.g_00424
OG0000208	Syas.g_02236	Syap.g_00426, Syap.g_01425
OG0000209	Syas.g_01837	Syap.g_01906
OG0000210	Syas.g_01838	Syap.g_01905
OG0000211	Syas.g_02552	Syap.g_01160
OG0000212	Syas.g_02562	Syap.g_02664
OG0000213	Syas.g_01707	Syap.g_00107, Syap.g_01599
OG0000214	Syas.g_01730	Syap.g_02344, Syap.g_02345
OG0000215	Syas.g_01766	Syap.g_01347, Syap.g_01629
