Orthogroup	Syae	Prau
OG0000001	Syae.g_02061	Prau.g_01394, Prau.g_01267, Prau.g_01269
OG0000004	Syae.g_00779	Prau.g_00735
OG0000004	Syae.g_00042, Syae.g_02231	Prau.g_00233
OG0000005	Syae.g_01179	Prau.g_01745
OG0000005	Syae.g_01143	Prau.g_01607
OG0000006	Syae.g_02030, Syae.g_02248	Prau.g_01316
OG0000007	Syae.g_02328	Prau.g_00538
OG0000007	Syae.g_01163	Prau.g_01732
OG0000008	Syae.g_00753	Prau.g_00781
OG0000009	Syae.g_00561, Syae.g_00171	Prau.g_01324, Prau.g_01641
OG0000009	Syae.g_00100, Syae.g_01361	Prau.g_00106
OG0000010	Syae.g_02529	Prau.g_01698, Prau.g_01096, Prau.g_00515
OG0000011	Syae.g_00268	Prau.g_00441
OG0000012	Syae.g_02397, Syae.g_02562, Syae.g_00049	Prau.g_00663
OG0000013	Syae.g_02169, Syae.g_02155, Syae.g_02160	Prau.g_00329
OG0000014	Syae.g_01930	Prau.g_00308
OG0000014	Syae.g_01850	Prau.g_01470
OG0000015	Syae.g_00590	Prau.g_00817
OG0000016	Syae.g_01726	Prau.g_00013
OG0000017	Syae.g_02462	Prau.g_00636
OG0000018	Syae.g_02625	Prau.g_01188, Prau.g_00881
OG0000019	Syae.g_02015	Prau.g_00251, Prau.g_00834
OG0000021	Syae.g_01261	Prau.g_01680, Prau.g_00367
OG0000022	Syae.g_00144	Prau.g_00814, Prau.g_01170
OG0000023	Syae.g_00439, Syae.g_00930	Prau.g_00362
OG0000025	Syae.g_00833	Prau.g_00888, Prau.g_00333
OG0000026	Syae.g_01748	Prau.g_00030, Prau.g_01103
OG0000027	Syae.g_00103, Syae.g_00814	Prau.g_01353
OG0000028	Syae.g_01916	Prau.g_00322, Prau.g_01338
OG0000029	Syae.g_00136	Prau.g_00378, Prau.g_00804
OG0000030	Syae.g_01817, Syae.g_01816	Prau.g_01935
OG0000033	Syae.g_01453	Prau.g_00170
OG0000034	Syae.g_00975, Syae.g_01424	Prau.g_01381
OG0000035	Syae.g_02653	Prau.g_01531, Prau.g_01528
OG0000037	Syae.g_01367	Prau.g_00110
OG0000038	Syae.g_01571	Prau.g_01976
OG0000039	Syae.g_00822, Syae.g_02495	Prau.g_00726
OG0000041	Syae.g_01042	Prau.g_01778
OG0000042	Syae.g_01821	Prau.g_01932
OG0000043	Syae.g_00117	Prau.g_00926, Prau.g_01321
OG0000045	Syae.g_00732	Prau.g_01682
OG0000047	Syae.g_02184	Prau.g_00414, Prau.g_00332
OG0000048	Syae.g_01982	Prau.g_00377
OG0000051	Syae.g_00438	Prau.g_01347
OG0000052	Syae.g_01886	Prau.g_01489, Prau.g_01448
OG0000053	Syae.g_02629	Prau.g_00040, Prau.g_01551
OG0000054	Syae.g_00014	Prau.g_00644
OG0000055	Syae.g_00817	Prau.g_00835
OG0000057	Syae.g_00782	Prau.g_00738
OG0000058	Syae.g_01905	Prau.g_01432, Prau.g_01460
OG0000059	Syae.g_02074	Prau.g_01818
OG0000061	Syae.g_00921	Prau.g_01206
OG0000063	Syae.g_01752	Prau.g_00032, Prau.g_01295
OG0000065	Syae.g_00722, Syae.g_01363	Prau.g_00108
OG0000066	Syae.g_02386	Prau.g_00579
OG0000067	Syae.g_00521	Prau.g_00854
OG0000068	Syae.g_02299	Prau.g_01409
OG0000069	Syae.g_00458	Prau.g_01285, Prau.g_01642
OG0000070	Syae.g_00979	Prau.g_00491
OG0000071	Syae.g_00961	Prau.g_01371
OG0000072	Syae.g_01455	Prau.g_00172
OG0000073	Syae.g_02330	Prau.g_00540
OG0000075	Syae.g_01871	Prau.g_01901
OG0000076	Syae.g_01829	Prau.g_00037, Prau.g_01925
OG0000077	Syae.g_01297	Prau.g_00079
OG0000078	Syae.g_02243	Prau.g_00240
OG0000079	Syae.g_02011	Prau.g_00254
OG0000081	Syae.g_02261	Prau.g_00571
OG0000082	Syae.g_02447	Prau.g_00624
OG0000084	Syae.g_02656	Prau.g_01524
OG0000085	Syae.g_01152	Prau.g_01725
OG0000086	Syae.g_01333	Prau.g_00089
OG0000087	Syae.g_01414	Prau.g_00140
OG0000088	Syae.g_01449	Prau.g_00167
OG0000089	Syae.g_02219	Prau.g_00358
OG0000090	Syae.g_02374	Prau.g_00573
OG0000091	Syae.g_00082	Prau.g_00682
OG0000092	Syae.g_00884	Prau.g_00451, Prau.g_00961, Prau.g_00052
OG0000094	Syae.g_00430	Prau.g_01070
OG0000095	Syae.g_01624	Prau.g_01089
OG0000097	Syae.g_00683	Prau.g_01247
OG0000098	Syae.g_02058	Prau.g_01391
OG0000099	Syae.g_01913, Syae.g_01226	Prau.g_01434, Prau.g_01435
OG0000100	Syae.g_00489	Prau.g_01605
OG0000101	Syae.g_02125	Prau.g_01869
OG0000102	Syae.g_01824	Prau.g_01930
OG0000103	Syae.g_01694	Prau.g_02009
OG0000104	Syae.g_01708	Prau.g_02018
OG0000105	Syae.g_01977	Prau.g_00276
OG0000106	Syae.g_00272	Prau.g_00373
OG0000107	Syae.g_02032	Prau.g_00389
OG0000108	Syae.g_02309	Prau.g_00521
OG0000109	Syae.g_02324	Prau.g_00535
OG0000110	Syae.g_02435	Prau.g_00614
OG0000111	Syae.g_00783	Prau.g_00739
OG0000112	Syae.g_00351	Prau.g_00818
OG0000113	Syae.g_00494	Prau.g_00876
OG0000114	Syae.g_00575	Prau.g_00956
OG0000115	Syae.g_02631	Prau.g_01148
OG0000116	Syae.g_00939	Prau.g_01197
OG0000117	Syae.g_00647	Prau.g_01318
OG0000118	Syae.g_02479	Prau.g_01383
OG0000119	Syae.g_00904	Prau.g_01405
OG0000120	Syae.g_01912	Prau.g_01430
OG0000121	Syae.g_02649	Prau.g_01533
OG0000122	Syae.g_00112	Prau.g_01571
OG0000123	Syae.g_02131	Prau.g_01876
OG0000124	Syae.g_01809	Prau.g_01941
OG0000125	Syae.g_01573	Prau.g_01978
OG0000126	Syae.g_01706	Prau.g_02017
OG0000128	Syae.g_01724	Prau.g_00011
OG0000129	Syae.g_01562	Prau.g_00051
OG0000130	Syae.g_01284	Prau.g_00071
OG0000131	Syae.g_01428	Prau.g_00146
OG0000132	Syae.g_01447	Prau.g_00165
OG0000133	Syae.g_00356	Prau.g_00324
OG0000134	Syae.g_02222	Prau.g_00359
