Orthogroup	Syae	Syac
OG0000001	Syae.g_02061	Syac.g_02154
OG0000001	Syae.g_01417	Syac.g_00341, Syac.g_00340
OG0000001	Syae.g_02055	Syac.g_02169
OG0000004	Syae.g_00779	Syac.g_00898
OG0000004	Syae.g_00042	Syac.g_00948
OG0000004	Syae.g_02231	Syac.g_01975
OG0000005	Syae.g_01179	Syac.g_00527
OG0000005	Syae.g_01143	Syac.g_00569
OG0000005	Syae.g_00257	Syac.g_01087
OG0000006	Syae.g_02030, Syae.g_02248	Syac.g_01958, Syac.g_01961, Syac.g_02194
OG0000006	Syae.g_00096	Syac.g_01002
OG0000007	Syae.g_02328	Syac.g_01885
OG0000007	Syae.g_01163	Syac.g_00544
OG0000008	Syae.g_00753	Syac.g_00921
OG0000008	Syae.g_00752	Syac.g_00922
OG0000009	Syae.g_00100	Syac.g_01004
OG0000009	Syae.g_01361	Syac.g_00398
OG0000010	Syae.g_02529	Syac.g_01701
OG0000011	Syae.g_00750	Syac.g_00924
OG0000012	Syae.g_02397, Syae.g_02562	Syac.g_01577
OG0000012	Syae.g_00049	Syac.g_00955
OG0000013	Syae.g_02169	Syac.g_02046
OG0000013	Syae.g_02155	Syac.g_02062
OG0000013	Syae.g_02160	Syac.g_02056
OG0000014	Syae.g_01930	Syac.g_00253
OG0000016	Syae.g_01726	Syac.g_00014
OG0000016	Syae.g_00681	Syac.g_01505
OG0000016	Syae.g_00233	Syac.g_01053
OG0000017	Syae.g_02469	Syac.g_01742
OG0000017	Syae.g_02462	Syac.g_01749
OG0000018	Syae.g_02625	Syac.g_01660
OG0000019	Syae.g_02015	Syac.g_02207
OG0000022	Syae.g_00144	Syac.g_01031
OG0000023	Syae.g_00439	Syac.g_00760
OG0000025	Syae.g_00833	Syac.g_00847
OG0000026	Syae.g_01748	Syac.g_00034
OG0000027	Syae.g_00814	Syac.g_01095
OG0000028	Syae.g_01916	Syac.g_00237
OG0000029	Syae.g_00136	Syac.g_01942
OG0000030	Syae.g_01817	Syac.g_00143
OG0000030	Syae.g_01816	Syac.g_00142
OG0000031	Syae.g_01911	Syac.g_00232
OG0000032	Syae.g_02607	Syac.g_01677
OG0000033	Syae.g_01453	Syac.g_00304
OG0000034	Syae.g_00975, Syae.g_01424	Syac.g_00334, Syac.g_00715
OG0000035	Syae.g_02653	Syac.g_01630
OG0000037	Syae.g_01367	Syac.g_01077
OG0000038	Syae.g_01571	Syac.g_02357
OG0000039	Syae.g_00822	Syac.g_00856
OG0000039	Syae.g_02495	Syac.g_02378
OG0000040	Syae.g_01653	Syac.g_02437
OG0000041	Syae.g_01042	Syac.g_00655
OG0000041	Syae.g_00802	Syac.g_00876
OG0000042	Syae.g_01821	Syac.g_00146
OG0000043	Syae.g_00117	Syac.g_01100
OG0000044	Syae.g_00098	Syac.g_00477
OG0000045	Syae.g_00732	Syac.g_00576
OG0000046	Syae.g_02154	Syac.g_02063
OG0000046	Syae.g_02161	Syac.g_02055
OG0000046	Syae.g_02168	Syac.g_02047
OG0000047	Syae.g_02184	Syac.g_02031
OG0000048	Syae.g_01982	Syac.g_02240
OG0000050	Syae.g_01023	Syac.g_01937
OG0000051	Syae.g_00438	Syac.g_01073
OG0000052	Syae.g_01886	Syac.g_00207
OG0000053	Syae.g_02629	Syac.g_01657
OG0000054	Syae.g_00014	Syac.g_00933
OG0000054	Syae.g_00221	Syac.g_01050
OG0000055	Syae.g_00817	Syac.g_00859
OG0000057	Syae.g_00782	Syac.g_00894
OG0000058	Syae.g_01905	Syac.g_00226
OG0000059	Syae.g_02074	Syac.g_02142
OG0000060	Syae.g_02306	Syac.g_01909
OG0000061	Syae.g_00921	Syac.g_00769
OG0000062	Syae.g_01145	Syac.g_00567
OG0000063	Syae.g_01752	Syac.g_00037
OG0000064	Syae.g_00194	Syac.g_01567
OG0000064	Syae.g_01137	Syac.g_00575
OG0000065	Syae.g_00722	Syac.g_00490
OG0000065	Syae.g_01363	Syac.g_00396
OG0000066	Syae.g_02386	Syac.g_01827
OG0000067	Syae.g_00521	Syac.g_01341
OG0000068	Syae.g_02299	Syac.g_01916
OG0000069	Syae.g_00458	Syac.g_01272
OG0000070	Syae.g_00979	Syac.g_00711
OG0000071	Syae.g_00961	Syac.g_00729
OG0000072	Syae.g_01455	Syac.g_00302
OG0000073	Syae.g_02330	Syac.g_01883
OG0000075	Syae.g_01871	Syac.g_00191
OG0000076	Syae.g_01829	Syac.g_00156
OG0000077	Syae.g_01297	Syac.g_00439
OG0000078	Syae.g_02243	Syac.g_01964
OG0000079	Syae.g_02011	Syac.g_02211
OG0000081	Syae.g_02261	Syac.g_01954
OG0000082	Syae.g_02447	Syac.g_01766
OG0000084	Syae.g_00857	Syac.g_00822
OG0000084	Syae.g_02656	Syac.g_01627
OG0000085	Syae.g_01152	Syac.g_00560
OG0000086	Syae.g_01333	Syac.g_00423
OG0000087	Syae.g_01414	Syac.g_00343
OG0000088	Syae.g_01449	Syac.g_00308
OG0000089	Syae.g_02219	Syac.g_01988
OG0000090	Syae.g_02374	Syac.g_01836
OG0000091	Syae.g_00082	Syac.g_00987
OG0000093	Syae.g_00537	Syac.g_01357
OG0000094	Syae.g_00430	Syac.g_01251
OG0000095	Syae.g_00793	Syac.g_00884
OG0000097	Syae.g_00683	Syac.g_01507
OG0000098	Syae.g_02058	Syac.g_02157
OG0000099	Syae.g_01913	Syac.g_00234
OG0000100	Syae.g_00489	Syac.g_01309
OG0000101	Syae.g_02125	Syac.g_02094
OG0000102	Syae.g_01824	Syac.g_00151
OG0000103	Syae.g_01694	Syac.g_02476
OG0000104	Syae.g_01708	Syac.g_02490
OG0000105	Syae.g_01977	Syac.g_02245
OG0000106	Syae.g_00272	Syac.g_01098
OG0000107	Syae.g_02032	Syac.g_02191
OG0000108	Syae.g_02309	Syac.g_01904
OG0000109	Syae.g_02324	Syac.g_01889
OG0000110	Syae.g_02435	Syac.g_01778
OG0000111	Syae.g_00783	Syac.g_00893
OG0000112	Syae.g_00351	Syac.g_01173
OG0000113	Syae.g_00494	Syac.g_01314
OG0000114	Syae.g_00575	Syac.g_01394
OG0000115	Syae.g_02631	Syac.g_01655
OG0000116	Syae.g_00939	Syac.g_00753
OG0000117	Syae.g_00647	Syac.g_01477
OG0000118	Syae.g_02479	Syac.g_01728
OG0000120	Syae.g_01912	Syac.g_00233
OG0000121	Syae.g_02649	Syac.g_01635
OG0000122	Syae.g_00112	Syac.g_01013
OG0000123	Syae.g_02131	Syac.g_02086
OG0000124	Syae.g_01809	Syac.g_00135
OG0000125	Syae.g_01573	Syac.g_02360
OG0000126	Syae.g_01706	Syac.g_02488
OG0000127	Syae.g_00720	Syac.g_01547
OG0000128	Syae.g_01724	Syac.g_00012
OG0000129	Syae.g_01562	Syac.g_02349
OG0000130	Syae.g_01284	Syac.g_00450
OG0000131	Syae.g_01428	Syac.g_00330
OG0000132	Syae.g_01447	Syac.g_00310
OG0000133	Syae.g_00356	Syac.g_01178
OG0000134	Syae.g_02222	Syac.g_01985
OG0000135	Syae.g_01608	Syac.g_02398
OG0000136	Syae.g_00989	Syac.g_00701
OG0000137	Syae.g_02530	Syac.g_01700
OG0000138	Syae.g_02325	Syac.g_01888
OG0000139	Syae.g_02380	Syac.g_01830
OG0000140	Syae.g_02383	Syac.g_01829
OG0000141	Syae.g_00016	Syac.g_00934
OG0000142	Syae.g_00074	Syac.g_00979
OG0000143	Syae.g_00078	Syac.g_00983
OG0000144	Syae.g_00261	Syac.g_01090
OG0000145	Syae.g_02331	Syac.g_01882
OG0000146	Syae.g_00350	Syac.g_01172
OG0000147	Syae.g_00349	Syac.g_01171
OG0000148	Syae.g_00500	Syac.g_01320
OG0000149	Syae.g_00847	Syac.g_00832
OG0000150	Syae.g_00017	Syac.g_00935
OG0000151	Syae.g_00563	Syac.g_01383
OG0000152	Syae.g_00360	Syac.g_01182
OG0000153	Syae.g_00394	Syac.g_01217
OG0000154	Syae.g_00420	Syac.g_01241
OG0000155	Syae.g_00885	Syac.g_00804
OG0000156	Syae.g_00945	Syac.g_00743
OG0000157	Syae.g_00946	Syac.g_00742
OG0000158	Syae.g_01858	Syac.g_00182
OG0000160	Syae.g_02650	Syac.g_01633
OG0000161	Syae.g_02644	Syac.g_01641
OG0000162	Syae.g_02638	Syac.g_01648
OG0000163	Syae.g_01092	Syac.g_00619
OG0000164	Syae.g_01198	Syac.g_00508
OG0000165	Syae.g_01021	Syac.g_00674
OG0000166	Syae.g_02085	Syac.g_02132
OG0000167	Syae.g_01874	Syac.g_00194
OG0000168	Syae.g_01856	Syac.g_00179
OG0000169	Syae.g_01841	Syac.g_00168
OG0000170	Syae.g_01834	Syac.g_00161
OG0000171	Syae.g_01810	Syac.g_00136
OG0000172	Syae.g_01788	Syac.g_00084
OG0000173	Syae.g_01770	Syac.g_00057
OG0000174	Syae.g_01610	Syac.g_02401
OG0000175	Syae.g_01679	Syac.g_02465
OG0000176	Syae.g_01716	Syac.g_00004
OG0000177	Syae.g_01717	Syac.g_00005
OG0000178	Syae.g_01718	Syac.g_00006
OG0000179	Syae.g_01733	Syac.g_00019
OG0000180	Syae.g_01734	Syac.g_00020
OG0000181	Syae.g_01735	Syac.g_00021
OG0000182	Syae.g_01736	Syac.g_00022
OG0000183	Syae.g_01740	Syac.g_00026
OG0000184	Syae.g_01554	Syac.g_02339
OG0000185	Syae.g_01551	Syac.g_02336
OG0000186	Syae.g_01279	Syac.g_00454
OG0000187	Syae.g_01280	Syac.g_00453
OG0000188	Syae.g_01323	Syac.g_00433
OG0000189	Syae.g_01350	Syac.g_00408
OG0000190	Syae.g_01352	Syac.g_00406
OG0000191	Syae.g_01384	Syac.g_00373
OG0000192	Syae.g_01390	Syac.g_00368
OG0000193	Syae.g_01429	Syac.g_00329
OG0000194	Syae.g_01432	Syac.g_00326
OG0000195	Syae.g_01434	Syac.g_00324
OG0000196	Syae.g_01444	Syac.g_00313
OG0000197	Syae.g_01445	Syac.g_00312
OG0000198	Syae.g_01446	Syac.g_00311
OG0000199	Syae.g_01454	Syac.g_00303
OG0000200	Syae.g_01471	Syac.g_02261
OG0000201	Syae.g_01487	Syac.g_02278
OG0000202	Syae.g_01488	Syac.g_02279
OG0000203	Syae.g_01489	Syac.g_02280
OG0000204	Syae.g_01490	Syac.g_02281
OG0000205	Syae.g_01497	Syac.g_02288
OG0000206	Syae.g_01504	Syac.g_02297
OG0000207	Syae.g_01506	Syac.g_02300
OG0000208	Syae.g_01507	Syac.g_02301
OG0000209	Syae.g_01528	Syac.g_02316
OG0000210	Syae.g_01529	Syac.g_02317
OG0000211	Syae.g_02234	Syac.g_01972
OG0000212	Syae.g_02244	Syac.g_01963
OG0000213	Syae.g_02003	Syac.g_02219
OG0000214	Syae.g_01986	Syac.g_02236
OG0000215	Syae.g_01955	Syac.g_00281
OG0000216	Syae.g_01951	Syac.g_00277
OG0000217	Syae.g_01947	Syac.g_00273
OG0000218	Syae.g_01945	Syac.g_00271
OG0000219	Syae.g_01944	Syac.g_00270
OG0000220	Syae.g_01943	Syac.g_00269
OG0000221	Syae.g_01937	Syac.g_00261
OG0000222	Syae.g_01926	Syac.g_00247
OG0000223	Syae.g_01904	Syac.g_00225
OG0000224	Syae.g_01897	Syac.g_00217
OG0000225	Syae.g_02208	Syac.g_02004
OG0000226	Syae.g_02212	Syac.g_02000
OG0000227	Syae.g_02214	Syac.g_01998
OG0000228	Syae.g_02218	Syac.g_01989
OG0000229	Syae.g_00994	Syac.g_00692
OG0000230	Syae.g_00992	Syac.g_00694
OG0000231	Syae.g_00980	Syac.g_00710
OG0000232	Syae.g_02496	Syac.g_01717
OG0000233	Syae.g_02504	Syac.g_01713
OG0000234	Syae.g_02532	Syac.g_01699
OG0000235	Syae.g_02308	Syac.g_01905
OG0000236	Syae.g_02323	Syac.g_01890
OG0000237	Syae.g_02340	Syac.g_01873
OG0000238	Syae.g_02345	Syac.g_01868
OG0000239	Syae.g_02360	Syac.g_01852
OG0000240	Syae.g_02361	Syac.g_01851
OG0000241	Syae.g_00065	Syac.g_00970
OG0000242	Syae.g_02372	Syac.g_01839
OG0000243	Syae.g_02391	Syac.g_01821
OG0000244	Syae.g_02399	Syac.g_01814
OG0000245	Syae.g_02401	Syac.g_01811
OG0000246	Syae.g_02405	Syac.g_01807
OG0000247	Syae.g_02416	Syac.g_01795
OG0000248	Syae.g_02419	Syac.g_01792
OG0000249	Syae.g_02421	Syac.g_01790
OG0000250	Syae.g_02431	Syac.g_01782
OG0000251	Syae.g_02455	Syac.g_01757
OG0000252	Syae.g_02458	Syac.g_01753
OG0000253	Syae.g_02459	Syac.g_01752
OG0000254	Syae.g_00021	Syac.g_00939
OG0000255	Syae.g_00041	Syac.g_00947
OG0000256	Syae.g_00058	Syac.g_00963
OG0000257	Syae.g_00064	Syac.g_00969
OG0000258	Syae.g_00083	Syac.g_00988
OG0000259	Syae.g_00608	Syac.g_01425
OG0000260	Syae.g_00603	Syac.g_01422
OG0000261	Syae.g_00600	Syac.g_01418
OG0000262	Syae.g_00595	Syac.g_01413
OG0000263	Syae.g_00671	Syac.g_01497
OG0000264	Syae.g_00761	Syac.g_00915
OG0000265	Syae.g_00932, Syae.g_00226	Syac.g_00673
OG0000266	Syae.g_00457	Syac.g_01271
OG0000267	Syae.g_00304	Syac.g_01131
OG0000268	Syae.g_00308	Syac.g_01132
OG0000269	Syae.g_00526	Syac.g_01346
OG0000270	Syae.g_00523	Syac.g_01343
OG0000271	Syae.g_00515	Syac.g_01335
OG0000272	Syae.g_00514	Syac.g_01334
OG0000273	Syae.g_00825	Syac.g_00854
OG0000274	Syae.g_00826	Syac.g_00853
OG0000275	Syae.g_00832	Syac.g_00848
OG0000276	Syae.g_00839	Syac.g_00840
OG0000277	Syae.g_00840	Syac.g_00839
OG0000278	Syae.g_00843	Syac.g_00836
OG0000279	Syae.g_00851	Syac.g_00828
OG0000280	Syae.g_00877	Syac.g_00814
OG0000281	Syae.g_02057	Syac.g_02158
OG0000282	Syae.g_00573	Syac.g_01392
OG0000283	Syae.g_00321	Syac.g_01142
OG0000284	Syae.g_00327	Syac.g_01148
OG0000285	Syae.g_00340	Syac.g_01160
OG0000286	Syae.g_00359	Syac.g_01181
OG0000287	Syae.g_00387	Syac.g_01209
OG0000288	Syae.g_00419	Syac.g_01240
OG0000289	Syae.g_00433	Syac.g_01254
OG0000290	Syae.g_00796	Syac.g_00881
OG0000291	Syae.g_00794	Syac.g_00883
OG0000292	Syae.g_01705	Syac.g_02487
OG0000293	Syae.g_00938	Syac.g_00754
OG0000294	Syae.g_00937	Syac.g_00755
OG0000295	Syae.g_00893	Syac.g_00796
OG0000296	Syae.g_00891	Syac.g_00798
OG0000297	Syae.g_00645	Syac.g_01475
OG0000298	Syae.g_00646	Syac.g_01476
OG0000299	Syae.g_00680	Syac.g_01503
OG0000300	Syae.g_00686	Syac.g_01510
OG0000301	Syae.g_00687	Syac.g_01511
OG0000302	Syae.g_00691	Syac.g_01512
OG0000303	Syae.g_00700	Syac.g_01520
OG0000304	Syae.g_00706	Syac.g_01526
OG0000305	Syae.g_00791	Syac.g_00886
OG0000306	Syae.g_00277	Syac.g_00810
OG0000307	Syae.g_02290	Syac.g_01924
OG0000308	Syae.g_02288	Syac.g_01926
OG0000309	Syae.g_02283	Syac.g_01931
OG0000310	Syae.g_02687	Syac.g_01607
OG0000311	Syae.g_02682	Syac.g_01611
OG0000312	Syae.g_02664	Syac.g_01619
OG0000313	Syae.g_02647	Syac.g_01638
OG0000314	Syae.g_02618	Syac.g_01665
OG0000315	Syae.g_02609	Syac.g_01675
OG0000316	Syae.g_01118	Syac.g_00601
OG0000317	Syae.g_01160	Syac.g_00552
OG0000318	Syae.g_01164	Syac.g_00543
OG0000319	Syae.g_01181	Syac.g_00525
OG0000320	Syae.g_01183	Syac.g_00523
OG0000321	Syae.g_01184	Syac.g_00522
OG0000322	Syae.g_01185	Syac.g_00521
OG0000323	Syae.g_01200	Syac.g_00506
OG0000324	Syae.g_01049	Syac.g_00648
OG0000325	Syae.g_02033	Syac.g_02190
OG0000326	Syae.g_02040	Syac.g_02183
OG0000327	Syae.g_02080	Syac.g_02137
OG0000328	Syae.g_02081	Syac.g_02136
OG0000329	Syae.g_02099	Syac.g_02119
OG0000330	Syae.g_02100	Syac.g_02118
OG0000331	Syae.g_02101	Syac.g_02117
OG0000332	Syae.g_02116	Syac.g_02103
OG0000333	Syae.g_02119	Syac.g_02100
OG0000334	Syae.g_02128	Syac.g_02090
OG0000335	Syae.g_02132	Syac.g_02085
OG0000336	Syae.g_02136	Syac.g_02081
OG0000337	Syae.g_01879	Syac.g_00199
OG0000338	Syae.g_01876	Syac.g_00196
OG0000339	Syae.g_01869	Syac.g_00190
OG0000340	Syae.g_01855	Syac.g_00178
OG0000341	Syae.g_01853	Syac.g_00176
OG0000342	Syae.g_01852	Syac.g_00175
OG0000343	Syae.g_01848	Syac.g_00174
OG0000344	Syae.g_01843	Syac.g_00170
OG0000345	Syae.g_01833	Syac.g_00160
OG0000346	Syae.g_01828	Syac.g_00155
OG0000347	Syae.g_01805	Syac.g_00129
OG0000348	Syae.g_01781	Syac.g_00070, Syac.g_00074
OG0000349	Syae.g_01763	Syac.g_00050
OG0000350	Syae.g_02047	Syac.g_02176
OG0000351	Syae.g_01684	Syac.g_02468
OG0000352	Syae.g_01685	Syac.g_02469
OG0000353	Syae.g_01711	Syac.g_02493
OG0000354	Syae.g_02351	Syac.g_01862
OG0000355	Syae.g_01713	Syac.g_00001
