Orthogroup	Syae	Prbf
OG0000001	Syae.g_02061	Prbf.g_00068, Prbf.g_00831
OG0000004	Syae.g_00779	Prbf.g_01264
OG0000004	Syae.g_00042, Syae.g_02231	Prbf.g_01570
OG0000005	Syae.g_01143	Prbf.g_00240
OG0000006	Syae.g_02030, Syae.g_02248	Prbf.g_01580
OG0000007	Syae.g_02328	Prbf.g_01780
OG0000007	Syae.g_01163	Prbf.g_00693
OG0000008	Syae.g_00753	Prbf.g_00793
OG0000008	Syae.g_00752	Prbf.g_00792
OG0000009	Syae.g_00561, Syae.g_00171	Prbf.g_00252
OG0000010	Syae.g_02529	Prbf.g_00847, Prbf.g_01056, Prbf.g_01757
OG0000012	Syae.g_00049	Prbf.g_01905
OG0000013	Syae.g_02169, Syae.g_02155, Syae.g_02160	Prbf.g_01665
OG0000014	Syae.g_01930	Prbf.g_01647
OG0000015	Syae.g_00590	Prbf.g_00754, Prbf.g_00708
OG0000016	Syae.g_00681, Syae.g_00233	Prbf.g_00860
OG0000017	Syae.g_02469	Prbf.g_01887
OG0000017	Syae.g_02462	Prbf.g_01880
OG0000018	Syae.g_02625	Prbf.g_00896, Prbf.g_01217
OG0000019	Syae.g_02015	Prbf.g_01588, Prbf.g_00894
OG0000021	Syae.g_01261	Prbf.g_00265
OG0000022	Syae.g_00144	Prbf.g_00248
OG0000023	Syae.g_00439, Syae.g_00930	Prbf.g_00287
OG0000025	Syae.g_00833	Prbf.g_01209
OG0000026	Syae.g_01748	Prbf.g_01354
OG0000027	Syae.g_00103, Syae.g_00814	Prbf.g_00774, Prbf.g_00817
OG0000028	Syae.g_01916	Prbf.g_00794
OG0000029	Syae.g_00136	Prbf.g_00603, Prbf.g_00804, Prbf.g_00762
OG0000030	Syae.g_01817, Syae.g_01816	Prbf.g_00484
OG0000032	Syae.g_02607	Prbf.g_00196
OG0000033	Syae.g_01453	Prbf.g_01503
OG0000034	Syae.g_00975, Syae.g_01424	Prbf.g_00015
OG0000035	Syae.g_02653	Prbf.g_00157
OG0000037	Syae.g_01367	Prbf.g_01437
OG0000038	Syae.g_01571	Prbf.g_00445
OG0000039	Syae.g_00822, Syae.g_02495	Prbf.g_01276
OG0000041	Syae.g_01042	Prbf.g_00646
OG0000042	Syae.g_01821	Prbf.g_00487
OG0000043	Syae.g_00117	Prbf.g_00897
OG0000046	Syae.g_02154, Syae.g_02161, Syae.g_02168	Prbf.g_01666
OG0000047	Syae.g_02184	Prbf.g_01707
OG0000048	Syae.g_01982	Prbf.g_00039, Prbf.g_01611
OG0000050	Syae.g_00122	Prbf.g_00845
OG0000052	Syae.g_01886	Prbf.g_00135
OG0000053	Syae.g_02629	Prbf.g_00748, Prbf.g_00178
OG0000054	Syae.g_00014	Prbf.g_01889
OG0000055	Syae.g_00817	Prbf.g_00869
OG0000057	Syae.g_00782	Prbf.g_01261
OG0000058	Syae.g_01905	Prbf.g_00117
OG0000059	Syae.g_02074	Prbf.g_00606
OG0000061	Syae.g_00921	Prbf.g_00918
OG0000062	Syae.g_01145	Prbf.g_00242
OG0000063	Syae.g_01752	Prbf.g_00808
OG0000064	Syae.g_00012, Syae.g_01631, Syae.g_00194, Syae.g_01137	Prbf.g_01394
OG0000065	Syae.g_00722, Syae.g_01363	Prbf.g_01435
OG0000066	Syae.g_02386	Prbf.g_01820, Prbf.g_00781
OG0000067	Syae.g_00521	Prbf.g_01245
OG0000068	Syae.g_02299	Prbf.g_00095
OG0000069	Syae.g_00458	Prbf.g_01738
OG0000070	Syae.g_00979	Prbf.g_01734
OG0000071	Syae.g_00961	Prbf.g_00026
OG0000072	Syae.g_01455	Prbf.g_01505
OG0000073	Syae.g_02330	Prbf.g_01783
OG0000075	Syae.g_01871	Prbf.g_00522
OG0000076	Syae.g_01829	Prbf.g_00496
OG0000077	Syae.g_01297	Prbf.g_01405
OG0000078	Syae.g_02243	Prbf.g_01578
OG0000079	Syae.g_02011	Prbf.g_01591
OG0000081	Syae.g_02261	Prbf.g_01812
OG0000082	Syae.g_02447	Prbf.g_01867, Prbf.g_00704
OG0000084	Syae.g_02656	Prbf.g_00154
OG0000085	Syae.g_01152	Prbf.g_00701, Prbf.g_00822
OG0000086	Syae.g_01333	Prbf.g_01414
OG0000087	Syae.g_01414	Prbf.g_01469
OG0000088	Syae.g_01449	Prbf.g_01500
OG0000089	Syae.g_02219	Prbf.g_01701
OG0000090	Syae.g_02374	Prbf.g_01814
OG0000091	Syae.g_00082	Prbf.g_00990
OG0000092	Syae.g_00884	Prbf.g_01315
OG0000095	Syae.g_01624	Prbf.g_01170
OG0000097	Syae.g_00683	Prbf.g_00964
OG0000098	Syae.g_02058	Prbf.g_00071
OG0000099	Syae.g_01913, Syae.g_01226	Prbf.g_00118
OG0000100	Syae.g_00489	Prbf.g_00236
OG0000101	Syae.g_02125	Prbf.g_00558
OG0000102	Syae.g_01824	Prbf.g_00491
OG0000103	Syae.g_01694	Prbf.g_00406
OG0000104	Syae.g_01708	Prbf.g_00397
OG0000105	Syae.g_01977	Prbf.g_01614
OG0000106	Syae.g_00272	Prbf.g_00320
OG0000107	Syae.g_02032	Prbf.g_00629
OG0000108	Syae.g_02309	Prbf.g_01763
OG0000109	Syae.g_02324	Prbf.g_01777
OG0000110	Syae.g_02435	Prbf.g_01856
OG0000111	Syae.g_00783	Prbf.g_01260
OG0000112	Syae.g_00351	Prbf.g_01929
OG0000113	Syae.g_00494	Prbf.g_01222
OG0000114	Syae.g_00575	Prbf.g_01320
OG0000115	Syae.g_02631	Prbf.g_00062
OG0000116	Syae.g_00939	Prbf.g_00907
OG0000117	Syae.g_00647	Prbf.g_00945
OG0000118	Syae.g_02479	Prbf.g_00013
OG0000119	Syae.g_00904	Prbf.g_00864, Prbf.g_00254
OG0000120	Syae.g_01912	Prbf.g_00115
OG0000121	Syae.g_02649	Prbf.g_00159
OG0000122	Syae.g_00112	Prbf.g_00055, Prbf.g_00200
OG0000123	Syae.g_02131	Prbf.g_00551
OG0000124	Syae.g_01809	Prbf.g_00478
OG0000125	Syae.g_01573	Prbf.g_00443
OG0000126	Syae.g_01706	Prbf.g_00398
