Orthogroup	Syae	Praq
OG0000001	Syae.g_02061	Praq.g_00160, Praq.g_01394, Praq.g_01393
OG0000004	Syae.g_00779	Praq.g_00824
OG0000004	Syae.g_00042, Syae.g_02231	Praq.g_01770
OG0000005	Syae.g_01179	Praq.g_00484
OG0000005	Syae.g_01143	Praq.g_00370
OG0000006	Syae.g_02030, Syae.g_02248	Praq.g_01761
OG0000007	Syae.g_02328	Praq.g_01105
OG0000007	Syae.g_01163	Praq.g_00497
OG0000008	Syae.g_00753	Praq.g_00071
OG0000009	Syae.g_00561, Syae.g_00171	Praq.g_00017
OG0000009	Syae.g_00100, Syae.g_01361	Praq.g_01898
OG0000010	Syae.g_02529	Praq.g_00552, Praq.g_01626, Praq.g_00525
OG0000011	Syae.g_00268	Praq.g_00110
OG0000012	Syae.g_02397, Syae.g_02562, Syae.g_00049	Praq.g_00979
OG0000013	Syae.g_02169, Syae.g_02155, Syae.g_02160	Praq.g_01675
OG0000014	Syae.g_01930	Praq.g_01696
OG0000015	Syae.g_00590	Praq.g_00065
OG0000017	Syae.g_02462	Praq.g_01004
OG0000018	Syae.g_02625	Praq.g_01314, Praq.g_01425
OG0000019	Syae.g_02015	Praq.g_01753, Praq.g_00649
OG0000021	Syae.g_01261	Praq.g_01179
OG0000022	Syae.g_00144	Praq.g_00635, Praq.g_01296
OG0000023	Syae.g_00439, Syae.g_00930	Praq.g_01184
OG0000025	Syae.g_00833	Praq.g_01432, Praq.g_01671
OG0000026	Syae.g_01748	Praq.g_01234, Praq.g_01633
OG0000027	Syae.g_00103, Syae.g_00814	Praq.g_00521
OG0000028	Syae.g_01916	Praq.g_01682, Praq.g_00103
OG0000029	Syae.g_00136	Praq.g_01168, Praq.g_00627
OG0000030	Syae.g_01817, Syae.g_01816	Praq.g_00772
OG0000033	Syae.g_01453	Praq.g_01833
OG0000034	Syae.g_00975, Syae.g_01424	Praq.g_00143
OG0000035	Syae.g_02653	Praq.g_00294
OG0000037	Syae.g_01367	Praq.g_01894
OG0000038	Syae.g_01571	Praq.g_00716
OG0000039	Syae.g_00822, Syae.g_02495	Praq.g_00815
OG0000041	Syae.g_01042	Praq.g_00451
OG0000042	Syae.g_01821	Praq.g_00770
OG0000043	Syae.g_00117	Praq.g_01469
OG0000044	Syae.g_01067	Praq.g_00058
OG0000045	Syae.g_00732	Praq.g_00567
OG0000047	Syae.g_02184	Praq.g_01137, Praq.g_01672
OG0000048	Syae.g_01982	Praq.g_01169
OG0000053	Syae.g_02629	Praq.g_01246, Praq.g_00314
OG0000054	Syae.g_00014	Praq.g_00996
OG0000055	Syae.g_00817	Praq.g_00650
OG0000057	Syae.g_00782	Praq.g_00827
OG0000058	Syae.g_01905	Praq.g_00218, Praq.g_00271
OG0000059	Syae.g_02074	Praq.g_00927
OG0000061	Syae.g_00921	Praq.g_01333
OG0000063	Syae.g_01752	Praq.g_01237, Praq.g_01236, Praq.g_00075
OG0000065	Syae.g_00722, Syae.g_01363	Praq.g_01896
OG0000066	Syae.g_02386	Praq.g_01063
OG0000067	Syae.g_00521	Praq.g_00670
OG0000068	Syae.g_02299	Praq.g_00175
OG0000069	Syae.g_00458	Praq.g_00056, Praq.g_00018
OG0000070	Syae.g_00979	Praq.g_01107
OG0000071	Syae.g_00961	Praq.g_00133
OG0000072	Syae.g_01455	Praq.g_01831
OG0000073	Syae.g_02330	Praq.g_01103
OG0000075	Syae.g_01871	Praq.g_00739
OG0000076	Syae.g_01829	Praq.g_01243, Praq.g_00763
OG0000077	Syae.g_01297	Praq.g_01925
OG0000078	Syae.g_02243	Praq.g_01763
OG0000081	Syae.g_02261	Praq.g_01071
OG0000082	Syae.g_02447	Praq.g_01018
OG0000084	Syae.g_02656	Praq.g_00290
OG0000086	Syae.g_01333	Praq.g_01915
OG0000087	Syae.g_01414	Praq.g_01864
OG0000088	Syae.g_01449	Praq.g_01836
OG0000089	Syae.g_02219	Praq.g_01188
OG0000090	Syae.g_02374	Praq.g_01069
OG0000091	Syae.g_00082	Praq.g_00960
OG0000092	Syae.g_00884	Praq.g_01495, Praq.g_00725
OG0000094	Syae.g_00430	Praq.g_01600
OG0000095	Syae.g_01624	Praq.g_01619
OG0000097	Syae.g_00683	Praq.g_01374
OG0000098	Syae.g_02058	Praq.g_00157
OG0000099	Syae.g_01913, Syae.g_01226	Praq.g_00216
OG0000100	Syae.g_00489	Praq.g_00368
OG0000101	Syae.g_02125	Praq.g_00879
OG0000102	Syae.g_01824	Praq.g_00768
OG0000103	Syae.g_01694	Praq.g_00414
OG0000104	Syae.g_01708	Praq.g_00422
OG0000105	Syae.g_01977	Praq.g_01729
OG0000106	Syae.g_00272	Praq.g_01173
OG0000107	Syae.g_02032	Praq.g_01158
OG0000108	Syae.g_02309	Praq.g_00531
OG0000109	Syae.g_02324	Praq.g_00545
OG0000110	Syae.g_02435	Praq.g_01028
OG0000111	Syae.g_00783	Praq.g_00828
OG0000112	Syae.g_00351	Praq.g_00638
OG0000113	Syae.g_00494	Praq.g_01420
OG0000114	Syae.g_00575	Praq.g_01490
OG0000115	Syae.g_02631	Praq.g_01278
OG0000116	Syae.g_00939	Praq.g_01323
OG0000117	Syae.g_00647	Praq.g_00084
OG0000118	Syae.g_02479	Praq.g_00145
OG0000119	Syae.g_00904	Praq.g_00171
OG0000120	Syae.g_01912	Praq.g_00208
OG0000121	Syae.g_02649	Praq.g_00296
OG0000122	Syae.g_00112	Praq.g_00334
OG0000123	Syae.g_02131	Praq.g_00873
OG0000124	Syae.g_01809	Praq.g_00682
OG0000125	Syae.g_01573	Praq.g_00718
OG0000126	Syae.g_01706	Praq.g_00421
OG0000128	Syae.g_01724	Praq.g_00437
OG0000129	Syae.g_01562	Praq.g_01259
OG0000130	Syae.g_01284	Praq.g_01934
OG0000131	Syae.g_01428	Praq.g_01857
OG0000132	Syae.g_01447	Praq.g_01838
OG0000133	Syae.g_00356	Praq.g_01680
OG0000134	Syae.g_02222	Praq.g_01187
OG0000135	Syae.g_01608	Praq.g_01160
OG0000136	Syae.g_00989	Praq.g_01116
OG0000137	Syae.g_02530	Praq.g_00526
OG0000138	Syae.g_02325	Praq.g_00546
OG0000139	Syae.g_02380	Praq.g_01065
OG0000140	Syae.g_02383	Praq.g_01064
OG0000141	Syae.g_00016	Praq.g_00995
OG0000142	Syae.g_00074	Praq.g_00967
OG0000143	Syae.g_00078	Praq.g_00963
OG0000144	Syae.g_00261	Praq.g_00781
OG0000145	Syae.g_02331	Praq.g_00637
OG0000146	Syae.g_00350	Praq.g_00639
OG0000147	Syae.g_00349	Praq.g_00640
