Orthogroup	Syae	Syao
OG0000001	Syae.g_02061, Syae.g_01416	Syao.g_00314
OG0000001	Syae.g_01417	Syao.g_02557, Syao.g_02556, Syao.g_01317, Syao.g_02558
OG0000004	Syae.g_00779	Syao.g_02374
OG0000004	Syae.g_00042	Syao.g_01007
OG0000005	Syae.g_01179	Syao.g_01680
OG0000005	Syae.g_01143	Syao.g_01578
OG0000005	Syae.g_00257	Syao.g_01210
OG0000006	Syae.g_00096	Syao.g_00919
OG0000007	Syae.g_02328	Syao.g_00105
OG0000007	Syae.g_01163	Syao.g_01554
OG0000008	Syae.g_00752	Syao.g_01321
OG0000009	Syae.g_00100, Syae.g_01361	Syao.g_02598
OG0000010	Syae.g_02529	Syao.g_02683
OG0000011	Syae.g_00268, Syae.g_00871, Syae.g_00750	Syao.g_01282
OG0000012	Syae.g_02397, Syae.g_02562, Syae.g_00049	Syao.g_01193
OG0000013	Syae.g_02155	Syao.g_01844
OG0000013	Syae.g_02160	Syao.g_01910
OG0000014	Syae.g_01930	Syao.g_02027
OG0000015	Syae.g_01693	Syao.g_02339
OG0000015	Syae.g_00590	Syao.g_00302
OG0000016	Syae.g_01726	Syao.g_01955
OG0000017	Syae.g_02469	Syao.g_01064
OG0000017	Syae.g_02462	Syao.g_00997
OG0000018	Syae.g_02625	Syao.g_00071
OG0000019	Syae.g_02015	Syao.g_02108
OG0000021	Syae.g_01261, Syae.g_00481	Syao.g_01002
OG0000022	Syae.g_00144	Syao.g_01218
OG0000023	Syae.g_00439, Syae.g_00930	Syao.g_01266
OG0000025	Syae.g_00833	Syao.g_00436, Syao.g_00437
OG0000026	Syae.g_01748	Syao.g_02234
OG0000027	Syae.g_00103, Syae.g_00814	Syao.g_00202
OG0000028	Syae.g_01916	Syao.g_02012
OG0000030	Syae.g_01817	Syao.g_02189
OG0000030	Syae.g_01816	Syao.g_02188
OG0000031	Syae.g_01911	Syao.g_02008
OG0000032	Syae.g_02607	Syao.g_00090
OG0000033	Syae.g_01453	Syao.g_02507
OG0000035	Syae.g_02653	Syao.g_01486
OG0000037	Syae.g_01367	Syao.g_00374
OG0000038	Syae.g_01571	Syao.g_02440
OG0000040	Syae.g_01653	Syao.g_00711
OG0000041	Syae.g_00802	Syao.g_01637
OG0000042	Syae.g_01821	Syao.g_00019, Syao.g_01941
OG0000046	Syae.g_02161	Syao.g_01909
OG0000047	Syae.g_02184	Syao.g_01899
OG0000048	Syae.g_01982	Syao.g_02077
OG0000051	Syae.g_00438	Syao.g_01261
OG0000052	Syae.g_01886	Syao.g_01085, Syao.g_02520
OG0000053	Syae.g_02629	Syao.g_00067
