Orthogroup	Syae	Prbi
OG0000001	Syae.g_02061	Prbi.g_01424, Prbi.g_01542, Prbi.g_01763, Prbi.g_01270
OG0000004	Syae.g_00779	Prbi.g_00698
OG0000004	Syae.g_00042, Syae.g_02231	Prbi.g_00256
OG0000005	Syae.g_01179	Prbi.g_01800
OG0000005	Syae.g_01143	Prbi.g_01666
OG0000006	Syae.g_02030, Syae.g_02248	Prbi.g_00265
OG0000007	Syae.g_02328	Prbi.g_00500
OG0000007	Syae.g_01163	Prbi.g_01787
OG0000008	Syae.g_00753	Prbi.g_01764
OG0000008	Syae.g_00752	Prbi.g_01540, Prbi.g_01765, Prbi.g_01539
OG0000009	Syae.g_00561, Syae.g_00171	Prbi.g_01338, Prbi.g_01701
OG0000009	Syae.g_00100, Syae.g_01361	Prbi.g_00112
OG0000010	Syae.g_02529	Prbi.g_01094, Prbi.g_00477
OG0000011	Syae.g_00268	Prbi.g_01361
OG0000012	Syae.g_02397, Syae.g_02562, Syae.g_00049	Prbi.g_00625
OG0000013	Syae.g_02169, Syae.g_02155, Syae.g_02160	Prbi.g_00351
OG0000014	Syae.g_01930	Prbi.g_00330
OG0000014	Syae.g_01850	Prbi.g_01475
OG0000015	Syae.g_00590	Prbi.g_00810, Prbi.g_01304
OG0000016	Syae.g_01726	Prbi.g_00013
OG0000017	Syae.g_02462	Prbi.g_00600
OG0000018	Syae.g_02625	Prbi.g_01188, Prbi.g_00874
OG0000019	Syae.g_02015	Prbi.g_00273, Prbi.g_00827
OG0000021	Syae.g_01261	Prbi.g_01742, Prbi.g_00389
OG0000022	Syae.g_00144	Prbi.g_00805, Prbi.g_01170
OG0000023	Syae.g_00439, Syae.g_00930	Prbi.g_00384
OG0000025	Syae.g_00833	Prbi.g_00882, Prbi.g_00355
OG0000026	Syae.g_01748	Prbi.g_00031, Prbi.g_01101
OG0000027	Syae.g_00103, Syae.g_00814	Prbi.g_00472, Prbi.g_01374
OG0000028	Syae.g_01916	Prbi.g_00344, Prbi.g_01319, Prbi.g_01768
OG0000029	Syae.g_00136	Prbi.g_00399, Prbi.g_00796
OG0000030	Syae.g_01817, Syae.g_01816	Prbi.g_02004
OG0000033	Syae.g_01453	Prbi.g_00193
OG0000034	Syae.g_00975, Syae.g_01424	Prbi.g_01401
OG0000035	Syae.g_02653	Prbi.g_01589, Prbi.g_01591
OG0000037	Syae.g_01367	Prbi.g_00116
OG0000038	Syae.g_01571	Prbi.g_02057
OG0000039	Syae.g_00822, Syae.g_02495	Prbi.g_00689
OG0000041	Syae.g_01042	Prbi.g_01833
OG0000042	Syae.g_01821	Prbi.g_02001
OG0000043	Syae.g_00117	Prbi.g_00918, Prbi.g_01334
OG0000044	Syae.g_01067	Prbi.g_01744, Prbi.g_01760
OG0000047	Syae.g_02184	Prbi.g_00354
OG0000048	Syae.g_01982	Prbi.g_00398
OG0000051	Syae.g_00438	Prbi.g_01364
OG0000052	Syae.g_01886	Prbi.g_01478
OG0000053	Syae.g_02629	Prbi.g_01611
OG0000054	Syae.g_00014	Prbi.g_00608
OG0000055	Syae.g_00817	Prbi.g_00828
OG0000057	Syae.g_00782	Prbi.g_00702
OG0000058	Syae.g_01905	Prbi.g_01461
OG0000059	Syae.g_02074	Prbi.g_01873, Prbi.g_01717
OG0000061	Syae.g_00921	Prbi.g_01207
OG0000063	Syae.g_01752	Prbi.g_00033
OG0000065	Syae.g_00722, Syae.g_01363	Prbi.g_00114
OG0000066	Syae.g_02386	Prbi.g_00542
OG0000067	Syae.g_00521	Prbi.g_00847
OG0000068	Syae.g_02299	Prbi.g_01439
OG0000069	Syae.g_00458	Prbi.g_01702
OG0000070	Syae.g_00979	Prbi.g_00451
OG0000071	Syae.g_00961	Prbi.g_01391
OG0000072	Syae.g_01455	Prbi.g_00195
OG0000073	Syae.g_02330	Prbi.g_00502
OG0000075	Syae.g_01871	Prbi.g_01970
OG0000076	Syae.g_01829	Prbi.g_01994
OG0000077	Syae.g_01297	Prbi.g_00085
OG0000078	Syae.g_02243	Prbi.g_00263
OG0000079	Syae.g_02011	Prbi.g_00276
OG0000081	Syae.g_02261	Prbi.g_00534
OG0000082	Syae.g_02447	Prbi.g_00587
OG0000084	Syae.g_02656	Prbi.g_01585
OG0000085	Syae.g_01152	Prbi.g_01780
OG0000086	Syae.g_01333	Prbi.g_00095
OG0000087	Syae.g_01414	Prbi.g_00147
OG0000088	Syae.g_01449	Prbi.g_00190
OG0000089	Syae.g_02219	Prbi.g_00380
OG0000090	Syae.g_02374	Prbi.g_00536
OG0000091	Syae.g_00082	Prbi.g_00645
OG0000092	Syae.g_00884	Prbi.g_00956
OG0000094	Syae.g_00430	Prbi.g_01067
OG0000095	Syae.g_01624	Prbi.g_01086
OG0000097	Syae.g_00683	Prbi.g_01248
OG0000098	Syae.g_02058	Prbi.g_01421
OG0000099	Syae.g_01913, Syae.g_01226	Prbi.g_01462
OG0000100	Syae.g_00489	Prbi.g_01664
OG0000101	Syae.g_02125	Prbi.g_01938
OG0000102	Syae.g_01824	Prbi.g_01999
OG0000103	Syae.g_01694	Prbi.g_02091
OG0000104	Syae.g_01708	Prbi.g_02099
OG0000105	Syae.g_01977	Prbi.g_00298
OG0000106	Syae.g_00272	Prbi.g_00394
OG0000107	Syae.g_02032	Prbi.g_00409
OG0000108	Syae.g_02309	Prbi.g_00483
OG0000109	Syae.g_02324	Prbi.g_00497
OG0000110	Syae.g_02435	Prbi.g_00577
OG0000111	Syae.g_00783	Prbi.g_00703
OG0000112	Syae.g_00351	Prbi.g_00811
OG0000113	Syae.g_00494	Prbi.g_00869
OG0000114	Syae.g_00575	Prbi.g_00951
OG0000115	Syae.g_02631	Prbi.g_01148
OG0000116	Syae.g_00939	Prbi.g_01197
OG0000117	Syae.g_00647	Prbi.g_01330
OG0000118	Syae.g_02479	Prbi.g_01403
OG0000119	Syae.g_00904	Prbi.g_01435
OG0000120	Syae.g_01912	Prbi.g_01460
OG0000121	Syae.g_02649	Prbi.g_01593
OG0000122	Syae.g_00112	Prbi.g_01630
OG0000123	Syae.g_02131	Prbi.g_01945
OG0000124	Syae.g_01809	Prbi.g_02010
OG0000125	Syae.g_01573	Prbi.g_02059
OG0000126	Syae.g_01706	Prbi.g_02098
OG0000128	Syae.g_01724	Prbi.g_00011
OG0000129	Syae.g_01562	Prbi.g_00053
OG0000130	Syae.g_01284	Prbi.g_00076
OG0000131	Syae.g_01428	Prbi.g_00169
OG0000132	Syae.g_01447	Prbi.g_00188
OG0000133	Syae.g_00356	Prbi.g_00346
OG0000134	Syae.g_02222	Prbi.g_00381
OG0000135	Syae.g_01608	Prbi.g_00407
OG0000136	Syae.g_00989	Prbi.g_00442
OG0000137	Syae.g_02530	Prbi.g_00478
OG0000138	Syae.g_02325	Prbi.g_00498
OG0000139	Syae.g_02380	Prbi.g_00540
OG0000140	Syae.g_02383	Prbi.g_00541
OG0000141	Syae.g_00016	Prbi.g_00609
OG0000142	Syae.g_00074	Prbi.g_00638
OG0000143	Syae.g_00078	Prbi.g_00642
OG0000144	Syae.g_00261	Prbi.g_00655
OG0000145	Syae.g_02331	Prbi.g_00807
OG0000146	Syae.g_00350	Prbi.g_00812
OG0000147	Syae.g_00349	Prbi.g_00813
OG0000148	Syae.g_00500	Prbi.g_00863
OG0000149	Syae.g_00847	Prbi.g_00894
OG0000150	Syae.g_00017	Prbi.g_00902
OG0000151	Syae.g_00563	Prbi.g_00961
OG0000152	Syae.g_00360	Prbi.g_01009
OG0000153	Syae.g_00394	Prbi.g_01028
OG0000154	Syae.g_00420	Prbi.g_01060
OG0000155	Syae.g_00885	Prbi.g_01227
OG0000156	Syae.g_00945	Prbi.g_01380
OG0000157	Syae.g_00946	Prbi.g_01381
OG0000158	Syae.g_01858	Prbi.g_01489
