Orthogroup	Syae	Syam
OG0000001	Syae.g_02061	Syam.g_00946
OG0000001	Syae.g_01416	Syam.g_02177
OG0000001	Syae.g_02055	Syam.g_00929
OG0000004	Syae.g_00779	Syam.g_00787
OG0000004	Syae.g_00042	Syam.g_01499
OG0000004	Syae.g_02231	Syam.g_00501
OG0000005	Syae.g_01179	Syam.g_02004
OG0000005	Syae.g_01143	Syam.g_01970
OG0000005	Syae.g_00257	Syam.g_01029
OG0000006	Syae.g_02030, Syae.g_02248	Syam.g_00286, Syam.g_00518
OG0000006	Syae.g_00096	Syam.g_01446
OG0000007	Syae.g_02328	Syam.g_00602
OG0000007	Syae.g_01163	Syam.g_01990
OG0000008	Syae.g_00753	Syam.g_00810
OG0000008	Syae.g_00752	Syam.g_00811
OG0000009	Syae.g_01361	Syam.g_02119
OG0000010	Syae.g_02529	Syam.g_01669
OG0000011	Syae.g_00750	Syam.g_00814
OG0000012	Syae.g_02397, Syae.g_02562	Syam.g_00994
OG0000012	Syae.g_00049	Syam.g_01492
OG0000013	Syae.g_02169	Syam.g_00421
OG0000013	Syae.g_02155	Syam.g_00404
OG0000013	Syae.g_02160	Syam.g_00409
OG0000014	Syae.g_01930	Syam.g_00191
OG0000015	Syae.g_00590	Syam.g_01218
OG0000016	Syae.g_01726	Syam.g_00014
OG0000016	Syae.g_00681	Syam.g_00876
OG0000016	Syae.g_00233	Syam.g_01011
OG0000017	Syae.g_02469	Syam.g_01708
OG0000017	Syae.g_02462	Syam.g_01715
OG0000018	Syae.g_02625	Syam.g_01640
OG0000019	Syae.g_02015	Syam.g_00274
OG0000022	Syae.g_00144	Syam.g_01418
OG0000023	Syae.g_00439	Syam.g_01217, Syam.g_01553, Syam.g_01583, Syam.g_01075
OG0000023	Syae.g_00930	Syam.g_01943
OG0000025	Syae.g_00833	Syam.g_00740
OG0000026	Syae.g_01748	Syam.g_00035
OG0000027	Syae.g_00103	Syam.g_01442
OG0000027	Syae.g_00814	Syam.g_00989
OG0000028	Syae.g_01916	Syam.g_00176
OG0000029	Syae.g_00136	Syam.g_01390, Syam.g_01055
OG0000030	Syae.g_01817	Syam.g_00104
OG0000030	Syae.g_01816	Syam.g_00103
OG0000031	Syae.g_01911	Syam.g_00171
OG0000032	Syae.g_02607	Syam.g_01660
OG0000033	Syae.g_01453	Syam.g_02217
OG0000034	Syae.g_00975, Syae.g_01424	Syam.g_02185, Syam.g_01843, Syam.g_02187
OG0000035	Syae.g_02653	Syam.g_01612
OG0000037	Syae.g_01367	Syam.g_02125
OG0000038	Syae.g_01571	Syam.g_02317
OG0000039	Syae.g_00822	Syam.g_00749
OG0000040	Syae.g_01653	Syam.g_02390
OG0000041	Syae.g_01042	Syam.g_01899
OG0000041	Syae.g_00802	Syam.g_00765
OG0000042	Syae.g_01821	Syam.g_00107
OG0000043	Syae.g_00117	Syam.g_01041
OG0000044	Syae.g_01067	Syam.g_01562
OG0000046	Syae.g_02154	Syam.g_00403
OG0000046	Syae.g_02161	Syam.g_00410
OG0000046	Syae.g_02168	Syam.g_00420
OG0000047	Syae.g_02184	Syam.g_00434
OG0000048	Syae.g_01982	Syam.g_00243
OG0000052	Syae.g_01886, Syae.g_01224	Syam.g_00161
OG0000053	Syae.g_02629	Syam.g_01636
OG0000054	Syae.g_00014	Syam.g_01515
OG0000055	Syae.g_00817	Syam.g_00754
OG0000057	Syae.g_00782	Syam.g_00784
OG0000058	Syae.g_01905	Syam.g_00169
OG0000059	Syae.g_02074	Syam.g_00320
OG0000060	Syae.g_00649	Syam.g_00902
OG0000061	Syae.g_00921	Syam.g_01795
OG0000062	Syae.g_01145	Syam.g_01972
OG0000063	Syae.g_01752	Syam.g_00039
OG0000064	Syae.g_01631	Syam.g_02363
OG0000064	Syae.g_00194	Syam.g_00978
OG0000064	Syae.g_01137	Syam.g_01964
OG0000065	Syae.g_01363	Syam.g_02121
OG0000066	Syae.g_02386	Syam.g_00552, Syam.g_00662
OG0000067	Syae.g_00521	Syam.g_01290
OG0000068	Syae.g_02299	Syam.g_00575
OG0000070	Syae.g_00979	Syam.g_01847
OG0000071	Syae.g_00961	Syam.g_01830
OG0000072	Syae.g_01455	Syam.g_02219
OG0000073	Syae.g_02330	Syam.g_00604
OG0000074	Syae.g_00719	Syam.g_00533
OG0000075	Syae.g_01871	Syam.g_00148
OG0000076	Syae.g_01829	Syam.g_00115
OG0000077	Syae.g_01297	Syam.g_02074
OG0000078	Syae.g_02243	Syam.g_00514
OG0000079	Syae.g_02011	Syam.g_00270
OG0000081	Syae.g_02261	Syam.g_00520
OG0000082	Syae.g_02447	Syam.g_01730
OG0000084	Syae.g_00857	Syam.g_00441
OG0000085	Syae.g_01152	Syam.g_01979
OG0000086	Syae.g_01333	Syam.g_02092
OG0000087	Syae.g_01414	Syam.g_02175
OG0000088	Syae.g_01449	Syam.g_02213
OG0000089	Syae.g_02219	Syam.g_00489
OG0000090	Syae.g_02374	Syam.g_00651
OG0000091	Syae.g_00082	Syam.g_01460
OG0000093	Syae.g_00537	Syam.g_01305
OG0000094	Syae.g_00430	Syam.g_01198
OG0000095	Syae.g_00793	Syam.g_00774
OG0000097	Syae.g_00683	Syam.g_00874
OG0000098	Syae.g_02058	Syam.g_00944
OG0000099	Syae.g_01913	Syam.g_00173
OG0000100	Syae.g_00489	Syam.g_01259
OG0000101	Syae.g_02125	Syam.g_00371
OG0000102	Syae.g_01824	Syam.g_00110
OG0000103	Syae.g_01694	Syam.g_02428
OG0000104	Syae.g_01708	Syam.g_02442
OG0000105	Syae.g_01977	Syam.g_00238
OG0000106	Syae.g_00272	Syam.g_01039
OG0000107	Syae.g_02032	Syam.g_00288
OG0000108	Syae.g_02309	Syam.g_00583
OG0000109	Syae.g_02324	Syam.g_00598
OG0000110	Syae.g_02435	Syam.g_01743
OG0000111	Syae.g_00783	Syam.g_00783
OG0000112	Syae.g_00351	Syam.g_01115
OG0000113	Syae.g_00494	Syam.g_01264
OG0000114	Syae.g_00575	Syam.g_01349
OG0000115	Syae.g_02631	Syam.g_01634
OG0000116	Syae.g_00939	Syam.g_01807
OG0000117	Syae.g_00647	Syam.g_00904
OG0000118	Syae.g_02479	Syam.g_01698
OG0000120	Syae.g_01912	Syam.g_00172
OG0000121	Syae.g_02649	Syam.g_01615
OG0000122	Syae.g_00112	Syam.g_01436
OG0000123	Syae.g_02131	Syam.g_00379
OG0000124	Syae.g_01809	Syam.g_00096
OG0000125	Syae.g_01573	Syam.g_02319
OG0000126	Syae.g_01706	Syam.g_02440
OG0000128	Syae.g_01724	Syam.g_00012
OG0000129	Syae.g_01562	Syam.g_02307
OG0000130	Syae.g_01284	Syam.g_02062
OG0000131	Syae.g_01428	Syam.g_02191
OG0000132	Syae.g_01447	Syam.g_02211
OG0000133	Syae.g_00356	Syam.g_01120
OG0000134	Syae.g_02222	Syam.g_00492
OG0000135	Syae.g_01608	Syam.g_02347
OG0000136	Syae.g_00989	Syam.g_01857
OG0000137	Syae.g_02530	Syam.g_01668
OG0000138	Syae.g_02325	Syam.g_00599
OG0000139	Syae.g_02380	Syam.g_00657
OG0000140	Syae.g_02383	Syam.g_00659
OG0000141	Syae.g_00016	Syam.g_01514
OG0000142	Syae.g_00074	Syam.g_01468
OG0000143	Syae.g_00078	Syam.g_01464
OG0000144	Syae.g_00261	Syam.g_01032
OG0000145	Syae.g_02331	Syam.g_00605
OG0000146	Syae.g_00350	Syam.g_01114
OG0000147	Syae.g_00349	Syam.g_01113
OG0000148	Syae.g_00500	Syam.g_01270
OG0000149	Syae.g_00847	Syam.g_00725
OG0000150	Syae.g_00017	Syam.g_00660
OG0000151	Syae.g_00563	Syam.g_01338
OG0000152	Syae.g_00360	Syam.g_01124
OG0000153	Syae.g_00394	Syam.g_01160
OG0000154	Syae.g_00420	Syam.g_01187
OG0000155	Syae.g_00885	Syam.g_01763
OG0000156	Syae.g_00945	Syam.g_01814
OG0000157	Syae.g_00946	Syam.g_01815
OG0000158	Syae.g_01858	Syam.g_00139
OG0000160	Syae.g_02650	Syam.g_01614
OG0000161	Syae.g_02644	Syam.g_01620
OG0000162	Syae.g_02638	Syam.g_01627
OG0000163	Syae.g_01092	Syam.g_01927
OG0000164	Syae.g_01198	Syam.g_02023
OG0000165	Syae.g_01021	Syam.g_01879, Syam.g_01878
OG0000166	Syae.g_02085	Syam.g_00330
OG0000167	Syae.g_01874	Syam.g_00151
OG0000168	Syae.g_01856	Syam.g_00138
OG0000169	Syae.g_01841	Syam.g_00127
OG0000170	Syae.g_01834	Syam.g_00120
OG0000171	Syae.g_01810	Syam.g_00097
OG0000172	Syae.g_01788	Syam.g_00075
OG0000173	Syae.g_01770	Syam.g_00057
OG0000174	Syae.g_01610	Syam.g_02349
OG0000175	Syae.g_01679	Syam.g_02417
OG0000176	Syae.g_01716	Syam.g_00004
OG0000177	Syae.g_01717	Syam.g_00005
OG0000178	Syae.g_01718	Syam.g_00006
OG0000179	Syae.g_01733	Syam.g_00021
OG0000180	Syae.g_01734	Syam.g_00022
OG0000181	Syae.g_01735	Syam.g_00023
OG0000182	Syae.g_01736	Syam.g_00024
OG0000183	Syae.g_01740	Syam.g_00028
OG0000184	Syae.g_01554	Syam.g_02298
OG0000185	Syae.g_01551	Syam.g_02295
OG0000186	Syae.g_01279	Syam.g_02058
OG0000187	Syae.g_01280	Syam.g_02059
OG0000188	Syae.g_01323	Syam.g_02081
OG0000189	Syae.g_01350	Syam.g_02108
OG0000190	Syae.g_01352	Syam.g_02110
OG0000191	Syae.g_01384	Syam.g_02142
OG0000192	Syae.g_01390	Syam.g_02148
OG0000193	Syae.g_01429	Syam.g_02192
OG0000194	Syae.g_01432	Syam.g_02195
OG0000195	Syae.g_01434	Syam.g_02197
OG0000196	Syae.g_01444	Syam.g_02208
OG0000197	Syae.g_01445	Syam.g_02209
OG0000198	Syae.g_01446	Syam.g_02210
OG0000199	Syae.g_01454	Syam.g_02218
OG0000200	Syae.g_01471	Syam.g_02234
OG0000201	Syae.g_01487	Syam.g_02248
OG0000202	Syae.g_01488	Syam.g_02249
OG0000203	Syae.g_01489	Syam.g_02250
OG0000204	Syae.g_01490	Syam.g_02251
OG0000205	Syae.g_01497	Syam.g_02258
OG0000206	Syae.g_01504	Syam.g_02264
OG0000207	Syae.g_01506	Syam.g_02266
OG0000208	Syae.g_01507	Syam.g_02267
OG0000209	Syae.g_01528	Syam.g_02278
OG0000210	Syae.g_01529	Syam.g_02279
OG0000211	Syae.g_02234	Syam.g_00504
OG0000212	Syae.g_02244	Syam.g_00515
OG0000213	Syae.g_02003	Syam.g_00263
