Orthogroup	Syae	Prae
OG0000001	Syae.g_02061	Prae.g_01353, Prae.g_01236, Prae.g_01223, Prae.g_01224
OG0000004	Syae.g_00779	Prae.g_00669
OG0000004	Syae.g_00042, Syae.g_02231	Prae.g_00235
OG0000005	Syae.g_01179	Prae.g_01636
OG0000005	Syae.g_01143	Prae.g_01535
OG0000006	Syae.g_02030, Syae.g_02248	Prae.g_00244
OG0000007	Syae.g_02328	Prae.g_00471
OG0000007	Syae.g_01163	Prae.g_01623
OG0000009	Syae.g_00561, Syae.g_00171	Prae.g_01270, Prae.g_01572
OG0000010	Syae.g_02529	Prae.g_01048, Prae.g_00448
OG0000011	Syae.g_00268	Prae.g_01291
OG0000012	Syae.g_02397, Syae.g_02562, Syae.g_00049	Prae.g_00597
OG0000013	Syae.g_02169, Syae.g_02155, Syae.g_02160	Prae.g_00328
OG0000014	Syae.g_01930	Prae.g_00307
OG0000014	Syae.g_01850	Prae.g_01401
OG0000015	Syae.g_00590	Prae.g_00769, Prae.g_01235
OG0000016	Syae.g_01726	Prae.g_00013
OG0000017	Syae.g_02462	Prae.g_00572
OG0000018	Syae.g_02625	Prae.g_01144, Prae.g_00833
OG0000019	Syae.g_02015	Prae.g_00252, Prae.g_00786
OG0000021	Syae.g_01261	Prae.g_01600, Prae.g_00364
OG0000022	Syae.g_00144	Prae.g_00764, Prae.g_01125
OG0000023	Syae.g_00439, Syae.g_00930	Prae.g_00359
OG0000025	Syae.g_00833	Prae.g_00840, Prae.g_00332
OG0000026	Syae.g_01748	Prae.g_00031, Prae.g_01056
OG0000027	Syae.g_00103, Syae.g_00814	Prae.g_00444, Prae.g_01311
OG0000028	Syae.g_01916	Prae.g_00321
OG0000029	Syae.g_00136	Prae.g_00375, Prae.g_00755
OG0000030	Syae.g_01817, Syae.g_01816	Prae.g_01825
OG0000033	Syae.g_01453	Prae.g_00172
OG0000034	Syae.g_00975, Syae.g_01424	Prae.g_01339
OG0000035	Syae.g_02653	Prae.g_01459
OG0000037	Syae.g_01367	Prae.g_00108
OG0000038	Syae.g_01571	Prae.g_01865
OG0000039	Syae.g_00822, Syae.g_02495	Prae.g_00660
OG0000041	Syae.g_01042	Prae.g_01669
OG0000042	Syae.g_01821	Prae.g_01822
OG0000043	Syae.g_00117	Prae.g_00876
OG0000047	Syae.g_02184	Prae.g_00331
OG0000048	Syae.g_01982	Prae.g_00374
OG0000051	Syae.g_00438	Prae.g_01294
OG0000052	Syae.g_01886	Prae.g_01416
OG0000053	Syae.g_02629	Prae.g_01479
OG0000054	Syae.g_00014	Prae.g_00580
OG0000055	Syae.g_00817	Prae.g_00787
OG0000057	Syae.g_00782	Prae.g_00672
OG0000058	Syae.g_01905	Prae.g_01417, Prae.g_01406
OG0000059	Syae.g_02074	Prae.g_01710
OG0000060	Syae.g_00649	Prae.g_01238
OG0000061	Syae.g_00921	Prae.g_01422, Prae.g_01163
OG0000063	Syae.g_01752	Prae.g_00033
OG0000065	Syae.g_00722, Syae.g_01363	Prae.g_00106
OG0000066	Syae.g_02386	Prae.g_00514
OG0000067	Syae.g_00521	Prae.g_00806
OG0000068	Syae.g_02299	Prae.g_01368
OG0000069	Syae.g_00458	Prae.g_01573
OG0000070	Syae.g_00979	Prae.g_00424
OG0000071	Syae.g_00961	Prae.g_01329
OG0000072	Syae.g_01455	Prae.g_00174
OG0000073	Syae.g_02330	Prae.g_00473
OG0000075	Syae.g_01871	Prae.g_01791
OG0000076	Syae.g_01829	Prae.g_01815
OG0000077	Syae.g_01297	Prae.g_00078
OG0000078	Syae.g_02243	Prae.g_00242
OG0000079	Syae.g_02011	Prae.g_00255
OG0000081	Syae.g_02261	Prae.g_00505
OG0000082	Syae.g_02447	Prae.g_00559
OG0000084	Syae.g_02656	Prae.g_01455
OG0000085	Syae.g_01152	Prae.g_01616
OG0000086	Syae.g_01333	Prae.g_00088
OG0000087	Syae.g_01414	Prae.g_00139
OG0000088	Syae.g_01449	Prae.g_00169
OG0000089	Syae.g_02219	Prae.g_00355
OG0000090	Syae.g_02374	Prae.g_00508
OG0000091	Syae.g_00082	Prae.g_00616
OG0000092	Syae.g_00884	Prae.g_00913
OG0000094	Syae.g_00430	Prae.g_01021
