Orthogroup	Syae	Praa
OG0000001	Syae.g_02061	Praa.g_01351, Praa.g_01220, Praa.g_01222
OG0000004	Syae.g_00779	Praa.g_00695
OG0000004	Syae.g_00042, Syae.g_02231	Praa.g_00232
OG0000005	Syae.g_01179	Praa.g_01648
OG0000005	Syae.g_01143	Praa.g_01553
OG0000006	Syae.g_02030, Syae.g_02248	Praa.g_00241, Praa.g_01245
OG0000007	Syae.g_02328	Praa.g_00497
OG0000007	Syae.g_01163	Praa.g_01635
OG0000008	Syae.g_00753	Praa.g_01241
OG0000009	Syae.g_00561, Syae.g_00171	Praa.g_01264, Praa.g_01589
OG0000009	Syae.g_00100, Syae.g_01361	Praa.g_00105
OG0000010	Syae.g_02529	Praa.g_01047, Praa.g_00474
OG0000011	Syae.g_00268	Praa.g_01288
OG0000012	Syae.g_02397, Syae.g_02562, Syae.g_00049	Praa.g_00623
OG0000013	Syae.g_02169, Syae.g_02155, Syae.g_02160	Praa.g_00327
OG0000014	Syae.g_01930	Praa.g_00306
OG0000014	Syae.g_01850	Praa.g_01409
OG0000015	Syae.g_00590	Praa.g_00765
OG0000016	Syae.g_01726	Praa.g_00013
OG0000017	Syae.g_02462	Praa.g_00598
OG0000018	Syae.g_02625	Praa.g_01141, Praa.g_00831
OG0000019	Syae.g_02015	Praa.g_00249, Praa.g_00782
OG0000021	Syae.g_01261	Praa.g_01623, Praa.g_00364
OG0000022	Syae.g_00144	Praa.g_00763, Praa.g_01124
OG0000023	Syae.g_00439, Syae.g_00930	Praa.g_00359
OG0000025	Syae.g_00833	Praa.g_00839, Praa.g_00331
OG0000026	Syae.g_01748	Praa.g_00031, Praa.g_01054
OG0000027	Syae.g_00103, Syae.g_00814	Praa.g_00470, Praa.g_01301
OG0000028	Syae.g_01916	Praa.g_00320, Praa.g_01248
OG0000029	Syae.g_00136	Praa.g_00374, Praa.g_00754
OG0000030	Syae.g_01817, Syae.g_01816	Praa.g_01842
OG0000033	Syae.g_01453	Praa.g_00169
OG0000034	Syae.g_00975, Syae.g_01424	Praa.g_01328
OG0000035	Syae.g_02653	Praa.g_01476
OG0000037	Syae.g_01367	Praa.g_00109
OG0000038	Syae.g_01571	Praa.g_01883
OG0000039	Syae.g_00822, Syae.g_02495	Praa.g_00686
OG0000041	Syae.g_01042	Praa.g_01683
OG0000042	Syae.g_01821	Praa.g_01839
OG0000043	Syae.g_00117	Praa.g_00876, Praa.g_01259
OG0000047	Syae.g_02184	Praa.g_00330
OG0000048	Syae.g_01982	Praa.g_00373
OG0000051	Syae.g_00438	Praa.g_01291
OG0000052	Syae.g_01886	Praa.g_01447, Praa.g_01407
OG0000053	Syae.g_02629	Praa.g_01496
OG0000054	Syae.g_00014	Praa.g_00606
OG0000055	Syae.g_00817	Praa.g_00783
