Orthogroup	Syae	Prbg
OG0000001	Syae.g_02061	Prbg.g_00502, Prbg.g_01069
OG0000004	Syae.g_00779	Prbg.g_01140
OG0000004	Syae.g_00042, Syae.g_02231	Prbg.g_01014
OG0000005	Syae.g_01143	Prbg.g_00674
OG0000006	Syae.g_02030, Syae.g_02248	Prbg.g_01024
OG0000007	Syae.g_02328	Prbg.g_00216
OG0000007	Syae.g_01163	Prbg.g_01650
OG0000008	Syae.g_00753	Prbg.g_00744
OG0000008	Syae.g_00752	Prbg.g_00745
OG0000009	Syae.g_00561, Syae.g_00171	Prbg.g_00686
OG0000010	Syae.g_02529	Prbg.g_01053, Prbg.g_01348, Prbg.g_00193
OG0000012	Syae.g_00049	Prbg.g_00342
OG0000013	Syae.g_02169, Syae.g_02155, Syae.g_02160	Prbg.g_00104
OG0000014	Syae.g_01930	Prbg.g_00086
OG0000015	Syae.g_00590	Prbg.g_01589, Prbg.g_01635
OG0000016	Syae.g_00681, Syae.g_00233	Prbg.g_01544
OG0000017	Syae.g_02469	Prbg.g_00324
OG0000017	Syae.g_02462	Prbg.g_00317
OG0000018	Syae.g_02625	Prbg.g_01508, Prbg.g_01187
OG0000019	Syae.g_02015	Prbg.g_01032, Prbg.g_01510
OG0000021	Syae.g_01261	Prbg.g_00699
OG0000022	Syae.g_00144	Prbg.g_00682
OG0000023	Syae.g_00439, Syae.g_00930	Prbg.g_00013
OG0000025	Syae.g_00833	Prbg.g_01195
OG0000026	Syae.g_01748	Prbg.g_00842
OG0000027	Syae.g_00103, Syae.g_00814	Prbg.g_01569, Prbg.g_00721
OG0000028	Syae.g_01916	Prbg.g_00743
OG0000029	Syae.g_00136	Prbg.g_01740, Prbg.g_00734, Prbg.g_01581
OG0000030	Syae.g_01817, Syae.g_01816	Prbg.g_01858
OG0000032	Syae.g_02607	Prbg.g_00630
OG0000033	Syae.g_01453	Prbg.g_00947
OG0000034	Syae.g_00975, Syae.g_01424	Prbg.g_00488
OG0000035	Syae.g_02653	Prbg.g_00591
OG0000037	Syae.g_01367	Prbg.g_00881
OG0000038	Syae.g_01571	Prbg.g_01898
OG0000039	Syae.g_00822, Syae.g_02495	Prbg.g_01128
OG0000041	Syae.g_01042	Prbg.g_01697
OG0000042	Syae.g_01821	Prbg.g_01855
OG0000043	Syae.g_00117	Prbg.g_01507
OG0000046	Syae.g_02154, Syae.g_02161, Syae.g_02168	Prbg.g_00105
OG0000047	Syae.g_02184	Prbg.g_00143
OG0000048	Syae.g_01982	Prbg.g_00464, Prbg.g_00050
OG0000050	Syae.g_00122	Prbg.g_01055
OG0000052	Syae.g_01886	Prbg.g_00569
OG0000053	Syae.g_02629	Prbg.g_01595, Prbg.g_00612
OG0000054	Syae.g_00014	Prbg.g_00326
OG0000055	Syae.g_00817	Prbg.g_01535
OG0000057	Syae.g_00782	Prbg.g_01143
OG0000058	Syae.g_01905	Prbg.g_00551
OG0000059	Syae.g_02074	Prbg.g_01737
OG0000061	Syae.g_00921	Prbg.g_01486
OG0000062	Syae.g_01145	Prbg.g_00676
OG0000063	Syae.g_01752	Prbg.g_00730
OG0000064	Syae.g_00012, Syae.g_01631, Syae.g_00194, Syae.g_01137	Prbg.g_00802
OG0000065	Syae.g_00722, Syae.g_01363	Prbg.g_00879
OG0000066	Syae.g_02386	Prbg.g_00256
OG0000067	Syae.g_00521	Prbg.g_01159
OG0000068	Syae.g_02299	Prbg.g_00529
OG0000069	Syae.g_00458	Prbg.g_00174
OG0000070	Syae.g_00979	Prbg.g_00170
OG0000071	Syae.g_00961	Prbg.g_00477
OG0000072	Syae.g_01455	Prbg.g_00949
OG0000073	Syae.g_02330	Prbg.g_00219
OG0000075	Syae.g_01871	Prbg.g_01821
OG0000076	Syae.g_01829	Prbg.g_01847
OG0000077	Syae.g_01297	Prbg.g_00791
OG0000078	Syae.g_02243	Prbg.g_01022
OG0000079	Syae.g_02011	Prbg.g_01035
OG0000081	Syae.g_02261	Prbg.g_00248
OG0000082	Syae.g_02447	Prbg.g_00304, Prbg.g_01639
OG0000084	Syae.g_02656	Prbg.g_00588
OG0000085	Syae.g_01152	Prbg.g_01642, Prbg.g_00716
OG0000086	Syae.g_01333	Prbg.g_00782
OG0000087	Syae.g_01414	Prbg.g_00913
OG0000088	Syae.g_01449	Prbg.g_00944
OG0000089	Syae.g_02219	Prbg.g_00137
OG0000090	Syae.g_02374	Prbg.g_00250
OG0000091	Syae.g_00082	Prbg.g_01414
OG0000092	Syae.g_00884	Prbg.g_01089
OG0000095	Syae.g_01624	Prbg.g_01234
OG0000097	Syae.g_00683	Prbg.g_01440
OG0000098	Syae.g_02058	Prbg.g_00505
OG0000099	Syae.g_01913, Syae.g_01226	Prbg.g_00552
OG0000100	Syae.g_00489	Prbg.g_00670
OG0000101	Syae.g_02125	Prbg.g_01785
OG0000102	Syae.g_01824	Prbg.g_01852
OG0000103	Syae.g_01694	Prbg.g_01937
OG0000104	Syae.g_01708	Prbg.g_00763
OG0000105	Syae.g_01977	Prbg.g_00053
OG0000106	Syae.g_00272	Prbg.g_00388
OG0000107	Syae.g_02032	Prbg.g_01714
OG0000108	Syae.g_02309	Prbg.g_00199
OG0000109	Syae.g_02324	Prbg.g_00213
OG0000110	Syae.g_02435	Prbg.g_00293
OG0000111	Syae.g_00783	Prbg.g_01144
OG0000112	Syae.g_00351	Prbg.g_00366
OG0000113	Syae.g_00494	Prbg.g_01182
OG0000114	Syae.g_00575	Prbg.g_01084
OG0000115	Syae.g_02631	Prbg.g_01555
OG0000116	Syae.g_00939	Prbg.g_01497
OG0000117	Syae.g_00647	Prbg.g_01459
OG0000118	Syae.g_02479	Prbg.g_00490
OG0000119	Syae.g_00904	Prbg.g_01540, Prbg.g_00688
OG0000120	Syae.g_01912	Prbg.g_00549
OG0000121	Syae.g_02649	Prbg.g_00593
