Orthogroup	Syae	Prar
OG0000001	Syae.g_02061	Prar.g_00926, Prar.g_01202, Prar.g_01203
OG0000004	Syae.g_00779	Prar.g_01525
OG0000004	Syae.g_00042, Syae.g_02231	Prar.g_00095
OG0000005	Syae.g_01179	Prar.g_01130
OG0000005	Syae.g_01143	Prar.g_00771
OG0000006	Syae.g_02030, Syae.g_02248	Prar.g_00086
OG0000007	Syae.g_02328	Prar.g_01328
OG0000007	Syae.g_01163	Prar.g_01143
OG0000008	Syae.g_00753	Prar.g_01185
OG0000009	Syae.g_00561, Syae.g_00171	Prar.g_00737
OG0000009	Syae.g_00100, Syae.g_01361	Prar.g_00223
OG0000010	Syae.g_02529	Prar.g_01567, Prar.g_01912, Prar.g_00524
OG0000011	Syae.g_00268	Prar.g_00978
OG0000012	Syae.g_02397, Syae.g_02562, Syae.g_00049	Prar.g_01453
OG0000013	Syae.g_02169, Syae.g_02155, Syae.g_02160	Prar.g_00260
OG0000014	Syae.g_01930	Prar.g_00281
OG0000015	Syae.g_00590	Prar.g_01179
OG0000016	Syae.g_01726	Prar.g_00025
OG0000017	Syae.g_02462	Prar.g_01428
OG0000018	Syae.g_02625	Prar.g_01282, Prar.g_01711
OG0000019	Syae.g_02015	Prar.g_00078, Prar.g_01663
OG0000021	Syae.g_01261	Prar.g_00425
OG0000022	Syae.g_00144	Prar.g_01649, Prar.g_01300
OG0000023	Syae.g_00439, Syae.g_00930	Prar.g_00420
OG0000025	Syae.g_00833	Prar.g_01718, Prar.g_00256
OG0000026	Syae.g_01748	Prar.g_00007, Prar.g_01919
OG0000027	Syae.g_00103, Syae.g_00814	Prar.g_00520
OG0000028	Syae.g_01916	Prar.g_00267, Prar.g_00985
OG0000029	Syae.g_00136	Prar.g_00436
OG0000030	Syae.g_01817, Syae.g_01816	Prar.g_00662
OG0000033	Syae.g_01453	Prar.g_00158
OG0000034	Syae.g_00975, Syae.g_01424	Prar.g_00945
OG0000035	Syae.g_02653	Prar.g_00339
OG0000037	Syae.g_01367	Prar.g_00219
OG0000038	Syae.g_01571	Prar.g_00702
OG0000039	Syae.g_00822, Syae.g_02495	Prar.g_01516
OG0000041	Syae.g_01042	Prar.g_00602
OG0000042	Syae.g_01821	Prar.g_00660
OG0000043	Syae.g_00117	Prar.g_01755
OG0000044	Syae.g_01067	Prar.g_01172
OG0000045	Syae.g_00732	Prar.g_01583
OG0000047	Syae.g_02184	Prar.g_00468, Prar.g_00257
OG0000048	Syae.g_01982	Prar.g_00435
OG0000053	Syae.g_02629	Prar.g_00589, Prar.g_00827
OG0000054	Syae.g_00014	Prar.g_01436
OG0000055	Syae.g_00817	Prar.g_01664
OG0000057	Syae.g_00782	Prar.g_01528
OG0000058	Syae.g_01905	Prar.g_00870, Prar.g_00362
OG0000059	Syae.g_02074	Prar.g_01090
OG0000061	Syae.g_00921	Prar.g_01263
OG0000063	Syae.g_01752	Prar.g_00004, Prar.g_00005, Prar.g_01189
OG0000065	Syae.g_00722, Syae.g_01363	Prar.g_00221
OG0000066	Syae.g_02386	Prar.g_01369
OG0000067	Syae.g_00521	Prar.g_01684
OG0000068	Syae.g_02299	Prar.g_00911
OG0000069	Syae.g_00458	Prar.g_01170, Prar.g_00736
OG0000070	Syae.g_00979	Prar.g_00498
OG0000071	Syae.g_00961	Prar.g_00955
OG0000072	Syae.g_01455	Prar.g_00156
OG0000073	Syae.g_02330	Prar.g_01330
OG0000075	Syae.g_01871	Prar.g_00629
OG0000076	Syae.g_01829	Prar.g_00592, Prar.g_00653
OG0000077	Syae.g_01297	Prar.g_00250
OG0000078	Syae.g_02243	Prar.g_00088
OG0000081	Syae.g_02261	Prar.g_01361
OG0000082	Syae.g_02447	Prar.g_01414
OG0000084	Syae.g_02656	Prar.g_00343
OG0000085	Syae.g_01152	Prar.g_01150
OG0000086	Syae.g_01333	Prar.g_00240
OG0000087	Syae.g_01414	Prar.g_00189
OG0000088	Syae.g_01449	Prar.g_00161
OG0000089	Syae.g_02219	Prar.g_00416
OG0000090	Syae.g_02374	Prar.g_01363
OG0000091	Syae.g_00082	Prar.g_01472
OG0000092	Syae.g_00884	Prar.g_01781, Prar.g_00615
OG0000094	Syae.g_00430	Prar.g_01885
OG0000095	Syae.g_01624	Prar.g_01904
OG0000097	Syae.g_00683	Prar.g_01222
OG0000098	Syae.g_02058	Prar.g_00929
OG0000099	Syae.g_01913, Syae.g_01226	Prar.g_00872
OG0000100	Syae.g_00489	Prar.g_00773
OG0000101	Syae.g_02125	Prar.g_01027
OG0000102	Syae.g_01824	Prar.g_00658
OG0000103	Syae.g_01694	Prar.g_00050
OG0000104	Syae.g_01708	Prar.g_00042
OG0000105	Syae.g_01977	Prar.g_00313
OG0000106	Syae.g_00272	Prar.g_00431
OG0000107	Syae.g_02032	Prar.g_00446
OG0000108	Syae.g_02309	Prar.g_00530
OG0000109	Syae.g_02324	Prar.g_00544
OG0000110	Syae.g_02435	Prar.g_01404
OG0000111	Syae.g_00783	Prar.g_01529
OG0000112	Syae.g_00351	Prar.g_01652
OG0000113	Syae.g_00494	Prar.g_01706
OG0000114	Syae.g_00575	Prar.g_01776
OG0000115	Syae.g_02631	Prar.g_01318
OG0000116	Syae.g_00939	Prar.g_01273
OG0000117	Syae.g_00647	Prar.g_01003
OG0000118	Syae.g_02479	Prar.g_00943
OG0000119	Syae.g_00904	Prar.g_00915
OG0000120	Syae.g_01912	Prar.g_00880
OG0000121	Syae.g_02649	Prar.g_00337
OG0000122	Syae.g_00112	Prar.g_00807
OG0000123	Syae.g_02131	Prar.g_01021
OG0000124	Syae.g_01809	Prar.g_00668
OG0000125	Syae.g_01573	Prar.g_00704
OG0000126	Syae.g_01706	Prar.g_00043
OG0000128	Syae.g_01724	Prar.g_00027
