Orthogroup	Syae	Syaf
OG0000001	Syae.g_02061	Syaf.g_01640
OG0000001	Syae.g_01416	Syaf.g_00846
OG0000001	Syae.g_01417	Syaf.g_00845
OG0000001	Syae.g_02055	Syaf.g_01634
OG0000004	Syae.g_00779	Syaf.g_01455
OG0000004	Syae.g_00042	Syaf.g_02351
OG0000004	Syae.g_02231	Syaf.g_02794
OG0000005	Syae.g_01179	Syaf.g_01017
OG0000005	Syae.g_01143	Syaf.g_01057
OG0000005	Syae.g_00257	Syaf.g_01732
OG0000006	Syae.g_02030, Syae.g_02248	Syaf.g_00179, Syaf.g_02778
OG0000006	Syae.g_00096	Syaf.g_02288
OG0000007	Syae.g_02328	Syaf.g_02702
OG0000007	Syae.g_01163	Syaf.g_01033
OG0000008	Syae.g_00753	Syaf.g_01479
OG0000008	Syae.g_00752	Syaf.g_01480
OG0000009	Syae.g_01361	Syaf.g_00905
OG0000010	Syae.g_02529	Syaf.g_02499
OG0000011	Syae.g_00268	Syaf.g_01532
OG0000011	Syae.g_00750	Syaf.g_01483
OG0000012	Syae.g_02397, Syae.g_02562	Syaf.g_01693
OG0000013	Syae.g_02169	Syaf.g_00044
OG0000013	Syae.g_02155	Syaf.g_00061
OG0000013	Syae.g_02160	Syaf.g_00056
OG0000014	Syae.g_01930	Syaf.g_00280
OG0000015	Syae.g_00590	Syaf.g_02120
OG0000016	Syae.g_01726	Syaf.g_00484
OG0000016	Syae.g_00681	Syaf.g_01576
OG0000016	Syae.g_00233	Syaf.g_01713
OG0000017	Syae.g_02469	Syaf.g_02554
OG0000017	Syae.g_02462	Syaf.g_02561
OG0000018	Syae.g_02625	Syaf.g_02451
OG0000019	Syae.g_02015	Syaf.g_00193
OG0000021	Syae.g_01261	Syaf.g_01726
OG0000022	Syae.g_00144	Syaf.g_02256
OG0000023	Syae.g_00439	Syaf.g_01765, Syaf.g_01987, Syaf.g_01731
OG0000023	Syae.g_00930	Syaf.g_01995
OG0000025	Syae.g_00833	Syaf.g_01385
OG0000026	Syae.g_01748	Syaf.g_00461
OG0000027	Syae.g_00103	Syaf.g_02284
OG0000027	Syae.g_00814	Syaf.g_01688
OG0000028	Syae.g_01916	Syaf.g_00297
OG0000029	Syae.g_00136	Syaf.g_01761
OG0000030	Syae.g_01817	Syaf.g_00406
OG0000030	Syae.g_01816	Syaf.g_00407
OG0000031	Syae.g_01911	Syaf.g_00314
OG0000032	Syae.g_02607	Syaf.g_02471
OG0000033	Syae.g_01453	Syaf.g_00807
OG0000034	Syae.g_00975, Syae.g_01424	Syaf.g_01241, Syaf.g_00837
OG0000035	Syae.g_02653	Syaf.g_02412
OG0000037	Syae.g_01367	Syaf.g_00899
OG0000038	Syae.g_01571	Syaf.g_00642
OG0000039	Syae.g_00822	Syaf.g_01395
OG0000040	Syae.g_01653	Syaf.g_00558
OG0000041	Syae.g_01042	Syaf.g_01171
