Orthogroup	Syae	Syai
OG0000001	Syae.g_02061	Syai.g_01716
OG0000001	Syae.g_01416	Syai.g_01197, Syai.g_02594
OG0000001	Syae.g_01417	Syai.g_02595
OG0000001	Syae.g_02055	Syai.g_01729
OG0000004	Syae.g_00779	Syai.g_01994
OG0000004	Syae.g_00042	Syai.g_01062
OG0000004	Syae.g_02231	Syai.g_00530
OG0000005	Syae.g_01179	Syai.g_02393
OG0000005	Syae.g_01143	Syai.g_02356
OG0000005	Syae.g_00257	Syai.g_01611
OG0000006	Syae.g_02030, Syae.g_02248	Syai.g_00317, Syai.g_00547
OG0000006	Syae.g_00096	Syai.g_01126
OG0000007	Syae.g_02328	Syai.g_00657
OG0000007	Syae.g_01163	Syai.g_02378
OG0000008	Syae.g_00753	Syai.g_01956
OG0000008	Syae.g_00752	Syai.g_01955
OG0000009	Syae.g_00561, Syae.g_00171	Syai.g_01626
OG0000009	Syae.g_01361	Syai.g_02541
OG0000010	Syae.g_02529	Syai.g_00864
OG0000011	Syae.g_00268	Syai.g_01894, Syai.g_00582
OG0000011	Syae.g_00750	Syai.g_01952
OG0000012	Syae.g_02397, Syae.g_02562	Syai.g_01529, Syai.g_01650
OG0000012	Syae.g_00049	Syai.g_01068
OG0000013	Syae.g_02169	Syai.g_00450
OG0000013	Syae.g_02155	Syai.g_00436
OG0000013	Syae.g_02160	Syai.g_00442
OG0000014	Syae.g_01930	Syai.g_00220
OG0000015	Syae.g_00590	Syai.g_01246
OG0000016	Syae.g_01726	Syai.g_00014
OG0000016	Syae.g_00681	Syai.g_01785
OG0000016	Syae.g_00233	Syai.g_01632
OG0000017	Syae.g_02469	Syai.g_00808
OG0000017	Syae.g_02462	Syai.g_00801
OG0000018	Syae.g_02625	Syai.g_00915
OG0000019	Syae.g_02015	Syai.g_00304
OG0000022	Syae.g_00144	Syai.g_01159
OG0000023	Syae.g_00439	Syai.g_01027, Syai.g_01875, Syai.g_02821, Syai.g_01681, Syai.g_01022
OG0000023	Syae.g_00930	Syai.g_02318
OG0000025	Syae.g_00833	Syai.g_02044
OG0000026	Syae.g_01748	Syai.g_00038
OG0000027	Syae.g_00103	Syai.g_01128
OG0000027	Syae.g_00814	Syai.g_01654
OG0000028	Syae.g_01916	Syai.g_00205
OG0000029	Syae.g_00136	Syai.g_01035, Syai.g_01584
OG0000030	Syae.g_01817	Syai.g_00096
OG0000030	Syae.g_01816	Syai.g_00095
OG0000031	Syae.g_01911	Syai.g_00197
OG0000032	Syae.g_02607	Syai.g_00895
OG0000033	Syae.g_01453	Syai.g_02634
OG0000034	Syae.g_00975, Syae.g_01424	Syai.g_02192, Syai.g_02604
OG0000035	Syae.g_02653	Syai.g_00955
OG0000037	Syae.g_01367	Syai.g_02544, Syai.g_02815
OG0000038	Syae.g_01571	Syai.g_02780
OG0000039	Syae.g_00822	Syai.g_02034
OG0000040	Syae.g_01653	Syai.g_02876
OG0000041	Syae.g_01042	Syai.g_02265
OG0000041	Syae.g_00802	Syai.g_02016
OG0000042	Syae.g_01821	Syai.g_00099
OG0000043	Syae.g_00117	Syai.g_01599
OG0000044	Syae.g_01067	Syai.g_00833
OG0000046	Syae.g_02154	Syai.g_00435
OG0000046	Syae.g_02161	Syai.g_00443
OG0000046	Syae.g_02168	Syai.g_00449
OG0000047	Syae.g_02184	Syai.g_00462
OG0000048	Syae.g_01982	Syai.g_00272
OG0000050	Syae.g_01023	Syai.g_01332
OG0000050	Syae.g_00122	Syai.g_01893
OG0000051	Syae.g_00438	Syai.g_01773
OG0000052	Syae.g_01886	Syai.g_00176
OG0000053	Syae.g_02629	Syai.g_00930
OG0000054	Syae.g_00014	Syai.g_01040
OG0000055	Syae.g_00817	Syai.g_02029
OG0000057	Syae.g_00782	Syai.g_01997
OG0000058	Syae.g_01905	Syai.g_00195
OG0000059	Syae.g_02074	Syai.g_00351
