Orthogroup	Syae	Syaq
OG0000001	Syae.g_01416	Syaq.g_00118, Syaq.g_01435, Syaq.g_00115
OG0000001	Syae.g_01417	Syaq.g_01434
OG0000001	Syae.g_02055	Syaq.g_02178, Syaq.g_02413
OG0000004	Syae.g_00779	Syaq.g_02603
OG0000004	Syae.g_00042	Syaq.g_02042
OG0000004	Syae.g_02231	Syaq.g_01567
OG0000005	Syae.g_01179	Syaq.g_01658
OG0000005	Syae.g_01143	Syaq.g_01692
OG0000005	Syae.g_00257	Syaq.g_00236
OG0000006	Syae.g_02030, Syae.g_02248	Syaq.g_00696, Syaq.g_01590
OG0000006	Syae.g_00096	Syaq.g_02108
OG0000007	Syae.g_02328	Syaq.g_01793
OG0000007	Syae.g_01163	Syaq.g_01673
OG0000008	Syae.g_00753	Syaq.g_02162
OG0000008	Syae.g_00752	Syaq.g_02575
OG0000009	Syae.g_00100, Syae.g_01361	Syaq.g_01489
OG0000010	Syae.g_02529	Syaq.g_00443
OG0000011	Syae.g_00268, Syae.g_00871, Syae.g_00750	Syaq.g_01038
OG0000012	Syae.g_00049	Syaq.g_02059
OG0000013	Syae.g_02169, Syae.g_02155, Syae.g_02160	Syaq.g_00569, Syaq.g_00572, Syaq.g_02023
OG0000014	Syae.g_01930	Syaq.g_00862
OG0000015	Syae.g_01693	Syaq.g_00121, Syaq.g_01171
OG0000015	Syae.g_00590	Syaq.g_02255
OG0000016	Syae.g_01726	Syaq.g_01136
OG0000016	Syae.g_00681	Syaq.g_00169
OG0000017	Syae.g_02469	Syaq.g_01999
OG0000017	Syae.g_02462	Syaq.g_01992
OG0000018	Syae.g_02625	Syaq.g_00401
OG0000019	Syae.g_02015	Syaq.g_00717
OG0000022	Syae.g_00144	Syaq.g_02126
OG0000023	Syae.g_00439, Syae.g_00930	Syaq.g_02540
OG0000025	Syae.g_00833	Syaq.g_02381
OG0000026	Syae.g_01748	Syaq.g_01114
OG0000028	Syae.g_01916	Syaq.g_00878
OG0000030	Syae.g_01817	Syaq.g_01047
OG0000030	Syae.g_01816	Syaq.g_01048
OG0000031	Syae.g_01911	Syaq.g_01009
OG0000032	Syae.g_02607	Syaq.g_00421
OG0000033	Syae.g_01453	Syaq.g_01399
OG0000034	Syae.g_00975, Syae.g_01424	Syaq.g_00312, Syaq.g_01431
OG0000035	Syae.g_02653	Syaq.g_00372
OG0000037	Syae.g_01367	Syaq.g_01483
OG0000038	Syae.g_01571	Syaq.g_01260
OG0000039	Syae.g_02495	Syaq.g_01241
OG0000041	Syae.g_00802	Syaq.g_02688
OG0000042	Syae.g_01821	Syaq.g_00200, Syaq.g_01044
OG0000043	Syae.g_00117	Syaq.g_01920
OG0000048	Syae.g_01982	Syaq.g_00749
