Orthogroup	Syae	Pram
OG0000001	Syae.g_02061	Pram.g_01954, Pram.g_01953, Pram.g_00719
OG0000004	Syae.g_00779	Pram.g_00789
OG0000004	Syae.g_00042, Syae.g_02231	Pram.g_00219
OG0000005	Syae.g_01143	Pram.g_01295
OG0000006	Syae.g_02030, Syae.g_02248	Pram.g_00229
OG0000007	Syae.g_02328	Pram.g_00433
OG0000007	Syae.g_01163	Pram.g_01632
OG0000008	Syae.g_00753	Pram.g_01263
OG0000008	Syae.g_00752	Pram.g_01262
OG0000009	Syae.g_00561, Syae.g_00171	Pram.g_00390, Pram.g_01284, Pram.g_01573
OG0000010	Syae.g_02529	Pram.g_00704, Pram.g_01000, Pram.g_00410
OG0000012	Syae.g_00049	Pram.g_00561
OG0000013	Syae.g_02169, Syae.g_02155, Syae.g_02160	Pram.g_00315
OG0000014	Syae.g_01930	Pram.g_00295
OG0000015	Syae.g_00590	Pram.g_00696, Pram.g_01545
OG0000016	Syae.g_00681, Syae.g_00233	Pram.g_01193
OG0000017	Syae.g_02469	Pram.g_00542
OG0000017	Syae.g_02462	Pram.g_00535
OG0000018	Syae.g_02625	Pram.g_01162, Pram.g_00837
OG0000019	Syae.g_02015	Pram.g_00237, Pram.g_01164
OG0000021	Syae.g_01261	Pram.g_01274
OG0000022	Syae.g_00144	Pram.g_01287
OG0000023	Syae.g_00439, Syae.g_00930	Pram.g_00689
OG0000025	Syae.g_00833	Pram.g_00844
OG0000026	Syae.g_01748	Pram.g_00018
OG0000028	Syae.g_01916	Pram.g_00308, Pram.g_00363
OG0000029	Syae.g_00136	Pram.g_01723, Pram.g_01529
OG0000030	Syae.g_01817, Syae.g_01816	Pram.g_01844
OG0000031	Syae.g_01911	Pram.g_01413
OG0000032	Syae.g_02607	Pram.g_01339
OG0000033	Syae.g_01453	Pram.g_00154
OG0000034	Syae.g_00975, Syae.g_01424	Pram.g_01240
OG0000035	Syae.g_02653	Pram.g_01378, Pram.g_01381
OG0000037	Syae.g_01367	Pram.g_00093
OG0000038	Syae.g_01571	Pram.g_01884
OG0000039	Syae.g_00822, Syae.g_02495	Pram.g_00777
OG0000041	Syae.g_01042	Pram.g_01680
OG0000042	Syae.g_01821	Pram.g_01841
OG0000043	Syae.g_00117	Pram.g_01161
OG0000044	Syae.g_01067	Pram.g_01620
OG0000046	Syae.g_02154, Syae.g_02161, Syae.g_02168	Pram.g_00316
OG0000047	Syae.g_02184	Pram.g_00359
OG0000048	Syae.g_01982	Pram.g_00259
OG0000050	Syae.g_00122	Pram.g_00576, Pram.g_00706
OG0000052	Syae.g_01886	Pram.g_01436
OG0000053	Syae.g_02629	Pram.g_01580, Pram.g_01357
OG0000054	Syae.g_00014	Pram.g_00544
OG0000055	Syae.g_00817	Pram.g_01189
OG0000057	Syae.g_00782	Pram.g_00792
OG0000058	Syae.g_01905	Pram.g_01447
OG0000059	Syae.g_02074	Pram.g_01719
OG0000061	Syae.g_00921	Pram.g_01140
OG0000062	Syae.g_01145	Pram.g_01293
OG0000063	Syae.g_01752	Pram.g_01258
OG0000064	Syae.g_00012, Syae.g_01631, Syae.g_00194, Syae.g_01137	Pram.g_00052
OG0000065	Syae.g_00722, Syae.g_01363	Pram.g_00091
OG0000066	Syae.g_02386	Pram.g_01558
OG0000067	Syae.g_00521	Pram.g_00809
OG0000068	Syae.g_02299	Pram.g_01468
OG0000069	Syae.g_00458	Pram.g_00391
OG0000070	Syae.g_00979	Pram.g_00385
OG0000071	Syae.g_00961	Pram.g_01230
OG0000072	Syae.g_01455	Pram.g_00156
OG0000073	Syae.g_02330	Pram.g_00437
OG0000075	Syae.g_01871	Pram.g_01807
OG0000076	Syae.g_01829	Pram.g_01833
OG0000077	Syae.g_01297	Pram.g_00063
OG0000078	Syae.g_02243	Pram.g_00227
OG0000079	Syae.g_02011	Pram.g_00240
OG0000081	Syae.g_02261	Pram.g_00469
OG0000082	Syae.g_02447	Pram.g_01559
OG0000084	Syae.g_02656	Pram.g_01384
OG0000085	Syae.g_01152	Pram.g_01265
OG0000086	Syae.g_01333	Pram.g_00072
OG0000087	Syae.g_01414	Pram.g_00125
OG0000088	Syae.g_01449	Pram.g_00151
OG0000089	Syae.g_02219	Pram.g_00352
OG0000090	Syae.g_02374	Pram.g_00471
OG0000091	Syae.g_00082	Pram.g_01068
OG0000092	Syae.g_00884	Pram.g_00739
OG0000095	Syae.g_01624	Pram.g_00888
OG0000097	Syae.g_00683	Pram.g_01093
OG0000098	Syae.g_02058	Pram.g_01478
OG0000099	Syae.g_01913, Syae.g_01226	Pram.g_01445
OG0000100	Syae.g_00489	Pram.g_01298
OG0000101	Syae.g_02125	Pram.g_01770
OG0000102	Syae.g_01824	Pram.g_01838
OG0000103	Syae.g_01694	Pram.g_01925
OG0000104	Syae.g_01708	Pram.g_01934
OG0000105	Syae.g_01977	Pram.g_00262
OG0000106	Syae.g_00272	Pram.g_00677
OG0000107	Syae.g_02032	Pram.g_01696
OG0000108	Syae.g_02309	Pram.g_00416
OG0000109	Syae.g_02324	Pram.g_00430
OG0000110	Syae.g_02435	Pram.g_00513
OG0000111	Syae.g_00783	Pram.g_00793
OG0000112	Syae.g_00351	Pram.g_00935
OG0000113	Syae.g_00494	Pram.g_00832
OG0000114	Syae.g_00575	Pram.g_00734
OG0000115	Syae.g_02631	Pram.g_01201
OG0000116	Syae.g_00939	Pram.g_01151
OG0000117	Syae.g_00647	Pram.g_01112
OG0000118	Syae.g_02479	Pram.g_01242
OG0000119	Syae.g_00904	Pram.g_01283
OG0000120	Syae.g_01912	Pram.g_01446
OG0000121	Syae.g_02649	Pram.g_01376
OG0000122	Syae.g_00112	Pram.g_01204, Pram.g_01334
OG0000123	Syae.g_02131	Pram.g_01777
OG0000124	Syae.g_01809	Pram.g_01850
OG0000125	Syae.g_01573	Pram.g_01886
OG0000126	Syae.g_01706	Pram.g_01933
OG0000128	Syae.g_01724	Pram.g_01949
OG0000129	Syae.g_01562	Pram.g_00029
OG0000130	Syae.g_01284	Pram.g_00054
OG0000131	Syae.g_01428	Pram.g_00130
OG0000132	Syae.g_01447	Pram.g_00149
OG0000133	Syae.g_00356	Pram.g_00310
OG0000134	Syae.g_02222	Pram.g_00354
OG0000135	Syae.g_01608	Pram.g_01589
OG0000136	Syae.g_00989	Pram.g_00376
OG0000137	Syae.g_02530	Pram.g_00411
OG0000138	Syae.g_02325	Pram.g_00431
OG0000139	Syae.g_02380	Pram.g_00475
OG0000140	Syae.g_02383	Pram.g_00476
OG0000141	Syae.g_00016	Pram.g_00545
OG0000142	Syae.g_00074	Pram.g_01075
OG0000143	Syae.g_00078	Pram.g_01072
OG0000144	Syae.g_00261	Pram.g_01058
OG0000145	Syae.g_02331	Pram.g_01534
OG0000146	Syae.g_00350	Pram.g_00934
OG0000147	Syae.g_00349	Pram.g_00933
OG0000148	Syae.g_00500	Pram.g_00826
OG0000149	Syae.g_00847	Pram.g_00858
OG0000150	Syae.g_00017	Pram.g_00868
OG0000151	Syae.g_00563	Pram.g_00744
OG0000152	Syae.g_00360	Pram.g_00943
OG0000153	Syae.g_00394	Pram.g_00961
OG0000154	Syae.g_00420	Pram.g_00978
OG0000155	Syae.g_00885	Pram.g_01118
OG0000156	Syae.g_00945	Pram.g_01219
OG0000157	Syae.g_00946	Pram.g_01220
OG0000158	Syae.g_01858	Pram.g_01815
OG0000160	Syae.g_02650	Pram.g_01377
OG0000161	Syae.g_02644	Pram.g_01145, Pram.g_01371
OG0000162	Syae.g_02638	Pram.g_01365
OG0000163	Syae.g_01092	Pram.g_01326
OG0000164	Syae.g_01198	Pram.g_01656
OG0000165	Syae.g_01021	Pram.g_01664
OG0000166	Syae.g_02085	Pram.g_01733
OG0000167	Syae.g_01874	Pram.g_01805
OG0000168	Syae.g_01856	Pram.g_01816
OG0000169	Syae.g_01841	Pram.g_01826
OG0000170	Syae.g_01834	Pram.g_01829
OG0000171	Syae.g_01810	Pram.g_01849
OG0000172	Syae.g_01788	Pram.g_01856
OG0000173	Syae.g_01770	Pram.g_01871
OG0000174	Syae.g_01610	Pram.g_01902
OG0000175	Syae.g_01679	Pram.g_01914
OG0000176	Syae.g_01716	Pram.g_01942
OG0000177	Syae.g_01717	Pram.g_01943
OG0000178	Syae.g_01718	Pram.g_01944
OG0000179	Syae.g_01733	Pram.g_00003
OG0000180	Syae.g_01734	Pram.g_00004
OG0000181	Syae.g_01735	Pram.g_00005
OG0000182	Syae.g_01736	Pram.g_00006
OG0000183	Syae.g_01740	Pram.g_00010
OG0000184	Syae.g_01554	Pram.g_00033
OG0000185	Syae.g_01551	Pram.g_00036
OG0000186	Syae.g_01279	Pram.g_00048
OG0000187	Syae.g_01280	Pram.g_00049
OG0000188	Syae.g_01323	Pram.g_00066
OG0000189	Syae.g_01350	Pram.g_00080
OG0000190	Syae.g_01352	Pram.g_00081
OG0000191	Syae.g_01384	Pram.g_00103
OG0000192	Syae.g_01390	Pram.g_00108
OG0000193	Syae.g_01429	Pram.g_00131
OG0000194	Syae.g_01432	Pram.g_00134
OG0000195	Syae.g_01434	Pram.g_00136
OG0000196	Syae.g_01444	Pram.g_00146
OG0000197	Syae.g_01445	Pram.g_00147
