Orthogroup	Syae	Syab
OG0000001	Syae.g_02061	Syab.g_01549
OG0000001	Syae.g_01417	Syab.g_02553, Syab.g_02555
OG0000001	Syae.g_02055	Syab.g_01509, Syab.g_01510
OG0000004	Syae.g_00779	Syab.g_00549, Syab.g_01193
OG0000004	Syae.g_00042	Syab.g_01911
OG0000004	Syae.g_02231	Syab.g_02377
OG0000005	Syae.g_01179	Syab.g_02289
OG0000005	Syae.g_01143	Syab.g_02232
OG0000005	Syae.g_00257	Syab.g_00981
OG0000006	Syae.g_02030, Syae.g_02248	Syab.g_00365, Syab.g_01847, Syab.g_02361
OG0000006	Syae.g_00096	Syab.g_01849
OG0000007	Syae.g_02328	Syab.g_02117
OG0000007	Syae.g_01163	Syab.g_02256
OG0000008	Syae.g_00753	Syab.g_01755
OG0000008	Syae.g_00752	Syab.g_01168
OG0000009	Syae.g_00561, Syae.g_00171	Syab.g_00995
OG0000009	Syae.g_00100, Syae.g_01361	Syab.g_02498
OG0000010	Syae.g_02529	Syab.g_00696
OG0000011	Syae.g_00871	Syab.g_01083
OG0000012	Syae.g_02397	Syab.g_01774
OG0000012	Syae.g_02562	Syab.g_00953
OG0000013	Syae.g_02169	Syab.g_00497
OG0000013	Syae.g_02155	Syab.g_00482
OG0000013	Syae.g_02160	Syab.g_00487
OG0000014	Syae.g_01930	Syab.g_00249
OG0000014	Syae.g_01850	Syab.g_00178
OG0000015	Syae.g_01693	Syab.g_02889
OG0000016	Syae.g_01726	Syab.g_00014
OG0000016	Syae.g_00681	Syab.g_01049
OG0000017	Syae.g_02469	Syab.g_01945
OG0000017	Syae.g_02462	Syab.g_01953
OG0000018	Syae.g_02625	Syab.g_00742
OG0000019	Syae.g_02015	Syab.g_00344
OG0000022	Syae.g_00144	Syab.g_01825
OG0000023	Syae.g_00439	Syab.g_00708
OG0000023	Syae.g_00930	Syab.g_02058, Syab.g_01294
OG0000025	Syae.g_00833	Syab.g_01705
OG0000026	Syae.g_01748	Syab.g_00036
OG0000027	Syae.g_00814	Syab.g_01782
OG0000028	Syae.g_01916	Syab.g_00234
OG0000030	Syae.g_01817	Syab.g_00096
OG0000030	Syae.g_01816	Syab.g_00095
OG0000031	Syae.g_01911	Syab.g_00160
OG0000032	Syae.g_02607	Syab.g_00724
OG0000033	Syae.g_01453	Syab.g_02590
OG0000034	Syae.g_00975, Syae.g_01424	Syab.g_00900, Syab.g_02560
OG0000035	Syae.g_02653	Syab.g_00776
OG0000037	Syae.g_01367	Syab.g_02504
OG0000038	Syae.g_01571	Syab.g_02759
OG0000039	Syae.g_02495	Syab.g_02791
OG0000040	Syae.g_01653	Syab.g_02853
OG0000041	Syae.g_01042	Syab.g_02333
OG0000042	Syae.g_01821	Syab.g_01019, Syab.g_00099
OG0000043	Syae.g_00117	Syab.g_01539, Syab.g_01785
OG0000044	Syae.g_01067	Syab.g_01262
OG0000045	Syae.g_00732	Syab.g_00871
OG0000046	Syae.g_02154	Syab.g_00481
OG0000046	Syae.g_02161	Syab.g_00488
OG0000046	Syae.g_02168	Syab.g_00496
OG0000047	Syae.g_02184	Syab.g_00876
OG0000048	Syae.g_01982	Syab.g_00308
OG0000051	Syae.g_00438	Syab.g_01073
OG0000052	Syae.g_01886	Syab.g_00214
OG0000053	Syae.g_02629	Syab.g_00746
OG0000054	Syae.g_00014	Syab.g_01932
OG0000055	Syae.g_00817	Syab.g_01255
OG0000057	Syae.g_00782	Syab.g_01200
OG0000058	Syae.g_01905	Syab.g_00227
OG0000059	Syae.g_02074	Syab.g_00397
OG0000060	Syae.g_02514	Syab.g_00662
OG0000060	Syae.g_02306	Syab.g_02094
OG0000061	Syae.g_00921	Syab.g_00171, Syab.g_00969
OG0000062	Syae.g_01145	Syab.g_02234
OG0000063	Syae.g_01752	Syab.g_00040
OG0000064	Syae.g_00012	Syab.g_02808
OG0000064	Syae.g_01631	Syab.g_01783
OG0000064	Syae.g_00194	Syab.g_00997
OG0000064	Syae.g_01137	Syab.g_00824
OG0000065	Syae.g_00722	Syab.g_01768
OG0000066	Syae.g_02386	Syab.g_02031
OG0000067	Syae.g_00521	Syab.g_01659
OG0000068	Syae.g_02299	Syab.g_02087
OG0000070	Syae.g_00979	Syab.g_00614
OG0000071	Syae.g_00961	Syab.g_00915
OG0000072	Syae.g_01455	Syab.g_02593
OG0000073	Syae.g_02330	Syab.g_02119
OG0000075	Syae.g_01871	Syab.g_00202
OG0000076	Syae.g_01829	Syab.g_00113
OG0000077	Syae.g_01297	Syab.g_02446
OG0000078	Syae.g_02243	Syab.g_02366
OG0000079	Syae.g_02011	Syab.g_00340
OG0000081	Syae.g_02261	Syab.g_01793
OG0000082	Syae.g_02447	Syab.g_01971
OG0000084	Syae.g_02656	Syab.g_00781
OG0000085	Syae.g_01152	Syab.g_02243
OG0000086	Syae.g_01333	Syab.g_02468
OG0000087	Syae.g_01414	Syab.g_02551
OG0000088	Syae.g_01449	Syab.g_02586
OG0000089	Syae.g_02219	Syab.g_00551
OG0000090	Syae.g_02374	Syab.g_02041
OG0000091	Syae.g_00082	Syab.g_01866
