Orthogroup	Prba	Prae
OG0000000	Prba.g_00203	Prae.g_01361
OG0000000	Prba.g_01639	Prae.g_00652
OG0000001	Prba.g_00003	Prae.g_01222
OG0000001	Prba.g_00270	Prae.g_01222
OG0000001	Prba.g_00003	Prae.g_01579
OG0000001	Prba.g_00270	Prae.g_01579
OG0000002	Prba.g_00211	Prae.g_01353
OG0000002	Prba.g_01081, Prba.g_01080	Prae.g_01223, Prae.g_01224
OG0000003	Prba.g_00268	Prae.g_01581
OG0000003	Prba.g_01172	Prae.g_01308
OG0000004	Prba.g_01570	Prae.g_00735
OG0000004	Prba.g_01563	Prae.g_00742
OG0000004	Prba.g_01171	Prae.g_01297
OG0000005	Prba.g_00269	Prae.g_01580
OG0000006	Prba.g_00964	Prae.g_00471
OG0000006	Prba.g_00226	Prae.g_01623
OG0000007	Prba.g_01645	Prae.g_00646
OG0000008	Prba.g_00878	Prae.g_00383
OG0000008	Prba.g_01304	Prae.g_00997
OG0000008	Prba.g_00901	Prae.g_01264
OG0000009	Prba.g_01519	Prae.g_00786
OG0000009	Prba.g_00468	Prae.g_00252
OG0000010	Prba.g_00734	Prae.g_01110
OG0000010	Prba.g_01157	Prae.g_01283
OG0000011	Prba.g_00546	Prae.g_00331
OG0000012	Prba.g_01719	Prae.g_00572
OG0000013	Prba.g_01538	Prae.g_01235, Prae.g_00769
OG0000014	Prba.g_00991	Prae.g_00444
OG0000014	Prba.g_01175	Prae.g_01311
OG0000015	Prba.g_00876	Prae.g_00381
OG0000016	Prba.g_00200	Prae.g_01364
OG0000017	Prba.g_00693	Prae.g_01479
OG0000018	Prba.g_00460	Prae.g_00244
OG0000019	Prba.g_00858	Prae.g_00364
OG0000019	Prba.g_00245	Prae.g_01600
OG0000020	Prba.g_00868	Prae.g_00374
OG0000021	Prba.g_01517	Prae.g_00788
OG0000022	Prba.g_01174	Prae.g_01310
OG0000023	Prba.g_01142	Prae.g_01270
OG0000024	Prba.g_00522	Prae.g_00307
OG0000025	Prba.g_01229	Prae.g_01077
OG0000026	Prba.g_01826	Prae.g_00033
OG0000027	Prba.g_01567	Prae.g_00738
OG0000027	Prba.g_00301	Prae.g_01546
OG0000028	Prba.g_00713	Prae.g_01459
OG0000029	Prba.g_00275	Prae.g_01573
OG0000030	Prba.g_01832	Prae.g_00040, Prae.g_00039
OG0000031	Prba.g_01168	Prae.g_01294
OG0000032	Prba.g_00173	Prae.g_01391, Prae.g_01402
OG0000033	Prba.g_01806	Prae.g_00013
OG0000034	Prba.g_00160	Prae.g_01416
OG0000035	Prba.g_01409	Prae.g_00894
OG0000036	Prba.g_01731	Prae.g_00559
OG0000037	Prba.g_01694	Prae.g_00597
OG0000038	Prba.g_01543	Prae.g_00764
OG0000039	Prba.g_00622	Prae.g_00169
OG0000040	Prba.g_00854	Prae.g_00359
OG0000041	Prba.g_01041	Prae.g_00402
OG0000042	Prba.g_01594	Prae.g_00711
OG0000043	Prba.g_01514	Prae.g_00791
OG0000044	Prba.g_00064	Prae.g_01163
OG0000045	Prba.g_00153	Prae.g_01417, Prae.g_01406
OG0000046	Prba.g_00233	Prae.g_01616
OG0000047	Prba.g_00768	Prae.g_01815
OG0000048	Prba.g_00775	Prae.g_01822
OG0000050	Prba.g_01824	Prae.g_00031
OG0000051	Prba.g_01945	Prae.g_00160
OG0000052	Prba.g_00864	Prae.g_00370
OG0000053	Prba.g_00922	Prae.g_00514
OG0000054	Prba.g_01548	Prae.g_00758
OG0000055	Prba.g_01477	Prae.g_00828
OG0000056	Prba.g_00727	Prae.g_01322
OG0000058	Prba.g_00986	Prae.g_00449
OG0000059	Prba.g_01619	Prae.g_00672
OG0000060	Prba.g_01565	Prae.g_00740
OG0000061	Prba.g_01317	Prae.g_00984
OG0000062	Prba.g_00097	Prae.g_01130
OG0000063	Prba.g_01135	Prae.g_01263
OG0000064	Prba.g_01145	Prae.g_01272
OG0000065	Prba.g_01192	Prae.g_01329
OG0000066	Prba.g_00175	Prae.g_01389
OG0000067	Prba.g_01132	Prae.g_01245
OG0000068	Prba.g_00429	Prae.g_01758
OG0000071	Prba.g_01804	Prae.g_00011
OG0000072	Prba.g_00538	Prae.g_00323
OG0000073	Prba.g_01648	Prae.g_00643
OG0000074	Prba.g_01626	Prae.g_00665
OG0000075	Prba.g_01492	Prae.g_00813
OG0000076	Prba.g_01264	Prae.g_01040
