Orthogroup	Prba	Prap
OG0000000	Prba.g_00203	Prap.g_00720, Prap.g_00715
OG0000000	Prba.g_01639	Prap.g_00823, Prap.g_00486, Prap.g_01946, Prap.g_00484, Prap.g_00491, Prap.g_00224
OG0000002	Prba.g_00211	Prap.g_01925
OG0000002	Prba.g_01081, Prba.g_01080	Prap.g_00653
OG0000003	Prba.g_01172	Prap.g_00494
OG0000004	Prba.g_01570, Prba.g_01563, Prba.g_01171	Prap.g_00535
OG0000005	Prba.g_00243	Prap.g_01862
OG0000006	Prba.g_00964	Prap.g_01270
OG0000006	Prba.g_00226	Prap.g_01779
OG0000007	Prba.g_01131	Prap.g_01888
OG0000009	Prba.g_01519	Prap.g_00480
OG0000009	Prba.g_00468	Prap.g_01462
OG0000010	Prba.g_00734, Prba.g_01157	Prap.g_00010
OG0000011	Prba.g_00913	Prap.g_01343
OG0000012	Prba.g_01719	Prap.g_01170, Prap.g_01163
OG0000013	Prba.g_01538	Prap.g_01840, Prap.g_01794
OG0000014	Prba.g_00991, Prba.g_01175	Prap.g_01912, Prap.g_01860
OG0000015	Prba.g_00876	Prap.g_01851, Prap.g_01818
OG0000016	Prba.g_00200	Prap.g_00510, Prap.g_00218
OG0000018	Prba.g_00460	Prap.g_01470
OG0000019	Prba.g_00245	Prap.g_00797
OG0000020	Prba.g_00868	Prap.g_00548, Prap.g_01439
OG0000021	Prba.g_01517	Prap.g_01797
OG0000023	Prba.g_01142	Prap.g_00216
OG0000024	Prba.g_00522	Prap.g_01403
OG0000025	Prba.g_00899	Prap.g_00667
OG0000028	Prba.g_00713	Prap.g_00121
OG0000029	Prba.g_00275	Prap.g_01312
OG0000032	Prba.g_00173	Prap.g_00080
OG0000033	Prba.g_01806	Prap.g_00514
OG0000034	Prba.g_00160	Prap.g_00099
OG0000035	Prba.g_01409	Prap.g_00017
OG0000036	Prba.g_01731	Prap.g_01790, Prap.g_01183
OG0000037	Prba.g_01694	Prap.g_00236, Prap.g_01145
OG0000038	Prba.g_01543	Prap.g_00212
OG0000039	Prba.g_00622	Prap.g_01004
OG0000040	Prba.g_00854	Prap.g_00029
OG0000042	Prba.g_01594	Prap.g_00791
OG0000043	Prba.g_01514	Prap.g_00691
OG0000045	Prba.g_00153	Prap.g_00081
OG0000046	Prba.g_00233	Prap.g_01787, Prap.g_01917
OG0000047	Prba.g_00768	Prap.g_01580
OG0000048	Prba.g_00775	Prap.g_01572
OG0000050	Prba.g_01824	Prap.g_00923
OG0000051	Prba.g_01945	Prap.g_01013
OG0000052	Prba.g_00864	Prap.g_00591
OG0000053	Prba.g_00922	Prap.g_01230, Prap.g_01867
OG0000054	Prba.g_01548	Prap.g_01128
OG0000055	Prba.g_01477	Prap.g_00760
OG0000056	Prba.g_00727	Prap.g_00512
OG0000057	Prba.g_00456	Prap.g_01475
OG0000058	Prba.g_00986	Prap.g_01292
OG0000059	Prba.g_01619	Prap.g_00799
OG0000062	Prba.g_00097	Prap.g_01883
OG0000063	Prba.g_01135	Prap.g_00429
OG0000065	Prba.g_01192	Prap.g_00561
OG0000066	Prba.g_00175	Prap.g_00079
OG0000067	Prba.g_00900	Prap.g_00619
OG0000068	Prba.g_00429	Prap.g_01642
OG0000069	Prba.g_00149	Prap.g_00160
OG0000071	Prba.g_01804	Prap.g_00043
OG0000072	Prba.g_00538	Prap.g_01389
OG0000073	Prba.g_01648	Prap.g_00356
OG0000074	Prba.g_01626	Prap.g_00809
OG0000075	Prba.g_01492	Prap.g_00776
OG0000076	Prba.g_01264	Prap.g_00708
OG0000077	Prba.g_00242	Prap.g_01863
OG0000078	Prba.g_00155	Prap.g_00082
OG0000079	Prba.g_00310	Prap.g_00206
OG0000080	Prba.g_00261	Prap.g_00618
OG0000081	Prba.g_01069	Prap.g_01608
OG0000082	Prba.g_00831	Prap.g_00623
OG0000083	Prba.g_01796	Prap.g_00051
OG0000084	Prba.g_01799	Prap.g_00048
OG0000085	Prba.g_01816	Prap.g_00932
OG0000087	Prba.g_01843	Prap.g_00903
OG0000088	Prba.g_01901	Prap.g_01061
OG0000089	Prba.g_01909	Prap.g_01052
OG0000090	Prba.g_01927	Prap.g_01035
OG0000091	Prba.g_00625	Prap.g_01001
OG0000092	Prba.g_00626	Prap.g_01000
OG0000093	Prba.g_00640	Prap.g_00986
OG0000094	Prba.g_00658	Prap.g_00967
OG0000095	Prba.g_00663	Prap.g_00962
OG0000096	Prba.g_00470	Prap.g_01460
OG0000097	Prba.g_00491	Prap.g_01436
OG0000099	Prba.g_00510	Prap.g_01415
OG0000100	Prba.g_00513	Prap.g_01412
OG0000101	Prba.g_00851	Prap.g_01347
OG0000102	Prba.g_00877	Prap.g_00543
OG0000103	Prba.g_00985	Prap.g_01291
OG0000104	Prba.g_00981	Prap.g_01287
OG0000105	Prba.g_00962	Prap.g_01267
OG0000106	Prba.g_00929	Prap.g_01237
OG0000107	Prba.g_00928	Prap.g_01236
OG0000108	Prba.g_01772	Prap.g_01226
OG0000109	Prba.g_01763	Prap.g_01217
OG0000110	Prba.g_01747	Prap.g_01200
OG0000111	Prba.g_01666	Prap.g_00375
OG0000112	Prba.g_01665	Prap.g_00374
OG0000113	Prba.g_01572	Prap.g_00324
OG0000114	Prba.g_01501	Prap.g_00785
OG0000115	Prba.g_01337	Prap.g_00257
OG0000116	Prba.g_01333	Prap.g_00261
OG0000117	Prba.g_01267	Prap.g_00705
OG0000118	Prba.g_01216	Prap.g_00501
OG0000119	Prba.g_00094	Prap.g_01880
OG0000120	Prba.g_00057	Prap.g_00450
OG0000121	Prba.g_00038	Prap.g_00427
OG0000122	Prba.g_00019	Prap.g_00407
OG0000123	Prba.g_00006	Prap.g_01135
OG0000124	Prba.g_01084	Prap.g_00217
OG0000125	Prba.g_01204	Prap.g_00574
OG0000126	Prba.g_00196	Prap.g_00059
OG0000127	Prba.g_00110	Prap.g_00109
OG0000128	Prba.g_00712	Prap.g_00122
OG0000129	Prba.g_00676, Prba.g_00351	Prap.g_00158
OG0000130	Prba.g_00228	Prap.g_01782
OG0000131	Prba.g_00584	Prap.g_01742
OG0000132	Prba.g_00581	Prap.g_01739
OG0000133	Prba.g_00388	Prap.g_01685
OG0000134	Prba.g_00424	Prap.g_01648, Prap.g_01649
OG0000135	Prba.g_00426	Prap.g_01646
OG0000136	Prba.g_00752	Prap.g_01596
OG0000137	Prba.g_00785	Prap.g_01562
OG0000138	Prba.g_00821	Prap.g_01528
OG0000139	Prba.g_00848, Prba.g_01776	Prap.g_01497
OG0000140	Prba.g_01794	Prap.g_00053
OG0000141	Prba.g_01795	Prap.g_00052
OG0000142	Prba.g_01797	Prap.g_00050
OG0000143	Prba.g_01798	Prap.g_00049
OG0000144	Prba.g_01800	Prap.g_00047
OG0000145	Prba.g_01801	Prap.g_00046
OG0000146	Prba.g_01802	Prap.g_00045
OG0000147	Prba.g_01803	Prap.g_00044
OG0000148	Prba.g_01805	Prap.g_00042
OG0000149	Prba.g_01807	Prap.g_00941
OG0000150	Prba.g_01808	Prap.g_00940
OG0000151	Prba.g_01809	Prap.g_00939
OG0000152	Prba.g_01810	Prap.g_00938
OG0000153	Prba.g_01811	Prap.g_00937
OG0000154	Prba.g_01812	Prap.g_00936
OG0000155	Prba.g_01813	Prap.g_00935
OG0000156	Prba.g_01814	Prap.g_00934
OG0000157	Prba.g_01815	Prap.g_00933
OG0000158	Prba.g_01817	Prap.g_00931
OG0000159	Prba.g_01818	Prap.g_00930
OG0000160	Prba.g_01819	Prap.g_00929
OG0000161	Prba.g_01820	Prap.g_00928
OG0000162	Prba.g_01821	Prap.g_00927
OG0000163	Prba.g_01822	Prap.g_00925
OG0000164	Prba.g_01825	Prap.g_00922
OG0000165	Prba.g_01828	Prap.g_00919
OG0000166	Prba.g_01829	Prap.g_00918
OG0000167	Prba.g_01830	Prap.g_00917
OG0000168	Prba.g_01834	Prap.g_00915
OG0000169	Prba.g_01836	Prap.g_00913
OG0000170	Prba.g_01837	Prap.g_00911
OG0000171	Prba.g_01838	Prap.g_00910
OG0000172	Prba.g_01839	Prap.g_00909
OG0000173	Prba.g_01840	Prap.g_00906
OG0000174	Prba.g_01841	Prap.g_00905
OG0000175	Prba.g_01842	Prap.g_00904
OG0000176	Prba.g_01844	Prap.g_00902
OG0000177	Prba.g_01845	Prap.g_00901
OG0000178	Prba.g_01846	Prap.g_00899
OG0000179	Prba.g_01852	Prap.g_00887
OG0000180	Prba.g_01853	Prap.g_00886
OG0000181	Prba.g_01854	Prap.g_00885
OG0000182	Prba.g_01857	Prap.g_00881
OG0000183	Prba.g_01858	Prap.g_00880
OG0000184	Prba.g_01861	Prap.g_00877
OG0000185	Prba.g_01865	Prap.g_01100
OG0000186	Prba.g_01866	Prap.g_01099
OG0000187	Prba.g_01867	Prap.g_00025
OG0000188	Prba.g_01868	Prap.g_01098
OG0000189	Prba.g_01869	Prap.g_01097
OG0000190	Prba.g_01870	Prap.g_01096
OG0000191	Prba.g_01871	Prap.g_01095
OG0000192	Prba.g_01872	Prap.g_01094
OG0000193	Prba.g_01873	Prap.g_01093
OG0000194	Prba.g_01874	Prap.g_01092
OG0000195	Prba.g_01876	Prap.g_01090
OG0000196	Prba.g_01877	Prap.g_01089
OG0000197	Prba.g_01878	Prap.g_01088
OG0000198	Prba.g_01879	Prap.g_01087
OG0000199	Prba.g_01882	Prap.g_01084
OG0000200	Prba.g_01883	Prap.g_01083
OG0000201	Prba.g_01884	Prap.g_01082
OG0000202	Prba.g_01885	Prap.g_01080
OG0000203	Prba.g_01886	Prap.g_01079
OG0000204	Prba.g_01887	Prap.g_01078
OG0000205	Prba.g_01888	Prap.g_01076
OG0000206	Prba.g_01889	Prap.g_01075
OG0000207	Prba.g_01890	Prap.g_01074
OG0000208	Prba.g_01891	Prap.g_01073
OG0000209	Prba.g_01892	Prap.g_01072
OG0000210	Prba.g_01894	Prap.g_01071
OG0000211	Prba.g_01895	Prap.g_01069
OG0000212	Prba.g_01896	Prap.g_01068
OG0000213	Prba.g_01897	Prap.g_01067
OG0000214	Prba.g_01899	Prap.g_01063
OG0000215	Prba.g_01900	Prap.g_01062
OG0000216	Prba.g_01902	Prap.g_01060
OG0000217	Prba.g_01903	Prap.g_01059
OG0000218	Prba.g_01904	Prap.g_01058
OG0000219	Prba.g_01905	Prap.g_01057
OG0000220	Prba.g_01908	Prap.g_01054
OG0000221	Prba.g_01910	Prap.g_01051
OG0000222	Prba.g_01911	Prap.g_01050
OG0000223	Prba.g_01912	Prap.g_01049
OG0000224	Prba.g_01915	Prap.g_01047
OG0000225	Prba.g_01917	Prap.g_01045
OG0000226	Prba.g_01918	Prap.g_01043
OG0000227	Prba.g_01919	Prap.g_01042
OG0000228	Prba.g_01920	Prap.g_01041
OG0000229	Prba.g_01921	Prap.g_01040
OG0000230	Prba.g_01922	Prap.g_01039
OG0000231	Prba.g_01924	Prap.g_00319
OG0000232	Prba.g_01925	Prap.g_01037
OG0000233	Prba.g_01928	Prap.g_01034
OG0000234	Prba.g_01930	Prap.g_01032
OG0000235	Prba.g_01933	Prap.g_01026
OG0000236	Prba.g_01934	Prap.g_01025
OG0000237	Prba.g_01935	Prap.g_01024
OG0000238	Prba.g_01936	Prap.g_01023
OG0000239	Prba.g_01937	Prap.g_01022
OG0000240	Prba.g_01939	Prap.g_01020
OG0000241	Prba.g_01940	Prap.g_01019
OG0000242	Prba.g_01941	Prap.g_01018
