Orthogroup	Prba	Prao
OG0000000	Prba.g_00203	Prao.g_01246
OG0000000	Prba.g_01639	Prao.g_00116
OG0000001	Prba.g_00003	Prao.g_01029
OG0000001	Prba.g_00270	Prao.g_01029
OG0000002	Prba.g_00211	Prao.g_01254
OG0000002	Prba.g_01081, Prba.g_01080	Prao.g_01852
OG0000003	Prba.g_00268	Prao.g_01518
OG0000003	Prba.g_01172	Prao.g_01296
OG0000004	Prba.g_01570	Prao.g_00673
OG0000004	Prba.g_01563	Prao.g_00679
OG0000004	Prba.g_01171	Prao.g_01301
OG0000005	Prba.g_00269	Prao.g_01515
OG0000006	Prba.g_00964	Prao.g_00603
OG0000006	Prba.g_00226	Prao.g_01552
OG0000007	Prba.g_01645	Prao.g_00111
OG0000008	Prba.g_00878	Prao.g_00517
OG0000008	Prba.g_00901	Prao.g_01333
OG0000009	Prba.g_01519	Prao.g_00720
OG0000009	Prba.g_00468	Prao.g_00387
OG0000010	Prba.g_00734	Prao.g_01142
OG0000010	Prba.g_01157	Prao.g_01316
OG0000011	Prba.g_00546	Prao.g_00466
OG0000012	Prba.g_01719	Prao.g_00036
OG0000013	Prba.g_01538	Prao.g_00703
OG0000014	Prba.g_00991	Prao.g_00576
OG0000014	Prba.g_01175	Prao.g_01293
OG0000015	Prba.g_00876	Prao.g_00515
OG0000016	Prba.g_00200	Prao.g_01243
OG0000017	Prba.g_00693	Prao.g_01417
OG0000018	Prba.g_00460	Prao.g_00379
OG0000019	Prba.g_00858	Prao.g_00500
OG0000019	Prba.g_00245	Prao.g_01346
OG0000020	Prba.g_00868	Prao.g_00509
OG0000021	Prba.g_01517	Prao.g_00722
OG0000022	Prba.g_01174	Prao.g_01294
OG0000023	Prba.g_01142	Prao.g_01342
OG0000024	Prba.g_00522	Prao.g_01213
OG0000025	Prba.g_01229, Prba.g_00899	Prao.g_01012
OG0000026	Prba.g_01826	Prao.g_00179
OG0000027	Prba.g_01567	Prao.g_00675
OG0000027	Prba.g_00301	Prao.g_01483
OG0000028	Prba.g_00713	Prao.g_01397
OG0000029	Prba.g_00275	Prao.g_01508
OG0000030	Prba.g_01832	Prao.g_00015
OG0000031	Prba.g_01168	Prao.g_01304
OG0000032	Prba.g_00173	Prao.g_01364, Prao.g_01355
OG0000033	Prba.g_01806	Prao.g_00160
OG0000034	Prba.g_00160	Prao.g_01358
OG0000035	Prba.g_01409	Prao.g_00831
OG0000035	Prba.g_01226	Prao.g_01015
OG0000036	Prba.g_01731	Prao.g_00024
OG0000037	Prba.g_01694	Prao.g_00062
OG0000038	Prba.g_01543	Prao.g_00699
OG0000039	Prba.g_00622	Prao.g_00304
OG0000040	Prba.g_00854	Prao.g_00494
OG0000041	Prba.g_01041	Prao.g_00532
OG0000042	Prba.g_01594	Prao.g_00648
OG0000043	Prba.g_01514	Prao.g_00725
OG0000044	Prba.g_00064	Prao.g_01089
OG0000045	Prba.g_00153	Prao.g_01191
OG0000046	Prba.g_00233	Prao.g_01545
OG0000047	Prba.g_00768	Prao.g_01743
OG0000048	Prba.g_00775	Prao.g_01750
OG0000050	Prba.g_01824	Prao.g_00177
