Orthogroup	Prab	Syap
OG0000004	Prab.g_00223	Syap.g_01987
OG0000005	Prab.g_01682	Syap.g_01773
OG0000005	Prab.g_01542	Syap.g_01218
OG0000006	Prab.g_00231	Syap.g_02770
OG0000007	Prab.g_00501	Syap.g_00275
OG0000007	Prab.g_01669	Syap.g_00621
OG0000009	Prab.g_00096	Syap.g_02081
OG0000010	Prab.g_01104	Syap.g_02757
OG0000013	Prab.g_00315	Syap.g_01397, Syap.g_00586, Syap.g_00580, Syap.g_00583, Syap.g_00972
OG0000014	Prab.g_00294	Syap.g_01675
OG0000014	Prab.g_01444, Prab.g_01445	Syap.g_00813
OG0000015	Prab.g_00789	Syap.g_02606, Syap.g_00786
OG0000016	Prab.g_00013	Syap.g_00071
OG0000017	Prab.g_00602	Syap.g_00449
OG0000018	Prab.g_00867	Syap.g_02708
OG0000018	Prab.g_01201	Syap.g_02010
OG0000019	Prab.g_00239, Prab.g_00820	Syap.g_01586
OG0000025	Prab.g_00319, Prab.g_00874	Syap.g_01846
OG0000027	Prab.g_00914, Prab.g_01616	Syap.g_01440
OG0000028	Prab.g_00308	Syap.g_01658
OG0000030	Prab.g_01867	Syap.g_00787, Syap.g_00788
OG0000031	Prab.g_01446	Syap.g_02479, Syap.g_01083, Syap.g_02076, Syap.g_00722
OG0000033	Prab.g_01400	Syap.g_01198
OG0000034	Prab.g_01336	Syap.g_02193, Syap.g_02614, Syap.g_02280
OG0000035	Prab.g_01466	Syap.g_02125, Syap.g_02465
OG0000037	Prab.g_00100	Syap.g_02492
OG0000038	Prab.g_01908	Syap.g_00139
OG0000039	Prab.g_00691	Syap.g_01749, Syap.g_01748
OG0000040	Prab.g_01200	Syap.g_01819
OG0000041	Prab.g_01715	Syap.g_01510
OG0000042	Prab.g_01864	Syap.g_01891, Syap.g_01120
OG0000044	Prab.g_01648	Syap.g_00378
OG0000048	Prab.g_00411, Prab.g_00363	Syap.g_02340
OG0000051	Prab.g_01643, Prab.g_01304	Syap.g_01574
OG0000053	Prab.g_01486	Syap.g_02006
OG0000054	Prab.g_00610	Syap.g_00678, Syap.g_02652, Syap.g_00774
OG0000057	Prab.g_00703	Syap.g_01569
OG0000059	Prab.g_01754	Syap.g_01918
OG0000060	Prab.g_00784	Syap.g_00795
OG0000061	Prab.g_01219	Syap.g_00228
OG0000062	Prab.g_01544	Syap.g_01220
OG0000063	Prab.g_00033	Syap.g_01796
OG0000066	Prab.g_00543	Syap.g_01972
OG0000067	Prab.g_00840	Syap.g_00194
OG0000068	Prab.g_01360	Syap.g_00108, Syap.g_00144
OG0000069	Prab.g_01585	Syap.g_01936, Syap.g_01543, Syap.g_01545
OG0000070	Prab.g_00456	Syap.g_00930, Syap.g_00931, Syap.g_00966, Syap.g_00802, Syap.g_00915, Syap.g_00953
OG0000071	Prab.g_01637, Prab.g_01326	Syap.g_01483
OG0000072	Prab.g_00162	Syap.g_00555
OG0000073	Prab.g_00503	Syap.g_01020, Syap.g_00273
OG0000075	Prab.g_01834	Syap.g_01064, Syap.g_00664
OG0000076	Prab.g_01857	Syap.g_01111
OG0000077	Prab.g_00070	Syap.g_00416
OG0000078	Prab.g_00229	Syap.g_01149
OG0000079	Prab.g_00242	Syap.g_01589
OG0000080	Prab.g_01404, Prab.g_01406	Syap.g_01707, Syap.g_00630, Syap.g_01035
OG0000085	Prab.g_01662	Syap.g_00611
OG0000087	Prab.g_00129	Syap.g_02617, Syap.g_02202, Syap.g_02203
OG0000088	Prab.g_00157	Syap.g_01202
OG0000089	Prab.g_00343	Syap.g_00115, Syap.g_02042
OG0000090	Prab.g_00537	Syap.g_01451
OG0000091	Prab.g_00647	Syap.g_01861
OG0000094	Prab.g_00948	Syap.g_02781
OG0000095	Prab.g_01299	Syap.g_01556
OG0000098	Prab.g_01346	Syap.g_01975
OG0000099	Prab.g_01394	Syap.g_01385
OG0000101	Prab.g_01802	Syap.g_00472
OG0000102	Prab.g_01862	Syap.g_01116
OG0000103	Prab.g_01942	Syap.g_02607, Syap.g_02608
OG0000104	Prab.g_01951	Syap.g_02321, Syap.g_00051, Syap.g_02320, Syap.g_02318
OG0000105	Prab.g_00262	Syap.g_01369, Syap.g_01368
OG0000107	Prab.g_00375	Syap.g_02496
OG0000108	Prab.g_00484	Syap.g_02256, Syap.g_00733, Syap.g_02255
OG0000109	Prab.g_00498	Syap.g_00279, Syap.g_02237
OG0000110	Prab.g_00579	Syap.g_01313
OG0000111	Prab.g_00704	Syap.g_01566, Syap.g_01568
OG0000112	Prab.g_00804	Syap.g_02023
OG0000113	Prab.g_00862	Syap.g_02714
OG0000114	Prab.g_01068	Syap.g_01255
OG0000115	Prab.g_01156	Syap.g_02004
OG0000116	Prab.g_01209	Syap.g_00241
OG0000117	Prab.g_00717	Syap.g_01889
OG0000118	Prab.g_01338	Syap.g_02286
OG0000120	Prab.g_01447	Syap.g_02075
OG0000121	Prab.g_01468	Syap.g_02471
OG0000123	Prab.g_01809	Syap.g_00100, Syap.g_00099, Syap.g_00098, Syap.g_00464
OG0000124	Prab.g_01873	Syap.g_02456, Syap.g_02457, Syap.g_01130
OG0000125	Prab.g_01910	Syap.g_01046, Syap.g_01047
OG0000126	Prab.g_01950	Syap.g_02317, Syap.g_02316, Syap.g_02576
OG0000128	Prab.g_00011	Syap.g_00069
OG0000129	Prab.g_00043	Syap.g_00130, Syap.g_00129
OG0000130	Prab.g_00061	Syap.g_01688, Syap.g_01689
OG0000131	Prab.g_00136	Syap.g_02189
OG0000132	Prab.g_00155	Syap.g_01205
OG0000133	Prab.g_00310	Syap.g_02017
OG0000134	Prab.g_00344	Syap.g_02047
OG0000135	Prab.g_00371	Syap.g_02090
OG0000136	Prab.g_00444	Syap.g_00089
OG0000137	Prab.g_00479	Syap.g_02756
OG0000138	Prab.g_00499	Syap.g_00278
OG0000139	Prab.g_00541	Syap.g_00410
OG0000140	Prab.g_00542	Syap.g_01976
OG0000141	Prab.g_00611	Syap.g_01541, Syap.g_01542, Syap.g_01544
OG0000142	Prab.g_00640	Syap.g_00895, Syap.g_00894
OG0000143	Prab.g_00644	Syap.g_00900, Syap.g_00899, Syap.g_00901
OG0000144	Prab.g_00657	Syap.g_02504, Syap.g_02503, Syap.g_02502, Syap.g_02772
OG0000145	Prab.g_00783	Syap.g_01860, Syap.g_01859
OG0000146	Prab.g_00805	Syap.g_02024
OG0000147	Prab.g_00806	Syap.g_02025
OG0000148	Prab.g_00856	Syap.g_02720
OG0000149	Prab.g_00886	Syap.g_00824
OG0000150	Prab.g_00894	Syap.g_01540
OG0000151	Prab.g_01058	Syap.g_00142
OG0000152	Prab.g_01010	Syap.g_02012
OG0000153	Prab.g_00991	Syap.g_02682
OG0000154	Prab.g_00955	Syap.g_02761, Syap.g_02760, Syap.g_01876
OG0000155	Prab.g_01239	Syap.g_02777, Syap.g_01878, Syap.g_01879
OG0000156	Prab.g_01315	Syap.g_00248, Syap.g_00284, Syap.g_00283
OG0000157	Prab.g_01316	Syap.g_00249, Syap.g_00286
OG0000158	Prab.g_01379	Syap.g_01075
OG0000159	Prab.g_01392	Syap.g_00700
OG0000160	Prab.g_01467	Syap.g_02470, Syap.g_02469
OG0000161	Prab.g_01473	Syap.g_02476
OG0000162	Prab.g_01479	Syap.g_02531
OG0000164	Prab.g_01693	Syap.g_01391, Syap.g_01392
OG0000165	Prab.g_01700	Syap.g_01381, Syap.g_01382
OG0000166	Prab.g_01766	Syap.g_00512, Syap.g_01238
OG0000167	Prab.g_01832	Syap.g_02080
OG0000168	Prab.g_01841	Syap.g_01076
OG0000169	Prab.g_01851	Syap.g_01049, Syap.g_01093
OG0000170	Prab.g_01853	Syap.g_01467, Syap.g_01106, Syap.g_01468
OG0000171	Prab.g_01872	Syap.g_01128, Syap.g_02454, Syap.g_02453
OG0000172	Prab.g_01881	Syap.g_01143, Syap.g_00635
OG0000173	Prab.g_01896	Syap.g_01213, Syap.g_00982, Syap.g_00983
OG0000174	Prab.g_01924	Syap.g_02092
OG0000175	Prab.g_01934	Syap.g_02654
OG0000176	Prab.g_00004	Syap.g_00059
OG0000177	Prab.g_00005	Syap.g_00061, Syap.g_00060
OG0000178	Prab.g_00006	Syap.g_00062
OG0000179	Prab.g_00016	Syap.g_00077, Syap.g_02638
OG0000180	Prab.g_00017	Syap.g_00078, Syap.g_02640
OG0000181	Prab.g_00018	Syap.g_00079, Syap.g_02641
OG0000182	Prab.g_00019	Syap.g_00080, Syap.g_02642
OG0000183	Prab.g_00023	Syap.g_00084
OG0000184	Prab.g_00045	Syap.g_01337
OG0000185	Prab.g_00048	Syap.g_01322
OG0000186	Prab.g_00056	Syap.g_01684
OG0000187	Prab.g_00057	Syap.g_01686
OG0000188	Prab.g_00074	Syap.g_02547
OG0000191	Prab.g_00108	Syap.g_02233
OG0000192	Prab.g_00112	Syap.g_02224
OG0000193	Prab.g_00137	Syap.g_02187, Syap.g_02188
OG0000194	Prab.g_00140	Syap.g_02183
OG0000195	Prab.g_00142	Syap.g_02180
OG0000196	Prab.g_00152	Syap.g_01208, Syap.g_02167
OG0000197	Prab.g_00153	Syap.g_01207, Syap.g_02166
OG0000198	Prab.g_00154	Syap.g_01206
OG0000199	Prab.g_00161	Syap.g_01197
OG0000200	Prab.g_00175	Syap.g_01181
OG0000201	Prab.g_00183	Syap.g_02265
OG0000202	Prab.g_00184	Syap.g_02264
OG0000203	Prab.g_00185	Syap.g_01601
OG0000204	Prab.g_00186	Syap.g_01602
OG0000205	Prab.g_00193	Syap.g_01616
OG0000206	Prab.g_00198	Syap.g_01628
OG0000207	Prab.g_00200	Syap.g_01426, Syap.g_00424
OG0000208	Prab.g_00201	Syap.g_00426, Syap.g_01425
OG0000209	Prab.g_00210	Syap.g_01906
OG0000210	Prab.g_00211	Syap.g_01905
OG0000211	Prab.g_00224	Syap.g_01160
OG0000212	Prab.g_00230	Syap.g_02664
OG0000213	Prab.g_00247	Syap.g_00107, Syap.g_01599
OG0000214	Prab.g_00256	Syap.g_02344, Syap.g_02345
OG0000215	Prab.g_00280	Syap.g_01347, Syap.g_01629
OG0000216	Prab.g_00282	Syap.g_01634
OG0000217	Prab.g_00285	Syap.g_01638
OG0000218	Prab.g_00287	Syap.g_01641, Syap.g_01640
OG0000219	Prab.g_00288	Syap.g_01642, Syap.g_01643
OG0000220	Prab.g_00289	Syap.g_01645
OG0000221	Prab.g_00290	Syap.g_01646
OG0000222	Prab.g_00298	Syap.g_01669
OG0000223	Prab.g_00311	Syap.g_02072, Syap.g_02073
OG0000224	Prab.g_00313	Syap.g_02064
OG0000225	Prab.g_00333	Syap.g_00553, Syap.g_00552
OG0000226	Prab.g_00337	Syap.g_02029, Syap.g_02144
OG0000227	Prab.g_00339	Syap.g_02147, Syap.g_02034, Syap.g_02033
OG0000228	Prab.g_00342	Syap.g_00116, Syap.g_02041
OG0000229	Prab.g_00439	Syap.g_02059
OG0000230	Prab.g_00441	Syap.g_02061
OG0000231	Prab.g_00455	Syap.g_02533
OG0000232	Prab.g_00463	Syap.g_02510, Syap.g_02511
OG0000233	Prab.g_00468	Syap.g_02133
OG0000234	Prab.g_00480	Syap.g_02755
OG0000235	Prab.g_00483	Syap.g_00732, Syap.g_02258
