Orthogroup	Prab	Prbk
OG0000000	Prab.g_00915, Prab.g_01617	Prbk.g_00167, Prbk.g_00166
OG0000000	Prab.g_00760, Prab.g_01630, Prab.g_01598	Prbk.g_00165
OG0000002	Prab.g_00683	Prbk.g_01649
OG0000004	Prab.g_00700	Prbk.g_01760
OG0000004	Prab.g_00223	Prbk.g_01134
OG0000005	Prab.g_01542	Prbk.g_00933
OG0000006	Prab.g_00231	Prbk.g_02695
OG0000007	Prab.g_01669	Prbk.g_00907
OG0000009	Prab.g_00096	Prbk.g_01932, Prbk.g_00013
OG0000010	Prab.g_01104	Prbk.g_02112
OG0000011	Prab.g_01624	Prbk.g_01851
OG0000012	Prab.g_00627	Prbk.g_02610
OG0000013	Prab.g_00315	Prbk.g_00853
OG0000014	Prab.g_00294	Prbk.g_00454
OG0000015	Prab.g_00789	Prbk.g_02558
OG0000017	Prab.g_00602	Prbk.g_01142, Prbk.g_01150
OG0000018	Prab.g_01201	Prbk.g_01227
OG0000019	Prab.g_00239, Prab.g_00820	Prbk.g_01644, Prbk.g_01004
OG0000020	Prab.g_00379	Prbk.g_01331, Prbk.g_02697
OG0000021	Prab.g_00354	Prbk.g_01960, Prbk.g_01137
OG0000022	Prab.g_01182	Prbk.g_01667
OG0000022	Prab.g_00782	Prbk.g_00212
OG0000023	Prab.g_00348	Prbk.g_02448
OG0000024	Prab.g_00763, Prab.g_00680	Prbk.g_01780
OG0000025	Prab.g_00319, Prab.g_00874	Prbk.g_02531
OG0000026	Prab.g_01629, Prab.g_00031, Prab.g_01111	Prbk.g_01617
OG0000028	Prab.g_00308	Prbk.g_00469
OG0000029	Prab.g_00773	Prbk.g_00833
OG0000030	Prab.g_01867	Prbk.g_01532, Prbk.g_01533
OG0000031	Prab.g_01446	Prbk.g_00534, Prbk.g_00539
OG0000033	Prab.g_01400	Prbk.g_00776
OG0000034	Prab.g_01336	Prbk.g_01171
OG0000035	Prab.g_01466	Prbk.g_00259
OG0000037	Prab.g_00100	Prbk.g_00007
OG0000038	Prab.g_01908	Prbk.g_02164, Prbk.g_02166
OG0000039	Prab.g_00691	Prbk.g_01385, Prbk.g_00642
OG0000041	Prab.g_01715	Prbk.g_01406
OG0000042	Prab.g_01864	Prbk.g_01495, Prbk.g_00140
OG0000044	Prab.g_01648	Prbk.g_01462, Prbk.g_01351, Prbk.g_02675, Prbk.g_01732
OG0000047	Prab.g_00318	Prbk.g_01202
OG0000048	Prab.g_00411, Prab.g_00363	Prbk.g_00405
OG0000053	Prab.g_01486	Prbk.g_01230
OG0000054	Prab.g_00610	Prbk.g_01153
OG0000057	Prab.g_00703	Prbk.g_01765
OG0000059	Prab.g_01754	Prbk.g_00992
OG0000060	Prab.g_00784	Prbk.g_02058, Prbk.g_01286
OG0000061	Prab.g_01219	Prbk.g_01019
OG0000062	Prab.g_01544	Prbk.g_00931
OG0000063	Prab.g_00033	Prbk.g_01613
OG0000065	Prab.g_00098	Prbk.g_00011
OG0000066	Prab.g_00543	Prbk.g_01094
OG0000067	Prab.g_00840	Prbk.g_02468
OG0000068	Prab.g_01360	Prbk.g_02052
OG0000070	Prab.g_00456	Prbk.g_00310
OG0000071	Prab.g_01637, Prab.g_01326	Prbk.g_01183
OG0000072	Prab.g_00162	Prbk.g_00778
OG0000073	Prab.g_00503	Prbk.g_01862
OG0000075	Prab.g_01834	Prbk.g_00514
OG0000076	Prab.g_01857	Prbk.g_00237
OG0000077	Prab.g_00070	Prbk.g_00307, Prbk.g_01308
OG0000078	Prab.g_00229	Prbk.g_01515
OG0000079	Prab.g_00242	Prbk.g_01000
OG0000081	Prab.g_00535	Prbk.g_00733, Prbk.g_01772
OG0000082	Prab.g_00589	Prbk.g_01122
OG0000084	Prab.g_01462	Prbk.g_00255
OG0000085	Prab.g_01662	Prbk.g_00919
OG0000086	Prab.g_00080	Prbk.g_01295
OG0000087	Prab.g_00129	Prbk.g_00559
OG0000088	Prab.g_00157	Prbk.g_00773, Prbk.g_01836
OG0000089	Prab.g_00343	Prbk.g_00364
OG0000090	Prab.g_00537	Prbk.g_01080
OG0000091	Prab.g_00647	Prbk.g_02639
OG0000093	Prab.g_01042	Prbk.g_02444
OG0000094	Prab.g_00948	Prbk.g_02190
OG0000095	Prab.g_01299	Prbk.g_00056
OG0000097	Prab.g_01260	Prbk.g_00189
OG0000098	Prab.g_01346	Prbk.g_01199
OG0000099	Prab.g_01394	Prbk.g_00476
OG0000100	Prab.g_01540	Prbk.g_01360, Prbk.g_02498
OG0000101	Prab.g_01802	Prbk.g_00796, Prbk.g_00944
OG0000102	Prab.g_01862	Prbk.g_01484
OG0000103	Prab.g_01942	Prbk.g_02260
OG0000104	Prab.g_01951	Prbk.g_02274
OG0000105	Prab.g_00262	Prbk.g_00409
OG0000106	Prab.g_00359	Prbk.g_00925
OG0000107	Prab.g_00375	Prbk.g_01902
OG0000108	Prab.g_00484	Prbk.g_02061
OG0000109	Prab.g_00498	Prbk.g_02077
OG0000110	Prab.g_00579	Prbk.g_01110
OG0000111	Prab.g_00704	Prbk.g_01766
OG0000112	Prab.g_00804	Prbk.g_02332
OG0000113	Prab.g_00862	Prbk.g_02493
OG0000114	Prab.g_01068	Prbk.g_02396
OG0000115	Prab.g_01156	Prbk.g_01234
OG0000116	Prab.g_01209	Prbk.g_01034
OG0000117	Prab.g_00717	Prbk.g_01496
OG0000118	Prab.g_01338	Prbk.g_01169
OG0000119	Prab.g_01356	Prbk.g_01746, Prbk.g_01786
OG0000120	Prab.g_01447	Prbk.g_00477
OG0000121	Prab.g_01468	Prbk.g_00267, Prbk.g_00261
OG0000122	Prab.g_01506	Prbk.g_02664
OG0000123	Prab.g_01809	Prbk.g_00805
OG0000124	Prab.g_01873	Prbk.g_01539
OG0000125	Prab.g_01910	Prbk.g_02168
OG0000126	Prab.g_01950	Prbk.g_02272
OG0000128	Prab.g_00011	Prbk.g_02290
OG0000129	Prab.g_00043	Prbk.g_02156
OG0000130	Prab.g_00061	Prbk.g_01320
OG0000131	Prab.g_00136	Prbk.g_00751
OG0000132	Prab.g_00155	Prbk.g_00771
OG0000133	Prab.g_00310	Prbk.g_00472
OG0000134	Prab.g_00344	Prbk.g_00361
OG0000135	Prab.g_00371	Prbk.g_02209
OG0000136	Prab.g_00444	Prbk.g_00323
OG0000137	Prab.g_00479	Prbk.g_02113
OG0000138	Prab.g_00499	Prbk.g_02078
OG0000139	Prab.g_00541	Prbk.g_01086
OG0000140	Prab.g_00542	Prbk.g_01092
OG0000141	Prab.g_00611	Prbk.g_01154
OG0000142	Prab.g_00640	Prbk.g_02631
OG0000143	Prab.g_00644	Prbk.g_02635
OG0000144	Prab.g_00657	Prbk.g_00739
OG0000145	Prab.g_00783	Prbk.g_01863
OG0000146	Prab.g_00805	Prbk.g_02333
OG0000147	Prab.g_00806	Prbk.g_02334
OG0000148	Prab.g_00856	Prbk.g_02487
OG0000149	Prab.g_00886	Prbk.g_02544
OG0000150	Prab.g_00894	Prbk.g_02567
OG0000151	Prab.g_01058	Prbk.g_02417
