Orthogroup	Prat	Syam
OG0000001	Prat.g_01285, Prat.g_01286, Prat.g_00851	Syam.g_00946
OG0000002	Prat.g_00977, Prat.g_01184, Prat.g_01487, Prat.g_01182, Prat.g_01187, Prat.g_01462, Prat.g_00751	Syam.g_00931
OG0000004	Prat.g_00772	Syam.g_00787
OG0000004	Prat.g_00236	Syam.g_01499, Syam.g_00501
OG0000005	Prat.g_01440	Syam.g_01970
OG0000006	Prat.g_00248	Syam.g_00286, Syam.g_00518
OG0000007	Prat.g_00458	Syam.g_00602
OG0000007	Prat.g_01592	Syam.g_01990
OG0000008	Prat.g_00376	Syam.g_00810
OG0000008	Prat.g_00377	Syam.g_00811
OG0000010	Prat.g_00682, Prat.g_00662, Prat.g_00433	Syam.g_01669
OG0000012	Prat.g_00586	Syam.g_01492
OG0000013	Prat.g_00334	Syam.g_00421, Syam.g_00404, Syam.g_00409
OG0000014	Prat.g_00314	Syam.g_00191
OG0000015	Prat.g_00701	Syam.g_01218, Syam.g_01362
OG0000016	Prat.g_00014	Syam.g_00014
OG0000016	Prat.g_01219	Syam.g_00876, Syam.g_01011
OG0000017	Prat.g_00567	Syam.g_01708
OG0000017	Prat.g_00560	Syam.g_01715
OG0000018	Prat.g_01177, Prat.g_01009	Syam.g_01640
OG0000019	Prat.g_00255, Prat.g_01180	Syam.g_00274
OG0000021	Prat.g_00461	Syam.g_00523
OG0000022	Prat.g_01192, Prat.g_01448	Syam.g_01418
OG0000023	Prat.g_00834	Syam.g_01217, Syam.g_01553, Syam.g_01583, Syam.g_01075, Syam.g_01943
OG0000024	Prat.g_00622, Prat.g_00749	Syam.g_00815
OG0000025	Prat.g_01003	Syam.g_00740
OG0000026	Prat.g_00033	Syam.g_00035
OG0000027	Prat.g_01548, Prat.g_01474	Syam.g_01442, Syam.g_00989
OG0000028	Prat.g_00327, Prat.g_00380	Syam.g_00176
OG0000030	Prat.g_01799	Syam.g_00104, Syam.g_00103
OG0000032	Prat.g_01394	Syam.g_01660
OG0000033	Prat.g_00170	Syam.g_02217
OG0000034	Prat.g_01259	Syam.g_02185, Syam.g_01843, Syam.g_02187
OG0000035	Prat.g_01352, Prat.g_01353	Syam.g_01612
OG0000037	Prat.g_00106	Syam.g_02125
OG0000038	Prat.g_01839	Syam.g_02317
OG0000039	Prat.g_00760	Syam.g_00749
OG0000041	Prat.g_01640	Syam.g_01899
OG0000042	Prat.g_01796	Syam.g_00107
OG0000044	Prat.g_00619	Syam.g_01562
OG0000045	Prat.g_01203	Syam.g_02028
OG0000046	Prat.g_00335	Syam.g_00403, Syam.g_00410, Syam.g_00420
OG0000047	Prat.g_00374	Syam.g_00434
OG0000048	Prat.g_00278	Syam.g_00243
OG0000052	Prat.g_00058	Syam.g_00161
OG0000053	Prat.g_01375	Syam.g_01636
OG0000054	Prat.g_00569	Syam.g_01515
OG0000055	Prat.g_00852	Syam.g_00754
OG0000057	Prat.g_00775	Syam.g_00784
OG0000058	Prat.g_01311	Syam.g_00169
OG0000059	Prat.g_01679	Syam.g_00320
OG0000061	Prat.g_01156	Syam.g_01795
OG0000062	Prat.g_01442	Syam.g_01972
OG0000063	Prat.g_01516	Syam.g_00039
OG0000064	Prat.g_00064	Syam.g_02363, Syam.g_01415, Syam.g_01414, Syam.g_00978, Syam.g_01964
OG0000065	Prat.g_00104	Syam.g_02121
OG0000066	Prat.g_01499	Syam.g_00552, Syam.g_00662
OG0000067	Prat.g_01037	Syam.g_01290
OG0000068	Prat.g_01291	Syam.g_00575
OG0000070	Prat.g_00412	Syam.g_01847
OG0000071	Prat.g_01249	Syam.g_01830
OG0000072	Prat.g_00172	Syam.g_02219
OG0000073	Prat.g_00462	Syam.g_00604
OG0000074	Prat.g_01577	Syam.g_00533
OG0000075	Prat.g_01761	Syam.g_00148
OG0000076	Prat.g_01788	Syam.g_00115
OG0000077	Prat.g_00075	Syam.g_02074
OG0000078	Prat.g_00245	Syam.g_00514
OG0000079	Prat.g_00258	Syam.g_00270
OG0000081	Prat.g_00493	Syam.g_00520
OG0000082	Prat.g_01507	Syam.g_01730
OG0000085	Prat.g_01584	Syam.g_01979
OG0000086	Prat.g_00086	Syam.g_02092
OG0000087	Prat.g_00138	Syam.g_02175
OG0000088	Prat.g_00166	Syam.g_02213
OG0000089	Prat.g_00370	Syam.g_00489
OG0000090	Prat.g_00495	Syam.g_00651
OG0000091	Prat.g_01082	Syam.g_01460
OG0000093	Prat.g_01053	Syam.g_01305
OG0000097	Prat.g_01111	Syam.g_00874
OG0000098	Prat.g_01282	Syam.g_00944
OG0000099	Prat.g_01312	Syam.g_00173
OG0000100	Prat.g_01437	Syam.g_01259
OG0000101	Prat.g_01726	Syam.g_00371
OG0000102	Prat.g_01793	Syam.g_00110
OG0000103	Prat.g_01880	Syam.g_02428
OG0000104	Prat.g_01889	Syam.g_02442
OG0000105	Prat.g_00281	Syam.g_00238
OG0000106	Prat.g_00637	Syam.g_01039
OG0000107	Prat.g_01656	Syam.g_00288
OG0000108	Prat.g_00440	Syam.g_00583
OG0000109	Prat.g_00455	Syam.g_00598
OG0000110	Prat.g_00539	Syam.g_01743
OG0000112	Prat.g_00888	Syam.g_01115
OG0000113	Prat.g_01014	Syam.g_01264
OG0000114	Prat.g_00716	Syam.g_01349
OG0000115	Prat.g_01373	Syam.g_01634
OG0000116	Prat.g_01166	Syam.g_01807
OG0000117	Prat.g_01129	Syam.g_00904
OG0000118	Prat.g_01261	Syam.g_01698
OG0000120	Prat.g_00344	Syam.g_00172
OG0000121	Prat.g_01355	Syam.g_01615
OG0000122	Prat.g_00781, Prat.g_01398	Syam.g_01436
OG0000123	Prat.g_01733	Syam.g_00379
OG0000124	Prat.g_01805	Syam.g_00096
OG0000125	Prat.g_01841	Syam.g_02319
OG0000126	Prat.g_01888	Syam.g_02440
OG0000128	Prat.g_00012, Prat.g_00011	Syam.g_00012
OG0000129	Prat.g_00047	Syam.g_02307
OG0000130	Prat.g_00066	Syam.g_02062
OG0000131	Prat.g_00144	Syam.g_02191
OG0000132	Prat.g_00164	Syam.g_02211
OG0000133	Prat.g_00329	Syam.g_01120
OG0000134	Prat.g_00372	Syam.g_00492
OG0000135	Prat.g_01477	Syam.g_02347
OG0000136	Prat.g_00401	Syam.g_01857
OG0000137	Prat.g_00434	Syam.g_01668
OG0000138	Prat.g_00456	Syam.g_00599
OG0000139	Prat.g_00499	Syam.g_00657
OG0000140	Prat.g_00500	Syam.g_00659
OG0000141	Prat.g_00570	Syam.g_01514
OG0000142	Prat.g_01090	Syam.g_01468
OG0000143	Prat.g_01086	Syam.g_01464
OG0000144	Prat.g_01072	Syam.g_01032
OG0000145	Prat.g_01472	Syam.g_00605
OG0000146	Prat.g_00887	Syam.g_01114
OG0000147	Prat.g_00886	Syam.g_01113
OG0000148	Prat.g_01020	Syam.g_01270
OG0000149	Prat.g_00991	Syam.g_00725
OG0000150	Prat.g_00981	Syam.g_00660
OG0000151	Prat.g_00726	Syam.g_01338
OG0000152	Prat.g_00896, Prat.g_01277	Syam.g_01124
OG0000153	Prat.g_00915	Syam.g_01160
OG0000154	Prat.g_00934	Syam.g_01187
OG0000155	Prat.g_01135	Syam.g_01763
OG0000156	Prat.g_01238	Syam.g_01814
OG0000157	Prat.g_01239	Syam.g_01815
OG0000158	Prat.g_01769	Syam.g_00139
OG0000160	Prat.g_01354	Syam.g_01614
OG0000161	Prat.g_01360	Syam.g_01620
OG0000162	Prat.g_01366	Syam.g_01627
OG0000163	Prat.g_01409	Syam.g_01927
OG0000164	Prat.g_01615	Syam.g_02023
OG0000165	Prat.g_01623	Syam.g_01879, Syam.g_01878
OG0000166	Prat.g_01690	Syam.g_00330
OG0000167	Prat.g_01759	Syam.g_00151
OG0000168	Prat.g_01770	Syam.g_00138
OG0000169	Prat.g_01781	Syam.g_00127
OG0000170	Prat.g_01784	Syam.g_00120
OG0000171	Prat.g_01804	Syam.g_00097
OG0000172	Prat.g_01811	Syam.g_00075
OG0000173	Prat.g_01826	Syam.g_00057
OG0000174	Prat.g_01858	Syam.g_02349
OG0000175	Prat.g_01870	Syam.g_02417
OG0000176	Prat.g_00004	Syam.g_00004
OG0000177	Prat.g_00005	Syam.g_00005
OG0000178	Prat.g_00006	Syam.g_00006
OG0000179	Prat.g_00017	Syam.g_00021
OG0000180	Prat.g_00018	Syam.g_00022
OG0000181	Prat.g_00019	Syam.g_00023
OG0000182	Prat.g_00020	Syam.g_00024
OG0000183	Prat.g_01314, Prat.g_00024	Syam.g_00028
OG0000184	Prat.g_00051	Syam.g_02298
OG0000185	Prat.g_00054	Syam.g_02295
OG0000186	Prat.g_00060	Syam.g_02058
OG0000187	Prat.g_00061	Syam.g_02059
OG0000188	Prat.g_00080	Syam.g_02081
OG0000189	Prat.g_00093	Syam.g_02108
