Orthogroup	Prat	Prab
OG0000000	Prat.g_01191	Prab.g_00915, Prab.g_01617
OG0000000	Prat.g_01549	Prab.g_00760, Prab.g_01630, Prab.g_01598
OG0000002	Prat.g_01184, Prat.g_01487, Prat.g_01182, Prat.g_01187, Prat.g_01462, Prat.g_00751	Prab.g_00683
OG0000004	Prat.g_00772	Prab.g_00700
OG0000004	Prat.g_00236	Prab.g_00223
OG0000005	Prat.g_01440	Prab.g_01542
OG0000006	Prat.g_00248	Prab.g_00231
OG0000007	Prat.g_00458	Prab.g_00501
OG0000007	Prat.g_01592	Prab.g_01669
OG0000009	Prat.g_01451	Prab.g_01584
OG0000010	Prat.g_00682, Prat.g_00662, Prat.g_00433	Prab.g_00478
OG0000011	Prat.g_01532	Prab.g_00799
OG0000012	Prat.g_00586	Prab.g_00627
OG0000013	Prat.g_00334	Prab.g_00315
OG0000014	Prat.g_00314	Prab.g_00294
OG0000014	Prat.g_01267	Prab.g_01444, Prab.g_01445
OG0000015	Prat.g_00701	Prab.g_00789
OG0000016	Prat.g_00014	Prab.g_00013
OG0000016	Prat.g_01219	Prab.g_01579
OG0000017	Prat.g_00560	Prab.g_00602
OG0000018	Prat.g_01177	Prab.g_01201
OG0000018	Prat.g_01009	Prab.g_00867
OG0000019	Prat.g_00255	Prab.g_00239
OG0000019	Prat.g_01180	Prab.g_00820
OG0000020	Prat.g_01470	Prab.g_01162
OG0000020	Prat.g_00648	Prab.g_00379
OG0000021	Prat.g_00854	Prab.g_00354
OG0000022	Prat.g_01192	Prab.g_00782
OG0000022	Prat.g_01448	Prab.g_01182
OG0000023	Prat.g_00834	Prab.g_00348
OG0000024	Prat.g_00622	Prab.g_00763
OG0000024	Prat.g_00749	Prab.g_00680
OG0000025	Prat.g_01003	Prab.g_00874, Prab.g_00319
OG0000026	Prat.g_00033	Prab.g_01629, Prab.g_00031, Prab.g_01111
OG0000027	Prat.g_01474	Prab.g_00914, Prab.g_01616
OG0000028	Prat.g_00327	Prab.g_00308
OG0000030	Prat.g_01799	Prab.g_01867
OG0000031	Prat.g_01266	Prab.g_01446
OG0000033	Prat.g_01265	Prab.g_01400
OG0000033	Prat.g_00170	Prab.g_00160
OG0000034	Prat.g_01259	Prab.g_01336
OG0000035	Prat.g_01353	Prab.g_01466
OG0000037	Prat.g_00106	Prab.g_00100
OG0000038	Prat.g_01839	Prab.g_01908
OG0000039	Prat.g_00760	Prab.g_00691
OG0000040	Prat.g_01578	Prab.g_01623
OG0000041	Prat.g_01640	Prab.g_01715
OG0000042	Prat.g_01796	Prab.g_01864
OG0000043	Prat.g_01176	Prab.g_01100
OG0000045	Prat.g_01203	Prab.g_00360
OG0000048	Prat.g_00278	Prab.g_00411, Prab.g_00363
