Orthogroup	Prat	Syan
OG0000004	Prat.g_00772	Syan.g_00183
OG0000004	Prat.g_00236	Syan.g_00989
OG0000005	Prat.g_01440	Syan.g_01378
OG0000006	Prat.g_00248	Syan.g_00057, Syan.g_00936, Syan.g_01505, Syan.g_02101, Syan.g_02441
OG0000007	Prat.g_00458	Syan.g_02743
OG0000007	Prat.g_01592	Syan.g_01400
OG0000008	Prat.g_00376	Syan.g_00640, Syan.g_02532
OG0000008	Prat.g_00377	Syan.g_00641, Syan.g_02531
OG0000009	Prat.g_01451	Syan.g_02972
OG0000010	Prat.g_00682, Prat.g_00662, Prat.g_00433	Syan.g_02847
OG0000012	Prat.g_00586	Syan.g_01076, Syan.g_00452, Syan.g_02349, Syan.g_02485
OG0000013	Prat.g_00334	Syan.g_02156, Syan.g_02159, Syan.g_00101
OG0000014	Prat.g_00314	Syan.g_01987
OG0000016	Prat.g_00014	Syan.g_01766
OG0000016	Prat.g_01219	Syan.g_02598, Syan.g_00440
OG0000017	Prat.g_00567	Syan.g_01013
OG0000017	Prat.g_00560	Syan.g_01006
OG0000018	Prat.g_01177, Prat.g_01009	Syan.g_02816
OG0000019	Prat.g_00255, Prat.g_01180	Syan.g_02088
OG0000021	Prat.g_00854, Prat.g_00461	Syan.g_01001
OG0000022	Prat.g_01192, Prat.g_01448	Syan.g_00089
OG0000023	Prat.g_00834	Syan.g_00404
OG0000025	Prat.g_01003	Syan.g_00374
OG0000026	Prat.g_00033	Syan.g_01743
OG0000027	Prat.g_01548, Prat.g_01474	Syan.g_02678
OG0000028	Prat.g_00327, Prat.g_00380	Syan.g_01971
OG0000030	Prat.g_01799	Syan.g_01884, Syan.g_01883
OG0000032	Prat.g_01394	Syan.g_02835
OG0000033	Prat.g_01265, Prat.g_00170	Syan.g_03036
OG0000034	Prat.g_01259	Syan.g_01227, Syan.g_03003
OG0000035	Prat.g_01352, Prat.g_01353	Syan.g_01276
OG0000037	Prat.g_00106	Syan.g_00136, Syan.g_02978, Syan.g_00917
OG0000038	Prat.g_01839	Syan.g_00064, Syan.g_01569, Syan.g_01571
OG0000039	Prat.g_00760	Syan.g_02771, Syan.g_00535
OG0000041	Prat.g_01640	Syan.g_01465
OG0000042	Prat.g_01796	Syan.g_00991, Syan.g_02643, Syan.g_01888
OG0000044	Prat.g_00619	Syan.g_01065
OG0000045	Prat.g_01203	Syan.g_00086, Syan.g_00151
OG0000046	Prat.g_00335	Syan.g_02157, Syan.g_02160
OG0000048	Prat.g_00278	Syan.g_02036
OG0000052	Prat.g_00058	Syan.g_01954, Syan.g_01953
OG0000053	Prat.g_01375	Syan.g_02812
OG0000054	Prat.g_00569	Syan.g_02503
OG0000055	Prat.g_00852	Syan.g_00312
OG0000058	Prat.g_01311	Syan.g_01128, Syan.g_01124
OG0000061	Prat.g_01156	Syan.g_02696
OG0000062	Prat.g_01442	Syan.g_01380, Syan.g_00098
OG0000063	Prat.g_01516	Syan.g_01739
OG0000064	Prat.g_00064	Syan.g_02519, Syan.g_00785, Syan.g_02518
OG0000065	Prat.g_00104	Syan.g_02974
OG0000066	Prat.g_01499	Syan.g_01156
OG0000067	Prat.g_01037	Syan.g_00690
OG0000068	Prat.g_01291	Syan.g_00845, Syan.g_00257, Syan.g_02773
OG0000069	Prat.g_01400	Syan.g_00278
OG0000070	Prat.g_00412	Syan.g_00289
OG0000071	Prat.g_01249	Syan.g_01213
OG0000072	Prat.g_00172	Syan.g_03038, Syan.g_02999
OG0000073	Prat.g_00462	Syan.g_02741
OG0000075	Prat.g_01761	Syan.g_00981, Syan.g_01937
OG0000076	Prat.g_01788	Syan.g_01896
OG0000077	Prat.g_00075	Syan.g_02919, Syan.g_02579
OG0000079	Prat.g_00258	Syan.g_02079, Syan.g_02067, Syan.g_02085
OG0000080	Prat.g_01323	Syan.g_01083, Syan.g_01962, Syan.g_01110
OG0000082	Prat.g_01507	Syan.g_00952
OG0000085	Prat.g_01584	Syan.g_01387
OG0000086	Prat.g_00086	Syan.g_02946, Syan.g_02515, Syan.g_00114
OG0000087	Prat.g_00138	Syan.g_02268
OG0000088	Prat.g_00166	Syan.g_03031
OG0000089	Prat.g_00370	Syan.g_02316
OG0000090	Prat.g_00495	Syan.g_01166
OG0000091	Prat.g_01082	Syan.g_00235, Syan.g_00808
OG0000092	Prat.g_00721, Prat.g_01275	Syan.g_02502
OG0000093	Prat.g_01053	Syan.g_00708, Syan.g_02934
OG0000094	Prat.g_00943	Syan.g_00065
OG0000097	Prat.g_01111	Syan.g_00160, Syan.g_00733
OG0000098	Prat.g_01282	Syan.g_00043
OG0000099	Prat.g_01312	Syan.g_01968
OG0000100	Prat.g_01437	Syan.g_00658
OG0000101	Prat.g_01726	Syan.g_02199
OG0000102	Prat.g_01793	Syan.g_01891
OG0000103	Prat.g_01880	Syan.g_01692
OG0000104	Prat.g_01889	Syan.g_01792
OG0000105	Prat.g_00281	Syan.g_02031
OG0000106	Prat.g_00637	Syan.g_00076
OG0000107	Prat.g_01656	Syan.g_02106
OG0000108	Prat.g_00440	Syan.g_02764
OG0000109	Prat.g_00455	Syan.g_02748
OG0000110	Prat.g_00539	Syan.g_00882
OG0000111	Prat.g_00776	Syan.g_00187
OG0000112	Prat.g_00888	Syan.g_00556, Syan.g_00252
OG0000113	Prat.g_01014	Syan.g_00664
OG0000114	Prat.g_00716	Syan.g_00741
OG0000115	Prat.g_01373	Syan.g_02810
OG0000116	Prat.g_01166	Syan.g_02710, Syan.g_00460
OG0000117	Prat.g_01129	Syan.g_02644
OG0000118	Prat.g_01261	Syan.g_01241, Syan.g_01237
OG0000119	Prat.g_00647, Prat.g_01452	Syan.g_02672
OG0000120	Prat.g_00344	Syan.g_01966
OG0000121	Prat.g_01355	Syan.g_01273
OG0000123	Prat.g_01733	Syan.g_02190
OG0000124	Prat.g_01805	Syan.g_01873
OG0000125	Prat.g_01841	Syan.g_01573
OG0000126	Prat.g_01888	Syan.g_01705
OG0000128	Prat.g_00012, Prat.g_00011	Syan.g_01768
OG0000129	Prat.g_00047	Syan.g_01563
OG0000130	Prat.g_00066	Syan.g_02906, Syan.g_02907
OG0000131	Prat.g_00144	Syan.g_03008
OG0000132	Prat.g_00164	Syan.g_03029
OG0000133	Prat.g_00329	Syan.g_00561
OG0000134	Prat.g_00372	Syan.g_02319
OG0000135	Prat.g_01477	Syan.g_01616
OG0000136	Prat.g_00401	Syan.g_01342
OG0000137	Prat.g_00434	Syan.g_02846
OG0000138	Prat.g_00456	Syan.g_02747
OG0000140	Prat.g_00500	Syan.g_00042
OG0000141	Prat.g_00570	Syan.g_01032
OG0000142	Prat.g_01090	Syan.g_00816
OG0000143	Prat.g_01086	Syan.g_00812
OG0000144	Prat.g_01072	Syan.g_00782
OG0000145	Prat.g_01472	Syan.g_02740
OG0000146	Prat.g_00887	Syan.g_00555, Syan.g_00253
OG0000147	Prat.g_00886	Syan.g_00254, Syan.g_00554
OG0000148	Prat.g_01020	Syan.g_00670
OG0000149	Prat.g_00991	Syan.g_00393
OG0000150	Prat.g_00981	Syan.g_01031
OG0000151	Prat.g_00726	Syan.g_00731
OG0000152	Prat.g_00896, Prat.g_01277	Syan.g_00565
OG0000153	Prat.g_00915	Syan.g_00601
OG0000154	Prat.g_00934	Syan.g_00363
OG0000155	Prat.g_01135	Syan.g_02654
OG0000156	Prat.g_01238	Syan.g_02717
OG0000157	Prat.g_01239	Syan.g_02718
OG0000158	Prat.g_01769	Syan.g_01078, Syan.g_01926
OG0000160	Prat.g_01354	Syan.g_01274
OG0000161	Prat.g_01360	Syan.g_01268
OG0000162	Prat.g_01366	Syan.g_01059, Syan.g_01254, Syan.g_01330
OG0000163	Prat.g_01409	Syan.g_02405
OG0000164	Prat.g_01615	Syan.g_01440
OG0000165	Prat.g_01623	Syan.g_01448
OG0000166	Prat.g_01690	Syan.g_02239
OG0000167	Prat.g_01759	Syan.g_01941
OG0000168	Prat.g_01770	Syan.g_01924, Syan.g_01121, Syan.g_01925
OG0000169	Prat.g_01781	Syan.g_01912
OG0000170	Prat.g_01784	Syan.g_01901
OG0000171	Prat.g_01804	Syan.g_01875
OG0000172	Prat.g_01811	Syan.g_01810
OG0000173	Prat.g_01826	Syan.g_01720
OG0000174	Prat.g_01858	Syan.g_01619
OG0000175	Prat.g_01870	Syan.g_01678, Syan.g_00258
OG0000176	Prat.g_00004	Syan.g_01801
OG0000177	Prat.g_00005	Syan.g_01775
OG0000178	Prat.g_00006	Syan.g_01774
OG0000179	Prat.g_00017	Syan.g_01759
OG0000180	Prat.g_00018	Syan.g_01758
OG0000181	Prat.g_00019	Syan.g_01757
OG0000182	Prat.g_00020	Syan.g_01756
OG0000183	Prat.g_01314, Prat.g_00024	Syan.g_01752
OG0000184	Prat.g_00051	Syan.g_01549
OG0000185	Prat.g_00054	Syan.g_01540
OG0000186	Prat.g_00060	Syan.g_02902
OG0000187	Prat.g_00061	Syan.g_02904
