Orthogroup	Prat	Prbl
OG0000000	Prat.g_01549	Prbl.g_00116
OG0000001	Prat.g_01285, Prat.g_01286, Prat.g_00851	Prbl.g_00725, Prbl.g_00121, Prbl.g_02599
OG0000002	Prat.g_00977	Prbl.g_01582
OG0000002	Prat.g_01184, Prat.g_01487, Prat.g_01182, Prat.g_01187, Prat.g_01462, Prat.g_00751	Prbl.g_01092
OG0000004	Prat.g_00772	Prbl.g_00021
OG0000004	Prat.g_00236	Prbl.g_01771
OG0000005	Prat.g_01440	Prbl.g_00419
OG0000006	Prat.g_00248	Prbl.g_02601
OG0000007	Prat.g_00458	Prbl.g_00531
OG0000007	Prat.g_01592	Prbl.g_00394
OG0000008	Prat.g_00376	Prbl.g_01855
OG0000008	Prat.g_00377	Prbl.g_01854
OG0000010	Prat.g_00682, Prat.g_00662, Prat.g_00433	Prbl.g_01341
OG0000012	Prat.g_00586	Prbl.g_01618
OG0000013	Prat.g_00334	Prbl.g_01183
OG0000014	Prat.g_00314	Prbl.g_01416
OG0000015	Prat.g_00701	Prbl.g_01566
OG0000017	Prat.g_00567	Prbl.g_01755
OG0000017	Prat.g_00560	Prbl.g_01763
OG0000018	Prat.g_01177, Prat.g_01009	Prbl.g_00694
OG0000019	Prat.g_00255, Prat.g_01180	Prbl.g_01097
OG0000020	Prat.g_01470	Prbl.g_01076
OG0000020	Prat.g_00648	Prbl.g_01026, Prbl.g_01386
OG0000021	Prat.g_00854	Prbl.g_01531
OG0000021	Prat.g_00461	Prbl.g_01768
OG0000022	Prat.g_01192	Prbl.g_01310
OG0000022	Prat.g_01448	Prbl.g_01072
OG0000023	Prat.g_00834	Prbl.g_02355
OG0000024	Prat.g_00622, Prat.g_00749	Prbl.g_00040
OG0000025	Prat.g_01003	Prbl.g_01539
OG0000026	Prat.g_00033	Prbl.g_01977
OG0000028	Prat.g_00327	Prbl.g_00900
OG0000030	Prat.g_01799	Prbl.g_02061, Prbl.g_02060
OG0000032	Prat.g_01394	Prbl.g_00712
OG0000033	Prat.g_00170	Prbl.g_00278
OG0000034	Prat.g_01259	Prbl.g_01734
OG0000035	Prat.g_01352, Prat.g_01353	Prbl.g_00242
OG0000037	Prat.g_00106	Prbl.g_00548
OG0000038	Prat.g_01839	Prbl.g_02235, Prbl.g_02233
OG0000039	Prat.g_00760	Prbl.g_00318, Prbl.g_01272
OG0000041	Prat.g_01640	Prbl.g_00339
OG0000042	Prat.g_01796	Prbl.g_01236, Prbl.g_01121
OG0000045	Prat.g_01203	Prbl.g_00609
OG0000046	Prat.g_00335	Prbl.g_01184
OG0000047	Prat.g_00374	Prbl.g_01574
OG0000048	Prat.g_00278	Prbl.g_01465
OG0000053	Prat.g_01375	Prbl.g_00691
OG0000054	Prat.g_00569	Prbl.g_01752
OG0000056	Prat.g_01571	Prbl.g_01599
OG0000057	Prat.g_00775	Prbl.g_00025
OG0000059	Prat.g_01679	Prbl.g_00836
OG0000062	Prat.g_01442	Prbl.g_00417
OG0000063	Prat.g_01516	Prbl.g_01981
OG0000065	Prat.g_00104	Prbl.g_00552
OG0000066	Prat.g_01499	Prbl.g_00752
OG0000067	Prat.g_01037	Prbl.g_02335
OG0000068	Prat.g_01291	Prbl.g_00502
OG0000070	Prat.g_00412	Prbl.g_00634
OG0000071	Prat.g_01249	Prbl.g_01722
OG0000072	Prat.g_00172	Prbl.g_00276
OG0000073	Prat.g_00462	Prbl.g_00533
OG0000075	Prat.g_01761	Prbl.g_00855
OG0000076	Prat.g_01788	Prbl.g_01285
OG0000077	Prat.g_00075	Prbl.g_00596, Prbl.g_00631
OG0000078	Prat.g_00245	Prbl.g_00193
OG0000079	Prat.g_00258	Prbl.g_01505
OG0000081	Prat.g_00493	Prbl.g_00032
OG0000082	Prat.g_01507	Prbl.g_01783
OG0000084	Prat.g_01348	Prbl.g_00246
OG0000085	Prat.g_01584	Prbl.g_00405
OG0000086	Prat.g_00086	Prbl.g_00583
OG0000087	Prat.g_00138	Prbl.g_00810
OG0000088	Prat.g_00166	Prbl.g_00281
OG0000089	Prat.g_00370	Prbl.g_02674
OG0000090	Prat.g_00495	Prbl.g_00766
OG0000091	Prat.g_01082	Prbl.g_01647
OG0000093	Prat.g_01053	Prbl.g_02359
OG0000094	Prat.g_00943	Prbl.g_02209
OG0000097	Prat.g_01111	Prbl.g_02579
OG0000098	Prat.g_01282	Prbl.g_00722
OG0000099	Prat.g_01312	Prbl.g_00893
OG0000100	Prat.g_01437	Prbl.g_01914, Prbl.g_02305
OG0000101	Prat.g_01726	Prbl.g_01126, Prbl.g_01000
OG0000102	Prat.g_01793	Prbl.g_02636
OG0000103	Prat.g_01880	Prbl.g_02139
OG0000104	Prat.g_01889	Prbl.g_02125
OG0000105	Prat.g_00281	Prbl.g_01461
OG0000106	Prat.g_00637	Prbl.g_00411
OG0000108	Prat.g_00440	Prbl.g_00511
OG0000109	Prat.g_00455	Prbl.g_00527
OG0000110	Prat.g_00539	Prbl.g_01795
OG0000111	Prat.g_00776	Prbl.g_00026
OG0000112	Prat.g_00888	Prbl.g_02470
OG0000113	Prat.g_01014	Prbl.g_02310
OG0000114	Prat.g_00716	Prbl.g_02407
OG0000115	Prat.g_01373	Prbl.g_00687
OG0000116	Prat.g_01166	Prbl.g_02069
OG0000117	Prat.g_01129	Prbl.g_01384
OG0000118	Prat.g_01261	Prbl.g_01736
OG0000119	Prat.g_00647	Prbl.g_00007
OG0000119	Prat.g_01452	Prbl.g_00046
OG0000120	Prat.g_00344	Prbl.g_00892
OG0000121	Prat.g_01355	Prbl.g_00234, Prbl.g_00240
OG0000122	Prat.g_01398	Prbl.g_01808
OG0000123	Prat.g_01733	Prbl.g_01135
OG0000124	Prat.g_01805	Prbl.g_02054
OG0000125	Prat.g_01841	Prbl.g_02231
OG0000126	Prat.g_01888	Prbl.g_02127
OG0000128	Prat.g_00012, Prat.g_00011	Prbl.g_02109
OG0000129	Prat.g_00047	Prbl.g_02243
OG0000130	Prat.g_00066	Prbl.g_00608
OG0000131	Prat.g_00144	Prbl.g_00303
OG0000132	Prat.g_00164	Prbl.g_00283
OG0000133	Prat.g_00329	Prbl.g_00897
OG0000134	Prat.g_00372	Prbl.g_02677
OG0000135	Prat.g_01477	Prbl.g_02190
OG0000136	Prat.g_00401	Prbl.g_00647
OG0000137	Prat.g_00434	Prbl.g_01340
OG0000138	Prat.g_00456	Prbl.g_00528
OG0000139	Prat.g_00499	Prbl.g_00760
OG0000140	Prat.g_00500	Prbl.g_00754
OG0000141	Prat.g_00570	Prbl.g_01751
OG0000142	Prat.g_01090	Prbl.g_01639
OG0000143	Prat.g_01086	Prbl.g_01643
OG0000144	Prat.g_01072	Prbl.g_01042
OG0000145	Prat.g_01472	Prbl.g_00534
OG0000146	Prat.g_00887	Prbl.g_02469
OG0000147	Prat.g_00886	Prbl.g_02468
OG0000148	Prat.g_01020	Prbl.g_02316
OG0000149	Prat.g_00991	Prbl.g_01552
OG0000150	Prat.g_00981	Prbl.g_01576
OG0000151	Prat.g_00726	Prbl.g_02386
OG0000152	Prat.g_00896, Prat.g_01277	Prbl.g_02478
OG0000153	Prat.g_00915	Prbl.g_02505
OG0000154	Prat.g_00934	Prbl.g_02532
OG0000155	Prat.g_01135	Prbl.g_00185
OG0000156	Prat.g_01238	Prbl.g_00115
OG0000157	Prat.g_01239	Prbl.g_00114
OG0000158	Prat.g_01769	Prbl.g_00843
OG0000160	Prat.g_01354	Prbl.g_00241
OG0000161	Prat.g_01360	Prbl.g_00227
OG0000162	Prat.g_01366	Prbl.g_00221
OG0000163	Prat.g_01409	Prbl.g_00452
OG0000164	Prat.g_01615	Prbl.g_00365
OG0000165	Prat.g_01623	Prbl.g_00356
OG0000166	Prat.g_01690	Prbl.g_00962
OG0000167	Prat.g_01759	Prbl.g_00857
OG0000168	Prat.g_01770	Prbl.g_00842
OG0000169	Prat.g_01781	Prbl.g_01302
OG0000170	Prat.g_01784	Prbl.g_01290
OG0000171	Prat.g_01804	Prbl.g_02055
OG0000172	Prat.g_01811	Prbl.g_02021
OG0000173	Prat.g_01826	Prbl.g_02000
OG0000174	Prat.g_01858	Prbl.g_02188
OG0000175	Prat.g_01870	Prbl.g_02150
OG0000176	Prat.g_00004	Prbl.g_02117
OG0000177	Prat.g_00005	Prbl.g_02116
OG0000178	Prat.g_00006	Prbl.g_02115
OG0000179	Prat.g_00017	Prbl.g_01961
OG0000180	Prat.g_00018	Prbl.g_01962
OG0000181	Prat.g_00019	Prbl.g_01963
OG0000182	Prat.g_00020	Prbl.g_01964
OG0000183	Prat.g_00024	Prbl.g_01968
OG0000184	Prat.g_00051	Prbl.g_02251
OG0000185	Prat.g_00054	Prbl.g_02273
OG0000186	Prat.g_00060	Prbl.g_00614
OG0000187	Prat.g_00061	Prbl.g_00613
OG0000188	Prat.g_00080	Prbl.g_00591
OG0000189	Prat.g_00093	Prbl.g_00565
OG0000190	Prat.g_00094	Prbl.g_00563
OG0000191	Prat.g_00116	Prbl.g_01325
OG0000192	Prat.g_00121	Prbl.g_01316
OG0000193	Prat.g_00145	Prbl.g_00302
OG0000194	Prat.g_00148	Prbl.g_00299
OG0000195	Prat.g_00150	Prbl.g_00297
OG0000196	Prat.g_00161	Prbl.g_00286
OG0000197	Prat.g_00162	Prbl.g_00285
OG0000198	Prat.g_00163	Prbl.g_00284
OG0000199	Prat.g_00171	Prbl.g_00277
OG0000201	Prat.g_00194	Prbl.g_00088
OG0000202	Prat.g_00195	Prbl.g_00089
OG0000203	Prat.g_00196	Prbl.g_00090
OG0000204	Prat.g_00197	Prbl.g_00091
OG0000205	Prat.g_00204	Prbl.g_00098
OG0000206	Prat.g_00209	Prbl.g_01282
OG0000207	Prat.g_00211	Prbl.g_00130
OG0000208	Prat.g_00212	Prbl.g_00129
OG0000209	Prat.g_00221	Prbl.g_01256
OG0000210	Prat.g_00222	Prbl.g_01257
OG0000211	Prat.g_00238	Prbl.g_01922
OG0000212	Prat.g_00246	Prbl.g_00192
OG0000213	Prat.g_00264	Prbl.g_01496
OG0000214	Prat.g_00274	Prbl.g_01469
OG0000215	Prat.g_00300	Prbl.g_01439
OG0000216	Prat.g_00302	Prbl.g_01436
OG0000217	Prat.g_00305	Prbl.g_01432
OG0000218	Prat.g_00307	Prbl.g_01428
OG0000219	Prat.g_00308	Prbl.g_01427
OG0000220	Prat.g_00309	Prbl.g_01426
OG0000221	Prat.g_00310	Prbl.g_01421
OG0000222	Prat.g_00317	Prbl.g_00911
OG0000223	Prat.g_00330	Prbl.g_00888
OG0000224	Prat.g_00332	Prbl.g_00877
OG0000225	Prat.g_00360	Prbl.g_01218
OG0000226	Prat.g_00364	Prbl.g_01222
OG0000227	Prat.g_00366	Prbl.g_01224
OG0000228	Prat.g_00369	Prbl.g_02673
OG0000229	Prat.g_00396	Prbl.g_00652
OG0000230	Prat.g_00398	Prbl.g_00650
OG0000231	Prat.g_00411	Prbl.g_00635
OG0000232	Prat.g_00419	Prbl.g_00619
OG0000233	Prat.g_00426	Prbl.g_01360
OG0000234	Prat.g_00435	Prbl.g_01339
OG0000235	Prat.g_00439	Prbl.g_00510
OG0000236	Prat.g_00454	Prbl.g_00526
OG0000237	Prat.g_00469	Prbl.g_00800
OG0000238	Prat.g_00475	Prbl.g_00795
OG0000239	Prat.g_00487	Prbl.g_00779
OG0000240	Prat.g_00488	Prbl.g_00778
OG0000241	Prat.g_00492	Prbl.g_01526
OG0000242	Prat.g_00494	Prbl.g_00768
OG0000243	Prat.g_00504	Prbl.g_02647
OG0000244	Prat.g_00507	Prbl.g_01879
OG0000245	Prat.g_00509	Prbl.g_01882
OG0000246	Prat.g_00514, Prat.g_00513	Prbl.g_01886
OG0000247	Prat.g_00525	Prbl.g_01897
OG0000248	Prat.g_00528	Prbl.g_01900
OG0000249	Prat.g_00530	Prbl.g_01902
OG0000250	Prat.g_00536	Prbl.g_01799
OG0000251	Prat.g_00553	Prbl.g_01775
OG0000252	Prat.g_00556	Prbl.g_01772
OG0000253	Prat.g_00557	Prbl.g_01766
OG0000254	Prat.g_00574	Prbl.g_01747
OG0000255	Prat.g_00581	Prbl.g_01612
OG0000256	Prat.g_00591	Prbl.g_01626
OG0000257	Prat.g_01097	Prbl.g_01632
OG0000258	Prat.g_01081	Prbl.g_01655
OG0000259	Prat.g_01064	Prbl.g_01406
OG0000260	Prat.g_01061	Prbl.g_01403
OG0000261	Prat.g_01058	Prbl.g_01400
OG0000262	Prat.g_01054	Prbl.g_01395
OG0000263	Prat.g_00754	Prbl.g_01242
OG0000264	Prat.g_00765	Prbl.g_01859
OG0000265	Prat.g_00788	Prbl.g_02567, Prbl.g_01839
OG0000266	Prat.g_00801	Prbl.g_02556
OG0000267	Prat.g_00814	Prbl.g_02431
OG0000268	Prat.g_00815	Prbl.g_02432
OG0000269	Prat.g_01042	Prbl.g_02340
OG0000270	Prat.g_01039	Prbl.g_02337
OG0000271	Prat.g_01031	Prbl.g_02329
OG0000272	Prat.g_01030	Prbl.g_02328
OG0000273	Prat.g_01007	Prbl.g_01534
OG0000274	Prat.g_01006	Prbl.g_01535
OG0000275	Prat.g_01004	Prbl.g_01538
OG0000276	Prat.g_00999	Prbl.g_01544
OG0000277	Prat.g_00998	Prbl.g_01545
OG0000278	Prat.g_00995	Prbl.g_01548
OG0000279	Prat.g_00988	Prbl.g_01556
OG0000280	Prat.g_00987	Prbl.g_01562
OG0000281	Prat.g_00980	Prbl.g_01577
OG0000282	Prat.g_00718	Prbl.g_02405
OG0000283	Prat.g_00868	Prbl.g_02443
OG0000284	Prat.g_00873	Prbl.g_02449
OG0000285	Prat.g_00879	Prbl.g_01688
OG0000286	Prat.g_00895	Prbl.g_02477
OG0000287	Prat.g_00912	Prbl.g_02608
OG0000288	Prat.g_00933	Prbl.g_02531
OG0000289	Prat.g_00948	Prbl.g_02544
OG0000290	Prat.g_00962	Prbl.g_00930
OG0000291	Prat.g_00964	Prbl.g_00928
OG0000292	Prat.g_01208	Prbl.g_02128
OG0000293	Prat.g_01165	Prbl.g_02071
OG0000294	Prat.g_01164	Prbl.g_02072
OG0000295	Prat.g_01142	Prbl.g_00178
OG0000296	Prat.g_01140	Prbl.g_00180
OG0000297	Prat.g_01131	Prbl.g_01382
OG0000298	Prat.g_01130	Prbl.g_01383
OG0000299	Prat.g_01112	Prbl.g_01372
OG0000300	Prat.g_01108	Prbl.g_02582
OG0000301	Prat.g_01107	Prbl.g_02583
OG0000302	Prat.g_01105	Prbl.g_02586
OG0000303	Prat.g_01099	Prbl.g_00187
OG0000304	Prat.g_00595	Prbl.g_01102
OG0000305	Prat.g_01200	Prbl.g_00926
OG0000306	Prat.g_00976	Prbl.g_01586
OG0000307	Prat.g_01300	Prbl.g_00494
OG0000308	Prat.g_01301	Prbl.g_00492
OG0000309	Prat.g_01305	Prbl.g_00488
OG0000310	Prat.g_01336	Prbl.g_00160
OG0000311	Prat.g_01338	Prbl.g_00258
OG0000312	Prat.g_01341	Prbl.g_00254
OG0000313	Prat.g_01357	Prbl.g_00230
OG0000314	Prat.g_01382	Prbl.g_00699
OG0000315	Prat.g_01392	Prbl.g_00709
OG0000316	Prat.g_01420	Prbl.g_00441
OG0000317	Prat.g_01589	Prbl.g_00399
OG0000318	Prat.g_01593	Prbl.g_00393
OG0000319	Prat.g_01605	Prbl.g_00376
