Orthogroup	Prat	Syaq
OG0000004	Prat.g_00772	Syaq.g_02603
OG0000004	Prat.g_00236	Syaq.g_02042, Syaq.g_01567
OG0000005	Prat.g_01440	Syaq.g_01692
OG0000006	Prat.g_00248	Syaq.g_02558, Syaq.g_00696, Syaq.g_01590
OG0000007	Prat.g_00458	Syaq.g_01793
OG0000007	Prat.g_01592	Syaq.g_01673
OG0000008	Prat.g_00376	Syaq.g_02162
OG0000008	Prat.g_00377	Syaq.g_02575
OG0000010	Prat.g_00682, Prat.g_00662, Prat.g_00433	Syaq.g_00443
OG0000011	Prat.g_01532	Syaq.g_01038
OG0000012	Prat.g_00586	Syaq.g_02059
OG0000013	Prat.g_00334	Syaq.g_00569, Syaq.g_00572, Syaq.g_02023
OG0000014	Prat.g_00314	Syaq.g_00862
OG0000015	Prat.g_00701	Syaq.g_02255
OG0000016	Prat.g_00014	Syaq.g_01136
OG0000016	Prat.g_01219	Syaq.g_00169
OG0000017	Prat.g_00567	Syaq.g_01999
OG0000017	Prat.g_00560	Syaq.g_01992
OG0000018	Prat.g_01177, Prat.g_01009	Syaq.g_00401
OG0000019	Prat.g_00255, Prat.g_01180	Syaq.g_00717
OG0000022	Prat.g_01192, Prat.g_01448	Syaq.g_02126
OG0000023	Prat.g_00834	Syaq.g_02540
OG0000025	Prat.g_01003	Syaq.g_02381
OG0000026	Prat.g_00033	Syaq.g_01114
OG0000028	Prat.g_00327, Prat.g_00380	Syaq.g_00878
OG0000030	Prat.g_01799	Syaq.g_01047, Syaq.g_01048
OG0000031	Prat.g_01266	Syaq.g_01009
OG0000032	Prat.g_01394	Syaq.g_00421
OG0000033	Prat.g_00170	Syaq.g_01399
OG0000034	Prat.g_01259	Syaq.g_00312, Syaq.g_01431
OG0000035	Prat.g_01352, Prat.g_01353	Syaq.g_00372
OG0000037	Prat.g_00106	Syaq.g_01483
OG0000038	Prat.g_01839	Syaq.g_01260, Syaq.g_01258
OG0000039	Prat.g_00760	Syaq.g_01601, Syaq.g_01241
OG0000042	Prat.g_01796	Syaq.g_00200, Syaq.g_01044
OG0000045	Prat.g_01203	Syaq.g_02047
OG0000046	Prat.g_00335	Syaq.g_00570, Syaq.g_00573
OG0000048	Prat.g_00278	Syaq.g_00749
OG0000053	Prat.g_01375	Syaq.g_00397
OG0000054	Prat.g_00569	Syaq.g_02005
OG0000055	Prat.g_00852	Syaq.g_02700
OG0000057	Prat.g_00775	Syaq.g_02605
OG0000058	Prat.g_01311	Syaq.g_00944
OG0000059	Prat.g_01679	Syaq.g_00657
OG0000061	Prat.g_01156	Syaq.g_00249
OG0000062	Prat.g_01442	Syaq.g_01690
OG0000063	Prat.g_01516	Syaq.g_01110
OG0000064	Prat.g_00064	Syaq.g_02138
OG0000065	Prat.g_00104	Syaq.g_01908, Syaq.g_01487
OG0000066	Prat.g_01499	Syaq.g_01851
OG0000067	Prat.g_01037	Syaq.g_02340
OG0000068	Prat.g_01291	Syaq.g_01763
OG0000070	Prat.g_00412	Syaq.g_00484
OG0000071	Prat.g_01249	Syaq.g_00297
OG0000072	Prat.g_00172	Syaq.g_01397
OG0000073	Prat.g_00462	Syaq.g_01795
OG0000075	Prat.g_01761	Syaq.g_00986
OG0000076	Prat.g_01788	Syaq.g_01028
OG0000077	Prat.g_00075	Syaq.g_01547
OG0000078	Prat.g_00245	Syaq.g_01585
OG0000079	Prat.g_00258	Syaq.g_00721
OG0000081	Prat.g_00493	Syaq.g_01893
OG0000082	Prat.g_01507	Syaq.g_01975
OG0000084	Prat.g_01348	Syaq.g_00367
OG0000085	Prat.g_01584	Syaq.g_01683
OG0000086	Prat.g_00086	Syaq.g_01525
OG0000087	Prat.g_00138	Syaq.g_01438
OG0000088	Prat.g_00166	Syaq.g_01402
OG0000089	Prat.g_00370	Syaq.g_00529
OG0000090	Prat.g_00495	Syaq.g_01838
OG0000091	Prat.g_01082	Syaq.g_02090
OG0000093	Prat.g_01053	Syaq.g_02323
OG0000094	Prat.g_00943	Syaq.g_02554
OG0000097	Prat.g_01111	Syaq.g_00167
OG0000098	Prat.g_01282	Syaq.g_02221
OG0000099	Prat.g_01312	Syaq.g_00882
OG0000100	Prat.g_01437	Syaq.g_02371
OG0000101	Prat.g_01726	Syaq.g_00607
OG0000102	Prat.g_01793	Syaq.g_01033
