Orthogroup	Prat	Prar
OG0000000	Prat.g_01191	Prar.g_00971
OG0000000	Prat.g_01549	Prar.g_00729
OG0000002	Prat.g_00977	Prar.g_00918
OG0000002	Prat.g_01184, Prat.g_01487, Prat.g_01182, Prat.g_01187, Prat.g_01462, Prat.g_00751	Prar.g_01508
OG0000004	Prat.g_00772	Prar.g_01525
OG0000004	Prat.g_00236	Prar.g_00095
OG0000005	Prat.g_01440	Prar.g_00771
OG0000006	Prat.g_00248	Prar.g_00086
OG0000007	Prat.g_00458	Prar.g_01328
OG0000007	Prat.g_01592	Prar.g_01143
OG0000008	Prat.g_00376	Prar.g_01185
OG0000010	Prat.g_00682, Prat.g_00662, Prat.g_00433	Prar.g_00524
OG0000011	Prat.g_01532	Prar.g_00988
OG0000012	Prat.g_00586	Prar.g_01453
OG0000013	Prat.g_00334	Prar.g_00260
OG0000014	Prat.g_00314	Prar.g_00281
OG0000015	Prat.g_00701	Prar.g_01179
OG0000016	Prat.g_00014	Prar.g_00025
OG0000017	Prat.g_00560	Prar.g_01428
OG0000018	Prat.g_01177	Prar.g_01282
OG0000018	Prat.g_01009	Prar.g_01711
OG0000019	Prat.g_00255	Prar.g_00078
OG0000019	Prat.g_01180	Prar.g_01663
OG0000020	Prat.g_01470	Prar.g_01315
OG0000020	Prat.g_00617	Prar.g_01187
OG0000020	Prat.g_00648	Prar.g_01007, Prar.g_01155, Prar.g_01561
OG0000021	Prat.g_00854	Prar.g_00425
OG0000022	Prat.g_01192	Prar.g_01649
OG0000022	Prat.g_01448	Prar.g_01300
OG0000023	Prat.g_00834	Prar.g_00420
OG0000024	Prat.g_00622	Prar.g_01634
OG0000024	Prat.g_00749	Prar.g_01505
OG0000025	Prat.g_01003	Prar.g_01718, Prar.g_00256
OG0000026	Prat.g_00033	Prar.g_00007, Prar.g_01919
OG0000027	Prat.g_01474	Prar.g_00520
OG0000028	Prat.g_00327	Prar.g_00267
OG0000028	Prat.g_00380	Prar.g_00985
OG0000030	Prat.g_01799	Prar.g_00662
OG0000031	Prat.g_01266	Prar.g_00879
OG0000033	Prat.g_00170	Prar.g_00158
OG0000034	Prat.g_01259	Prar.g_00945
OG0000035	Prat.g_01353	Prar.g_00339
OG0000037	Prat.g_00106	Prar.g_00219
OG0000038	Prat.g_01839	Prar.g_00702
OG0000039	Prat.g_00760	Prar.g_01516
OG0000040	Prat.g_01578	Prar.g_00715
OG0000041	Prat.g_01640	Prar.g_00602
OG0000042	Prat.g_01796	Prar.g_00660
OG0000043	Prat.g_01176	Prar.g_01755
OG0000045	Prat.g_01203	Prar.g_00432
OG0000047	Prat.g_00374	Prar.g_00468
OG0000048	Prat.g_00278	Prar.g_00435
OG0000053	Prat.g_01375	Prar.g_00589, Prar.g_00827
OG0000054	Prat.g_00569	Prar.g_01436
OG0000055	Prat.g_00852	Prar.g_01664
OG0000056	Prat.g_01571	Prar.g_00932
OG0000057	Prat.g_00775	Prar.g_01528
OG0000058	Prat.g_01311	Prar.g_00870, Prar.g_00362
OG0000059	Prat.g_01679	Prar.g_01090
OG0000061	Prat.g_01156	Prar.g_01263
OG0000062	Prat.g_01442	Prar.g_00769
OG0000063	Prat.g_01516	Prar.g_00004, Prar.g_00005, Prar.g_01189
OG0000065	Prat.g_00104	Prar.g_00221
OG0000066	Prat.g_01499	Prar.g_01369
OG0000067	Prat.g_01037	Prar.g_01684
OG0000068	Prat.g_01291	Prar.g_00911
OG0000069	Prat.g_01400	Prar.g_01170, Prar.g_00736
OG0000070	Prat.g_00412	Prar.g_00498
OG0000071	Prat.g_01249	Prar.g_00955
OG0000072	Prat.g_00172	Prar.g_00156
OG0000073	Prat.g_00462	Prar.g_01330
OG0000074	Prat.g_00755	Prar.g_01512
OG0000075	Prat.g_01761	Prar.g_00629
OG0000076	Prat.g_01788	Prar.g_00592, Prar.g_00653
OG0000077	Prat.g_00075	Prar.g_00250
OG0000078	Prat.g_00245	Prar.g_00088
OG0000081	Prat.g_00493	Prar.g_01361
OG0000082	Prat.g_01507	Prar.g_01414
OG0000083	Prat.g_00824	Prar.g_01630, Prar.g_01623
OG0000084	Prat.g_01348	Prar.g_00343
OG0000085	Prat.g_01584	Prar.g_01150
OG0000086	Prat.g_00086	Prar.g_00240
OG0000087	Prat.g_00138	Prar.g_00189
OG0000088	Prat.g_00166	Prar.g_00161
OG0000089	Prat.g_00370	Prar.g_00416
OG0000090	Prat.g_00495	Prar.g_01363
OG0000091	Prat.g_01082	Prar.g_01472
OG0000092	Prat.g_00721	Prar.g_01781
OG0000092	Prat.g_01275	Prar.g_00615
OG0000093	Prat.g_01053	Prar.g_01801
OG0000094	Prat.g_00943	Prar.g_01885
OG0000095	Prat.g_00965	Prar.g_01904
OG0000096	Prat.g_00634	Prar.g_01006, Prar.g_01313, Prar.g_00991
OG0000097	Prat.g_01111	Prar.g_01222
OG0000098	Prat.g_01282	Prar.g_00929
OG0000099	Prat.g_01312	Prar.g_00872
OG0000100	Prat.g_01437	Prar.g_00773
OG0000101	Prat.g_01726	Prar.g_01027
OG0000102	Prat.g_01793	Prar.g_00658
OG0000103	Prat.g_01880	Prar.g_00050
OG0000104	Prat.g_01889	Prar.g_00042
OG0000105	Prat.g_00281	Prar.g_00313
OG0000106	Prat.g_00637	Prar.g_00431
OG0000107	Prat.g_01656	Prar.g_00446
OG0000108	Prat.g_00440	Prar.g_00530
OG0000109	Prat.g_00455	Prar.g_00544
OG0000110	Prat.g_00539	Prar.g_01404
OG0000111	Prat.g_00776	Prar.g_01529
OG0000112	Prat.g_00888	Prar.g_01652
OG0000113	Prat.g_01014	Prar.g_01706
OG0000114	Prat.g_00716	Prar.g_01776
OG0000115	Prat.g_01373	Prar.g_01318
OG0000116	Prat.g_01166	Prar.g_01273
OG0000117	Prat.g_01129	Prar.g_01003
OG0000118	Prat.g_01261	Prar.g_00943
OG0000119	Prat.g_00647, Prat.g_01452	Prar.g_00915
OG0000120	Prat.g_00344	Prar.g_00880
OG0000121	Prat.g_01355	Prar.g_00337
OG0000122	Prat.g_00781, Prat.g_01398	Prar.g_00807
OG0000123	Prat.g_01733	Prar.g_01021
OG0000124	Prat.g_01805	Prar.g_00668
OG0000125	Prat.g_01841	Prar.g_00704
OG0000126	Prat.g_01888	Prar.g_00043
OG0000128	Prat.g_00012, Prat.g_00011	Prar.g_00027
OG0000129	Prat.g_00047	Prar.g_00576
OG0000130	Prat.g_00066	Prar.g_00549
OG0000131	Prat.g_00144	Prar.g_00182
OG0000132	Prat.g_00164	Prar.g_00163
OG0000133	Prat.g_00329	Prar.g_00265
OG0000134	Prat.g_00372	Prar.g_00417
OG0000135	Prat.g_01477	Prar.g_00444
OG0000136	Prat.g_00401	Prar.g_00489
OG0000137	Prat.g_00434	Prar.g_00525
OG0000138	Prat.g_00456	Prar.g_00545
OG0000139	Prat.g_00499	Prar.g_01367
OG0000140	Prat.g_00500	Prar.g_01368
OG0000141	Prat.g_00570	Prar.g_01437
OG0000142	Prat.g_01090	Prar.g_01465
OG0000143	Prat.g_01086	Prar.g_01469
OG0000144	Prat.g_01072	Prar.g_01482
OG0000145	Prat.g_01472	Prar.g_01651
OG0000146	Prat.g_00887	Prar.g_01653
OG0000147	Prat.g_00886	Prar.g_01654
OG0000148	Prat.g_01020	Prar.g_01700
OG0000149	Prat.g_00991	Prar.g_01730
OG0000150	Prat.g_00981	Prar.g_01738
OG0000151	Prat.g_00726	Prar.g_01786
OG0000152	Prat.g_01277	Prar.g_01833
OG0000153	Prat.g_00915	Prar.g_01852
OG0000154	Prat.g_00934	Prar.g_01878
OG0000155	Prat.g_01135	Prar.g_01243
OG0000156	Prat.g_01238	Prar.g_00966
OG0000157	Prat.g_01239	Prar.g_00965
OG0000158	Prat.g_01769	Prar.g_00375
OG0000160	Prat.g_01354	Prar.g_00338
OG0000161	Prat.g_01360	Prar.g_00840
OG0000162	Prat.g_01366	Prar.g_00834
OG0000163	Prat.g_01409	Prar.g_00800
OG0000164	Prat.g_01615	Prar.g_01964
OG0000165	Prat.g_01623	Prar.g_01971
OG0000166	Prat.g_01690	Prar.g_01063
OG0000167	Prat.g_01759	Prar.g_00627
OG0000168	Prat.g_01770	Prar.g_00637
OG0000169	Prat.g_01781	Prar.g_00647
OG0000170	Prat.g_01784	Prar.g_00649
OG0000171	Prat.g_01804	Prar.g_00667
OG0000172	Prat.g_01811	Prar.g_00675
OG0000173	Prat.g_01826	Prar.g_00690
OG0000174	Prat.g_01858	Prar.g_00068
