Orthogroup	Prat	Prbf
OG0000000	Prat.g_01190	Prbf.g_00880
OG0000000	Prat.g_01549	Prbf.g_00776
OG0000000	Prat.g_01189	Prbf.g_00760
OG0000001	Prat.g_01285, Prat.g_01286	Prbf.g_00068
OG0000001	Prat.g_00851	Prbf.g_00831
OG0000002	Prat.g_00977	Prbf.g_01182
OG0000002	Prat.g_01184	Prbf.g_00888
OG0000002	Prat.g_01487	Prbf.g_00089
OG0000002	Prat.g_01182	Prbf.g_00890
OG0000002	Prat.g_01187	Prbf.g_00883
OG0000002	Prat.g_01462	Prbf.g_00260
OG0000002	Prat.g_00751	Prbf.g_01285
OG0000004	Prat.g_00772	Prbf.g_01264
OG0000004	Prat.g_00236	Prbf.g_01570
OG0000005	Prat.g_01440	Prbf.g_00240
OG0000006	Prat.g_00248	Prbf.g_01580
OG0000007	Prat.g_00458	Prbf.g_01780
OG0000007	Prat.g_01592	Prbf.g_00693
OG0000008	Prat.g_00376	Prbf.g_00793
OG0000008	Prat.g_00377	Prbf.g_00792
OG0000009	Prat.g_01451	Prbf.g_00252
OG0000010	Prat.g_00682	Prbf.g_00847
OG0000010	Prat.g_00662	Prbf.g_01056
OG0000010	Prat.g_00433	Prbf.g_01757
OG0000012	Prat.g_00586	Prbf.g_01905
OG0000013	Prat.g_00334	Prbf.g_01665
OG0000014	Prat.g_00314	Prbf.g_01647
OG0000015	Prat.g_00701	Prbf.g_00754, Prbf.g_00708
OG0000016	Prat.g_01219	Prbf.g_00860
OG0000017	Prat.g_00567	Prbf.g_01887
OG0000017	Prat.g_00560	Prbf.g_01880
OG0000018	Prat.g_01177	Prbf.g_00896
OG0000018	Prat.g_01009	Prbf.g_01217
OG0000019	Prat.g_00255	Prbf.g_01588
OG0000019	Prat.g_01180	Prbf.g_00894
OG0000020	Prat.g_01470	Prbf.g_00264
OG0000020	Prat.g_00648	Prbf.g_00811
OG0000021	Prat.g_00854	Prbf.g_00265
OG0000021	Prat.g_00461	Prbf.g_01259
OG0000022	Prat.g_01192	Prbf.g_00248
OG0000023	Prat.g_00834	Prbf.g_00287
OG0000024	Prat.g_00622	Prbf.g_01052
OG0000024	Prat.g_00749	Prbf.g_01288
OG0000025	Prat.g_01003	Prbf.g_01209
OG0000026	Prat.g_00033	Prbf.g_01354
OG0000027	Prat.g_01548	Prbf.g_00774
OG0000027	Prat.g_01474	Prbf.g_00817
OG0000028	Prat.g_00380	Prbf.g_00794
OG0000030	Prat.g_01799	Prbf.g_00484
OG0000031	Prat.g_01266	Prbf.g_00116
OG0000032	Prat.g_01394	Prbf.g_00196
OG0000033	Prat.g_01265	Prbf.g_00123
OG0000033	Prat.g_00170	Prbf.g_01503
OG0000034	Prat.g_01259	Prbf.g_00015
OG0000035	Prat.g_01352	Prbf.g_00157
OG0000037	Prat.g_00106	Prbf.g_01437
OG0000038	Prat.g_01839	Prbf.g_00445
OG0000039	Prat.g_00760	Prbf.g_01276
OG0000041	Prat.g_01640	Prbf.g_00646
OG0000042	Prat.g_01796	Prbf.g_00487
OG0000043	Prat.g_01176	Prbf.g_00897
OG0000045	Prat.g_01203	Prbf.g_00874
OG0000046	Prat.g_00335	Prbf.g_01666
OG0000047	Prat.g_00374	Prbf.g_01707
OG0000048	Prat.g_00278	Prbf.g_00039, Prbf.g_01611
OG0000050	Prat.g_00685	Prbf.g_00845
OG0000052	Prat.g_00058	Prbf.g_01380
OG0000053	Prat.g_01375	Prbf.g_00748, Prbf.g_00178
OG0000054	Prat.g_00569	Prbf.g_01889
OG0000055	Prat.g_00852	Prbf.g_00869
OG0000057	Prat.g_00775	Prbf.g_01261
OG0000058	Prat.g_01311	Prbf.g_00117
OG0000059	Prat.g_01679	Prbf.g_00606
OG0000061	Prat.g_01156	Prbf.g_00918
OG0000062	Prat.g_01442	Prbf.g_00242
OG0000063	Prat.g_01516	Prbf.g_00808
OG0000064	Prat.g_00064	Prbf.g_01394
OG0000065	Prat.g_00104	Prbf.g_01435
OG0000066	Prat.g_01499	Prbf.g_00781
OG0000067	Prat.g_01037	Prbf.g_01245
OG0000068	Prat.g_01291	Prbf.g_00095
OG0000069	Prat.g_01400	Prbf.g_01738
OG0000070	Prat.g_00412	Prbf.g_01734
OG0000071	Prat.g_01249	Prbf.g_00026
OG0000072	Prat.g_00172	Prbf.g_01505
OG0000073	Prat.g_00462	Prbf.g_01783
OG0000074	Prat.g_00696	Prbf.g_00836
OG0000074	Prat.g_00755	Prbf.g_01281
OG0000075	Prat.g_01761	Prbf.g_00522
OG0000076	Prat.g_01788	Prbf.g_00496
