Orthogroup	Pral	Prbc
OG0000000	Pral.g_01549	Prbc.g_01920
OG0000000	Pral.g_01764	Prbc.g_01759
OG0000000	Pral.g_01340	Prbc.g_01475
OG0000000	Pral.g_00430, Pral.g_01342	Prbc.g_01474
OG0000000	Pral.g_01337	Prbc.g_01479, Prbc.g_01473
OG0000000	Pral.g_01052	Prbc.g_01478
OG0000001	Pral.g_00038	Prbc.g_00618
OG0000001	Pral.g_00038	Prbc.g_02167
OG0000001	Pral.g_01333	Prbc.g_00618
OG0000001	Pral.g_01333	Prbc.g_02167
OG0000002	Pral.g_01236	Prbc.g_00588
OG0000002	Pral.g_01296, Pral.g_01671	Prbc.g_01530, Prbc.g_00925
OG0000003	Pral.g_00040, Pral.g_01332	Prbc.g_00609, Prbc.g_00812
OG0000004	Pral.g_01898	Prbc.g_02193, Prbc.g_01233, Prbc.g_01294
OG0000005	Pral.g_00037	Prbc.g_02164, Prbc.g_00104, Prbc.g_00806, Prbc.g_02165
OG0000006	Pral.g_00593	Prbc.g_01556
OG0000006	Pral.g_00107	Prbc.g_00832
OG0000007	Pral.g_00020	Prbc.g_00893
OG0000007	Pral.g_00021	Prbc.g_00894
OG0000009	Pral.g_01344	Prbc.g_01836
OG0000010	Pral.g_00444	Prbc.g_01323
OG0000011	Pral.g_00672	Prbc.g_01273
OG0000012	Pral.g_00484	Prbc.g_01681
OG0000013	Pral.g_01813	Prbc.g_00599
OG0000014	Pral.g_01036, Pral.g_00039	Prbc.g_00072
OG0000015	Pral.g_00062	Prbc.g_00037, Prbc.g_00013
OG0000016	Pral.g_01861, Pral.g_01063	Prbc.g_00650
OG0000017	Pral.g_01139, Pral.g_00066	Prbc.g_00728
OG0000018	Pral.g_00797	Prbc.g_02202
OG0000019	Pral.g_01738	Prbc.g_02189
OG0000020	Pral.g_00768	Prbc.g_01165
OG0000021	Pral.g_00090	Prbc.g_00059, Prbc.g_02139
OG0000022	Pral.g_01331	Prbc.g_02163, Prbc.g_00103
OG0000024	Pral.g_00732	Prbc.g_01198
OG0000024	Pral.g_01261	Prbc.g_00680
OG0000025	Pral.g_01829	Prbc.g_00513, Prbc.g_01383
OG0000026	Pral.g_00435	Prbc.g_00932
OG0000028	Pral.g_01161, Pral.g_01165	Prbc.g_00709
OG0000029	Pral.g_01164	Prbc.g_02181
OG0000029	Pral.g_01114	Prbc.g_00752
OG0000031	Pral.g_00095	Prbc.g_00095
OG0000032	Pral.g_01193	Prbc.g_01228
OG0000034	Pral.g_00987	Prbc.g_00518, Prbc.g_00517
OG0000035	Pral.g_01853	Prbc.g_01380
OG0000036	Pral.g_00057	Prbc.g_00891
OG0000037	Pral.g_00015	Prbc.g_02155
OG0000038	Pral.g_00044	Prbc.g_00166
OG0000039	Pral.g_00878	Prbc.g_00405
OG0000040	Pral.g_01687	Prbc.g_00006, Prbc.g_00047, Prbc.g_00071
OG0000042	Pral.g_01729	Prbc.g_01787
OG0000043	Pral.g_01665	Prbc.g_01999
OG0000044	Pral.g_01367	Prbc.g_01446
OG0000045	Pral.g_01202	Prbc.g_01928
OG0000046	Pral.g_00099	Prbc.g_00826
OG0000047	Pral.g_00305	Prbc.g_00211
OG0000048	Pral.g_00313	Prbc.g_00203
OG0000050	Pral.g_01012	Prbc.g_01101
OG0000051	Pral.g_00887	Prbc.g_00414
OG0000052	Pral.g_01859	Prbc.g_00134, Prbc.g_00641
OG0000053	Pral.g_00551	Prbc.g_01618
OG0000054	Pral.g_00043	Prbc.g_01116
OG0000055	Pral.g_01511	Prbc.g_01882, Prbc.g_00153
OG0000056	Pral.g_00019	Prbc.g_01117
OG0000057	Pral.g_00803	Prbc.g_00333
OG0000058	Pral.g_00617	Prbc.g_01534
OG0000059	Pral.g_01740	Prbc.g_00055, Prbc.g_01780
OG0000060	Pral.g_00445	Prbc.g_00148
OG0000062	Pral.g_00078	Prbc.g_00896
OG0000063	Pral.g_01396, Pral.g_01398, Pral.g_01397	Prbc.g_00102
OG0000065	Pral.g_01281	Prbc.g_00566
OG0000066	Pral.g_00702	Prbc.g_01753
OG0000067	Pral.g_00064	Prbc.g_00136, Prbc.g_00616, Prbc.g_00066
OG0000068	Pral.g_00243	Prbc.g_00284
OG0000069	Pral.g_01121	Prbc.g_00746
OG0000070	Pral.g_01041	Prbc.g_00011, Prbc.g_01108, Prbc.g_00532
OG0000071	Pral.g_00421	Prbc.g_01081
OG0000072	Pral.g_00717	Prbc.g_01214
OG0000073	Pral.g_01471	Prbc.g_01748
OG0000074	Pral.g_01750	Prbc.g_01773
OG0000075	Pral.g_01495	Prbc.g_01865
OG0000076	Pral.g_01561	Prbc.g_02113
OG0000078	Pral.g_01201	Prbc.g_01229
OG0000079	Pral.g_01073	Prbc.g_00790
OG0000080	Pral.g_00065	Prbc.g_00144
OG0000081	Pral.g_00277	Prbc.g_00238
OG0000082	Pral.g_00370	Prbc.g_01009
OG0000083	Pral.g_00413	Prbc.g_01073
OG0000084	Pral.g_00416	Prbc.g_01076
OG0000085	Pral.g_01021	Prbc.g_01093
OG0000086	Pral.g_01886	Prbc.g_00132
OG0000087	Pral.g_00993	Prbc.g_01127
OG0000088	Pral.g_00932	Prbc.g_00458
OG0000089	Pral.g_00923	Prbc.g_00449
OG0000090	Pral.g_00906	Prbc.g_00432
OG0000091	Pral.g_00874	Prbc.g_00402
OG0000092	Pral.g_00873	Prbc.g_00401
OG0000093	Pral.g_00860	Prbc.g_00388
OG0000094	Pral.g_00842	Prbc.g_00369
OG0000095	Pral.g_00837	Prbc.g_00365
OG0000096	Pral.g_00788	Prbc.g_01147
OG0000097	Pral.g_00765	Prbc.g_01167
OG0000098	Pral.g_00754	Prbc.g_01177
OG0000099	Pral.g_00744	Prbc.g_01186
OG0000100	Pral.g_00741	Prbc.g_01189
OG0000101	Pral.g_00674	Prbc.g_01270
OG0000102	Pral.g_01034	Prbc.g_02183
OG0000103	Pral.g_00616	Prbc.g_01535
OG0000104	Pral.g_00611	Prbc.g_01540
OG0000105	Pral.g_00591	Prbc.g_01579
OG0000106	Pral.g_00558	Prbc.g_01611
OG0000107	Pral.g_00557	Prbc.g_01612
OG0000108	Pral.g_00547	Prbc.g_01622
OG0000109	Pral.g_00538	Prbc.g_01632
OG0000110	Pral.g_00520	Prbc.g_01648
OG0000111	Pral.g_01452	Prbc.g_01728
OG0000112	Pral.g_01453	Prbc.g_01729
OG0000113	Pral.g_01705	Prbc.g_01811
OG0000114	Pral.g_01486	Prbc.g_01856
OG0000115	Pral.g_01627	Prbc.g_02036
OG0000116	Pral.g_01623	Prbc.g_02040
OG0000117	Pral.g_01564	Prbc.g_02110
OG0000118	Pral.g_01316	Prbc.g_00173
OG0000119	Pral.g_00075	Prbc.g_00899
OG0000120	Pral.g_01373, Pral.g_01187	Prbc.g_01439
OG0000121	Pral.g_01400	Prbc.g_01417
OG0000122	Pral.g_01420	Prbc.g_01397
OG0000123	Pral.g_00455	Prbc.g_01387
OG0000124	Pral.g_01064	Prbc.g_02103
OG0000125	Pral.g_01269	Prbc.g_00577
OG0000126	Pral.g_01222	Prbc.g_00657
OG0000127	Pral.g_01179	Prbc.g_00695
OG0000128	Pral.g_01160	Prbc.g_00710
OG0000129	Pral.g_01123	Prbc.g_00744
OG0000130	Pral.g_00104	Prbc.g_00830
OG0000131	Pral.g_00143	Prbc.g_00867
OG0000132	Pral.g_00146	Prbc.g_00869
OG0000133	Pral.g_00201	Prbc.g_00326, Prbc.g_01572
OG0000134	Pral.g_00237	Prbc.g_00290
OG0000135	Pral.g_00239	Prbc.g_01560
OG0000136	Pral.g_00289	Prbc.g_00226
OG0000137	Pral.g_00323	Prbc.g_00190
OG0000138	Pral.g_00358	Prbc.g_00997
OG0000139	Pral.g_00390	Prbc.g_01047
OG0000140	Pral.g_00411	Prbc.g_01071
OG0000141	Pral.g_00412	Prbc.g_01072
OG0000142	Pral.g_00414	Prbc.g_01074
OG0000143	Pral.g_00415	Prbc.g_01075
OG0000144	Pral.g_00417	Prbc.g_01077
OG0000145	Pral.g_00418	Prbc.g_01078
OG0000146	Pral.g_00419	Prbc.g_01079
OG0000147	Pral.g_00420	Prbc.g_01080
OG0000148	Pral.g_00422	Prbc.g_01082
OG0000149	Pral.g_01030	Prbc.g_01084
OG0000150	Pral.g_01029	Prbc.g_01085
OG0000151	Pral.g_01028	Prbc.g_01086
OG0000152	Pral.g_01027	Prbc.g_01087
OG0000153	Pral.g_01026	Prbc.g_01088
OG0000154	Pral.g_01025	Prbc.g_01089
OG0000155	Pral.g_01024	Prbc.g_01090
OG0000156	Pral.g_01023	Prbc.g_01091
OG0000157	Pral.g_01022	Prbc.g_01092
OG0000158	Pral.g_01020	Prbc.g_01094
OG0000159	Pral.g_01019	Prbc.g_01095
OG0000160	Pral.g_01018	Prbc.g_01096
OG0000161	Pral.g_01017	Prbc.g_01097
OG0000162	Pral.g_01016	Prbc.g_01098
OG0000163	Pral.g_01014	Prbc.g_01099
OG0000164	Pral.g_01011	Prbc.g_01102
OG0000165	Pral.g_01009	Prbc.g_01104
OG0000166	Pral.g_01008	Prbc.g_01105
OG0000167	Pral.g_01007	Prbc.g_01106
OG0000168	Pral.g_01005	Prbc.g_01118
OG0000169	Pral.g_01003	Prbc.g_01120
OG0000170	Pral.g_01001	Prbc.g_01121
OG0000171	Pral.g_01000	Prbc.g_01122
OG0000172	Pral.g_00999	Prbc.g_01123
OG0000173	Pral.g_00996	Prbc.g_01124
OG0000174	Pral.g_00995	Prbc.g_01125
OG0000175	Pral.g_00994	Prbc.g_01126
OG0000176	Pral.g_00992	Prbc.g_01128
OG0000177	Pral.g_00991	Prbc.g_01129
OG0000178	Pral.g_00990	Prbc.g_01130
OG0000179	Pral.g_00984	Prbc.g_00509
OG0000180	Pral.g_00983	Prbc.g_00508
OG0000181	Pral.g_00982	Prbc.g_00507
OG0000182	Pral.g_00978	Prbc.g_00504
OG0000183	Pral.g_00977	Prbc.g_00503
OG0000184	Pral.g_00974	Prbc.g_00500
OG0000185	Pral.g_00970	Prbc.g_00496
OG0000186	Pral.g_00969	Prbc.g_00495
OG0000187	Pral.g_00048	Prbc.g_00494
OG0000188	Pral.g_00968	Prbc.g_00493
OG0000189	Pral.g_00966	Prbc.g_00492
OG0000190	Pral.g_00965	Prbc.g_00491
OG0000191	Pral.g_00964	Prbc.g_00490
OG0000192	Pral.g_00963	Prbc.g_00489
OG0000193	Pral.g_00962	Prbc.g_00488
OG0000194	Pral.g_00961	Prbc.g_00487
OG0000195	Pral.g_00959	Prbc.g_00485
OG0000196	Pral.g_00958	Prbc.g_00484
OG0000197	Pral.g_00957	Prbc.g_00483
OG0000198	Pral.g_00956	Prbc.g_00482
OG0000199	Pral.g_00953	Prbc.g_00479
OG0000200	Pral.g_00952	Prbc.g_00478
OG0000201	Pral.g_00951	Prbc.g_00477
OG0000202	Pral.g_00950	Prbc.g_00476
OG0000203	Pral.g_00949	Prbc.g_00475
OG0000204	Pral.g_00948	Prbc.g_00474
OG0000205	Pral.g_00946	Prbc.g_00472
OG0000206	Pral.g_00945	Prbc.g_00471
OG0000207	Pral.g_00944	Prbc.g_00470
OG0000208	Pral.g_00943	Prbc.g_00469
OG0000209	Pral.g_00942	Prbc.g_00468
OG0000210	Pral.g_00941	Prbc.g_00467
OG0000211	Pral.g_00940	Prbc.g_00466
OG0000212	Pral.g_00939	Prbc.g_00465
OG0000213	Pral.g_00938	Prbc.g_00464
OG0000214	Pral.g_00934	Prbc.g_00460
OG0000215	Pral.g_00933	Prbc.g_00459
OG0000216	Pral.g_00931	Prbc.g_00457
OG0000217	Pral.g_00930	Prbc.g_00455
OG0000218	Pral.g_00929	Prbc.g_00454
OG0000219	Pral.g_00928	Prbc.g_00453
OG0000220	Pral.g_00925	Prbc.g_00451
OG0000221	Pral.g_00922	Prbc.g_00448
OG0000222	Pral.g_00921	Prbc.g_00447
OG0000223	Pral.g_00920	Prbc.g_00446
OG0000224	Pral.g_00918	Prbc.g_00443
OG0000225	Pral.g_00916	Prbc.g_00441
OG0000226	Pral.g_00914	Prbc.g_00439
OG0000227	Pral.g_00913	Prbc.g_00438
OG0000228	Pral.g_00912	Prbc.g_00437
OG0000229	Pral.g_00911	Prbc.g_00436
OG0000230	Pral.g_00910	Prbc.g_00435
OG0000231	Pral.g_00450	Prbc.g_02145
OG0000232	Pral.g_00908	Prbc.g_00434
OG0000233	Pral.g_00905	Prbc.g_00431
OG0000234	Pral.g_00903	Prbc.g_00428
OG0000235	Pral.g_00900	Prbc.g_00426
OG0000236	Pral.g_00899	Prbc.g_00425
OG0000237	Pral.g_00898	Prbc.g_00424
OG0000238	Pral.g_00897	Prbc.g_00423
OG0000239	Pral.g_00896	Prbc.g_00422
OG0000240	Pral.g_00894	Prbc.g_00420
OG0000241	Pral.g_00893	Prbc.g_00419
OG0000242	Pral.g_00892	Prbc.g_00418
OG0000243	Pral.g_00891	Prbc.g_00417
OG0000244	Pral.g_00890	Prbc.g_00416
OG0000245	Pral.g_00888	Prbc.g_00415
OG0000246	Pral.g_00886	Prbc.g_00413
OG0000247	Pral.g_00885	Prbc.g_00412
OG0000248	Pral.g_00884	Prbc.g_00411
OG0000249	Pral.g_00883	Prbc.g_00410
OG0000250	Pral.g_00882	Prbc.g_00409
OG0000251	Pral.g_00881	Prbc.g_00408
OG0000252	Pral.g_00880	Prbc.g_00407
OG0000253	Pral.g_00879	Prbc.g_00406
OG0000254	Pral.g_00877	Prbc.g_00404
OG0000255	Pral.g_00875	Prbc.g_00403
OG0000256	Pral.g_00872	Prbc.g_00400
OG0000257	Pral.g_00871	Prbc.g_00399
OG0000258	Pral.g_00870	Prbc.g_00398
OG0000259	Pral.g_00869	Prbc.g_00397
OG0000260	Pral.g_00868	Prbc.g_00396
OG0000261	Pral.g_00867	Prbc.g_00395
OG0000262	Pral.g_00866	Prbc.g_00394
OG0000263	Pral.g_00865	Prbc.g_00393
OG0000264	Pral.g_00863	Prbc.g_00391
OG0000265	Pral.g_00862	Prbc.g_00390
OG0000266	Pral.g_00861	Prbc.g_00389
