Orthogroup	Pral	Prbd
OG0000000	Pral.g_01549, Pral.g_01554	Prbd.g_01771
OG0000000	Pral.g_01764, Pral.g_01340, Pral.g_00430, Pral.g_01342, Pral.g_01337, Pral.g_01052	Prbd.g_00566
OG0000002	Pral.g_01236	Prbd.g_01779
OG0000002	Pral.g_01296, Pral.g_01671	Prbd.g_01930
OG0000003	Pral.g_00040, Pral.g_01332	Prbd.g_01835
OG0000004	Pral.g_01898	Prbd.g_00031, Prbd.g_00038, Prbd.g_01855
OG0000005	Pral.g_00037	Prbd.g_01914
OG0000006	Pral.g_00593	Prbd.g_00745
OG0000006	Pral.g_00107	Prbd.g_01525
OG0000009	Pral.g_01344	Prbd.g_00082
OG0000009	Pral.g_00790	Prbd.g_00990
OG0000010	Pral.g_00444	Prbd.g_01840, Prbd.g_00409, Prbd.g_01870
OG0000012	Pral.g_00491, Pral.g_00484	Prbd.g_00646
OG0000013	Pral.g_01813	Prbd.g_00826
OG0000014	Pral.g_01036, Pral.g_00039	Prbd.g_00772, Prbd.g_01832
OG0000015	Pral.g_01887, Pral.g_00062	Prbd.g_00856
OG0000016	Pral.g_01861, Pral.g_01063	Prbd.g_01768
OG0000018	Pral.g_00797	Prbd.g_00998
OG0000019	Pral.g_01738	Prbd.g_01546
OG0000020	Pral.g_00768	Prbd.g_00864, Prbd.g_00439
OG0000021	Pral.g_00090	Prbd.g_00084
OG0000022	Pral.g_01331	Prbd.g_01833
OG0000023	Pral.g_01065	Prbd.g_01887
OG0000024	Pral.g_00732, Pral.g_01261	Prbd.g_00933
OG0000028	Pral.g_01161, Pral.g_01165	Prbd.g_01689
OG0000029	Pral.g_01164, Pral.g_01114	Prbd.g_01575
OG0000031	Pral.g_00095	Prbd.g_01544
OG0000035	Pral.g_01853	Prbd.g_00192
OG0000036	Pral.g_00057	Prbd.g_00658
OG0000037	Pral.g_00015	Prbd.g_00621
OG0000038	Pral.g_00044	Prbd.g_00061
OG0000039	Pral.g_00878	Prbd.g_01074
OG0000040	Pral.g_01687	Prbd.g_00879
OG0000042	Pral.g_01729	Prbd.g_00007
OG0000043	Pral.g_01665	Prbd.g_00087
OG0000045	Pral.g_01202	Prbd.g_01733
OG0000046	Pral.g_00099	Prbd.g_01532
OG0000047	Pral.g_00305	Prbd.g_01335
OG0000048	Pral.g_00313	Prbd.g_01328
OG0000050	Pral.g_01012	Prbd.g_01206
OG0000051	Pral.g_00887	Prbd.g_01083
OG0000052	Pral.g_01859	Prbd.g_00868
OG0000053	Pral.g_00551	Prbd.g_00703
OG0000054	Pral.g_00043	Prbd.g_00055
OG0000055	Pral.g_01511	Prbd.g_00124
OG0000057	Pral.g_00803	Prbd.g_01002, Prbd.g_01537
OG0000058	Pral.g_00617	Prbd.g_00767
OG0000059	Pral.g_01740	Prbd.g_00546
OG0000060	Pral.g_00445	Prbd.g_00036
OG0000062	Pral.g_00078, Pral.g_00056	Prbd.g_00427
OG0000063	Pral.g_01396, Pral.g_01398, Pral.g_01397	Prbd.g_01895
OG0000065	Pral.g_01281	Prbd.g_01801
OG0000066	Pral.g_00702	Prbd.g_01737
OG0000067	Pral.g_00064	Prbd.g_01867, Prbd.g_00534
OG0000068	Pral.g_00243	Prbd.g_01391
OG0000069	Pral.g_01121	Prbd.g_01730
OG0000071	Pral.g_00421	Prbd.g_01226
OG0000072	Pral.g_00717	Prbd.g_00917
OG0000073	Pral.g_01471	Prbd.g_00575
OG0000074	Pral.g_01750	Prbd.g_00553
OG0000075	Pral.g_01495	Prbd.g_00109
OG0000076	Pral.g_01561	Prbd.g_00340
OG0000078	Pral.g_01201	Prbd.g_01734
OG0000079	Pral.g_01073	Prbd.g_01610
OG0000080	Pral.g_00065	Prbd.g_01561
OG0000081	Pral.g_00277	Prbd.g_01361
OG0000082	Pral.g_00370	Prbd.g_01272
OG0000083	Pral.g_00413	Prbd.g_01234
OG0000084	Pral.g_00416	Prbd.g_01231
OG0000085	Pral.g_01021	Prbd.g_01214
OG0000087	Pral.g_00993	Prbd.g_01188
OG0000088	Pral.g_00932	Prbd.g_01131
OG0000089	Pral.g_00923	Prbd.g_01122
OG0000090	Pral.g_00906	Prbd.g_01104, Prbd.g_01103
OG0000091	Pral.g_00874	Prbd.g_01071
OG0000092	Pral.g_00873	Prbd.g_01070
OG0000093	Pral.g_00860	Prbd.g_01056
OG0000094	Pral.g_00842	Prbd.g_01038
OG0000095	Pral.g_00837	Prbd.g_01033
OG0000096	Pral.g_00788	Prbd.g_00988
OG0000097	Pral.g_00765	Prbd.g_00965
OG0000099	Pral.g_00744	Prbd.g_00945
OG0000100	Pral.g_00741	Prbd.g_00942
OG0000101	Pral.g_00674	Prbd.g_00882
OG0000102	Pral.g_01034	Prbd.g_00855
OG0000103	Pral.g_00616	Prbd.g_00766
OG0000104	Pral.g_00611	Prbd.g_00762
OG0000105	Pral.g_00591	Prbd.g_00743
OG0000106	Pral.g_00558	Prbd.g_00710
OG0000107	Pral.g_00557	Prbd.g_00709
OG0000108	Pral.g_00547	Prbd.g_00699
OG0000109	Pral.g_00538	Prbd.g_00690
OG0000110	Pral.g_00520	Prbd.g_00674
OG0000111	Pral.g_01452	Prbd.g_00593
OG0000112	Pral.g_01453	Prbd.g_00592
OG0000113	Pral.g_01705	Prbd.g_00029
OG0000114	Pral.g_01486	Prbd.g_00100
OG0000115	Pral.g_01627	Prbd.g_00264
OG0000116	Pral.g_01623	Prbd.g_00268
OG0000117	Pral.g_01564	Prbd.g_00337
OG0000118	Pral.g_01316	Prbd.g_00389
OG0000119	Pral.g_00075	Prbd.g_00430
OG0000120	Pral.g_01373, Pral.g_01187	Prbd.g_00474
OG0000121	Pral.g_01400	Prbd.g_00493
OG0000122	Pral.g_01420	Prbd.g_00512
OG0000123	Pral.g_00455	Prbd.g_00525
OG0000124	Pral.g_01064	Prbd.g_01921
OG0000125	Pral.g_01269	Prbd.g_01789
OG0000126	Pral.g_01222	Prbd.g_01764
OG0000127	Pral.g_01179	Prbd.g_01702
OG0000128	Pral.g_01160	Prbd.g_01688
OG0000129	Pral.g_01123	Prbd.g_01652
OG0000130	Pral.g_00104	Prbd.g_01527
OG0000131	Pral.g_00143	Prbd.g_01489
OG0000132	Pral.g_00146	Prbd.g_01486
OG0000133	Pral.g_00201	Prbd.g_01432
OG0000134	Pral.g_00237	Prbd.g_01396
OG0000135	Pral.g_00239	Prbd.g_01394
OG0000136	Pral.g_00289	Prbd.g_01350
OG0000137	Pral.g_00323	Prbd.g_01317
OG0000138	Pral.g_00358	Prbd.g_01281
OG0000139	Pral.g_00390	Prbd.g_01255
OG0000140	Pral.g_00411	Prbd.g_01236
OG0000141	Pral.g_00412	Prbd.g_01235
OG0000142	Pral.g_00414	Prbd.g_01233
OG0000143	Pral.g_00415	Prbd.g_01232
OG0000144	Pral.g_00417	Prbd.g_01230
OG0000145	Pral.g_00418	Prbd.g_01229
OG0000146	Pral.g_00419	Prbd.g_01228
OG0000147	Pral.g_00420	Prbd.g_01227
OG0000148	Pral.g_00422	Prbd.g_01225
OG0000149	Pral.g_01030	Prbd.g_01223
OG0000150	Pral.g_01029	Prbd.g_01222
OG0000151	Pral.g_01028	Prbd.g_01221
OG0000152	Pral.g_01027	Prbd.g_01220
OG0000153	Pral.g_01026	Prbd.g_01219
OG0000154	Pral.g_01025	Prbd.g_01218
OG0000155	Pral.g_01024	Prbd.g_01217
OG0000156	Pral.g_01023	Prbd.g_01216
OG0000157	Pral.g_01022	Prbd.g_01215
OG0000158	Pral.g_01020	Prbd.g_01213
OG0000159	Pral.g_01019	Prbd.g_01212
OG0000160	Pral.g_01018	Prbd.g_01211
OG0000161	Pral.g_01017	Prbd.g_01210
OG0000162	Pral.g_01016	Prbd.g_01209
OG0000163	Pral.g_01014	Prbd.g_01208
OG0000164	Pral.g_01011	Prbd.g_01205
OG0000165	Pral.g_01009	Prbd.g_01202
OG0000166	Pral.g_01008	Prbd.g_01201
OG0000167	Pral.g_01007	Prbd.g_01200
OG0000168	Pral.g_01005	Prbd.g_01198
OG0000169	Pral.g_01003	Prbd.g_01196
OG0000170	Pral.g_01001	Prbd.g_01195
OG0000171	Pral.g_01000	Prbd.g_01194
OG0000172	Pral.g_00999	Prbd.g_01192
OG0000173	Pral.g_00996	Prbd.g_01191
OG0000174	Pral.g_00995	Prbd.g_01190
OG0000175	Pral.g_00994	Prbd.g_01189
OG0000176	Pral.g_00992	Prbd.g_01187
OG0000177	Pral.g_00991	Prbd.g_01186
OG0000178	Pral.g_00990	Prbd.g_01185
OG0000179	Pral.g_00984	Prbd.g_01180
OG0000180	Pral.g_00983	Prbd.g_01179
OG0000181	Pral.g_00982	Prbd.g_01178
OG0000182	Pral.g_00978	Prbd.g_01175
OG0000183	Pral.g_00977	Prbd.g_01174
OG0000184	Pral.g_00974	Prbd.g_01171
OG0000185	Pral.g_00970	Prbd.g_01167
OG0000186	Pral.g_00969	Prbd.g_01166
OG0000187	Pral.g_00048	Prbd.g_01165
OG0000188	Pral.g_00968	Prbd.g_01164
OG0000189	Pral.g_00966	Prbd.g_01163
OG0000190	Pral.g_00965	Prbd.g_01162
OG0000191	Pral.g_00964	Prbd.g_01161
OG0000192	Pral.g_00963	Prbd.g_01160
OG0000193	Pral.g_00962	Prbd.g_01159
OG0000194	Pral.g_00961	Prbd.g_01158
OG0000195	Pral.g_00959	Prbd.g_01156
OG0000196	Pral.g_00958	Prbd.g_01155
OG0000197	Pral.g_00957	Prbd.g_01154
OG0000198	Pral.g_00956	Prbd.g_01153
OG0000199	Pral.g_00953	Prbd.g_01150
OG0000200	Pral.g_00952	Prbd.g_01149
OG0000201	Pral.g_00951	Prbd.g_01148
OG0000202	Pral.g_00950	Prbd.g_01147
OG0000203	Pral.g_00949	Prbd.g_01146
OG0000204	Pral.g_00948	Prbd.g_01145
OG0000205	Pral.g_00946	Prbd.g_01144
OG0000206	Pral.g_00945	Prbd.g_01143
OG0000207	Pral.g_00944	Prbd.g_01142
OG0000208	Pral.g_00943	Prbd.g_01141
OG0000209	Pral.g_00942	Prbd.g_01140
OG0000210	Pral.g_00941	Prbd.g_01138
OG0000211	Pral.g_00940	Prbd.g_01137
OG0000212	Pral.g_00939	Prbd.g_01136
OG0000213	Pral.g_00938	Prbd.g_01135
OG0000214	Pral.g_00934	Prbd.g_01133
OG0000215	Pral.g_00933	Prbd.g_01132
OG0000216	Pral.g_00931	Prbd.g_01130
OG0000217	Pral.g_00930	Prbd.g_01128
OG0000218	Pral.g_00929	Prbd.g_01127
OG0000219	Pral.g_00928	Prbd.g_01126
OG0000220	Pral.g_00925	Prbd.g_01123
OG0000221	Pral.g_00922	Prbd.g_01121
OG0000222	Pral.g_00921	Prbd.g_01120
OG0000223	Pral.g_00920	Prbd.g_01119
OG0000224	Pral.g_00918	Prbd.g_01116
OG0000225	Pral.g_00916	Prbd.g_01114
OG0000226	Pral.g_00914	Prbd.g_01113
OG0000227	Pral.g_00913	Prbd.g_01112
OG0000228	Pral.g_00912	Prbd.g_01111
OG0000229	Pral.g_00911	Prbd.g_01110
OG0000230	Pral.g_00910	Prbd.g_01109
OG0000231	Pral.g_00450	Prbd.g_01107
OG0000232	Pral.g_00908	Prbd.g_01106
OG0000233	Pral.g_00905	Prbd.g_01102
OG0000234	Pral.g_00903	Prbd.g_01100
OG0000235	Pral.g_00900	Prbd.g_01095
OG0000236	Pral.g_00899	Prbd.g_01094
OG0000237	Pral.g_00898	Prbd.g_01093
OG0000238	Pral.g_00897	Prbd.g_01092
OG0000239	Pral.g_00896	Prbd.g_01091
OG0000240	Pral.g_00894	Prbd.g_01089
OG0000241	Pral.g_00893	Prbd.g_01088
OG0000242	Pral.g_00892	Prbd.g_01087
OG0000243	Pral.g_00891	Prbd.g_01086
OG0000244	Pral.g_00890	Prbd.g_01085
OG0000245	Pral.g_00888	Prbd.g_01084
OG0000246	Pral.g_00886	Prbd.g_01082
OG0000247	Pral.g_00885	Prbd.g_01081
OG0000248	Pral.g_00884	Prbd.g_01080
OG0000249	Pral.g_00883	Prbd.g_01079
OG0000250	Pral.g_00882	Prbd.g_01078
OG0000251	Pral.g_00881	Prbd.g_01077
OG0000252	Pral.g_00880	Prbd.g_01076
OG0000253	Pral.g_00879	Prbd.g_01075
OG0000254	Pral.g_00877	Prbd.g_01073
OG0000255	Pral.g_00875	Prbd.g_01072
OG0000256	Pral.g_00872	Prbd.g_01069
OG0000257	Pral.g_00871	Prbd.g_01067
OG0000258	Pral.g_00870	Prbd.g_01066
OG0000259	Pral.g_00869	Prbd.g_01065
OG0000260	Pral.g_00868	Prbd.g_01064
OG0000261	Pral.g_00867	Prbd.g_01063
OG0000262	Pral.g_00866	Prbd.g_01062
OG0000263	Pral.g_00865	Prbd.g_01061
OG0000264	Pral.g_00863	Prbd.g_01059
OG0000265	Pral.g_00862	Prbd.g_01058
OG0000266	Pral.g_00861	Prbd.g_01057
OG0000267	Pral.g_00859	Prbd.g_01055
OG0000268	Pral.g_00857	Prbd.g_01054
OG0000269	Pral.g_00856	Prbd.g_01053
OG0000270	Pral.g_00855	Prbd.g_01052
OG0000271	Pral.g_00854	Prbd.g_01051
OG0000272	Pral.g_00853	Prbd.g_01050
OG0000273	Pral.g_00852	Prbd.g_01049
OG0000274	Pral.g_00851	Prbd.g_01048
OG0000275	Pral.g_00850	Prbd.g_01047
OG0000276	Pral.g_00849	Prbd.g_01046
OG0000277	Pral.g_00848	Prbd.g_01045
OG0000278	Pral.g_00847	Prbd.g_01044
OG0000279	Pral.g_00846	Prbd.g_01043
OG0000280	Pral.g_00845	Prbd.g_01042
OG0000281	Pral.g_00844	Prbd.g_01040
OG0000282	Pral.g_00843	Prbd.g_01039
OG0000283	Pral.g_00840	Prbd.g_01036
OG0000284	Pral.g_00839	Prbd.g_01035
OG0000285	Pral.g_00838	Prbd.g_01034
OG0000286	Pral.g_00836	Prbd.g_01032
OG0000287	Pral.g_00835	Prbd.g_01031
OG0000288	Pral.g_00834	Prbd.g_01030
OG0000289	Pral.g_00833	Prbd.g_01029
OG0000290	Pral.g_00832	Prbd.g_01028
OG0000291	Pral.g_00831	Prbd.g_01027
OG0000292	Pral.g_00830	Prbd.g_01026
OG0000293	Pral.g_00829	Prbd.g_01025
OG0000294	Pral.g_00828	Prbd.g_01024
OG0000295	Pral.g_00827	Prbd.g_01023
OG0000296	Pral.g_00826	Prbd.g_01022
OG0000297	Pral.g_00825	Prbd.g_01021
OG0000298	Pral.g_00824	Prbd.g_01020
OG0000299	Pral.g_00823	Prbd.g_01019
OG0000300	Pral.g_00822	Prbd.g_01018
OG0000301	Pral.g_00821	Prbd.g_01017
OG0000302	Pral.g_00820	Prbd.g_01016
OG0000303	Pral.g_00819	Prbd.g_01015
OG0000304	Pral.g_00817	Prbd.g_01013
OG0000305	Pral.g_00816	Prbd.g_01012
