Orthogroup	Pral	Prad
OG0000000	Pral.g_01549, Pral.g_01554	Prad.g_00601
OG0000000	Pral.g_01764, Pral.g_01340, Pral.g_00430, Pral.g_01342, Pral.g_01337, Pral.g_01052	Prad.g_01252
OG0000002	Pral.g_01236	Prad.g_00609
OG0000002	Pral.g_01296, Pral.g_01671	Prad.g_01434, Prad.g_01994
OG0000003	Pral.g_00040, Pral.g_01332	Prad.g_00350
OG0000004	Pral.g_01898	Prad.g_01075, Prad.g_01082, Prad.g_00345
OG0000005	Pral.g_00037	Prad.g_01982
OG0000006	Pral.g_00593	Prad.g_00132
OG0000006	Pral.g_00107	Prad.g_00941
OG0000009	Pral.g_01344	Prad.g_01125
OG0000009	Pral.g_00790	Prad.g_01742
OG0000010	Pral.g_00444	Prad.g_00650, Prad.g_00330
OG0000011	Pral.g_00672	Prad.g_00683
OG0000012	Pral.g_00491, Pral.g_00484	Prad.g_01387
OG0000013	Pral.g_01813	Prad.g_01108
OG0000014	Pral.g_01036, Pral.g_00039	Prad.g_00353, Prad.g_01298
OG0000015	Pral.g_01887, Pral.g_00062	Prad.g_00728, Prad.g_00951
OG0000016	Pral.g_01861, Pral.g_01063	Prad.g_00598
OG0000018	Pral.g_00797	Prad.g_01750
OG0000019	Pral.g_01738	Prad.g_01981
OG0000020	Pral.g_00768	Prad.g_00735
OG0000021	Pral.g_00090	Prad.g_01127
OG0000022	Pral.g_01331	Prad.g_00352
OG0000023	Pral.g_01065	Prad.g_00317
OG0000024	Pral.g_00732, Pral.g_01261	Prad.g_01685
OG0000025	Pral.g_01829	Prad.g_00985
OG0000026	Pral.g_00435	Prad.g_00081
OG0000028	Pral.g_01161, Pral.g_01165	Prad.g_00515
OG0000029	Pral.g_01164, Pral.g_01114	Prad.g_00400, Prad.g_00952
OG0000034	Pral.g_00987	Prad.g_00571
OG0000035	Pral.g_01853	Prad.g_00258
OG0000036	Pral.g_00057	Prad.g_01374
OG0000037	Pral.g_00015	Prad.g_01412
OG0000038	Pral.g_00044	Prad.g_01105
OG0000039	Pral.g_00878	Prad.g_01825
OG0000040	Pral.g_01687	Prad.g_00751
OG0000042	Pral.g_01729	Prad.g_01049
OG0000043	Pral.g_01665	Prad.g_01130
OG0000044	Pral.g_00639, Pral.g_01367	Prad.g_01496
OG0000045	Pral.g_01202	Prad.g_00565
OG0000046	Pral.g_00099	Prad.g_00948
OG0000047	Pral.g_00305	Prad.g_01631
OG0000048	Pral.g_00313	Prad.g_01624
OG0000050	Pral.g_01012	Prad.g_01955
OG0000051	Pral.g_00887	Prad.g_01834
OG0000052	Pral.g_01859	Prad.g_00739
OG0000053	Pral.g_00551	Prad.g_00090
OG0000054	Pral.g_00043	Prad.g_01099
OG0000055	Pral.g_01511	Prad.g_01168
OG0000056	Pral.g_00019	Prad.g_00657
OG0000057	Pral.g_00803	Prad.g_01754, Prad.g_00965
OG0000058	Pral.g_00617	Prad.g_00032
OG0000059	Pral.g_01740	Prad.g_01272
OG0000060	Pral.g_00445	Prad.g_01080, Prad.g_01300
OG0000062	Pral.g_00078, Pral.g_00056	Prad.g_01989
OG0000063	Pral.g_01396, Pral.g_01398, Pral.g_01397	Prad.g_01214
OG0000065	Pral.g_01281	Prad.g_00628
OG0000066	Pral.g_00702	Prad.g_00564
OG0000067	Pral.g_00064	Prad.g_01212, Prad.g_01218
OG0000068	Pral.g_00243	Prad.g_00807
OG0000069	Pral.g_01121	Prad.g_00561
OG0000071	Pral.g_00421	Prad.g_01975
OG0000072	Pral.g_00717	Prad.g_01669
OG0000073	Pral.g_01471	Prad.g_01243
OG0000074	Pral.g_01750	Prad.g_01265
