Orthogroup	Pram	Prbi
OG0000000	Pram.g_00873, Pram.g_00879	Prbi.g_01432
OG0000000	Pram.g_00768, Pram.g_01170, Pram.g_01471, Pram.g_01168, Pram.g_01174, Pram.g_01278	Prbi.g_00681
OG0000002	Pram.g_01954, Pram.g_01953	Prbi.g_01424
OG0000002	Pram.g_00719	Prbi.g_01270
OG0000003	Pram.g_01513, Pram.g_01176	Prbi.g_01371
OG0000004	Pram.g_01207	Prbi.g_00775, Prbi.g_00782
OG0000006	Pram.g_00433	Prbi.g_00500
OG0000006	Pram.g_01632	Prbi.g_01787
OG0000007	Pram.g_01263	Prbi.g_01764
OG0000007	Pram.g_01262	Prbi.g_01540, Prbi.g_01765, Prbi.g_01539
OG0000009	Pram.g_01164	Prbi.g_00827
OG0000009	Pram.g_00237	Prbi.g_00273
OG0000010	Pram.g_01505, Pram.g_00621	Prbi.g_01156, Prbi.g_01352
OG0000012	Pram.g_00535, Pram.g_00542	Prbi.g_00600
OG0000015	Pram.g_01597, Pram.g_00618, Pram.g_00662	Prbi.g_00406
OG0000016	Pram.g_01283	Prbi.g_01435
OG0000018	Pram.g_00229	Prbi.g_00265
OG0000019	Pram.g_00794	Prbi.g_01742
OG0000020	Pram.g_00259	Prbi.g_00398
OG0000021	Pram.g_00644, Pram.g_01544	Prbi.g_00829
OG0000022	Pram.g_01561	Prbi.g_01373
OG0000023	Pram.g_01284	Prbi.g_01338
OG0000024	Pram.g_00295	Prbi.g_00330
OG0000025	Pram.g_00706	Prbi.g_01122
OG0000028	Pram.g_01378, Pram.g_01381	Prbi.g_01589
OG0000029	Pram.g_00391	Prbi.g_01702
OG0000033	Pram.g_01193	Prbi.g_00013
OG0000035	Pram.g_00681	Prbi.g_00936
OG0000036	Pram.g_01559	Prbi.g_00587
OG0000037	Pram.g_00561	Prbi.g_00625
OG0000038	Pram.g_01287	Prbi.g_00805
OG0000039	Pram.g_00151	Prbi.g_00190
OG0000040	Pram.g_00689	Prbi.g_00384
OG0000042	Pram.g_00801	Prbi.g_00745
OG0000043	Pram.g_00905	Prbi.g_00832
OG0000045	Pram.g_01447	Prbi.g_01461
OG0000046	Pram.g_01265	Prbi.g_01780
OG0000047	Pram.g_01833	Prbi.g_01994
OG0000048	Pram.g_01841	Prbi.g_02001
OG0000050	Pram.g_00018	Prbi.g_00031
OG0000051	Pram.g_00142	Prbi.g_00181
OG0000052	Pram.g_00677	Prbi.g_00394
OG0000053	Pram.g_01558	Prbi.g_00542
OG0000054	Pram.g_01517	Prbi.g_00799
OG0000055	Pram.g_00832	Prbi.g_00869
OG0000056	Pram.g_01191	Prbi.g_01163
OG0000057	Pram.g_00224	Prbi.g_00261, Prbi.g_01748
OG0000058	Pram.g_00411	Prbi.g_00478
OG0000059	Pram.g_00792	Prbi.g_00702
OG0000060	Pram.g_00631	Prbi.g_00780
OG0000062	Pram.g_01546	Prbi.g_01174
OG0000063	Pram.g_01112	Prbi.g_01330
OG0000065	Pram.g_01230	Prbi.g_01391
OG0000066	Pram.g_01446	Prbi.g_01460
OG0000068	Pram.g_01770	Prbi.g_01938
OG0000069	Pram.g_01339	Prbi.g_01497
OG0000070	Pram.g_00603, Pram.g_01611, Pram.g_00602	Prbi.g_01276
OG0000071	Pram.g_01949	Prbi.g_00011
OG0000072	Pram.g_00310	Prbi.g_00346
OG0000073	Pram.g_01039	Prbi.g_00672
OG0000074	Pram.g_00782	Prbi.g_00694
OG0000075	Pram.g_00816	Prbi.g_00854
OG0000076	Pram.g_00888	Prbi.g_01086
OG0000078	Pram.g_01445	Prbi.g_01462
OG0000079	Pram.g_01293	Prbi.g_01668
OG0000080	Pram.g_01554	Prbi.g_01725
OG0000081	Pram.g_01805	Prbi.g_01968
OG0000082	Pram.g_01898	Prbi.g_02069
OG0000083	Pram.g_01941	Prbi.g_00003
OG0000084	Pram.g_01944	Prbi.g_00006
OG0000085	Pram.g_00010	Prbi.g_00023
OG0000087	Pram.g_00036	Prbi.g_00060
OG0000088	Pram.g_00099	Prbi.g_00120
OG0000089	Pram.g_00108	Prbi.g_00129
OG0000090	Pram.g_00125	Prbi.g_00147
OG0000091	Pram.g_00154	Prbi.g_00193
OG0000092	Pram.g_00155	Prbi.g_00194
OG0000093	Pram.g_00168	Prbi.g_00208
OG0000094	Pram.g_00187	Prbi.g_00226
OG0000095	Pram.g_00192	Prbi.g_00231
OG0000096	Pram.g_00239	Prbi.g_00275
OG0000097	Pram.g_00262	Prbi.g_00298
OG0000099	Pram.g_00283	Prbi.g_00318
OG0000100	Pram.g_00286	Prbi.g_00321
OG0000101	Pram.g_00354	Prbi.g_00381
OG0000102	Pram.g_01589	Prbi.g_00407
OG0000103	Pram.g_00412	Prbi.g_00479
OG0000104	Pram.g_00416	Prbi.g_00483
OG0000105	Pram.g_00437	Prbi.g_00502
OG0000106	Pram.g_00470	Prbi.g_00535
OG0000107	Pram.g_00471	Prbi.g_00536
OG0000108	Pram.g_00480	Prbi.g_00546
OG0000109	Pram.g_00489	Prbi.g_00555
OG0000110	Pram.g_00507	Prbi.g_00571
OG0000111	Pram.g_01059	Prbi.g_00654
OG0000112	Pram.g_01058	Prbi.g_00655
OG0000113	Pram.g_01006	Prbi.g_00767
OG0000114	Pram.g_00807	Prbi.g_00845
OG0000115	Pram.g_00943	Prbi.g_01009
OG0000116	Pram.g_00947	Prbi.g_01013
OG0000117	Pram.g_00891	Prbi.g_01083
OG0000118	Pram.g_01185	Prbi.g_01136
OG0000119	Pram.g_01549	Prbi.g_01177
OG0000120	Pram.g_01133	Prbi.g_01213
OG0000121	Pram.g_01110	Prbi.g_01232
OG0000122	Pram.g_01090	Prbi.g_01251
OG0000123	Pram.g_00571	Prbi.g_01264
OG0000124	Pram.g_01254	Prbi.g_01277
OG0000125	Pram.g_01242	Prbi.g_01403
OG0000126	Pram.g_01468	Prbi.g_01439
OG0000127	Pram.g_01393	Prbi.g_01576
OG0000128	Pram.g_01377	Prbi.g_01592
OG0000129	Pram.g_01341	Prbi.g_01627
OG0000130	Pram.g_01629	Prbi.g_01785
OG0000131	Pram.g_01669	Prbi.g_01823
OG0000132	Pram.g_01672	Prbi.g_01826
OG0000133	Pram.g_01728	Prbi.g_01897
OG0000134	Pram.g_01764	Prbi.g_01933
OG0000135	Pram.g_01766	Prbi.g_01935
OG0000136	Pram.g_01817	Prbi.g_01979
OG0000137	Pram.g_01851	Prbi.g_02011
OG0000138	Pram.g_01886	Prbi.g_02059
OG0000139	Pram.g_01917	Prbi.g_02086
OG0000140	Pram.g_01939	Prbi.g_00001
