Orthogroup	Pram	Prbc
OG0000000	Pram.g_00873	Prbc.g_01920
OG0000000	Pram.g_00768	Prbc.g_01759
OG0000000	Pram.g_01170	Prbc.g_01475
OG0000000	Pram.g_01471, Pram.g_01168	Prbc.g_01474
OG0000000	Pram.g_01174	Prbc.g_01479, Prbc.g_01473
OG0000000	Pram.g_01278	Prbc.g_01478
OG0000001	Pram.g_01556	Prbc.g_00608
OG0000001	Pram.g_01512	Prbc.g_00618
OG0000001	Pram.g_01512	Prbc.g_02167
OG0000002	Pram.g_01954, Pram.g_01953	Prbc.g_00588
OG0000002	Pram.g_00719	Prbc.g_01530, Prbc.g_00925
OG0000003	Pram.g_01513, Pram.g_01176	Prbc.g_00609, Prbc.g_00812
OG0000004	Pram.g_01207	Prbc.g_02193, Prbc.g_01233, Prbc.g_01294
OG0000005	Pram.g_01511	Prbc.g_02164, Prbc.g_00104, Prbc.g_00806, Prbc.g_02165
OG0000006	Pram.g_00433	Prbc.g_01556
OG0000006	Pram.g_01632	Prbc.g_00832
OG0000007	Pram.g_01263	Prbc.g_00893
OG0000007	Pram.g_01262	Prbc.g_00894
OG0000009	Pram.g_01164	Prbc.g_01836
OG0000010	Pram.g_01505, Pram.g_00621	Prbc.g_01323
OG0000011	Pram.g_00359	Prbc.g_01273
OG0000012	Pram.g_00542	Prbc.g_01681
OG0000013	Pram.g_00696, Pram.g_01545	Prbc.g_00599
OG0000015	Pram.g_00662	Prbc.g_00037, Prbc.g_00013
OG0000016	Pram.g_01283	Prbc.g_00650
OG0000017	Pram.g_01357, Pram.g_01580	Prbc.g_00728
OG0000018	Pram.g_00229	Prbc.g_02202
OG0000019	Pram.g_00794	Prbc.g_02189
OG0000020	Pram.g_00259	Prbc.g_01165
OG0000021	Pram.g_00644	Prbc.g_00059, Prbc.g_02139
OG0000021	Pram.g_01544	Prbc.g_00543, Prbc.g_00075, Prbc.g_02065, Prbc.g_02064
OG0000022	Pram.g_01561	Prbc.g_02163, Prbc.g_00103
OG0000023	Pram.g_00390	Prbc.g_01344
OG0000024	Pram.g_00295	Prbc.g_01198
OG0000025	Pram.g_00706	Prbc.g_00513, Prbc.g_01383
OG0000026	Pram.g_01258	Prbc.g_00932
OG0000028	Pram.g_01378, Pram.g_01381	Prbc.g_00709
OG0000029	Pram.g_00391	Prbc.g_02181, Prbc.g_00752
OG0000032	Pram.g_01413	Prbc.g_01228
OG0000033	Pram.g_01193	Prbc.g_00929
OG0000034	Pram.g_00040	Prbc.g_00518, Prbc.g_00517
OG0000035	Pram.g_00681	Prbc.g_01380
OG0000036	Pram.g_01559	Prbc.g_00891
OG0000037	Pram.g_00561	Prbc.g_02155
OG0000038	Pram.g_01287	Prbc.g_00166
OG0000039	Pram.g_00151	Prbc.g_00405
OG0000040	Pram.g_00689	Prbc.g_00006, Prbc.g_00047, Prbc.g_00071
OG0000041	Pram.g_01587	Prbc.g_01315
OG0000042	Pram.g_00801	Prbc.g_01787
OG0000043	Pram.g_00905	Prbc.g_01999
OG0000044	Pram.g_01140	Prbc.g_01446
OG0000046	Pram.g_01265	Prbc.g_00826
OG0000047	Pram.g_01833	Prbc.g_00211
OG0000048	Pram.g_01841	Prbc.g_00203
OG0000050	Pram.g_00018	Prbc.g_01101
OG0000051	Pram.g_00142	Prbc.g_00414
OG0000052	Pram.g_00677	Prbc.g_00134, Prbc.g_00641
OG0000053	Pram.g_01558	Prbc.g_01618
OG0000054	Pram.g_01517	Prbc.g_01116
OG0000055	Pram.g_00832	Prbc.g_01882, Prbc.g_00153
OG0000056	Pram.g_01191	Prbc.g_01117
OG0000057	Pram.g_00224	Prbc.g_00333
OG0000058	Pram.g_00411	Prbc.g_01534
OG0000059	Pram.g_00792	Prbc.g_00055, Prbc.g_01780
OG0000060	Pram.g_00631	Prbc.g_00148
OG0000063	Pram.g_01112	Prbc.g_00102
OG0000065	Pram.g_01230	Prbc.g_00566
OG0000066	Pram.g_01446	Prbc.g_01753
OG0000067	Pram.g_01579	Prbc.g_00136, Prbc.g_00616, Prbc.g_00066
OG0000068	Pram.g_01770	Prbc.g_00284
OG0000069	Pram.g_01339	Prbc.g_00746
OG0000070	Pram.g_01611	Prbc.g_00011, Prbc.g_01108, Prbc.g_00532
OG0000071	Pram.g_01949	Prbc.g_01081
OG0000072	Pram.g_00310	Prbc.g_01214
OG0000073	Pram.g_01039	Prbc.g_01748
OG0000074	Pram.g_00782	Prbc.g_01773
OG0000075	Pram.g_00816	Prbc.g_01865
OG0000076	Pram.g_00888	Prbc.g_02113
OG0000077	Pram.g_01510	Prbc.g_00105, Prbc.g_00807, Prbc.g_02166
OG0000078	Pram.g_01445	Prbc.g_01229
OG0000079	Pram.g_01293	Prbc.g_00790
OG0000080	Pram.g_01554	Prbc.g_00144
OG0000081	Pram.g_01805	Prbc.g_00238
OG0000082	Pram.g_01898	Prbc.g_01009
OG0000083	Pram.g_01941	Prbc.g_01073
OG0000084	Pram.g_01944	Prbc.g_01076
OG0000085	Pram.g_00010	Prbc.g_01093
OG0000086	Pram.g_01588	Prbc.g_00132
OG0000087	Pram.g_00036	Prbc.g_01127
OG0000088	Pram.g_00099	Prbc.g_00458
OG0000089	Pram.g_00108	Prbc.g_00449
OG0000090	Pram.g_00125	Prbc.g_00432
OG0000091	Pram.g_00154	Prbc.g_00402
OG0000092	Pram.g_00155	Prbc.g_00401
OG0000093	Pram.g_00168	Prbc.g_00388
OG0000094	Pram.g_00187	Prbc.g_00369
OG0000095	Pram.g_00192	Prbc.g_00365
OG0000096	Pram.g_00239	Prbc.g_01147
OG0000097	Pram.g_00262	Prbc.g_01167
OG0000098	Pram.g_00273	Prbc.g_01177
OG0000099	Pram.g_00283	Prbc.g_01186
OG0000100	Pram.g_00286	Prbc.g_01189
OG0000101	Pram.g_00354	Prbc.g_01270
OG0000102	Pram.g_01589	Prbc.g_02183
OG0000103	Pram.g_00412	Prbc.g_01535
OG0000104	Pram.g_00416	Prbc.g_01540
OG0000105	Pram.g_00437	Prbc.g_01579
OG0000106	Pram.g_00470	Prbc.g_01611
OG0000107	Pram.g_00471	Prbc.g_01612
OG0000108	Pram.g_00480	Prbc.g_01622
OG0000109	Pram.g_00489	Prbc.g_01632
OG0000110	Pram.g_00507	Prbc.g_01648
OG0000111	Pram.g_01059	Prbc.g_01728
OG0000112	Pram.g_01058	Prbc.g_01729
OG0000113	Pram.g_01006	Prbc.g_01811
OG0000114	Pram.g_00807	Prbc.g_01856
OG0000115	Pram.g_00943	Prbc.g_02036
OG0000116	Pram.g_00947	Prbc.g_02040
OG0000117	Pram.g_00891	Prbc.g_02110
OG0000118	Pram.g_01185	Prbc.g_00173
OG0000119	Pram.g_01549	Prbc.g_00899
OG0000120	Pram.g_01133	Prbc.g_01439
OG0000121	Pram.g_01110	Prbc.g_01417
OG0000122	Pram.g_01090	Prbc.g_01397
OG0000123	Pram.g_00571	Prbc.g_01387
OG0000124	Pram.g_01254	Prbc.g_02103
OG0000125	Pram.g_01242	Prbc.g_00577
OG0000126	Pram.g_01468	Prbc.g_00657
OG0000127	Pram.g_01393	Prbc.g_00695
OG0000128	Pram.g_01377	Prbc.g_00710
OG0000129	Pram.g_01341	Prbc.g_00744
OG0000130	Pram.g_01629	Prbc.g_00830
OG0000131	Pram.g_01669	Prbc.g_00867
OG0000132	Pram.g_01672	Prbc.g_00869
OG0000133	Pram.g_01728	Prbc.g_00326, Prbc.g_01572
OG0000134	Pram.g_01764	Prbc.g_00290
OG0000135	Pram.g_01766	Prbc.g_01560, Prbc.g_00288
OG0000136	Pram.g_01817	Prbc.g_00226
OG0000137	Pram.g_01851	Prbc.g_00190
OG0000138	Pram.g_01886	Prbc.g_00997
OG0000139	Pram.g_01917	Prbc.g_01047
OG0000140	Pram.g_01939	Prbc.g_01071
OG0000141	Pram.g_01940	Prbc.g_01072
OG0000142	Pram.g_01942	Prbc.g_01074
OG0000143	Pram.g_01943	Prbc.g_01075
OG0000144	Pram.g_01945	Prbc.g_01077
OG0000145	Pram.g_01946	Prbc.g_01078
OG0000146	Pram.g_01947	Prbc.g_01079
OG0000147	Pram.g_01948	Prbc.g_01080
OG0000148	Pram.g_01950	Prbc.g_01082
OG0000149	Pram.g_00001	Prbc.g_01084
OG0000150	Pram.g_00002	Prbc.g_01085
OG0000151	Pram.g_00003	Prbc.g_01086
OG0000152	Pram.g_00004	Prbc.g_01087
OG0000153	Pram.g_00005	Prbc.g_01088
OG0000154	Pram.g_00006	Prbc.g_01089
OG0000155	Pram.g_00007	Prbc.g_01090
OG0000156	Pram.g_00008	Prbc.g_01091
OG0000157	Pram.g_00009	Prbc.g_01092
OG0000158	Pram.g_00011	Prbc.g_01094
OG0000159	Pram.g_00012	Prbc.g_01095
OG0000160	Pram.g_00013	Prbc.g_01096
OG0000161	Pram.g_00014	Prbc.g_01097
OG0000162	Pram.g_00015	Prbc.g_01098
OG0000163	Pram.g_00016	Prbc.g_01099
OG0000164	Pram.g_00019	Prbc.g_01102
OG0000165	Pram.g_00021	Prbc.g_01104
OG0000166	Pram.g_00022	Prbc.g_01105
OG0000167	Pram.g_00023	Prbc.g_01106
OG0000168	Pram.g_00024	Prbc.g_01118
OG0000169	Pram.g_00026	Prbc.g_01120
OG0000170	Pram.g_00028	Prbc.g_01121
OG0000171	Pram.g_00029	Prbc.g_01122
OG0000172	Pram.g_00030	Prbc.g_01123
OG0000173	Pram.g_00033	Prbc.g_01124
OG0000174	Pram.g_00034	Prbc.g_01125
OG0000175	Pram.g_00035	Prbc.g_01126
OG0000176	Pram.g_00037	Prbc.g_01128
OG0000177	Pram.g_00038	Prbc.g_01129
OG0000178	Pram.g_00039	Prbc.g_01130
OG0000179	Pram.g_00048	Prbc.g_00509
OG0000180	Pram.g_00049	Prbc.g_00508
OG0000181	Pram.g_00050	Prbc.g_00507
OG0000182	Pram.g_00054	Prbc.g_00504
OG0000183	Pram.g_00055	Prbc.g_00503
OG0000184	Pram.g_00058	Prbc.g_00500
OG0000185	Pram.g_00062	Prbc.g_00496
