Orthogroup	Pram	Prbh
OG0000000	Pram.g_00873	Prbh.g_01016
OG0000000	Pram.g_00879	Prbh.g_01022
OG0000000	Pram.g_00768	Prbh.g_00912
OG0000000	Pram.g_01170	Prbh.g_01313
OG0000000	Pram.g_01471	Prbh.g_00006
OG0000000	Pram.g_01168	Prbh.g_01311
OG0000000	Pram.g_01174	Prbh.g_01317
OG0000000	Pram.g_01278	Prbh.g_00199
OG0000001	Pram.g_01556	Prbh.g_01858
OG0000001	Pram.g_01512	Prbh.g_01902
OG0000002	Pram.g_01954, Pram.g_01953	Prbh.g_00001
OG0000002	Pram.g_00719	Prbh.g_00863
OG0000003	Pram.g_01513	Prbh.g_01901
OG0000003	Pram.g_01176	Prbh.g_01319
OG0000004	Pram.g_01207	Prbh.g_01350
OG0000005	Pram.g_01511	Prbh.g_01903
OG0000006	Pram.g_00433	Prbh.g_00334
OG0000006	Pram.g_01632	Prbh.g_01782
OG0000007	Pram.g_01263	Prbh.g_01406
OG0000007	Pram.g_01262	Prbh.g_01405
OG0000009	Pram.g_01164	Prbh.g_01307
OG0000009	Pram.g_00237	Prbh.g_00530
OG0000010	Pram.g_01505	Prbh.g_01909
OG0000010	Pram.g_00621	Prbh.g_01948
OG0000011	Pram.g_00359	Prbh.g_00408
OG0000012	Pram.g_00535	Prbh.g_00232
OG0000012	Pram.g_00542	Prbh.g_00225
OG0000013	Pram.g_00696	Prbh.g_00840
OG0000013	Pram.g_01545	Prbh.g_01869
OG0000015	Pram.g_01597	Prbh.g_01817
OG0000015	Pram.g_00618	Prbh.g_01945
OG0000015	Pram.g_00662	Prbh.g_00806
OG0000016	Pram.g_01283	Prbh.g_00194
OG0000017	Pram.g_01357	Prbh.g_00120
OG0000017	Pram.g_01580	Prbh.g_01834
OG0000018	Pram.g_00229	Prbh.g_00538
OG0000019	Pram.g_00794	Prbh.g_00938
OG0000020	Pram.g_00259	Prbh.g_00508
OG0000021	Pram.g_00644	Prbh.g_00788
OG0000021	Pram.g_01544	Prbh.g_01870
OG0000022	Pram.g_01561	Prbh.g_01853
OG0000023	Pram.g_01573	Prbh.g_01841
OG0000023	Pram.g_01284	Prbh.g_00193
OG0000023	Pram.g_00390	Prbh.g_00377
OG0000024	Pram.g_00295	Prbh.g_00472
OG0000025	Pram.g_00706	Prbh.g_00850
OG0000026	Pram.g_01258	Prbh.g_01401
OG0000028	Pram.g_01378	Prbh.g_00099
OG0000028	Pram.g_01381	Prbh.g_00096
OG0000029	Pram.g_00391	Prbh.g_00376
OG0000032	Pram.g_01413	Prbh.g_00064
OG0000033	Pram.g_01193	Prbh.g_01336
OG0000034	Pram.g_01436	Prbh.g_00041
OG0000034	Pram.g_00040	Prbh.g_00727
OG0000035	Pram.g_00681	Prbh.g_00825
OG0000036	Pram.g_01559	Prbh.g_01855
OG0000037	Pram.g_00561	Prbh.g_01460
OG0000038	Pram.g_01287	Prbh.g_00190
OG0000039	Pram.g_00151	Prbh.g_00616
OG0000040	Pram.g_00689	Prbh.g_00833
OG0000041	Pram.g_01587	Prbh.g_01827
OG0000042	Pram.g_00801	Prbh.g_00945
OG0000043	Pram.g_00905	Prbh.g_01048
OG0000044	Pram.g_01140	Prbh.g_01283
OG0000045	Pram.g_01447	Prbh.g_00030
OG0000046	Pram.g_01265	Prbh.g_01408
OG0000047	Pram.g_01833	Prbh.g_01581
OG0000048	Pram.g_01841	Prbh.g_01573
OG0000050	Pram.g_00018	Prbh.g_00749
OG0000051	Pram.g_00142	Prbh.g_00625
OG0000052	Pram.g_00677	Prbh.g_00821
OG0000053	Pram.g_01558	Prbh.g_01856
OG0000054	Pram.g_01517	Prbh.g_01897
OG0000055	Pram.g_00832	Prbh.g_00976
OG0000056	Pram.g_01191	Prbh.g_01334
OG0000057	Pram.g_00224	Prbh.g_00543
OG0000058	Pram.g_00411	Prbh.g_00356
OG0000059	Pram.g_00792	Prbh.g_00936
OG0000060	Pram.g_00631	Prbh.g_00775
OG0000062	Pram.g_01546	Prbh.g_01868
OG0000063	Pram.g_01112	Prbh.g_01255
OG0000065	Pram.g_01230	Prbh.g_01373
OG0000066	Pram.g_01446	Prbh.g_00031
OG0000067	Pram.g_01579	Prbh.g_01835
OG0000068	Pram.g_01770	Prbh.g_01644
OG0000069	Pram.g_01339	Prbh.g_00138
OG0000070	Pram.g_00603	Prbh.g_01417
OG0000070	Pram.g_01611	Prbh.g_01803
OG0000070	Pram.g_00602	Prbh.g_01418
OG0000071	Pram.g_01949	Prbh.g_01953
OG0000072	Pram.g_00310	Prbh.g_00457
OG0000073	Pram.g_01039	Prbh.g_01182
OG0000074	Pram.g_00782	Prbh.g_00926
OG0000075	Pram.g_00816	Prbh.g_00960
OG0000076	Pram.g_00888	Prbh.g_01031
OG0000077	Pram.g_01510	Prbh.g_01904
OG0000078	Pram.g_01445	Prbh.g_00032
OG0000079	Pram.g_01293	Prbh.g_00184
OG0000080	Pram.g_01554	Prbh.g_01860
OG0000081	Pram.g_01805	Prbh.g_01609
OG0000082	Pram.g_01898	Prbh.g_01516
OG0000083	Pram.g_01941	Prbh.g_01473
OG0000084	Pram.g_01944	Prbh.g_01470
OG0000085	Pram.g_00010	Prbh.g_00757
OG0000086	Pram.g_01588	Prbh.g_01826
OG0000087	Pram.g_00036	Prbh.g_00731
OG0000088	Pram.g_00099	Prbh.g_00668
OG0000089	Pram.g_00108	Prbh.g_00659
OG0000090	Pram.g_00125	Prbh.g_00642
OG0000091	Pram.g_00154	Prbh.g_00613
OG0000092	Pram.g_00155	Prbh.g_00612
OG0000093	Pram.g_00168	Prbh.g_00599
OG0000094	Pram.g_00187	Prbh.g_00580
OG0000095	Pram.g_00192	Prbh.g_00575
OG0000096	Pram.g_00239	Prbh.g_00528
OG0000097	Pram.g_00262	Prbh.g_00505
OG0000098	Pram.g_00273	Prbh.g_00494
OG0000099	Pram.g_00283	Prbh.g_00484
OG0000100	Pram.g_00286	Prbh.g_00481
OG0000101	Pram.g_00354	Prbh.g_00413
OG0000102	Pram.g_01589	Prbh.g_01825
OG0000103	Pram.g_00412	Prbh.g_00355
OG0000104	Pram.g_00416	Prbh.g_00351
OG0000105	Pram.g_00437	Prbh.g_00330
OG0000106	Pram.g_00470	Prbh.g_00297
OG0000107	Pram.g_00471	Prbh.g_00296
OG0000108	Pram.g_00480	Prbh.g_00287
OG0000109	Pram.g_00489	Prbh.g_00278
OG0000110	Pram.g_00507	Prbh.g_00260
OG0000111	Pram.g_01059	Prbh.g_01202
OG0000112	Pram.g_01058	Prbh.g_01201
OG0000113	Pram.g_01006	Prbh.g_01149
OG0000114	Pram.g_00807	Prbh.g_00951
OG0000115	Pram.g_00943	Prbh.g_01086
OG0000116	Pram.g_00947	Prbh.g_01090
OG0000117	Pram.g_00891	Prbh.g_01034
OG0000118	Pram.g_01185	Prbh.g_01328
OG0000119	Pram.g_01549	Prbh.g_01865
OG0000120	Pram.g_01133	Prbh.g_01276
OG0000121	Pram.g_01110	Prbh.g_01253
OG0000122	Pram.g_01090	Prbh.g_01233
OG0000123	Pram.g_00571	Prbh.g_01450
OG0000124	Pram.g_01254	Prbh.g_01397
OG0000125	Pram.g_01242	Prbh.g_01385
OG0000126	Pram.g_01468	Prbh.g_00009
OG0000127	Pram.g_01393	Prbh.g_00084
OG0000128	Pram.g_01377	Prbh.g_00100
OG0000129	Pram.g_01341	Prbh.g_00136
OG0000130	Pram.g_01629	Prbh.g_01785
OG0000131	Pram.g_01669	Prbh.g_01745
OG0000132	Pram.g_01672	Prbh.g_01742
OG0000133	Pram.g_01728	Prbh.g_01686
OG0000134	Pram.g_01764	Prbh.g_01650
OG0000135	Pram.g_01766	Prbh.g_01648
OG0000136	Pram.g_01817	Prbh.g_01597
OG0000137	Pram.g_01851	Prbh.g_01563
OG0000138	Pram.g_01886	Prbh.g_01528
OG0000139	Pram.g_01917	Prbh.g_01497
OG0000140	Pram.g_01939	Prbh.g_01475
OG0000141	Pram.g_01940	Prbh.g_01474
OG0000142	Pram.g_01942	Prbh.g_01472
OG0000143	Pram.g_01943	Prbh.g_01471
OG0000144	Pram.g_01945	Prbh.g_01469
OG0000145	Pram.g_01946	Prbh.g_01468
OG0000146	Pram.g_01947	Prbh.g_01467
OG0000147	Pram.g_01948	Prbh.g_01466
OG0000148	Pram.g_01950	Prbh.g_01952
OG0000149	Pram.g_00001	Prbh.g_00766
OG0000150	Pram.g_00002	Prbh.g_00765
OG0000151	Pram.g_00003	Prbh.g_00764
OG0000152	Pram.g_00004	Prbh.g_00763
OG0000153	Pram.g_00005	Prbh.g_00762
OG0000154	Pram.g_00006	Prbh.g_00761
OG0000155	Pram.g_00007	Prbh.g_00760
OG0000156	Pram.g_00008	Prbh.g_00759
OG0000157	Pram.g_00009	Prbh.g_00758
OG0000158	Pram.g_00011	Prbh.g_00756
OG0000159	Pram.g_00012	Prbh.g_00755
OG0000160	Pram.g_00013	Prbh.g_00754
OG0000161	Pram.g_00014	Prbh.g_00753
OG0000162	Pram.g_00015	Prbh.g_00752
OG0000163	Pram.g_00016	Prbh.g_00751
OG0000164	Pram.g_00019	Prbh.g_00748
OG0000165	Pram.g_00021	Prbh.g_00746
OG0000166	Pram.g_00022	Prbh.g_00745
OG0000167	Pram.g_00023	Prbh.g_00744
OG0000168	Pram.g_00024	Prbh.g_00743
OG0000169	Pram.g_00026	Prbh.g_00741
OG0000170	Pram.g_00028	Prbh.g_00739
OG0000171	Pram.g_00029	Prbh.g_00738
OG0000172	Pram.g_00030	Prbh.g_00737
OG0000173	Pram.g_00033	Prbh.g_00734
OG0000174	Pram.g_00034	Prbh.g_00733
OG0000175	Pram.g_00035	Prbh.g_00732
OG0000176	Pram.g_00037	Prbh.g_00730
OG0000177	Pram.g_00038	Prbh.g_00729
OG0000178	Pram.g_00039	Prbh.g_00728
OG0000179	Pram.g_00048	Prbh.g_00719
OG0000180	Pram.g_00049	Prbh.g_00718
OG0000181	Pram.g_00050	Prbh.g_00717
OG0000182	Pram.g_00054	Prbh.g_00713
OG0000183	Pram.g_00055	Prbh.g_00712
OG0000184	Pram.g_00058	Prbh.g_00709
OG0000185	Pram.g_00062	Prbh.g_00705
OG0000186	Pram.g_00063	Prbh.g_00704
OG0000187	Pram.g_01536	Prbh.g_01878
OG0000188	Pram.g_00064	Prbh.g_00703
OG0000189	Pram.g_00065	Prbh.g_00702
OG0000190	Pram.g_00066	Prbh.g_00701
OG0000191	Pram.g_00067	Prbh.g_00700
OG0000192	Pram.g_00068	Prbh.g_00699
OG0000193	Pram.g_00069	Prbh.g_00698
OG0000194	Pram.g_00070	Prbh.g_00697
OG0000195	Pram.g_00072	Prbh.g_00695
OG0000196	Pram.g_00073	Prbh.g_00694
OG0000197	Pram.g_00074	Prbh.g_00693
OG0000198	Pram.g_00075	Prbh.g_00692
OG0000199	Pram.g_00078	Prbh.g_00689
OG0000200	Pram.g_00079	Prbh.g_00688
OG0000201	Pram.g_00080	Prbh.g_00687
OG0000202	Pram.g_00081	Prbh.g_00686
OG0000203	Pram.g_00082	Prbh.g_00685
OG0000204	Pram.g_00083	Prbh.g_00684
OG0000205	Pram.g_00085	Prbh.g_00682
OG0000206	Pram.g_00086	Prbh.g_00681
OG0000207	Pram.g_00087	Prbh.g_00680
OG0000208	Pram.g_00088	Prbh.g_00679
OG0000209	Pram.g_00089	Prbh.g_00678
OG0000210	Pram.g_00090	Prbh.g_00677
OG0000211	Pram.g_00091	Prbh.g_00676
OG0000212	Pram.g_00092	Prbh.g_00675
OG0000213	Pram.g_00093	Prbh.g_00674
OG0000214	Pram.g_00097	Prbh.g_00670
OG0000215	Pram.g_00098	Prbh.g_00669
OG0000216	Pram.g_00100	Prbh.g_00667
OG0000217	Pram.g_00101	Prbh.g_00666
OG0000218	Pram.g_00102	Prbh.g_00665
OG0000219	Pram.g_00103	Prbh.g_00664
OG0000220	Pram.g_00106	Prbh.g_00661
OG0000221	Pram.g_00109	Prbh.g_00658
OG0000222	Pram.g_00110	Prbh.g_00657
OG0000223	Pram.g_00111	Prbh.g_00656
OG0000224	Pram.g_00113	Prbh.g_00654
OG0000225	Pram.g_00115	Prbh.g_00652
OG0000226	Pram.g_00117	Prbh.g_00650
OG0000227	Pram.g_00118	Prbh.g_00649
OG0000228	Pram.g_00119	Prbh.g_00648
OG0000229	Pram.g_00120	Prbh.g_00647
OG0000230	Pram.g_00121	Prbh.g_00646
OG0000231	Pram.g_01001	Prbh.g_01144
OG0000232	Pram.g_00123	Prbh.g_00644
OG0000233	Pram.g_00126	Prbh.g_00641
OG0000234	Pram.g_00128	Prbh.g_00639
OG0000235	Pram.g_00130	Prbh.g_00637
OG0000236	Pram.g_00131	Prbh.g_00636
OG0000237	Pram.g_00132	Prbh.g_00635
OG0000238	Pram.g_00133	Prbh.g_00634
OG0000239	Pram.g_00134	Prbh.g_00633
OG0000240	Pram.g_00136	Prbh.g_00631
OG0000241	Pram.g_00137	Prbh.g_00630
OG0000242	Pram.g_00138	Prbh.g_00629
OG0000243	Pram.g_00139	Prbh.g_00628
OG0000244	Pram.g_00140	Prbh.g_00627
OG0000245	Pram.g_00141	Prbh.g_00626
OG0000246	Pram.g_00143	Prbh.g_00624
OG0000247	Pram.g_00144	Prbh.g_00623
