Orthogroup	Pram	Prbf
OG0000000	Pram.g_00873	Prbf.g_01182
OG0000000	Pram.g_00879	Prbf.g_01177
OG0000000	Pram.g_00768	Prbf.g_01285
OG0000000	Pram.g_01170	Prbf.g_00888
OG0000000	Pram.g_01471	Prbf.g_00089
OG0000000	Pram.g_01168	Prbf.g_00890
OG0000000	Pram.g_01174	Prbf.g_00883
OG0000000	Pram.g_01278	Prbf.g_00260
OG0000001	Pram.g_01556	Prbf.g_00760
OG0000001	Pram.g_01512	Prbf.g_00775
OG0000001	Pram.g_01512	Prbf.g_00881
OG0000002	Pram.g_01954, Pram.g_01953	Prbf.g_00068
OG0000002	Pram.g_00719	Prbf.g_00831
OG0000003	Pram.g_01176	Prbf.g_00880
OG0000004	Pram.g_01207	Prbf.g_00052
OG0000005	Pram.g_01511	Prbf.g_00776
OG0000006	Pram.g_00433	Prbf.g_01780
OG0000006	Pram.g_01632	Prbf.g_00693
OG0000007	Pram.g_01263	Prbf.g_00793
OG0000007	Pram.g_01262	Prbf.g_00792
OG0000009	Pram.g_01164	Prbf.g_00894
OG0000009	Pram.g_00237	Prbf.g_01588
OG0000010	Pram.g_01505, Pram.g_00621	Prbf.g_00306
OG0000011	Pram.g_00359	Prbf.g_01707
OG0000012	Pram.g_00535	Prbf.g_01880
OG0000012	Pram.g_00542	Prbf.g_01887
OG0000013	Pram.g_01545	Prbf.g_00754, Prbf.g_00708
OG0000015	Pram.g_00662	Prbf.g_00765, Prbf.g_00732
OG0000016	Pram.g_01283	Prbf.g_00254
OG0000017	Pram.g_01357	Prbf.g_00178
OG0000017	Pram.g_01580	Prbf.g_00748
OG0000018	Pram.g_00229	Prbf.g_01580
OG0000019	Pram.g_00794	Prbf.g_01259
OG0000020	Pram.g_00259	Prbf.g_00039, Prbf.g_01611
OG0000021	Pram.g_00644	Prbf.g_00711
OG0000023	Pram.g_01284	Prbf.g_00252
OG0000024	Pram.g_00295	Prbf.g_01647
OG0000025	Pram.g_00706	Prbf.g_00845
OG0000026	Pram.g_01258	Prbf.g_00808
OG0000028	Pram.g_01378	Prbf.g_00157
OG0000029	Pram.g_00391	Prbf.g_01738
OG0000033	Pram.g_01193	Prbf.g_00860
OG0000034	Pram.g_00040	Prbf.g_01380
OG0000035	Pram.g_00681	Prbf.g_00299
OG0000036	Pram.g_01559	Prbf.g_00704
OG0000037	Pram.g_00561	Prbf.g_00272, Prbf.g_01905
OG0000038	Pram.g_01287	Prbf.g_00248
OG0000039	Pram.g_00151	Prbf.g_01500
OG0000040	Pram.g_00689	Prbf.g_00287
OG0000041	Pram.g_01587	Prbf.g_00729
OG0000042	Pram.g_00801	Prbf.g_01253
OG0000043	Pram.g_00905	Prbf.g_01153
OG0000044	Pram.g_01140	Prbf.g_00918
OG0000045	Pram.g_01447	Prbf.g_00117
OG0000046	Pram.g_01265	Prbf.g_00701, Prbf.g_00822
OG0000047	Pram.g_01833	Prbf.g_00496
OG0000048	Pram.g_01841	Prbf.g_00487
OG0000050	Pram.g_00018	Prbf.g_01354
OG0000051	Pram.g_00142	Prbf.g_01491
OG0000052	Pram.g_00677	Prbf.g_00320
OG0000053	Pram.g_01558	Prbf.g_01820, Prbf.g_00781
OG0000054	Pram.g_01517	Prbf.g_01922
OG0000055	Pram.g_00832	Prbf.g_01222
OG0000056	Pram.g_01191	Prbf.g_00862
OG0000057	Pram.g_00224	Prbf.g_01575
OG0000058	Pram.g_00411	Prbf.g_01758
OG0000059	Pram.g_00792	Prbf.g_01261
OG0000062	Pram.g_01546	Prbf.g_00788
OG0000063	Pram.g_01112	Prbf.g_00945
OG0000065	Pram.g_01230	Prbf.g_00026
OG0000066	Pram.g_01446	Prbf.g_00115
OG0000067	Pram.g_01579	Prbf.g_00347
OG0000068	Pram.g_01770	Prbf.g_00558
OG0000069	Pram.g_01339	Prbf.g_00196
OG0000071	Pram.g_01949	Prbf.g_00382
OG0000072	Pram.g_00310	Prbf.g_01661
OG0000073	Pram.g_01039	Prbf.g_01018
OG0000074	Pram.g_00782	Prbf.g_01271
OG0000075	Pram.g_00816	Prbf.g_01238
OG0000076	Pram.g_00888	Prbf.g_01170
OG0000077	Pram.g_01510	Prbf.g_00777
OG0000078	Pram.g_01445	Prbf.g_00118
OG0000079	Pram.g_01293	Prbf.g_00242
OG0000080	Pram.g_01554	Prbf.g_00346
OG0000081	Pram.g_01805	Prbf.g_00524
OG0000082	Pram.g_01898	Prbf.g_00351
OG0000083	Pram.g_01941	Prbf.g_00390
OG0000084	Pram.g_01944	Prbf.g_00387
OG0000085	Pram.g_00010	Prbf.g_01345
OG0000087	Pram.g_00036	Prbf.g_01374
OG0000088	Pram.g_00099	Prbf.g_01443
OG0000089	Pram.g_00108	Prbf.g_01452
OG0000090	Pram.g_00125	Prbf.g_01469
OG0000091	Pram.g_00154	Prbf.g_01503
OG0000092	Pram.g_00155	Prbf.g_01504
OG0000093	Pram.g_00168	Prbf.g_01518
OG0000094	Pram.g_00187	Prbf.g_01537
OG0000095	Pram.g_00192	Prbf.g_01542
OG0000096	Pram.g_00239	Prbf.g_01590
OG0000097	Pram.g_00262	Prbf.g_01614
OG0000098	Pram.g_00273	Prbf.g_01625
OG0000099	Pram.g_00283	Prbf.g_01635
OG0000100	Pram.g_00286	Prbf.g_01638
OG0000101	Pram.g_00354	Prbf.g_01703
OG0000102	Pram.g_01589	Prbf.g_00044
OG0000103	Pram.g_00412	Prbf.g_01759
