Orthogroup	Pram	Praj
OG0000000	Pram.g_00873	Praj.g_00832
OG0000000	Pram.g_00768	Praj.g_00670
OG0000000	Pram.g_01170	Praj.g_01489
OG0000000	Pram.g_01471, Pram.g_01168	Praj.g_01488
OG0000000	Pram.g_01174	Praj.g_01493, Praj.g_01487
OG0000000	Pram.g_01278	Praj.g_01492
OG0000001	Pram.g_01556	Praj.g_01100
OG0000001	Pram.g_01512	Praj.g_01307
OG0000001	Pram.g_01512	Praj.g_01359
OG0000001	Pram.g_01512	Praj.g_01732
OG0000002	Pram.g_01954, Pram.g_01953	Praj.g_01549
OG0000002	Pram.g_00719	Praj.g_00463, Praj.g_01861
OG0000003	Pram.g_01513, Pram.g_01176	Praj.g_01099, Praj.g_00415, Praj.g_01204, Praj.g_01274, Praj.g_01311, Praj.g_01737
OG0000004	Pram.g_01207	Praj.g_01121, Praj.g_00411, Praj.g_01222
OG0000005	Pram.g_01511	Praj.g_00418, Praj.g_01077, Praj.g_01357, Praj.g_01730, Praj.g_01272, Praj.g_01309, Praj.g_01078, Praj.g_00417, Praj.g_01202
OG0000006	Pram.g_00433	Praj.g_00489
OG0000006	Pram.g_01632	Praj.g_01768
OG0000007	Pram.g_01263	Praj.g_01829
OG0000007	Pram.g_01262	Praj.g_01830
OG0000009	Pram.g_01164	Praj.g_00747
OG0000010	Pram.g_01505, Pram.g_00621	Praj.g_01249
OG0000011	Pram.g_00359	Praj.g_00408
OG0000012	Pram.g_00542	Praj.g_00592
OG0000013	Pram.g_00696, Pram.g_01545	Praj.g_01113
OG0000016	Pram.g_01283	Praj.g_01568
OG0000017	Pram.g_01357, Pram.g_01580	Praj.g_01651
OG0000018	Pram.g_00229	Praj.g_00282, Praj.g_01281, Praj.g_01505
OG0000019	Pram.g_00794	Praj.g_00084
OG0000020	Pram.g_00259	Praj.g_00308
OG0000021	Pram.g_00644	Praj.g_01051
OG0000021	Pram.g_01544	Praj.g_01335, Praj.g_00976, Praj.g_00975
OG0000022	Pram.g_01561	Praj.g_01076, Praj.g_00419, Praj.g_01356, Praj.g_01201, Praj.g_01271, Praj.g_01308
OG0000024	Pram.g_00295	Praj.g_00341
OG0000025	Pram.g_00706	Praj.g_00099, Praj.g_01398
OG0000026	Pram.g_01258	Praj.g_01867
OG0000028	Pram.g_01378, Pram.g_01381	Praj.g_01632
OG0000029	Pram.g_00391	Praj.g_01276, Praj.g_01675
OG0000032	Pram.g_01413	Praj.g_00371
OG0000033	Pram.g_01193	Praj.g_01865
OG0000034	Pram.g_00040	Praj.g_00095
OG0000035	Pram.g_00681	Praj.g_01395
OG0000036	Pram.g_01559	Praj.g_01827
OG0000037	Pram.g_00561	Praj.g_01066
OG0000038	Pram.g_01287	Praj.g_01189
OG0000039	Pram.g_00151	Praj.g_00206
OG0000040	Pram.g_00689	Praj.g_01365, Praj.g_01329
OG0000041	Pram.g_01587	Praj.g_01242
OG0000042	Pram.g_00801	Praj.g_00698
OG0000043	Pram.g_00905	Praj.g_00909
OG0000044	Pram.g_01140	Praj.g_01461
OG0000046	Pram.g_01265	Praj.g_01762
OG0000047	Pram.g_01833	Praj.g_02012
OG0000048	Pram.g_01841	Praj.g_02020
OG0000050	Pram.g_00018	Praj.g_00031
OG0000051	Pram.g_00142	Praj.g_00197
OG0000052	Pram.g_00677	Praj.g_01156, Praj.g_01282
OG0000053	Pram.g_01558	Praj.g_00530
OG0000054	Pram.g_01517	Praj.g_00042
OG0000055	Pram.g_00832	Praj.g_00793, Praj.g_01176
OG0000056	Pram.g_01191	Praj.g_00043
OG0000057	Pram.g_00224	Praj.g_00277
OG0000058	Pram.g_00411	Praj.g_00467
OG0000059	Pram.g_00792	Praj.g_01313, Praj.g_00691
OG0000060	Pram.g_00631	Praj.g_01170
OG0000063	Pram.g_01112	Praj.g_01355
OG0000065	Pram.g_01230	Praj.g_01528
OG0000066	Pram.g_01446	Praj.g_00664
OG0000067	Pram.g_01579	Praj.g_01158, Praj.g_01323
OG0000068	Pram.g_01770	Praj.g_01952
OG0000069	Pram.g_01339	Praj.g_01669
OG0000071	Pram.g_01949	Praj.g_00011
OG0000072	Pram.g_00310	Praj.g_00357
OG0000073	Pram.g_01039	Praj.g_00659
