Orthogroup	Pram	Prbk
OG0000000	Pram.g_00873, Pram.g_00879	Prbk.g_02574
OG0000000	Pram.g_00768, Pram.g_01170, Pram.g_01471, Pram.g_01168, Pram.g_01174, Pram.g_01278	Prbk.g_01649
OG0000002	Pram.g_01954, Pram.g_01953	Prbk.g_01196, Prbk.g_00561, Prbk.g_02701, Prbk.g_00170, Prbk.g_00630
OG0000003	Pram.g_01513, Pram.g_01176	Prbk.g_00166
OG0000004	Pram.g_01207	Prbk.g_01701, Prbk.g_00304, Prbk.g_00355
OG0000006	Pram.g_01632	Prbk.g_00907
OG0000007	Pram.g_01263	Prbk.g_01819
OG0000007	Pram.g_01262	Prbk.g_01820
OG0000009	Pram.g_01164, Pram.g_00237	Prbk.g_01004
OG0000011	Pram.g_00359	Prbk.g_02565
OG0000012	Pram.g_00542	Prbk.g_01142
OG0000013	Pram.g_00696, Pram.g_01545	Prbk.g_02558
OG0000016	Pram.g_01283	Prbk.g_01786
OG0000017	Pram.g_01357, Pram.g_01580	Prbk.g_01230
OG0000018	Pram.g_00229	Prbk.g_02695
OG0000019	Pram.g_00794	Prbk.g_01137
OG0000020	Pram.g_00259	Prbk.g_00405
OG0000024	Pram.g_00295	Prbk.g_00454
OG0000026	Pram.g_01258	Prbk.g_01613
OG0000028	Pram.g_01378	Prbk.g_00259
OG0000032	Pram.g_01413	Prbk.g_00534, Prbk.g_00539
OG0000034	Pram.g_00040	Prbk.g_00499
OG0000037	Pram.g_00561	Prbk.g_02610
OG0000038	Pram.g_01287	Prbk.g_01667, Prbk.g_00212
OG0000039	Pram.g_00151	Prbk.g_01836, Prbk.g_00773
OG0000040	Pram.g_00689	Prbk.g_02448
OG0000042	Pram.g_00801	Prbk.g_01835, Prbk.g_00619
OG0000043	Pram.g_00905	Prbk.g_01644, Prbk.g_01642
OG0000044	Pram.g_01140	Prbk.g_01019
OG0000045	Pram.g_01447	Prbk.g_00479
OG0000046	Pram.g_01265	Prbk.g_00919
OG0000047	Pram.g_01833	Prbk.g_00237
OG0000048	Pram.g_01841	Prbk.g_00140, Prbk.g_01495
OG0000050	Pram.g_00018	Prbk.g_01617
OG0000051	Pram.g_00142	Prbk.g_00764
OG0000052	Pram.g_00677	Prbk.g_00925
OG0000053	Pram.g_01558	Prbk.g_01094
OG0000054	Pram.g_01517	Prbk.g_01468
OG0000055	Pram.g_00832	Prbk.g_02493
