Orthogroup	Pram	Prbn
OG0000000	Pram.g_00873	Prbn.g_01483
OG0000000	Pram.g_00879	Prbn.g_01478
OG0000000	Pram.g_00768	Prbn.g_01586
OG0000000	Pram.g_01170	Prbn.g_01159
OG0000000	Pram.g_01471	Prbn.g_01234
OG0000000	Pram.g_01168	Prbn.g_01161
OG0000000	Pram.g_01174	Prbn.g_01154
OG0000000	Pram.g_01278	Prbn.g_00879
OG0000001	Pram.g_01556	Prbn.g_01678
OG0000001	Pram.g_01512	Prbn.g_01152
OG0000001	Pram.g_01512	Prbn.g_01663
OG0000002	Pram.g_01954, Pram.g_01953	Prbn.g_01213
OG0000002	Pram.g_00719	Prbn.g_01923
OG0000003	Pram.g_01176	Prbn.g_01151
OG0000004	Pram.g_01207	Prbn.g_01110
OG0000005	Pram.g_01511	Prbn.g_01662
OG0000006	Pram.g_00433	Prbn.g_00617
OG0000006	Pram.g_01632	Prbn.g_01745
OG0000007	Pram.g_01263	Prbn.g_01645
OG0000007	Pram.g_01262	Prbn.g_01646
OG0000009	Pram.g_01164	Prbn.g_01165
OG0000009	Pram.g_00237	Prbn.g_00015
OG0000010	Pram.g_01505, Pram.g_00621	Prbn.g_01049
OG0000011	Pram.g_00359	Prbn.g_00690
OG0000012	Pram.g_00535	Prbn.g_00517
OG0000012	Pram.g_00542	Prbn.g_00510
OG0000013	Pram.g_01545	Prbn.g_01684, Prbn.g_01730
OG0000015	Pram.g_00662	Prbn.g_01673, Prbn.g_01706
OG0000016	Pram.g_01283	Prbn.g_00885
OG0000017	Pram.g_01357	Prbn.g_00233
OG0000017	Pram.g_01580	Prbn.g_01690
OG0000018	Pram.g_00229	Prbn.g_00308
OG0000019	Pram.g_00794	Prbn.g_01560
OG0000020	Pram.g_00259	Prbn.g_01097, Prbn.g_00038
OG0000021	Pram.g_00644	Prbn.g_01727
OG0000023	Pram.g_01284	Prbn.g_00887
OG0000024	Pram.g_00295	Prbn.g_00074
OG0000025	Pram.g_00706	Prbn.g_01937
OG0000026	Pram.g_01258	Prbn.g_00130
OG0000028	Pram.g_01378	Prbn.g_00212
OG0000029	Pram.g_00391	Prbn.g_00659
OG0000033	Pram.g_01193	Prbn.g_01131
OG0000034	Pram.g_00040	Prbn.g_00724
OG0000035	Pram.g_00681	Prbn.g_01042
OG0000036	Pram.g_01559	Prbn.g_01734
OG0000037	Pram.g_00561	Prbn.g_00867, Prbn.g_00492
OG0000038	Pram.g_01287	Prbn.g_00891
OG0000039	Pram.g_00151	Prbn.g_01247
OG0000040	Pram.g_00689	Prbn.g_01030
OG0000041	Pram.g_01587	Prbn.g_01709
OG0000042	Pram.g_00801	Prbn.g_01554
OG0000043	Pram.g_00905	Prbn.g_01454
OG0000044	Pram.g_01140	Prbn.g_01189
OG0000045	Pram.g_01447	Prbn.g_00172
OG0000046	Pram.g_01265	Prbn.g_01737, Prbn.g_00144
OG0000047	Pram.g_01833	Prbn.g_00996
OG0000048	Pram.g_01841	Prbn.g_00988
OG0000050	Pram.g_00018	Prbn.g_00750
OG0000051	Pram.g_00142	Prbn.g_01256
OG0000052	Pram.g_00677	Prbn.g_00829
OG0000053	Pram.g_01558	Prbn.g_00577, Prbn.g_01657
OG0000054	Pram.g_01517	Prbn.g_00475
OG0000055	Pram.g_00832	Prbn.g_01523
OG0000056	Pram.g_01191	Prbn.g_01133
OG0000057	Pram.g_00224	Prbn.g_00313
OG0000058	Pram.g_00411	Prbn.g_00639
OG0000059	Pram.g_00792	Prbn.g_01562
OG0000062	Pram.g_01546	Prbn.g_01650
OG0000063	Pram.g_01112	Prbn.g_00389
OG0000065	Pram.g_01230	Prbn.g_01084
OG0000066	Pram.g_01446	Prbn.g_00170
OG0000067	Pram.g_01579	Prbn.g_00802
OG0000068	Pram.g_01770	Prbn.g_01881
OG0000069	Pram.g_01339	Prbn.g_00251
OG0000071	Pram.g_01949	Prbn.g_00002, Prbn.g_00003
OG0000072	Pram.g_00310	Prbn.g_00088
OG0000073	Pram.g_01039	Prbn.g_00845
OG0000074	Pram.g_00782	Prbn.g_01572
OG0000075	Pram.g_00816	Prbn.g_01539
OG0000076	Pram.g_00888	Prbn.g_01471
OG0000077	Pram.g_01510	Prbn.g_01661
OG0000078	Pram.g_01445	Prbn.g_00173
OG0000079	Pram.g_01293	Prbn.g_00897
OG0000080	Pram.g_01554	Prbn.g_00803
OG0000081	Pram.g_01805	Prbn.g_01915
OG0000082	Pram.g_01898	Prbn.g_00798
OG0000083	Pram.g_01941	Prbn.g_00011
OG0000084	Pram.g_01944	Prbn.g_00008
OG0000085	Pram.g_00010	Prbn.g_00759
OG0000087	Pram.g_00036	Prbn.g_00730
OG0000088	Pram.g_00099	Prbn.g_01304
OG0000089	Pram.g_00108	Prbn.g_01295
OG0000090	Pram.g_00125	Prbn.g_01278
OG0000091	Pram.g_00154	Prbn.g_01244
OG0000092	Pram.g_00155	Prbn.g_01243, Prbn.g_00384
OG0000093	Pram.g_00168	Prbn.g_00370
OG0000094	Pram.g_00187	Prbn.g_00351
