Orthogroup	Prap	Syaq
OG0000001	Prap.g_01925	Syaq.g_01436, Syaq.g_00118, Syaq.g_01435, Syaq.g_00115, Syaq.g_01434, Syaq.g_02178, Syaq.g_02413
OG0000004	Prap.g_00802	Syaq.g_02603
OG0000004	Prap.g_01480	Syaq.g_02042, Syaq.g_01567
OG0000005	Prap.g_00204	Syaq.g_01692
OG0000006	Prap.g_01470	Syaq.g_02108, Syaq.g_02558, Syaq.g_00696, Syaq.g_01590
OG0000007	Prap.g_01270	Syaq.g_01793
OG0000007	Prap.g_01779	Syaq.g_01673
OG0000008	Prap.g_01888	Syaq.g_02162
OG0000008	Prap.g_01887	Syaq.g_02575
OG0000010	Prap.g_00669, Prap.g_00318	Syaq.g_00443
OG0000012	Prap.g_01145	Syaq.g_02059
OG0000012	Prap.g_00236	Syaq.g_00077
OG0000013	Prap.g_01385	Syaq.g_00569, Syaq.g_00572, Syaq.g_02023
OG0000014	Prap.g_01403	Syaq.g_00862
OG0000015	Prap.g_01840, Prap.g_01794	Syaq.g_00121, Syaq.g_01171, Syaq.g_02255
OG0000016	Prap.g_00514	Syaq.g_00169
OG0000017	Prap.g_01170	Syaq.g_01992
OG0000017	Prap.g_01163	Syaq.g_01999
OG0000018	Prap.g_00478	Syaq.g_00401
OG0000019	Prap.g_01462, Prap.g_00480	Syaq.g_00717
OG0000023	Prap.g_00029	Syaq.g_02540
OG0000025	Prap.g_00747	Syaq.g_02381
OG0000026	Prap.g_00923	Syaq.g_01114
OG0000028	Prap.g_01889	Syaq.g_00878
OG0000030	Prap.g_01569	Syaq.g_01047, Syaq.g_01048
OG0000031	Prap.g_00080	Syaq.g_01009
OG0000032	Prap.g_00160	Syaq.g_00421
OG0000033	Prap.g_00087	Syaq.g_01399
OG0000034	Prap.g_00572	Syaq.g_00312, Syaq.g_01431
OG0000035	Prap.g_00121	Syaq.g_00372, Syaq.g_00371
OG0000037	Prap.g_01067	Syaq.g_01483
OG0000038	Prap.g_01530	Syaq.g_01260, Syaq.g_01258
OG0000039	Prap.g_00814	Syaq.g_01601, Syaq.g_01241
OG0000041	Prap.g_01731	Syaq.g_02688, Syaq.g_01612
OG0000042	Prap.g_01572	Syaq.g_00200, Syaq.g_01044
OG0000043	Prap.g_00477	Syaq.g_01920
OG0000045	Prap.g_00500	Syaq.g_02047
OG0000046	Prap.g_01384	Syaq.g_00570, Syaq.g_00573
OG0000048	Prap.g_00548	Syaq.g_00749
OG0000052	Prap.g_00897	Syaq.g_00969
OG0000053	Prap.g_00142, Prap.g_01834	Syaq.g_00397
OG0000054	Prap.g_01161	Syaq.g_02005
OG0000057	Prap.g_00799	Syaq.g_02541, Syaq.g_02605
OG0000058	Prap.g_00081	Syaq.g_00944
OG0000059	Prap.g_01691	Syaq.g_00657
OG0000061	Prap.g_00456	Syaq.g_00249
OG0000062	Prap.g_00206	Syaq.g_01690
OG0000063	Prap.g_01903	Syaq.g_01110
OG0000064	Prap.g_00883	Syaq.g_02138
OG0000065	Prap.g_01069	Syaq.g_01487, Syaq.g_01908
OG0000066	Prap.g_01230, Prap.g_01867	Syaq.g_01851
OG0000067	Prap.g_00783	Syaq.g_02340, Syaq.g_02560
OG0000068	Prap.g_00059	Syaq.g_01763
OG0000070	Prap.g_01316	Syaq.g_00484
OG0000071	Prap.g_00561	Syaq.g_00297
OG0000072	Prap.g_00999	Syaq.g_01397
OG0000073	Prap.g_01267	Syaq.g_01795
OG0000075	Prap.g_01606	Syaq.g_00986
OG0000076	Prap.g_01580	Syaq.g_01028
OG0000077	Prap.g_01099	Syaq.g_01547
OG0000078	Prap.g_01472	Syaq.g_01585
OG0000079	Prap.g_01459	Syaq.g_00721
OG0000081	Prap.g_01238	Syaq.g_01893
OG0000082	Prap.g_01183, Prap.g_01790	Syaq.g_01975
OG0000084	Prap.g_00118	Syaq.g_00367
OG0000085	Prap.g_01917, Prap.g_01787	Syaq.g_01683
OG0000086	Prap.g_01090	Syaq.g_01525
OG0000087	Prap.g_01035	Syaq.g_01438
OG0000088	Prap.g_01004	Syaq.g_01402
OG0000089	Prap.g_01349	Syaq.g_00529
OG0000090	Prap.g_01236	Syaq.g_01838
OG0000091	Prap.g_00384	Syaq.g_02090
OG0000093	Prap.g_00355	Syaq.g_02323
OG0000094	Prap.g_00306	Syaq.g_00056, Syaq.g_02554
OG0000095	Prap.g_00708	Syaq.g_02679
OG0000097	Prap.g_00410	Syaq.g_00167
OG0000098	Prap.g_01928	Syaq.g_02221, Syaq.g_01849
OG0000099	Prap.g_00082	Syaq.g_00882
OG0000100	Prap.g_00200	Syaq.g_02371
OG0000101	Prap.g_01642	Syaq.g_00607
OG0000102	Prap.g_01575	Syaq.g_01033
OG0000103	Prap.g_01491	Syaq.g_01170
OG0000104	Prap.g_01869	Syaq.g_01154
OG0000105	Prap.g_01436	Syaq.g_00754
OG0000106	Prap.g_00591	Syaq.g_01863
OG0000107	Prap.g_01714	Syaq.g_00694
