Orthogroup	Prap	Syak
OG0000001	Prap.g_01925	Syak.g_00342, Syak.g_02139, Syak.g_02138, Syak.g_00275, Syak.g_00579
OG0000004	Prap.g_00802	Syak.g_01219, Syak.g_00720
OG0000004	Prap.g_01480	Syak.g_00003, Syak.g_02297
OG0000005	Prap.g_00204	Syak.g_00885, Syak.g_02436
OG0000006	Prap.g_01470	Syak.g_00057, Syak.g_00059, Syak.g_00061, Syak.g_01394, Syak.g_02315, Syak.g_02317
OG0000007	Prap.g_01270	Syak.g_02595
OG0000007	Prap.g_01779	Syak.g_02416
OG0000008	Prap.g_01888	Syak.g_00267
OG0000008	Prap.g_01887	Syak.g_00692
OG0000010	Prap.g_00669, Prap.g_00318	Syak.g_01119
OG0000012	Prap.g_01145	Syak.g_00010
OG0000013	Prap.g_01385	Syak.g_01270, Syak.g_01275
OG0000014	Prap.g_01403	Syak.g_01505
OG0000015	Prap.g_01840, Prap.g_01794	Syak.g_01813, Syak.g_00107, Syak.g_00358
OG0000016	Prap.g_00514	Syak.g_00818
OG0000017	Prap.g_01170	Syak.g_02730
OG0000017	Prap.g_01163	Syak.g_02738
OG0000018	Prap.g_00478	Syak.g_01072
OG0000019	Prap.g_01462, Prap.g_00480	Syak.g_01413
OG0000021	Prap.g_00229, Prap.g_00797	Syak.g_00566
OG0000023	Prap.g_00029	Syak.g_00316, Syak.g_00223
OG0000025	Prap.g_00747	Syak.g_00610
OG0000026	Prap.g_00923	Syak.g_01757
OG0000027	Prap.g_01912, Prap.g_01860	Syak.g_00127
OG0000028	Prap.g_01889	Syak.g_01522
OG0000029	Prap.g_01899, Prap.g_01848, Prap.g_01688	Syak.g_00169, Syak.g_00178
OG0000030	Prap.g_01569	Syak.g_01684, Syak.g_01685
OG0000031	Prap.g_00080	Syak.g_01630
OG0000032	Prap.g_00160	Syak.g_01092
OG0000033	Prap.g_01001, Prap.g_00087	Syak.g_02101
OG0000034	Prap.g_00572	Syak.g_00950, Syak.g_02133
OG0000035	Prap.g_00121	Syak.g_01041, Syak.g_01040
OG0000037	Prap.g_01067	Syak.g_02188
OG0000038	Prap.g_01530	Syak.g_01938, Syak.g_01936
OG0000039	Prap.g_00814	Syak.g_00772, Syak.g_01918
OG0000041	Prap.g_01731	Syak.g_02354, Syak.g_00752
OG0000042	Prap.g_01572	Syak.g_00843, Syak.g_01681
OG0000043	Prap.g_00477	Syak.g_00335
OG0000046	Prap.g_01384	Syak.g_01269, Syak.g_01276
OG0000047	Prap.g_01343	Syak.g_01147
OG0000048	Prap.g_00548	Syak.g_01446
OG0000050	Prap.g_00667	Syak.g_00106
OG0000052	Prap.g_00897	Syak.g_01549
OG0000053	Prap.g_00142, Prap.g_01834	Syak.g_01068
OG0000054	Prap.g_01161	Syak.g_02744, Syak.g_02321
OG0000055	Prap.g_00505, Prap.g_01805	Syak.g_00766
OG0000057	Prap.g_00799	Syak.g_00724, Syak.g_01676
OG0000058	Prap.g_00081	Syak.g_01530
OG0000059	Prap.g_01691	Syak.g_01355
OG0000061	Prap.g_00456	Syak.g_00898
OG0000062	Prap.g_00206	Syak.g_02434
OG0000063	Prap.g_01903	Syak.g_01752
OG0000064	Prap.g_00883	Syak.g_00983, Syak.g_00254, Syak.g_00126, Syak.g_00164
OG0000065	Prap.g_01069	Syak.g_02192, Syak.g_00282
OG0000066	Prap.g_01230, Prap.g_01867	Syak.g_02653
OG0000067	Prap.g_00783	Syak.g_00434
OG0000068	Prap.g_00059	Syak.g_02565
OG0000070	Prap.g_01316	Syak.g_01174
OG0000071	Prap.g_00561	Syak.g_02322, Syak.g_00936
OG0000072	Prap.g_00999	Syak.g_02099
OG0000073	Prap.g_01267	Syak.g_02597
OG0000075	Prap.g_01606	Syak.g_01564
OG0000076	Prap.g_01580	Syak.g_01650
OG0000077	Prap.g_01099	Syak.g_02243
OG0000078	Prap.g_01472	Syak.g_02310
OG0000079	Prap.g_01459	Syak.g_01417
OG0000080	Prap.g_00093, Prap.g_00095	Syak.g_01612
OG0000081	Prap.g_01238	Syak.g_00115
OG0000082	Prap.g_01183, Prap.g_01790	Syak.g_02711
OG0000084	Prap.g_00118	Syak.g_01036
OG0000085	Prap.g_01917, Prap.g_01787	Syak.g_02427
OG0000086	Prap.g_01090	Syak.g_02219
OG0000087	Prap.g_01035	Syak.g_02141
OG0000088	Prap.g_01004	Syak.g_02106
OG0000089	Prap.g_01349	Syak.g_01215
OG0000090	Prap.g_01236	Syak.g_02640
OG0000091	Prap.g_00384	Syak.g_00043
OG0000093	Prap.g_00355	Syak.g_00416
OG0000094	Prap.g_00306	Syak.g_00656
OG0000095	Prap.g_00708	Syak.g_00736
OG0000097	Prap.g_00410	Syak.g_00816
OG0000098	Prap.g_01928	Syak.g_00345, Syak.g_02651
OG0000099	Prap.g_00082	Syak.g_01527
