Orthogroup	Prap	Prbk
OG0000000	Prap.g_01862	Prbk.g_00165
OG0000001	Prap.g_01925	Prbk.g_01196, Prbk.g_00170, Prbk.g_00561, Prbk.g_02701, Prbk.g_00630
OG0000002	Prap.g_00720, Prap.g_00715	Prbk.g_02574
OG0000002	Prap.g_00486, Prap.g_01946, Prap.g_00484, Prap.g_00491, Prap.g_00224, Prap.g_00823	Prbk.g_01649
OG0000004	Prap.g_00802	Prbk.g_01760
OG0000004	Prap.g_01480	Prbk.g_01134
OG0000005	Prap.g_00204	Prbk.g_00933
OG0000006	Prap.g_01470	Prbk.g_02695
OG0000007	Prap.g_01779	Prbk.g_00907
OG0000008	Prap.g_01888	Prbk.g_01819
OG0000008	Prap.g_01887	Prbk.g_01820
OG0000010	Prap.g_00669, Prap.g_00318	Prbk.g_02112
OG0000012	Prap.g_01145	Prbk.g_02610
OG0000013	Prap.g_01385	Prbk.g_00853
OG0000014	Prap.g_01403	Prbk.g_00454
OG0000015	Prap.g_01840, Prap.g_01794	Prbk.g_02558
OG0000017	Prap.g_01170	Prbk.g_01142
OG0000017	Prap.g_01163	Prbk.g_01150
OG0000018	Prap.g_00478	Prbk.g_01227
OG0000019	Prap.g_01462, Prap.g_00480	Prbk.g_01644, Prbk.g_01004
OG0000020	Prap.g_01906	Prbk.g_01331, Prbk.g_02697
OG0000021	Prap.g_00229	Prbk.g_01960
OG0000021	Prap.g_00797	Prbk.g_01137
OG0000022	Prap.g_00212	Prbk.g_00212
OG0000023	Prap.g_00029	Prbk.g_02448
OG0000024	Prap.g_00322, Prap.g_00826	Prbk.g_01780
OG0000025	Prap.g_00747	Prbk.g_02531
OG0000026	Prap.g_00923	Prbk.g_01617
OG0000029	Prap.g_01899, Prap.g_01848	Prbk.g_00833
OG0000030	Prap.g_01569	Prbk.g_01532, Prbk.g_01533
OG0000031	Prap.g_00080	Prbk.g_00534, Prbk.g_00539
OG0000032	Prap.g_00160	Prbk.g_01209
OG0000033	Prap.g_01001, Prap.g_00087	Prbk.g_00776
OG0000034	Prap.g_00572	Prbk.g_01171
OG0000035	Prap.g_00121	Prbk.g_00259
OG0000037	Prap.g_01067	Prbk.g_00007
OG0000038	Prap.g_01530	Prbk.g_02164, Prbk.g_02166
OG0000039	Prap.g_00814	Prbk.g_01385, Prbk.g_00642
OG0000041	Prap.g_01731	Prbk.g_01406
OG0000042	Prap.g_01572	Prbk.g_01495, Prbk.g_00140
OG0000045	Prap.g_00500	Prbk.g_01321
OG0000046	Prap.g_01384	Prbk.g_00854
OG0000047	Prap.g_01343	Prbk.g_02565
OG0000048	Prap.g_00548	Prbk.g_00405
OG0000051	Prap.g_00611	Prbk.g_01709
OG0000052	Prap.g_00897	Prbk.g_00499
OG0000053	Prap.g_00142, Prap.g_01834	Prbk.g_01230
OG0000054	Prap.g_01161	Prbk.g_01153
OG0000057	Prap.g_00799	Prbk.g_01765
OG0000058	Prap.g_00081	Prbk.g_00479
OG0000059	Prap.g_01691	Prbk.g_00992
OG0000061	Prap.g_00456	Prbk.g_01019
OG0000062	Prap.g_00206	Prbk.g_00931
OG0000063	Prap.g_01903	Prbk.g_01613
OG0000065	Prap.g_01069	Prbk.g_00011
OG0000066	Prap.g_01230, Prap.g_01867	Prbk.g_01094
OG0000067	Prap.g_00783	Prbk.g_02468
OG0000068	Prap.g_00059	Prbk.g_02052
OG0000070	Prap.g_01316	Prbk.g_00310
OG0000071	Prap.g_00561	Prbk.g_01183
OG0000072	Prap.g_00999	Prbk.g_00778
OG0000073	Prap.g_01267	Prbk.g_01862
OG0000075	Prap.g_01606	Prbk.g_00514
OG0000076	Prap.g_01580	Prbk.g_00237
OG0000077	Prap.g_01099	Prbk.g_00307, Prbk.g_01308
OG0000078	Prap.g_01472	Prbk.g_01515
OG0000079	Prap.g_01459	Prbk.g_01000
OG0000081	Prap.g_01238	Prbk.g_00733, Prbk.g_01772
OG0000082	Prap.g_01183, Prap.g_01790	Prbk.g_01122
OG0000084	Prap.g_00118	Prbk.g_00255
OG0000085	Prap.g_01917, Prap.g_01787	Prbk.g_00919
OG0000086	Prap.g_01090	Prbk.g_01295
OG0000087	Prap.g_01035	Prbk.g_00559
OG0000088	Prap.g_01004	Prbk.g_00773, Prbk.g_01836
OG0000089	Prap.g_01349	Prbk.g_00364
OG0000090	Prap.g_01236	Prbk.g_01080
OG0000091	Prap.g_00384	Prbk.g_02639
OG0000093	Prap.g_00355	Prbk.g_02444
OG0000094	Prap.g_00306	Prbk.g_02190
OG0000095	Prap.g_00708	Prbk.g_00056
OG0000097	Prap.g_00410	Prbk.g_00189
OG0000098	Prap.g_01928	Prbk.g_01199
OG0000099	Prap.g_00082	Prbk.g_00476
OG0000100	Prap.g_00200	Prbk.g_01360, Prbk.g_02498
OG0000101	Prap.g_01642	Prbk.g_00796, Prbk.g_00944
OG0000102	Prap.g_01575	Prbk.g_01484
OG0000103	Prap.g_01491	Prbk.g_02260
OG0000104	Prap.g_01869	Prbk.g_02274
OG0000105	Prap.g_01436	Prbk.g_00409
OG0000106	Prap.g_00591	Prbk.g_00925
OG0000107	Prap.g_01714	Prbk.g_01902
OG0000108	Prap.g_01287	Prbk.g_02061
OG0000109	Prap.g_01273	Prbk.g_02077
OG0000110	Prap.g_01194	Prbk.g_01110
OG0000111	Prap.g_00798	Prbk.g_01766
OG0000112	Prap.g_01121	Prbk.g_02332
OG0000113	Prap.g_00760	Prbk.g_02493
OG0000114	Prap.g_00858	Prbk.g_02396
OG0000115	Prap.g_00525	Prbk.g_01234
OG0000116	Prap.g_00467	Prbk.g_01034
OG0000117	Prap.g_00429	Prbk.g_01496
OG0000118	Prap.g_00574	Prbk.g_01169
OG0000119	Prap.g_00510	Prbk.g_01746
OG0000119	Prap.g_00218	Prbk.g_01786
OG0000120	Prap.g_00079	Prbk.g_00477
OG0000121	Prap.g_00123	Prbk.g_00267, Prbk.g_00261
OG0000122	Prap.g_00164	Prbk.g_02664
OG0000123	Prap.g_01635	Prbk.g_00805
OG0000124	Prap.g_01563	Prbk.g_01539
OG0000125	Prap.g_01528	Prbk.g_02168
OG0000126	Prap.g_01870	Prbk.g_02272
OG0000128	Prap.g_00043	Prbk.g_02290
OG0000129	Prap.g_00910	Prbk.g_02156
OG0000130	Prap.g_00881	Prbk.g_01320
OG0000131	Prap.g_01026	Prbk.g_00751
OG0000132	Prap.g_01006	Prbk.g_00771
OG0000133	Prap.g_01389	Prbk.g_00472
OG0000134	Prap.g_01347	Prbk.g_00361
OG0000135	Prap.g_00543	Prbk.g_02209
OG0000136	Prap.g_01325	Prbk.g_00323
OG0000137	Prap.g_01292	Prbk.g_02113
OG0000138	Prap.g_01272	Prbk.g_02078
OG0000139	Prap.g_01232	Prbk.g_01086
