Orthogroup	Prap	Syag
OG0000001	Prap.g_01925	Syag.g_00575, Syag.g_01942, Syag.g_01943, Syag.g_00520
OG0000004	Prap.g_00802	Syag.g_00988
OG0000004	Prap.g_01480	Syag.g_00370, Syag.g_01790
OG0000005	Prap.g_00204	Syag.g_01667
OG0000006	Prap.g_01470	Syag.g_00435, Syag.g_01772, Syag.g_02678, Syag.g_02687
OG0000007	Prap.g_01270	Syag.g_01507
OG0000007	Prap.g_01779	Syag.g_01687
OG0000008	Prap.g_01888	Syag.g_00496
OG0000008	Prap.g_01887	Syag.g_01017
OG0000009	Prap.g_00216	Syag.g_00220, Syag.g_00231
OG0000010	Prap.g_00669, Prap.g_00318	Syag.g_01355
OG0000012	Prap.g_01145	Syag.g_00377
OG0000013	Prap.g_01385	Syag.g_02811, Syag.g_02820, Syag.g_02806
OG0000014	Prap.g_01403	Syag.g_02559
OG0000015	Prap.g_01840, Prap.g_01794	Syag.g_02252, Syag.g_00596
OG0000016	Prap.g_00514	Syag.g_01066
OG0000017	Prap.g_01170	Syag.g_00336
OG0000017	Prap.g_01163	Syag.g_00344
OG0000018	Prap.g_00478	Syag.g_01387
OG0000019	Prap.g_01462, Prap.g_00480	Syag.g_02663
OG0000020	Prap.g_00228, Prap.g_01906	Syag.g_00085
OG0000021	Prap.g_00229, Prap.g_00797	Syag.g_00229
OG0000023	Prap.g_00029	Syag.g_00261, Syag.g_00234
OG0000024	Prap.g_00322, Prap.g_00826	Syag.g_00455
OG0000025	Prap.g_00747	Syag.g_00718
OG0000026	Prap.g_00923	Syag.g_02309
OG0000027	Prap.g_01912, Prap.g_01860	Syag.g_00950, Syag.g_00165
OG0000028	Prap.g_01889	Syag.g_02540
OG0000029	Prap.g_01899, Prap.g_01848, Prap.g_01688	Syag.g_00195
OG0000030	Prap.g_01569	Syag.g_02375, Syag.g_02374
OG0000031	Prap.g_00080	Syag.g_02510, Syag.g_02486
OG0000032	Prap.g_00160	Syag.g_01366
OG0000033	Prap.g_00087	Syag.g_01978
OG0000034	Prap.g_00572	Syag.g_01225, Syag.g_01947
OG0000035	Prap.g_00121	Syag.g_01420, Syag.g_01421
OG0000037	Prap.g_01067	Syag.g_00173
OG0000038	Prap.g_01530	Syag.g_02130, Syag.g_02132
OG0000039	Prap.g_00814	Syag.g_01325, Syag.g_02155
OG0000041	Prap.g_01731	Syag.g_01750, Syag.g_00962
