Orthogroup	Prap	Prai
OG0000000	Prap.g_01862	Prai.g_01612, Prai.g_01592
OG0000001	Prap.g_01925	Prai.g_01235, Prai.g_01356
OG0000002	Prap.g_00720, Prap.g_00715	Prai.g_01363
OG0000002	Prap.g_00486, Prap.g_01946, Prap.g_00484, Prap.g_00491, Prap.g_00224, Prap.g_00823	Prai.g_00707
OG0000004	Prap.g_00802	Prai.g_00724
OG0000004	Prap.g_01480	Prai.g_00243
OG0000005	Prap.g_00204	Prai.g_01538
OG0000006	Prap.g_01470	Prai.g_00252, Prai.g_00254
OG0000007	Prap.g_01270	Prai.g_00527
OG0000007	Prap.g_01779	Prai.g_01638
OG0000008	Prap.g_01888, Prap.g_01887	Prai.g_00701
OG0000009	Prap.g_00216	Prai.g_01578
OG0000010	Prap.g_01293	Prai.g_00504
OG0000010	Prap.g_00669, Prap.g_00318	Prai.g_01292, Prai.g_01067
OG0000011	Prap.g_00619	Prai.g_01599
OG0000012	Prap.g_01145, Prap.g_00236	Prai.g_00652
OG0000013	Prap.g_01385	Prai.g_00340
OG0000014	Prap.g_01403	Prai.g_00319
OG0000015	Prap.g_01840, Prap.g_01794	Prai.g_01243
OG0000016	Prap.g_00514	Prai.g_01573
OG0000017	Prap.g_01170, Prap.g_01163	Prai.g_00626
OG0000018	Prap.g_00755	Prai.g_00820
OG0000018	Prap.g_00478	Prai.g_01153
OG0000019	Prap.g_01462	Prai.g_00262
OG0000019	Prap.g_00480	Prai.g_00867
OG0000020	Prap.g_01906	Prai.g_00400
OG0000021	Prap.g_00229, Prap.g_00797	Prai.g_00378
OG0000022	Prap.g_00212	Prai.g_00885
OG0000023	Prap.g_00029	Prai.g_00373
OG0000024	Prap.g_00322	Prai.g_00899
OG0000024	Prap.g_00826	Prai.g_00704
OG0000025	Prap.g_00747	Prai.g_00344, Prai.g_00812
OG0000026	Prap.g_00923	Prai.g_00031, Prai.g_01074
OG0000027	Prap.g_01912, Prap.g_01860	Prai.g_00904
OG0000028	Prap.g_01889	Prai.g_01297
OG0000029	Prap.g_01899, Prap.g_01848	Prai.g_00890
OG0000030	Prap.g_01569	Prai.g_01848
OG0000031	Prap.g_00080	Prai.g_01444
OG0000034	Prap.g_00572	Prai.g_01345
OG0000035	Prap.g_00121	Prai.g_01463
OG0000037	Prap.g_01067	Prai.g_00109
OG0000038	Prap.g_01530	Prai.g_01890
OG0000039	Prap.g_00814	Prai.g_00715
OG0000041	Prap.g_01731	Prai.g_01684
OG0000042	Prap.g_01572	Prai.g_01845
OG0000043	Prap.g_00477	Prai.g_00910, Prai.g_01064
OG0000047	Prap.g_01343	Prai.g_00424
OG0000048	Prap.g_00548, Prap.g_01439	Prai.g_00387
OG0000052	Prap.g_00099	Prai.g_00154
OG0000053	Prap.g_00142, Prap.g_01834	Prai.g_01483
OG0000054	Prap.g_01161	Prai.g_00634
OG0000055	Prap.g_00505, Prap.g_01805	Prai.g_00866
OG0000057	Prap.g_00799	Prai.g_00727
OG0000058	Prap.g_00081	Prai.g_01859
OG0000059	Prap.g_01691	Prai.g_01725
OG0000061	Prap.g_00456	Prai.g_01171
OG0000062	Prap.g_00206	Prai.g_01540
OG0000063	Prap.g_01903	Prai.g_01261
OG0000065	Prap.g_01069	Prai.g_00107
OG0000066	Prap.g_01230, Prap.g_01867	Prai.g_00567
OG0000067	Prap.g_00783	Prai.g_00848
OG0000068	Prap.g_00059	Prai.g_01370
OG0000069	Prap.g_01312	Prai.g_01579
OG0000070	Prap.g_01316	Prai.g_00481
OG0000071	Prap.g_00561	Prai.g_01335
OG0000072	Prap.g_00999	Prai.g_00182
OG0000073	Prap.g_01267	Prai.g_00529
OG0000074	Prap.g_00819, Prap.g_00658, Prap.g_00021	Prai.g_00711
OG0000075	Prap.g_01606	Prai.g_01814
OG0000076	Prap.g_01580	Prai.g_01838
OG0000077	Prap.g_01099	Prai.g_00078
OG0000078	Prap.g_01472	Prai.g_00250
OG0000079	Prap.g_01459	Prai.g_00265
OG0000081	Prap.g_01238	Prai.g_00559
OG0000082	Prap.g_01183, Prap.g_01790	Prai.g_00613
OG0000084	Prap.g_00118	Prai.g_01459
OG0000085	Prap.g_01917, Prap.g_01787	Prai.g_01631
OG0000086	Prap.g_01090	Prai.g_00088
OG0000087	Prap.g_01035	Prai.g_00139
OG0000088	Prap.g_01004	Prai.g_00177
OG0000089	Prap.g_01349	Prai.g_00368
OG0000090	Prap.g_01236	Prai.g_00561
OG0000091	Prap.g_00384	Prai.g_00671
OG0000092	Prap.g_00853	Prai.g_01041
OG0000093	Prap.g_00355	Prai.g_01021
OG0000094	Prap.g_00306	Prai.g_00937
OG0000095	Prap.g_00708	Prai.g_00918
OG0000096	Prap.g_00010	Prai.g_01588
OG0000097	Prap.g_00410	Prai.g_01214
OG0000098	Prap.g_01928	Prai.g_01353
OG0000099	Prap.g_00082	Prai.g_01393
OG0000100	Prap.g_00200	Prai.g_01536
OG0000101	Prap.g_01642	Prai.g_01782
OG0000102	Prap.g_01575	Prai.g_01843
OG0000103	Prap.g_01491	Prai.g_01923
OG0000104	Prap.g_01869	Prai.g_01932
OG0000105	Prap.g_01436	Prai.g_00286, Prai.g_00287
OG0000106	Prap.g_00591	Prai.g_00383
OG0000107	Prap.g_01714	Prai.g_00397
OG0000108	Prap.g_01287	Prai.g_00510
OG0000109	Prap.g_01273	Prai.g_00524
OG0000110	Prap.g_01194	Prai.g_00603
OG0000111	Prap.g_00798	Prai.g_00728
OG0000112	Prap.g_01121	Prai.g_00882
OG0000113	Prap.g_00760	Prai.g_00825
OG0000114	Prap.g_00858	Prai.g_01046
OG0000115	Prap.g_00525	Prai.g_01119
OG0000116	Prap.g_00467	Prai.g_01162
OG0000117	Prap.g_00429	Prai.g_01273
OG0000118	Prap.g_00574	Prai.g_01347
OG0000119	Prap.g_00510, Prap.g_00218	Prai.g_01366
OG0000120	Prap.g_00079	Prai.g_01443
OG0000121	Prap.g_00123	Prai.g_01465
OG0000123	Prap.g_01635	Prai.g_01789
OG0000124	Prap.g_01563	Prai.g_01854
OG0000125	Prap.g_01528	Prai.g_01892
OG0000126	Prap.g_01870	Prai.g_01931
OG0000128	Prap.g_00043	Prai.g_00011
OG0000129	Prap.g_00910	Prai.g_00051
OG0000130	Prap.g_00881	Prai.g_00069
OG0000131	Prap.g_01026	Prai.g_00156
OG0000132	Prap.g_01006	Prai.g_00175
OG0000133	Prap.g_01389	Prai.g_00335
OG0000134	Prap.g_01347	Prai.g_00369
OG0000135	Prap.g_00543	Prai.g_00393
OG0000136	Prap.g_01325	Prai.g_00472
OG0000137	Prap.g_01292	Prai.g_00505
OG0000138	Prap.g_01272	Prai.g_00525
OG0000139	Prap.g_01232	Prai.g_00565
OG0000140	Prap.g_01231	Prai.g_00566
OG0000141	Prap.g_01160	Prai.g_00635
OG0000142	Prap.g_00392	Prai.g_00664
OG0000143	Prap.g_00388	Prai.g_00668
OG0000144	Prap.g_00374	Prai.g_00681
OG0000145	Prap.g_00545	Prai.g_00883
