Orthogroup	Prap	Syas
OG0000001	Prap.g_01925	Syas.g_00966, Syas.g_00967, Syas.g_00093, Syas.g_02373
OG0000004	Prap.g_00802	Syas.g_00176
OG0000004	Prap.g_01480	Syas.g_00509, Syas.g_00174, Syas.g_00311, Syas.g_00072
OG0000005	Prap.g_00204	Syas.g_02704
OG0000006	Prap.g_01470	Syas.g_00720, Syas.g_00942, Syas.g_01684, Syas.g_02565
OG0000007	Prap.g_01270	Syas.g_01232
OG0000007	Prap.g_01779	Syas.g_02681
OG0000008	Prap.g_01888	Syas.g_00886
OG0000008	Prap.g_01887	Syas.g_00887
OG0000010	Prap.g_00669, Prap.g_00318	Syas.g_01334
OG0000012	Prap.g_00236	Syas.g_00111, Syas.g_00827
OG0000013	Prap.g_01385	Syas.g_00158, Syas.g_01552, Syas.g_01555, Syas.g_01557
OG0000014	Prap.g_01403	Syas.g_01816
OG0000015	Prap.g_01840, Prap.g_01794	Syas.g_02007, Syas.g_00968
OG0000016	Prap.g_00514	Syas.g_01086, Syas.g_01050
OG0000017	Prap.g_01163	Syas.g_00856
OG0000018	Prap.g_00478	Syas.g_01290
OG0000019	Prap.g_01462, Prap.g_00480	Syas.g_01696
OG0000025	Prap.g_00747	Syas.g_00231
OG0000026	Prap.g_00923	Syas.g_02070
OG0000027	Prap.g_01912, Prap.g_01860	Syas.g_01480
OG0000028	Prap.g_01889	Syas.g_01793
OG0000030	Prap.g_01569	Syas.g_01644, Syas.g_01645
OG0000031	Prap.g_00080	Syas.g_01827
OG0000033	Prap.g_00087	Syas.g_02328
OG0000034	Prap.g_00572	Syas.g_02371, Syas.g_02838
OG0000035	Prap.g_00121	Syas.g_02814, Syas.g_02818
OG0000037	Prap.g_01067	Syas.g_01479, Syas.g_00147, Syas.g_01928
OG0000038	Prap.g_01530	Syas.g_01885, Syas.g_01887
OG0000039	Prap.g_00814	Syas.g_02795
OG0000041	Prap.g_01731	Syas.g_00996, Syas.g_02585
OG0000042	Prap.g_01572	Syas.g_01121, Syas.g_02147
OG0000046	Prap.g_01384	Syas.g_01553, Syas.g_01556, Syas.g_01558
OG0000048	Prap.g_00548	Syas.g_01734
OG0000051	Prap.g_00611	Syas.g_01445
OG0000053	Prap.g_00142, Prap.g_01834	Syas.g_01287
OG0000054	Prap.g_01161	Syas.g_00961, Syas.g_00957
OG0000055	Prap.g_01805	Syas.g_00203
OG0000057	Prap.g_00799	Syas.g_01055, Syas.g_01038
OG0000058	Prap.g_00081	Syas.g_01151
OG0000059	Prap.g_01691	Syas.g_01639
OG0000061	Prap.g_00456	Syas.g_01184
OG0000062	Prap.g_00206	Syas.g_02702
OG0000063	Prap.g_01903	Syas.g_02074
OG0000064	Prap.g_00883	Syas.g_02423, Syas.g_00946
OG0000065	Prap.g_01069	Syas.g_02420
OG0000066	Prap.g_01230, Prap.g_01867	Syas.g_00094
OG0000067	Prap.g_00783	Syas.g_00596, Syas.g_00352, Syas.g_02346
OG0000068	Prap.g_00059	Syas.g_00969, Syas.g_01261
OG0000069	Prap.g_01312	Syas.g_00779, Syas.g_00876
OG0000070	Prap.g_01316	Syas.g_00173
OG0000071	Prap.g_00561	Syas.g_02854
OG0000072	Prap.g_00999	Syas.g_02326, Syas.g_01524
OG0000073	Prap.g_01267	Syas.g_01230
OG0000075	Prap.g_01606	Syas.g_01921, Syas.g_02194
OG0000076	Prap.g_01580	Syas.g_02156
OG0000077	Prap.g_01099	Syas.g_02510
OG0000078	Prap.g_01472	Syas.g_02561
OG0000079	Prap.g_01459	Syas.g_01699
OG0000080	Prap.g_00093, Prap.g_00095	Syas.g_02616, Syas.g_02149
OG0000081	Prap.g_01238	Syas.g_00391
OG0000082	Prap.g_01183, Prap.g_01790	Syas.g_00837
OG0000085	Prap.g_01917, Prap.g_01787	Syas.g_02695
OG0000086	Prap.g_01090	Syas.g_02470
OG0000087	Prap.g_01035	Syas.g_02374
OG0000089	Prap.g_01349	Syas.g_01512
OG0000090	Prap.g_01236	Syas.g_00062
OG0000091	Prap.g_00384	Syas.g_00907, Syas.g_00146
OG0000094	Prap.g_00306	Syas.g_00208, Syas.g_01716
OG0000095	Prap.g_00708	Syas.g_01021
OG0000097	Prap.g_00410	Syas.g_00114, Syas.g_01443
OG0000098	Prap.g_01928	Syas.g_00091
OG0000099	Prap.g_00082	Syas.g_01826
OG0000100	Prap.g_00200	Syas.g_00567
OG0000101	Prap.g_01642	Syas.g_01589
OG0000102	Prap.g_01575	Syas.g_02152, Syas.g_01395
OG0000103	Prap.g_01491	Syas.g_02009
OG0000104	Prap.g_01869	Syas.g_02027, Syas.g_02026
OG0000105	Prap.g_01436	Syas.g_01739
OG0000106	Prap.g_00591	Syas.g_01451
OG0000107	Prap.g_01714	Syas.g_01669
OG0000108	Prap.g_01287	Syas.g_01253
OG0000109	Prap.g_01273	Syas.g_01236
OG0000110	Prap.g_01194	Syas.g_00359, Syas.g_00818
OG0000111	Prap.g_00798	Syas.g_01037
OG0000112	Prap.g_01121	Syas.g_00452
OG0000113	Prap.g_00760	Syas.g_00571
OG0000114	Prap.g_00858	Syas.g_00252, Syas.g_00674
OG0000115	Prap.g_00525	Syas.g_02548, Syas.g_01285
OG0000116	Prap.g_00467	Syas.g_01198, Syas.g_00317
OG0000117	Prap.g_00429	Syas.g_01122
OG0000118	Prap.g_00574	Syas.g_02835
OG0000120	Prap.g_00079	Syas.g_01828
OG0000121	Prap.g_00123	Syas.g_02821
OG0000122	Prap.g_00532, Prap.g_00164	Syas.g_00393
OG0000123	Prap.g_01635	Syas.g_01582
OG0000124	Prap.g_01563	Syas.g_02137
OG0000125	Prap.g_01528	Syas.g_01889
