Orthogroup	Prap	Syab
OG0000001	Prap.g_01925	Syab.g_01549, Syab.g_02553, Syab.g_02555, Syab.g_01509, Syab.g_01510, Syab.g_00673
OG0000002	Prap.g_00720, Prap.g_00715, Prap.g_00486, Prap.g_01946, Prap.g_00484, Prap.g_00491, Prap.g_00224, Prap.g_00823	Syab.g_02285
OG0000004	Prap.g_00802	Syab.g_00549, Syab.g_01193
OG0000004	Prap.g_01480	Syab.g_01911, Syab.g_02377
OG0000005	Prap.g_00204	Syab.g_02806, Syab.g_02232
OG0000006	Prap.g_01470	Syab.g_01849, Syab.g_00365, Syab.g_01847, Syab.g_02361
OG0000007	Prap.g_01270	Syab.g_02117
OG0000007	Prap.g_01779	Syab.g_02256
OG0000008	Prap.g_01888	Syab.g_01755
OG0000008	Prap.g_01887	Syab.g_01168
OG0000009	Prap.g_00216	Syab.g_00995
OG0000010	Prap.g_00669, Prap.g_00318	Syab.g_00696
OG0000013	Prap.g_01385	Syab.g_00487, Syab.g_00497, Syab.g_00482
OG0000014	Prap.g_01403	Syab.g_00249
OG0000015	Prap.g_01840, Prap.g_01794	Syab.g_02889
OG0000016	Prap.g_00514	Syab.g_01049
OG0000017	Prap.g_01170	Syab.g_01953
OG0000017	Prap.g_01163	Syab.g_01945
OG0000018	Prap.g_00478	Syab.g_00742
OG0000019	Prap.g_01462, Prap.g_00480	Syab.g_00344
OG0000020	Prap.g_00228, Prap.g_01906	Syab.g_02230
OG0000023	Prap.g_00029	Syab.g_00708, Syab.g_02058, Syab.g_01294
OG0000024	Prap.g_00322, Prap.g_00826	Syab.g_01834
OG0000025	Prap.g_00747	Syab.g_01705
OG0000026	Prap.g_00923	Syab.g_00036
OG0000027	Prap.g_01912, Prap.g_01860	Syab.g_01782
OG0000028	Prap.g_01889	Syab.g_00234
OG0000030	Prap.g_01569	Syab.g_00096, Syab.g_00095
OG0000031	Prap.g_00080	Syab.g_00160
OG0000032	Prap.g_00160	Syab.g_00724
OG0000033	Prap.g_00087	Syab.g_02590
OG0000034	Prap.g_00572	Syab.g_00900, Syab.g_02560
OG0000035	Prap.g_00121	Syab.g_00776, Syab.g_00778
OG0000037	Prap.g_01067	Syab.g_02060, Syab.g_01241, Syab.g_02280, Syab.g_02205, Syab.g_02504
OG0000038	Prap.g_01530	Syab.g_02759, Syab.g_02761
OG0000039	Prap.g_00814	Syab.g_02791
OG0000041	Prap.g_01731	Syab.g_01086, Syab.g_02804, Syab.g_02333
OG0000042	Prap.g_01572	Syab.g_01019, Syab.g_00099
OG0000043	Prap.g_00477	Syab.g_02802, Syab.g_01785, Syab.g_01539
OG0000046	Prap.g_01384	Syab.g_00488, Syab.g_00496, Syab.g_00481
OG0000047	Prap.g_01343	Syab.g_00876
OG0000048	Prap.g_00548	Syab.g_00308
OG0000051	Prap.g_00611	Syab.g_01073
OG0000052	Prap.g_00897	Syab.g_00214
OG0000053	Prap.g_00142, Prap.g_01834	Syab.g_00746
OG0000054	Prap.g_01161	Syab.g_01932
OG0000057	Prap.g_00799	Syab.g_01200
OG0000058	Prap.g_00081	Syab.g_00227
OG0000059	Prap.g_01691	Syab.g_00397
OG0000061	Prap.g_00456	Syab.g_00969
OG0000062	Prap.g_00206	Syab.g_02234
OG0000063	Prap.g_01903	Syab.g_00040
OG0000064	Prap.g_00883	Syab.g_00824, Syab.g_02808, Syab.g_01783, Syab.g_00997
OG0000065	Prap.g_01069	Syab.g_02500, Syab.g_01768
OG0000066	Prap.g_01230, Prap.g_01867	Syab.g_01516, Syab.g_02031
OG0000067	Prap.g_00783	Syab.g_01659
OG0000068	Prap.g_00059	Syab.g_02087
OG0000070	Prap.g_01316	Syab.g_00614
OG0000071	Prap.g_00561	Syab.g_00915
OG0000072	Prap.g_00999	Syab.g_02593
OG0000073	Prap.g_01267	Syab.g_02119
OG0000075	Prap.g_01606	Syab.g_00202
OG0000076	Prap.g_01580	Syab.g_00113
OG0000077	Prap.g_01099	Syab.g_02446
OG0000078	Prap.g_01472	Syab.g_02366
OG0000079	Prap.g_01459	Syab.g_00340
OG0000080	Prap.g_00093, Prap.g_00095	Syab.g_00140
OG0000081	Prap.g_01238	Syab.g_01793
OG0000082	Prap.g_01183, Prap.g_01790	Syab.g_01971
OG0000084	Prap.g_00118	Syab.g_00781
OG0000085	Prap.g_01917, Prap.g_01787	Syab.g_02243
OG0000086	Prap.g_01090	Syab.g_02468
OG0000087	Prap.g_01035	Syab.g_02551
OG0000088	Prap.g_01004	Syab.g_02586
OG0000089	Prap.g_01349	Syab.g_00551
OG0000090	Prap.g_01236	Syab.g_02041
OG0000091	Prap.g_00384	Syab.g_01866
OG0000093	Prap.g_00355	Syab.g_01582
OG0000094	Prap.g_00306	Syab.g_01306
OG0000095	Prap.g_00708	Syab.g_01210
OG0000097	Prap.g_00410	Syab.g_01051
OG0000098	Prap.g_01928	Syab.g_01553
OG0000099	Prap.g_00082	Syab.g_00230
OG0000100	Prap.g_00200	Syab.g_01694
OG0000101	Prap.g_01642	Syab.g_00446
OG0000102	Prap.g_01575	Syab.g_00104
OG0000103	Prap.g_01491	Syab.g_02895, Syab.g_01296
OG0000104	Prap.g_01869	Syab.g_02910
OG0000105	Prap.g_01436	Syab.g_00303
OG0000106	Prap.g_00591	Syab.g_01817
OG0000107	Prap.g_01714	Syab.g_00367
OG0000108	Prap.g_01287	Syab.g_02096
OG0000109	Prap.g_01273	Syab.g_02112
OG0000110	Prap.g_01194	Syab.g_01984
OG0000111	Prap.g_00798	Syab.g_01201
OG0000112	Prap.g_01121	Syab.g_01392
OG0000113	Prap.g_00760	Syab.g_01689
OG0000114	Prap.g_00858	Syab.g_02656, Syab.g_01633
OG0000115	Prap.g_00525	Syab.g_00748
OG0000116	Prap.g_00467	Syab.g_00945
OG0000117	Prap.g_00429	Syab.g_01018
OG0000118	Prap.g_00574	Syab.g_00897
OG0000120	Prap.g_00079	Syab.g_00229
OG0000121	Prap.g_00123	Syab.g_00772
OG0000122	Prap.g_00532, Prap.g_00164	Syab.g_01839
OG0000123	Prap.g_01635	Syab.g_00454
OG0000124	Prap.g_01563	Syab.g_00088
OG0000125	Prap.g_01528	Syab.g_02763
OG0000126	Prap.g_01870	Syab.g_02908
OG0000128	Prap.g_00043	Syab.g_00012
OG0000129	Prap.g_00910	Syab.g_02749
OG0000130	Prap.g_00881	Syab.g_02434
OG0000131	Prap.g_01026	Syab.g_02564
OG0000132	Prap.g_01006	Syab.g_02584
OG0000133	Prap.g_01389	Syab.g_01387
OG0000134	Prap.g_01347	Syab.g_00554
OG0000135	Prap.g_00543	Syab.g_02815
OG0000136	Prap.g_01325	Syab.g_00588
OG0000137	Prap.g_01292	Syab.g_00697
OG0000138	Prap.g_01272	Syab.g_02113
OG0000139	Prap.g_01232	Syab.g_02035
OG0000140	Prap.g_01231	Syab.g_02033
OG0000141	Prap.g_01160	Syab.g_01931
OG0000142	Prap.g_00392	Syab.g_01524, Syab.g_01873
OG0000143	Prap.g_00388	Syab.g_01870
OG0000144	Prap.g_00374	Syab.g_01757
OG0000145	Prap.g_00545	Syab.g_02120
OG0000146	Prap.g_01122	Syab.g_01393
OG0000147	Prap.g_01123	Syab.g_01394
OG0000148	Prap.g_00766	Syab.g_01682
OG0000149	Prap.g_00734	Syab.g_01720
OG0000150	Prap.g_00724	Syab.g_01930
OG0000151	Prap.g_00848	Syab.g_01612
OG0000152	Prap.g_00257	Syab.g_01383
OG0000153	Prap.g_00276	Syab.g_01343
