Orthogroup	Syaa	Syaj
OG0000001	Syaa.g_02435	Syaj.g_01948, Syaj.g_01947
OG0000001	Syaa.g_02437	Syaj.g_01949
OG0000001	Syaa.g_02329	Syaj.g_02660
OG0000004	Syaa.g_00892	Syaj.g_00441
OG0000004	Syaa.g_01667	Syaj.g_01314
OG0000004	Syaa.g_02116	Syaj.g_02853
OG0000005	Syaa.g_00534	Syaj.g_01736
OG0000005	Syaa.g_00573	Syaj.g_01698
OG0000005	Syaa.g_01449	Syaj.g_01155
OG0000006	Syaa.g_01043, Syaa.g_02353, Syaa.g_02099	Syaj.g_02635
OG0000007	Syaa.g_02032	Syaj.g_00091
OG0000007	Syaa.g_00551	Syaj.g_01721
OG0000008	Syaa.g_00918	Syaj.g_00496
OG0000008	Syaa.g_00919	Syaj.g_00497
OG0000009	Syaa.g_02378	Syaj.g_01885
OG0000010	Syaa.g_01843	Syaj.g_01445
OG0000012	Syaa.g_01660	Syaj.g_01306
OG0000012	Syaa.g_02304	Syaj.g_00172
OG0000013	Syaa.g_02212	Syaj.g_02774
OG0000013	Syaa.g_02204	Syaj.g_02782
OG0000013	Syaa.g_02217	Syaj.g_02769
OG0000014	Syaa.g_00222	Syaj.g_02522
OG0000014	Syaa.g_00481	Syaj.g_02344
OG0000015	Syaa.g_02739	Syaj.g_02242
OG0000015	Syaa.g_01079	Syaj.g_00725
OG0000015	Syaa.g_01989	Syaj.g_02659
OG0000016	Syaa.g_00014	Syaj.g_02276
OG0000016	Syaa.g_00981	Syaj.g_00590
OG0000016	Syaa.g_01481	Syaj.g_01191
OG0000017	Syaa.g_01890	Syaj.g_00248
OG0000017	Syaa.g_01883	Syaj.g_00255
OG0000018	Syaa.g_01801	Syaj.g_01413
OG0000019	Syaa.g_00307	Syaj.g_02613
OG0000021	Syaa.g_02627	Syaj.g_00042
OG0000022	Syaa.g_01571	Syaj.g_01220
OG0000023	Syaa.g_01529	Syaj.g_00829
OG0000024	Syaa.g_00922	Syaj.g_00500
OG0000025	Syaa.g_00839	Syaj.g_00383
OG0000026	Syaa.g_00038	Syaj.g_02298
OG0000027	Syaa.g_00854	Syaj.g_00396
OG0000028	Syaa.g_00205	Syaj.g_02506
OG0000029	Syaa.g_01578	Syaj.g_01229
OG0000030	Syaa.g_00099	Syaj.g_02396
OG0000030	Syaa.g_00098	Syaj.g_02395
OG0000031	Syaa.g_00200	Syaj.g_02501
OG0000032	Syaa.g_01818	Syaj.g_01432
OG0000033	Syaa.g_02478	Syaj.g_01990
OG0000034	Syaa.g_00722, Syaa.g_02444	Syaj.g_01959
OG0000035	Syaa.g_01773	Syaj.g_01378
OG0000037	Syaa.g_02384	Syaj.g_01891, Syaj.g_02902
OG0000038	Syaa.g_02596	Syaj.g_02115
OG0000039	Syaa.g_00846	Syaj.g_00392
OG0000040	Syaa.g_02690	Syaj.g_02208
OG0000041	Syaa.g_00660	Syaj.g_01602
OG0000041	Syaa.g_00869	Syaj.g_00418
OG0000042	Syaa.g_00103	Syaj.g_02399
OG0000043	Syaa.g_01437	Syaj.g_01247
OG0000044	Syaa.g_01737, Syaa.g_00363, Syaa.g_00851	Syaj.g_01344
OG0000045	Syaa.g_01518	Syaj.g_00132
OG0000046	Syaa.g_02211	Syaj.g_02775
OG0000046	Syaa.g_02205	Syaj.g_02781
OG0000046	Syaa.g_02218	Syaj.g_02768
OG0000047	Syaa.g_02189	Syaj.g_02799
OG0000048	Syaa.g_00275	Syaj.g_02578
OG0000050	Syaa.g_01591	Syaj.g_01242
OG0000050	Syaa.g_01213, Syaa.g_01712	Syaj.g_01584
OG0000051	Syaa.g_01531	Syaj.g_02898
OG0000052	Syaa.g_00174	Syaj.g_02476
OG0000053	Syaa.g_01797	Syaj.g_01409
OG0000054	Syaa.g_01691	Syaj.g_01341
OG0000055	Syaa.g_00852	Syaj.g_00394
OG0000057	Syaa.g_01466, Syaa.g_00889	Syaj.g_00438
OG0000058	Syaa.g_00193	Syaj.g_02495
OG0000059	Syaa.g_02315	Syaj.g_02686
OG0000060	Syaa.g_02053	Syaj.g_00067
OG0000060	Syaa.g_01007	Syaj.g_00635
OG0000061	Syaa.g_00469	Syaj.g_02351
OG0000061	Syaa.g_00770	Syaj.g_00302
OG0000062	Syaa.g_00571	Syaj.g_01700
OG0000063	Syaa.g_00042	Syaj.g_02302
OG0000064	Syaa.g_02666	Syaj.g_01253
OG0000065	Syaa.g_02380	Syaj.g_01887
