Orthogroup	Syaa	Syak
OG0000001	Syaa.g_02435, Syaa.g_02438, Syaa.g_02437, Syaa.g_02436	Syak.g_02139
OG0000001	Syaa.g_02329	Syak.g_00275, Syak.g_00579
OG0000004	Syaa.g_00892	Syak.g_01219, Syak.g_00720
OG0000004	Syaa.g_01667	Syak.g_00003
OG0000004	Syaa.g_02116	Syak.g_02297
OG0000005	Syaa.g_00534	Syak.g_02401
OG0000005	Syaa.g_00573	Syak.g_02436
OG0000006	Syaa.g_01611	Syak.g_00057
OG0000006	Syaa.g_01043, Syaa.g_02353, Syaa.g_02099	Syak.g_00059, Syak.g_00061, Syak.g_01394, Syak.g_02315, Syak.g_02317
OG0000007	Syaa.g_02032	Syak.g_02595
OG0000007	Syaa.g_00551	Syak.g_02416
OG0000008	Syaa.g_00918	Syak.g_00267
OG0000008	Syaa.g_00919	Syak.g_00692
OG0000009	Syaa.g_02378	Syak.g_02194
OG0000010	Syaa.g_01843	Syak.g_01119
OG0000011	Syaa.g_00921	Syak.g_00960
OG0000012	Syaa.g_01660	Syak.g_00010
OG0000013	Syaa.g_02212	Syak.g_01270
OG0000013	Syaa.g_02217	Syak.g_01275
OG0000014	Syaa.g_00222	Syak.g_01505
OG0000014	Syaa.g_00481	Syak.g_01582
OG0000015	Syaa.g_02739	Syak.g_01813
OG0000015	Syaa.g_01079, Syaa.g_01989	Syak.g_00358
OG0000016	Syaa.g_00014	Syak.g_01780
OG0000016	Syaa.g_00981	Syak.g_00818
OG0000017	Syaa.g_01890	Syak.g_02730
OG0000017	Syaa.g_01883	Syak.g_02738
OG0000018	Syaa.g_01801	Syak.g_01072
OG0000019	Syaa.g_00307	Syak.g_01413
OG0000021	Syaa.g_02627	Syak.g_00566
OG0000022	Syaa.g_01571	Syak.g_00088
OG0000023	Syaa.g_01216	Syak.g_00316
OG0000025	Syaa.g_00839	Syak.g_00610
OG0000026	Syaa.g_00038	Syak.g_01757
OG0000027	Syaa.g_00854	Syak.g_00127
OG0000028	Syaa.g_00205	Syak.g_01522
OG0000029	Syaa.g_01578	Syak.g_00169, Syak.g_00178
OG0000030	Syaa.g_00099	Syak.g_01684
OG0000030	Syaa.g_00098	Syak.g_01685
OG0000031	Syaa.g_00200	Syak.g_01630
OG0000032	Syaa.g_01818	Syak.g_01092
OG0000033	Syaa.g_02478, Syaa.g_00485	Syak.g_02101
OG0000034	Syaa.g_00722, Syaa.g_02444	Syak.g_00950, Syak.g_02133
OG0000035	Syaa.g_01773	Syak.g_01041, Syak.g_01040
OG0000037	Syaa.g_02384	Syak.g_02188
OG0000038	Syaa.g_02596	Syak.g_01938
OG0000039	Syaa.g_00846	Syak.g_00772
OG0000040	Syaa.g_02690	Syak.g_01852
OG0000041	Syaa.g_00660	Syak.g_02354
OG0000042	Syaa.g_00103	Syak.g_00843, Syak.g_01681
OG0000043	Syaa.g_01437	Syak.g_00335
OG0000044	Syaa.g_00851	Syak.g_00767
OG0000045	Syaa.g_01560	Syak.g_00228
OG0000045	Syaa.g_01518	Syak.g_00317
OG0000046	Syaa.g_02211	Syak.g_01269
OG0000046	Syaa.g_02218	Syak.g_01276
OG0000047	Syaa.g_02189	Syak.g_01147
OG0000048	Syaa.g_00275	Syak.g_01446
OG0000050	Syaa.g_01591	Syak.g_00106
OG0000052	Syaa.g_00174	Syak.g_01549
OG0000053	Syaa.g_01797	Syak.g_01068
OG0000054	Syaa.g_01502	Syak.g_02321
OG0000055	Syaa.g_01564, Syaa.g_00852	Syak.g_00766
OG0000057	Syaa.g_01466	Syak.g_01676
OG0000058	Syaa.g_00193, Syaa.g_00455	Syak.g_01530
OG0000059	Syaa.g_02315	Syak.g_01355
OG0000060	Syaa.g_02053	Syak.g_02572
OG0000060	Syaa.g_01007	Syak.g_00844
OG0000061	Syaa.g_00770	Syak.g_00898
OG0000062	Syaa.g_00571	Syak.g_02434
OG0000063	Syaa.g_00042	Syak.g_01752
OG0000064	Syaa.g_00579	Syak.g_00983
OG0000064	Syaa.g_02666	Syak.g_00254
OG0000067	Syaa.g_01154	Syak.g_00434
OG0000068	Syaa.g_02059	Syak.g_02565
OG0000070	Syaa.g_00718	Syak.g_01174
OG0000071	Syaa.g_00735	Syak.g_00936
OG0000072	Syaa.g_02480	Syak.g_02099
OG0000073	Syaa.g_02030	Syak.g_02597
OG0000075	Syaa.g_00157	Syak.g_01564
OG0000076	Syaa.g_00123	Syak.g_01650
OG0000077	Syaa.g_00341	Syak.g_02243
OG0000078	Syaa.g_02103	Syak.g_02310
OG0000079	Syaa.g_00303	Syak.g_01417
OG0000080	Syaa.g_00487	Syak.g_01612
OG0000081	Syaa.g_02089, Syaa.g_01694	Syak.g_00115
OG0000082	Syaa.g_01905	Syak.g_02711
OG0000084	Syaa.g_01827, Syaa.g_02302, Syaa.g_01770	Syak.g_01036
OG0000085	Syaa.g_00564	Syak.g_02427
OG0000086	Syaa.g_00324	Syak.g_02219
OG0000087	Syaa.g_02433	Syak.g_02141
OG0000088	Syaa.g_02474	Syak.g_02106
OG0000089	Syaa.g_02149	Syak.g_01215
OG0000090	Syaa.g_01980	Syak.g_02640
OG0000091	Syaa.g_01625	Syak.g_00043
OG0000093	Syaa.g_01139	Syak.g_00416
OG0000094	Syaa.g_01288	Syak.g_00656
OG0000095	Syaa.g_00879	Syak.g_00736
OG0000097	Syaa.g_00979	Syak.g_00816
OG0000098	Syaa.g_01970	Syak.g_02651
OG0000099	Syaa.g_00202	Syak.g_01527
OG0000100	Syaa.g_01201	Syak.g_00622
OG0000101	Syaa.g_02249	Syak.g_01305
OG0000102	Syaa.g_00118	Syak.g_01661
OG0000103	Syaa.g_02740	Syak.g_01812
OG0000104	Syaa.g_02754	Syak.g_01799
OG0000105	Syaa.g_00270	Syak.g_01451
OG0000106	Syaa.g_01439	Syak.g_00096
OG0000107	Syaa.g_02351	Syak.g_01392
OG0000108	Syaa.g_02051	Syak.g_02574
OG0000109	Syaa.g_02036	Syak.g_02590
OG0000110	Syaa.g_01918	Syak.g_02698
OG0000111	Syaa.g_00888	Syak.g_00725
OG0000112	Syaa.g_01366	Syak.g_00512
OG0000113	Syaa.g_01196	Syak.g_00461
OG0000114	Syaa.g_01094	Syak.g_00373, Syak.g_00065
OG0000115	Syaa.g_01795	Syak.g_01066
OG0000116	Syaa.g_00757	Syak.g_00911
OG0000117	Syaa.g_01009	Syak.g_00846
OG0000118	Syaa.g_01874	Syak.g_00954
OG0000119	Syaa.g_00785	Syak.g_00917
OG0000120	Syaa.g_00201	Syak.g_01526
OG0000121	Syaa.g_01777	Syak.g_01044
OG0000122	Syaa.g_01598	Syak.g_00081
OG0000123	Syaa.g_02242	Syak.g_01299
OG0000124	Syaa.g_00092	Syak.g_01692
OG0000125	Syaa.g_02598	Syak.g_01934
OG0000126	Syaa.g_02752	Syak.g_01801
OG0000127	Syaa.g_00377	Syak.g_02269
OG0000127	Syaa.g_00390	Syak.g_02544
OG0000128	Syaa.g_00012	Syak.g_01782
OG0000129	Syaa.g_02586	Syak.g_01947
OG0000130	Syaa.g_00354	Syak.g_02255
OG0000131	Syaa.g_02448	Syak.g_02128
OG0000132	Syaa.g_02472	Syak.g_02108
OG0000133	Syaa.g_01361	Syak.g_00507
OG0000134	Syaa.g_02146	Syak.g_01212
OG0000135	Syaa.g_02649	Syak.g_01897
OG0000136	Syaa.g_00708	Syak.g_01186
OG0000137	Syaa.g_01842	Syak.g_01118
OG0000138	Syaa.g_02035	Syak.g_02591
OG0000139	Syaa.g_01974	Syak.g_02646
OG0000140	Syaa.g_01971	Syak.g_02650
OG0000141	Syaa.g_01689	Syak.g_02746
OG0000142	Syaa.g_01633	Syak.g_00035
OG0000143	Syaa.g_01629	Syak.g_00039
OG0000144	Syaa.g_01446	Syak.g_00260
OG0000145	Syaa.g_02029	Syak.g_02598
OG0000146	Syaa.g_01367	Syak.g_00514
OG0000147	Syaa.g_01368	Syak.g_00515
OG0000148	Syaa.g_01190	Syak.g_00455
OG0000149	Syaa.g_00826	Syak.g_00596
OG0000150	Syaa.g_01688	Syak.g_02747
OG0000151	Syaa.g_01107	Syak.g_00387
OG0000152	Syaa.g_01357	Syak.g_00503
OG0000153	Syaa.g_01324	Syak.g_00470
OG0000154	Syaa.g_01298	Syak.g_00645
OG0000155	Syaa.g_00804	Syak.g_00855
OG0000156	Syaa.g_00751	Syak.g_00919
OG0000157	Syaa.g_00750	Syak.g_00920
OG0000158	Syaa.g_00148	Syak.g_01624
OG0000159	Syaa.g_00456	Syak.g_01580
OG0000160	Syaa.g_01776	Syak.g_01043
OG0000161	Syaa.g_01782	Syak.g_01050
OG0000162	Syaa.g_01788	Syak.g_01058
OG0000163	Syaa.g_00624	Syak.g_02478
OG0000164	Syaa.g_00507	Syak.g_02384
OG0000165	Syaa.g_00681	Syak.g_02374
OG0000166	Syaa.g_02289	Syak.g_01345
OG0000167	Syaa.g_00160	Syak.g_01561
OG0000168	Syaa.g_00145	Syak.g_01625
OG0000169	Syaa.g_00134	Syak.g_01637
OG0000170	Syaa.g_00128	Syak.g_01644
OG0000171	Syaa.g_00093	Syak.g_01691
OG0000172	Syaa.g_00079	Syak.g_01713
OG0000173	Syaa.g_00060	Syak.g_01733
OG0000174	Syaa.g_02651	Syak.g_01895
OG0000175	Syaa.g_02726	Syak.g_01827
OG0000176	Syaa.g_00004	Syak.g_01790
OG0000177	Syaa.g_00005	Syak.g_01789
OG0000178	Syaa.g_00006	Syak.g_01788
OG0000179	Syaa.g_00023	Syak.g_01773
OG0000180	Syaa.g_00024	Syak.g_01772
OG0000181	Syaa.g_00025	Syak.g_01771
OG0000182	Syaa.g_00026	Syak.g_01770
OG0000183	Syaa.g_00030	Syak.g_01766
OG0000184	Syaa.g_02578	Syak.g_01955
OG0000185	Syaa.g_02575	Syak.g_01971
OG0000186	Syaa.g_00359	Syak.g_02258
OG0000187	Syaa.g_00358	Syak.g_02257
OG0000188	Syaa.g_00334	Syak.g_02235
OG0000189	Syaa.g_02367	Syak.g_02203
OG0000190	Syaa.g_02369	Syak.g_01575
OG0000191	Syaa.g_02404	Syak.g_02171
OG0000192	Syaa.g_02410	Syak.g_02165
OG0000193	Syaa.g_02449	Syak.g_02127
OG0000194	Syaa.g_02452	Syak.g_02124
OG0000195	Syaa.g_02459	Syak.g_02122
OG0000196	Syaa.g_02469	Syak.g_02111
OG0000197	Syaa.g_02470	Syak.g_02110
OG0000198	Syaa.g_02471	Syak.g_02109
OG0000199	Syaa.g_02479	Syak.g_02100
OG0000200	Syaa.g_02496	Syak.g_02083
OG0000201	Syaa.g_02521	Syak.g_02068
OG0000202	Syaa.g_02522	Syak.g_02067
OG0000203	Syaa.g_02523	Syak.g_02066
OG0000204	Syaa.g_02524	Syak.g_02065
OG0000205	Syaa.g_02531	Syak.g_02058
OG0000206	Syaa.g_02538	Syak.g_02038
OG0000207	Syaa.g_02540	Syak.g_02025
OG0000208	Syaa.g_02541	Syak.g_02024
OG0000209	Syaa.g_02556	Syak.g_01995
OG0000210	Syaa.g_02557	Syak.g_01994
OG0000211	Syaa.g_02113	Syak.g_02300
OG0000212	Syaa.g_02102	Syak.g_02311
OG0000213	Syaa.g_00295	Syak.g_01425
OG0000214	Syaa.g_00279	Syak.g_01442
OG0000215	Syaa.g_00248	Syak.g_01474
OG0000216	Syaa.g_00244	Syak.g_01478
OG0000217	Syaa.g_00240	Syak.g_01482
OG0000218	Syaa.g_00238	Syak.g_01484
OG0000219	Syaa.g_00237	Syak.g_01485
OG0000220	Syaa.g_00236	Syak.g_01486
OG0000221	Syaa.g_00229	Syak.g_01498
OG0000222	Syaa.g_00215	Syak.g_01512
OG0000223	Syaa.g_00192	Syak.g_01531
OG0000224	Syaa.g_00183	Syak.g_01532
OG0000225	Syaa.g_02166	Syak.g_01230
OG0000226	Syaa.g_02162	Syak.g_01226
OG0000227	Syaa.g_02160	Syak.g_01224
OG0000228	Syaa.g_02150	Syak.g_01216
OG0000229	Syaa.g_00703	Syak.g_01191
OG0000230	Syaa.g_00705	Syak.g_01189
OG0000231	Syaa.g_00717	Syak.g_01176
OG0000232	Syaa.g_01858	Syak.g_01156
OG0000233	Syaa.g_01853	Syak.g_01145
OG0000234	Syaa.g_01841	Syak.g_01116
OG0000235	Syaa.g_02052	Syak.g_02573
OG0000236	Syaa.g_02037	Syak.g_02589
OG0000237	Syaa.g_02020	Syak.g_02607
OG0000238	Syaa.g_02015	Syak.g_02612
OG0000239	Syaa.g_01996	Syak.g_02628
OG0000240	Syaa.g_01995	Syak.g_02629
OG0000241	Syaa.g_01644	Syak.g_00027
OG0000242	Syaa.g_01982	Syak.g_02638
OG0000243	Syaa.g_01960	Syak.g_02658
OG0000244	Syaa.g_01954	Syak.g_02665
OG0000245	Syaa.g_01952	Syak.g_02667
OG0000246	Syaa.g_01948	Syak.g_02671
OG0000247	Syaa.g_01937	Syak.g_02681
OG0000248	Syaa.g_01934	Syak.g_02684
OG0000249	Syaa.g_01932	Syak.g_02686
OG0000250	Syaa.g_01922	Syak.g_02694
OG0000251	Syaa.g_01897	Syak.g_02722
OG0000252	Syaa.g_01894	Syak.g_02725
OG0000253	Syaa.g_01893	Syak.g_02727
OG0000254	Syaa.g_01684	Syak.g_02752
OG0000255	Syaa.g_01668	Syak.g_02772
OG0000256	Syaa.g_01651	Syak.g_00020
OG0000257	Syaa.g_01645	Syak.g_00026
OG0000258	Syaa.g_01624	Syak.g_00044
OG0000259	Syaa.g_01063	Syak.g_00334
OG0000260	Syaa.g_01066	Syak.g_00338
OG0000261	Syaa.g_01069	Syak.g_00348
OG0000262	Syaa.g_01074	Syak.g_00353
OG0000263	Syaa.g_00989	Syak.g_00828
OG0000264	Syaa.g_00910	Syak.g_00698
OG0000265	Syaa.g_01498	Syak.g_00211
OG0000266	Syaa.g_01257	Syak.g_00778
OG0000267	Syaa.g_01409	Syak.g_00555
OG0000268	Syaa.g_01408	Syak.g_00554
OG0000269	Syaa.g_01149	Syak.g_00429
OG0000270	Syaa.g_01152	Syak.g_00432
OG0000271	Syaa.g_01160	Syak.g_00440
OG0000272	Syaa.g_01161	Syak.g_00441
OG0000274	Syaa.g_00843	Syak.g_00615
OG0000275	Syaa.g_00840	Syak.g_00611
OG0000276	Syaa.g_00834	Syak.g_00604
OG0000277	Syaa.g_00833	Syak.g_00603
OG0000278	Syaa.g_00830	Syak.g_00600
OG0000279	Syaa.g_00822	Syak.g_00592
OG0000280	Syaa.g_00815	Syak.g_00582
OG0000282	Syaa.g_01096	Syak.g_00375
OG0000283	Syaa.g_01396	Syak.g_00541
OG0000284	Syaa.g_01390	Syak.g_00536
OG0000285	Syaa.g_01377	Syak.g_00523
OG0000286	Syaa.g_01358	Syak.g_00504
OG0000287	Syaa.g_01330	Syak.g_00477
OG0000288	Syaa.g_01299	Syak.g_00644
OG0000289	Syaa.g_01285	Syak.g_00659
OG0000290	Syaa.g_00875	Syak.g_00738
OG0000291	Syaa.g_00877	Syak.g_00734, Syak.g_00737
OG0000292	Syaa.g_02751	Syak.g_01802
OG0000293	Syaa.g_00758	Syak.g_00910
OG0000294	Syaa.g_00759	Syak.g_00909
OG0000295	Syaa.g_00796	Syak.g_00863
OG0000296	Syaa.g_00798	Syak.g_00861
OG0000297	Syaa.g_01021	Syak.g_00848
OG0000298	Syaa.g_01010	Syak.g_00847
OG0000299	Syaa.g_00982	Syak.g_00820
OG0000300	Syaa.g_00976	Syak.g_00813
OG0000301	Syaa.g_00975	Syak.g_00812
OG0000302	Syaa.g_00972	Syak.g_00811
OG0000303	Syaa.g_00963	Syak.g_00674
OG0000304	Syaa.g_00957	Syak.g_00680
OG0000305	Syaa.g_00881	Syak.g_00732
OG0000306	Syaa.g_00807	Syak.g_00094
OG0000307	Syaa.g_02068	Syak.g_02556
OG0000308	Syaa.g_02070	Syak.g_02554
OG0000309	Syaa.g_02075	Syak.g_02549
OG0000310	Syaa.g_01752	Syak.g_00994
OG0000311	Syaa.g_01757	Syak.g_00999
OG0000312	Syaa.g_01762	Syak.g_01028
OG0000313	Syaa.g_01779	Syak.g_01046
OG0000314	Syaa.g_01806	Syak.g_01079
OG0000315	Syaa.g_01816	Syak.g_01090
OG0000316	Syaa.g_00598	Syak.g_02462
OG0000317	Syaa.g_00556	Syak.g_02419
OG0000318	Syaa.g_00550	Syak.g_02415
OG0000319	Syaa.g_00532	Syak.g_02399
OG0000320	Syaa.g_00530	Syak.g_02397
OG0000321	Syaa.g_00529	Syak.g_02396
OG0000322	Syaa.g_00528	Syak.g_02395
OG0000323	Syaa.g_00496	Syak.g_02380
OG0000324	Syaa.g_00653	Syak.g_02347
OG0000325	Syaa.g_02350	Syak.g_01391
OG0000326	Syaa.g_02343	Syak.g_01384
OG0000327	Syaa.g_02294	Syak.g_01350
OG0000328	Syaa.g_02293	Syak.g_01349
OG0000329	Syaa.g_02275	Syak.g_01331
OG0000330	Syaa.g_02274	Syak.g_01330
OG0000331	Syaa.g_02273	Syak.g_01329
OG0000332	Syaa.g_02258	Syak.g_01314
OG0000333	Syaa.g_02255	Syak.g_01311
OG0000334	Syaa.g_02246	Syak.g_01302
OG0000335	Syaa.g_02241	Syak.g_01298
OG0000336	Syaa.g_02237	Syak.g_01294
OG0000337	Syaa.g_00167	Syak.g_01555
OG0000338	Syaa.g_00162	Syak.g_01558
OG0000339	Syaa.g_00156	Syak.g_01566
OG0000340	Syaa.g_00144	Syak.g_01626
OG0000341	Syaa.g_00142	Syak.g_01628
OG0000342	Syaa.g_00141	Syak.g_01629
OG0000343	Syaa.g_00140	Syak.g_01631
OG0000344	Syaa.g_00136	Syak.g_01635
OG0000345	Syaa.g_00127	Syak.g_01645
OG0000346	Syaa.g_00122	Syak.g_01651
OG0000347	Syaa.g_00088	Syak.g_01694
OG0000348	Syaa.g_00071	Syak.g_01717
OG0000349	Syaa.g_00053	Syak.g_01740
OG0000350	Syaa.g_02336	Syak.g_01377
OG0000351	Syaa.g_02730	Syak.g_01823
OG0000352	Syaa.g_02731	Syak.g_01822
OG0000353	Syaa.g_02757	Syak.g_01796
OG0000354	Syaa.g_02008, Syaa.g_02009	Syak.g_02618
OG0000354	Syaa.g_00019, Syaa.g_00020	Syak.g_01775
OG0000355	Syaa.g_00001	Syak.g_01793
OG0000356	Syaa.g_00002	Syak.g_01792
OG0000357	Syaa.g_00003	Syak.g_01791
OG0000358	Syaa.g_00007	Syak.g_01787
OG0000359	Syaa.g_00009	Syak.g_01785
OG0000360	Syaa.g_00010	Syak.g_01784
OG0000361	Syaa.g_00011	Syak.g_01783
OG0000362	Syaa.g_00013	Syak.g_01781
OG0000363	Syaa.g_00015	Syak.g_01779
OG0000364	Syaa.g_00016	Syak.g_01778
OG0000365	Syaa.g_00027	Syak.g_01769
OG0000366	Syaa.g_00028	Syak.g_01768
OG0000367	Syaa.g_00029	Syak.g_01767
OG0000368	Syaa.g_00031	Syak.g_01765
OG0000369	Syaa.g_00032	Syak.g_01764
OG0000370	Syaa.g_00033	Syak.g_01763
OG0000371	Syaa.g_00041	Syak.g_01753
OG0000372	Syaa.g_00046	Syak.g_01748
OG0000373	Syaa.g_00047	Syak.g_01747
OG0000374	Syaa.g_00048	Syak.g_01746
OG0000375	Syaa.g_00049	Syak.g_01744
OG0000376	Syaa.g_00051	Syak.g_01742
OG0000377	Syaa.g_02585	Syak.g_01948
OG0000378	Syaa.g_02577	Syak.g_01968
OG0000379	Syaa.g_02574	Syak.g_01972
OG0000380	Syaa.g_00357	Syak.g_02256
