Orthogroup	Syaa	Syad
OG0000001	Syaa.g_02435	Syad.g_02863, Syad.g_02862
OG0000001	Syaa.g_02438, Syaa.g_02437	Syad.g_02864
OG0000001	Syaa.g_02329	Syad.g_01238, Syad.g_00611
OG0000004	Syaa.g_00892	Syad.g_01304
OG0000004	Syaa.g_01667	Syad.g_02184
OG0000004	Syaa.g_02116	Syad.g_00810
OG0000005	Syaa.g_00534	Syad.g_02639
OG0000005	Syaa.g_00573	Syad.g_02596
OG0000005	Syaa.g_01449	Syad.g_02028
OG0000006	Syaa.g_01611	Syad.g_02130
OG0000006	Syaa.g_01043, Syaa.g_02353, Syaa.g_02099	Syad.g_00588, Syad.g_00829
OG0000007	Syaa.g_02032	Syad.g_00923
OG0000007	Syaa.g_00551	Syad.g_02623
OG0000008	Syaa.g_00919	Syad.g_01371
OG0000009	Syaa.g_02378	Syad.g_02799
OG0000010	Syaa.g_01843	Syad.g_02354
OG0000012	Syaa.g_01660	Syad.g_02176
OG0000012	Syaa.g_02304	Syad.g_01579, Syad.g_01008
OG0000013	Syaa.g_02212	Syad.g_00729
OG0000013	Syaa.g_02204	Syad.g_00737
OG0000013	Syaa.g_02217	Syad.g_00724
OG0000014	Syaa.g_00222	Syad.g_00480
OG0000015	Syaa.g_02739	Syad.g_00142
OG0000015	Syaa.g_01079	Syad.g_01600, Syad.g_01601
OG0000016	Syaa.g_00014	Syad.g_00176
OG0000016	Syaa.g_00981	Syad.g_01460
OG0000016	Syaa.g_01481	Syad.g_02065
OG0000017	Syaa.g_01890	Syad.g_01084
OG0000017	Syaa.g_01883	Syad.g_01091
OG0000018	Syaa.g_01801	Syad.g_02306
OG0000019	Syaa.g_00307	Syad.g_00569
OG0000021	Syaa.g_02627	Syad.g_00874
OG0000022	Syaa.g_01571	Syad.g_02090
OG0000023	Syaa.g_01529	Syad.g_01701
OG0000023	Syaa.g_01216	Syad.g_02337
OG0000024	Syaa.g_00922	Syad.g_01374
OG0000025	Syaa.g_00839	Syad.g_01241
OG0000026	Syaa.g_00038	Syad.g_00198
OG0000027	Syaa.g_00854	Syad.g_01257
OG0000028	Syaa.g_00205	Syad.g_00463
OG0000029	Syaa.g_01578	Syad.g_02099
OG0000030	Syaa.g_00099	Syad.g_00328
OG0000030	Syaa.g_00098	Syad.g_00327
OG0000031	Syaa.g_00200	Syad.g_00458
OG0000032	Syaa.g_01818	Syad.g_02326
OG0000033	Syaa.g_02478	Syad.g_02903
OG0000034	Syaa.g_00722, Syaa.g_02444	Syad.g_02420, Syad.g_02872
OG0000035	Syaa.g_01773	Syad.g_02275
OG0000037	Syaa.g_02384	Syad.g_02805
OG0000038	Syaa.g_02596	Syad.g_03038
OG0000039	Syaa.g_00846	Syad.g_01249
OG0000040	Syaa.g_02690	Syad.g_00104
OG0000041	Syaa.g_00660	Syad.g_02498
OG0000041	Syaa.g_00869	Syad.g_01281
OG0000042	Syaa.g_00103	Syad.g_00333
OG0000043	Syaa.g_01437	Syad.g_02119
OG0000044	Syaa.g_01737, Syaa.g_00363, Syaa.g_00851	Syad.g_02214
OG0000045	Syaa.g_01518	Syad.g_00964
OG0000046	Syaa.g_02211	Syad.g_00730
OG0000046	Syaa.g_02205	Syad.g_00736
OG0000046	Syaa.g_02218	Syad.g_00723
OG0000047	Syaa.g_02189	Syad.g_00754
OG0000048	Syaa.g_00275	Syad.g_00534
OG0000050	Syaa.g_01591	Syad.g_02114
OG0000050	Syaa.g_01213, Syaa.g_01712	Syad.g_02478
OG0000051	Syaa.g_01531	Syad.g_00842
OG0000052	Syaa.g_00174	Syad.g_00434
OG0000053	Syaa.g_01797	Syad.g_02302
OG0000054	Syaa.g_01691	Syad.g_02209
OG0000055	Syaa.g_00852	Syad.g_01255
OG0000057	Syaa.g_01466, Syaa.g_00889	Syad.g_01301
OG0000058	Syaa.g_00193	Syad.g_00452
OG0000059	Syaa.g_02315	Syad.g_00642
OG0000060	Syaa.g_02053	Syad.g_00899
OG0000060	Syaa.g_01007	Syad.g_01508
OG0000061	Syaa.g_00770	Syad.g_01152
OG0000062	Syaa.g_00571	Syad.g_02598
OG0000063	Syaa.g_00042	Syad.g_00202
OG0000064	Syaa.g_02666	Syad.g_00081, Syad.g_02125
OG0000065	Syaa.g_02380	Syad.g_02801
OG0000066	Syaa.g_01968	Syad.g_00992
OG0000067	Syaa.g_01154	Syad.g_01889
OG0000068	Syaa.g_02059	Syad.g_00891
OG0000070	Syaa.g_00718	Syad.g_02424
OG0000071	Syaa.g_00735	Syad.g_02405
OG0000072	Syaa.g_02480	Syad.g_02905
OG0000073	Syaa.g_02030	Syad.g_00926
OG0000075	Syaa.g_00157	Syad.g_00416
OG0000076	Syaa.g_00123	Syad.g_00348
OG0000078	Syaa.g_02103	Syad.g_00824
OG0000079	Syaa.g_00303	Syad.g_00565
OG0000080	Syaa.g_00487	Syad.g_02256
OG0000081	Syaa.g_02089	Syad.g_00833
OG0000082	Syaa.g_01905	Syad.g_01063
OG0000084	Syaa.g_01827, Syaa.g_02302, Syaa.g_01770	Syad.g_02272
OG0000085	Syaa.g_00564	Syad.g_02612
OG0000086	Syaa.g_00324	Syad.g_02770
OG0000087	Syaa.g_02433	Syad.g_02860
OG0000088	Syaa.g_02474	Syad.g_02899
OG0000089	Syaa.g_02149	Syad.g_00785
OG0000090	Syaa.g_01980	Syad.g_00977
OG0000091	Syaa.g_01625	Syad.g_02144
OG0000093	Syaa.g_01139	Syad.g_01905
OG0000094	Syaa.g_01288	Syad.g_01676
