Orthogroup	Syaa	Syab
OG0000001	Syaa.g_02329	Syab.g_01509, Syab.g_01510
OG0000004	Syaa.g_00892	Syab.g_00549, Syab.g_01193
OG0000004	Syaa.g_01667	Syab.g_01911
OG0000004	Syaa.g_02116	Syab.g_02377
OG0000005	Syaa.g_00534	Syab.g_02289
OG0000005	Syaa.g_00573	Syab.g_02232
OG0000005	Syaa.g_01449	Syab.g_00981
OG0000006	Syaa.g_01611	Syab.g_01849
OG0000006	Syaa.g_01043, Syaa.g_02353, Syaa.g_02099	Syab.g_00365, Syab.g_01847, Syab.g_02361
OG0000007	Syaa.g_02032	Syab.g_02117
OG0000007	Syaa.g_00551	Syab.g_02256
OG0000008	Syaa.g_00918	Syab.g_01755
OG0000008	Syaa.g_00919	Syab.g_01168
OG0000009	Syaa.g_02378	Syab.g_02498
OG0000010	Syaa.g_01843	Syab.g_00696
OG0000011	Syaa.g_00921	Syab.g_01491, Syab.g_01083
OG0000012	Syaa.g_02304	Syab.g_00953
OG0000013	Syaa.g_02212	Syab.g_00487
OG0000013	Syaa.g_02204	Syab.g_00497
OG0000013	Syaa.g_02217	Syab.g_00482
OG0000014	Syaa.g_00222	Syab.g_00249
OG0000014	Syaa.g_00481	Syab.g_00178
OG0000015	Syaa.g_02739	Syab.g_02889
OG0000016	Syaa.g_00014	Syab.g_00014
OG0000016	Syaa.g_00981	Syab.g_01049
OG0000017	Syaa.g_01890	Syab.g_01953
OG0000017	Syaa.g_01883	Syab.g_01945
OG0000018	Syaa.g_01801	Syab.g_00742
OG0000019	Syaa.g_00307	Syab.g_00344
OG0000022	Syaa.g_01571	Syab.g_01825
OG0000023	Syaa.g_01216	Syab.g_00708
OG0000024	Syaa.g_00922	Syab.g_01834
OG0000025	Syaa.g_00839	Syab.g_01705
OG0000026	Syaa.g_00038	Syab.g_00036
OG0000027	Syaa.g_00854	Syab.g_01782
OG0000028	Syaa.g_00205	Syab.g_00234
OG0000030	Syaa.g_00099	Syab.g_00096
OG0000030	Syaa.g_00098	Syab.g_00095
OG0000031	Syaa.g_00200	Syab.g_00160
OG0000032	Syaa.g_01818	Syab.g_00724
OG0000033	Syaa.g_02478	Syab.g_02590
OG0000034	Syaa.g_00722, Syaa.g_02444	Syab.g_00900, Syab.g_02560
OG0000035	Syaa.g_01773	Syab.g_00776, Syab.g_00778
OG0000037	Syaa.g_02384	Syab.g_02060, Syab.g_01241, Syab.g_02280, Syab.g_02205
OG0000038	Syaa.g_02596	Syab.g_02759
OG0000040	Syaa.g_02690	Syab.g_02853
OG0000042	Syaa.g_00103	Syab.g_01019, Syab.g_00099
OG0000043	Syaa.g_01437	Syab.g_01785
OG0000044	Syaa.g_00851	Syab.g_01256
OG0000045	Syaa.g_01560	Syab.g_01787
OG0000045	Syaa.g_01518	Syab.g_00871
OG0000046	Syaa.g_02211	Syab.g_00488
OG0000046	Syaa.g_02205	Syab.g_00496
OG0000046	Syaa.g_02218	Syab.g_00481
OG0000047	Syaa.g_02189	Syab.g_00876
OG0000048	Syaa.g_00275, Syaa.g_02719	Syab.g_00308
OG0000052	Syaa.g_00174	Syab.g_00214
OG0000053	Syaa.g_01797	Syab.g_00746
OG0000055	Syaa.g_00852	Syab.g_01255
OG0000057	Syaa.g_01466	Syab.g_01200
OG0000058	Syaa.g_00193, Syaa.g_00455	Syab.g_00227
OG0000059	Syaa.g_02315	Syab.g_00397
