Orthogroup	Syaa	Prae
OG0000001	Syaa.g_02435, Syaa.g_02438, Syaa.g_02437, Syaa.g_02436, Syaa.g_02439, Syaa.g_02329	Prae.g_01353
OG0000004	Syaa.g_00892	Prae.g_00669
OG0000004	Syaa.g_01667, Syaa.g_02116	Prae.g_00235
OG0000005	Syaa.g_00534	Prae.g_01636
OG0000005	Syaa.g_00573	Prae.g_01535
OG0000006	Syaa.g_01611, Syaa.g_01043, Syaa.g_02353, Syaa.g_02099	Prae.g_00244
OG0000007	Syaa.g_02032	Prae.g_00471
OG0000007	Syaa.g_00551	Prae.g_01623
OG0000010	Syaa.g_01843	Prae.g_01048
OG0000011	Syaa.g_00921	Prae.g_01245
OG0000012	Syaa.g_01660, Syaa.g_02304	Prae.g_00597
OG0000013	Syaa.g_02212, Syaa.g_02204, Syaa.g_02217	Prae.g_00328
OG0000014	Syaa.g_00222	Prae.g_00307
OG0000014	Syaa.g_00481	Prae.g_01401
OG0000015	Syaa.g_02739, Syaa.g_01079, Syaa.g_01989	Prae.g_00769, Prae.g_01235
OG0000016	Syaa.g_00014	Prae.g_00013
OG0000017	Syaa.g_01890, Syaa.g_01883	Prae.g_00572
OG0000018	Syaa.g_01801	Prae.g_01144
OG0000019	Syaa.g_00307	Prae.g_00252, Prae.g_00786
OG0000021	Syaa.g_02627	Prae.g_01600, Prae.g_00364
OG0000022	Syaa.g_01571	Prae.g_01125
OG0000023	Syaa.g_01529, Syaa.g_01216	Prae.g_00359
OG0000024	Syaa.g_00922	Prae.g_00748, Prae.g_00649
OG0000025	Syaa.g_00839	Prae.g_00332, Prae.g_00840
OG0000026	Syaa.g_00038	Prae.g_00031, Prae.g_01056
OG0000027	Syaa.g_01605, Syaa.g_00854	Prae.g_00444, Prae.g_01311
OG0000028	Syaa.g_00205	Prae.g_00321
OG0000029	Syaa.g_01578	Prae.g_00755, Prae.g_00375
OG0000030	Syaa.g_00099, Syaa.g_00098	Prae.g_01825
OG0000031	Syaa.g_00480	Prae.g_01402
OG0000033	Syaa.g_02478	Prae.g_01396
OG0000034	Syaa.g_00722, Syaa.g_02444	Prae.g_01339
OG0000035	Syaa.g_01773	Prae.g_01459
OG0000037	Syaa.g_02384	Prae.g_00108
OG0000038	Syaa.g_02596	Prae.g_01865
OG0000039	Syaa.g_00846	Prae.g_00660
OG0000040	Syaa.g_01606	Prae.g_01597
OG0000040	Syaa.g_02690	Prae.g_01143
OG0000041	Syaa.g_00660, Syaa.g_00869	Prae.g_01669
OG0000042	Syaa.g_00103	Prae.g_01822
OG0000045	Syaa.g_01560	Prae.g_00371
OG0000047	Syaa.g_02189	Prae.g_00331
OG0000048	Syaa.g_00275, Syaa.g_02719	Prae.g_00374
OG0000050	Syaa.g_01213, Syaa.g_01712	Prae.g_01077
OG0000051	Syaa.g_01531	Prae.g_01294
OG0000052	Syaa.g_00461	Prae.g_01416
OG0000053	Syaa.g_01797	Prae.g_01479
OG0000054	Syaa.g_01691, Syaa.g_01502	Prae.g_00580
OG0000055	Syaa.g_01564, Syaa.g_00852	Prae.g_00787
OG0000057	Syaa.g_01466, Syaa.g_00889	Prae.g_00672
OG0000059	Syaa.g_02315	Prae.g_01710
OG0000060	Syaa.g_02053, Syaa.g_01007	Prae.g_01238
OG0000061	Syaa.g_00469	Prae.g_01422
OG0000061	Syaa.g_00770	Prae.g_01163
OG0000062	Syaa.g_00571	Prae.g_01537
OG0000063	Syaa.g_00042	Prae.g_00033
OG0000065	Syaa.g_02380	Prae.g_00106
OG0000066	Syaa.g_01968	Prae.g_00514
OG0000067	Syaa.g_01154	Prae.g_00806
OG0000068	Syaa.g_02059	Prae.g_01368
OG0000069	Syaa.g_01497, Syaa.g_01256	Prae.g_01573
OG0000070	Syaa.g_00718	Prae.g_00424
OG0000071	Syaa.g_00735	Prae.g_01329
OG0000072	Syaa.g_02480	Prae.g_00174
OG0000073	Syaa.g_02030	Prae.g_00473
OG0000074	Syaa.g_00372	Prae.g_00656
OG0000075	Syaa.g_00157	Prae.g_01791
OG0000076	Syaa.g_00123	Prae.g_01815
OG0000077	Syaa.g_00341	Prae.g_00078
OG0000078	Syaa.g_02103	Prae.g_00242
OG0000079	Syaa.g_00303	Prae.g_00255
OG0000081	Syaa.g_02089, Syaa.g_01694	Prae.g_00505
OG0000082	Syaa.g_01905	Prae.g_00559
OG0000084	Syaa.g_01827, Syaa.g_02302, Syaa.g_01770	Prae.g_01455
OG0000085	Syaa.g_00564	Prae.g_01616
OG0000086	Syaa.g_00324	Prae.g_00088
OG0000087	Syaa.g_02433	Prae.g_00139
OG0000088	Syaa.g_02474	Prae.g_00169
OG0000089	Syaa.g_02149	Prae.g_00355
OG0000090	Syaa.g_01980	Prae.g_00508
OG0000091	Syaa.g_01625	Prae.g_00616
OG0000093	Syaa.g_01139	Prae.g_00933
OG0000094	Syaa.g_01288	Prae.g_01021
OG0000095	Syaa.g_00879	Prae.g_01040
OG0000097	Syaa.g_00979	Prae.g_01204
OG0000098	Syaa.g_01970	Prae.g_01350
OG0000099	Syaa.g_00202	Prae.g_01390
OG0000100	Syaa.g_01201	Prae.g_01533
OG0000101	Syaa.g_02249	Prae.g_01758
OG0000102	Syaa.g_00118	Prae.g_01820
OG0000103	Syaa.g_02740	Prae.g_01899
OG0000104	Syaa.g_02754	Prae.g_01907
OG0000105	Syaa.g_00270	Prae.g_01440
OG0000106	Syaa.g_01439	Prae.g_00370
OG0000107	Syaa.g_02351	Prae.g_00385
OG0000108	Syaa.g_02051	Prae.g_00454
OG0000109	Syaa.g_02036	Prae.g_00468
OG0000110	Syaa.g_01918	Prae.g_00549
OG0000111	Syaa.g_00888	Prae.g_00673
OG0000112	Syaa.g_01366	Prae.g_00770
OG0000113	Syaa.g_01196	Prae.g_00828
OG0000114	Syaa.g_01094	Prae.g_00908
OG0000115	Syaa.g_01795	Prae.g_01102
OG0000116	Syaa.g_00757	Prae.g_01153
OG0000117	Syaa.g_01009	Prae.g_01263
OG0000118	Syaa.g_01874	Prae.g_01341
OG0000119	Syaa.g_00785	Prae.g_01364
OG0000120	Syaa.g_00201	Prae.g_01389
OG0000121	Syaa.g_01777	Prae.g_01461
OG0000122	Syaa.g_01598	Prae.g_01499
OG0000123	Syaa.g_02242	Prae.g_01766
OG0000124	Syaa.g_00092	Prae.g_01831
OG0000125	Syaa.g_02598	Prae.g_01867
OG0000126	Syaa.g_02752	Prae.g_01906
OG0000128	Syaa.g_00012	Prae.g_00011
OG0000129	Syaa.g_02586	Prae.g_00046
OG0000130	Syaa.g_00354	Prae.g_00069
OG0000131	Syaa.g_02448	Prae.g_00148
OG0000132	Syaa.g_02472	Prae.g_00167
OG0000133	Syaa.g_01361	Prae.g_00323
OG0000134	Syaa.g_02146	Prae.g_00356
OG0000135	Syaa.g_02649	Prae.g_00382
OG0000136	Syaa.g_00708	Prae.g_00415
OG0000137	Syaa.g_01842	Prae.g_00449
OG0000138	Syaa.g_02035	Prae.g_00469
OG0000139	Syaa.g_01974	Prae.g_00512
OG0000140	Syaa.g_01971	Prae.g_00513
OG0000141	Syaa.g_01689	Prae.g_00581
OG0000142	Syaa.g_01633	Prae.g_00609
OG0000143	Syaa.g_01629	Prae.g_00613
OG0000144	Syaa.g_01446	Prae.g_00626
OG0000145	Syaa.g_02029	Prae.g_00766
OG0000146	Syaa.g_01367	Prae.g_00771
OG0000147	Syaa.g_01368	Prae.g_00772
OG0000148	Syaa.g_01190	Prae.g_00822
OG0000149	Syaa.g_00826	Prae.g_00852
OG0000150	Syaa.g_01688	Prae.g_00860
OG0000151	Syaa.g_01107	Prae.g_00918
OG0000152	Syaa.g_01357	Prae.g_00964
OG0000153	Syaa.g_01324	Prae.g_00983
OG0000154	Syaa.g_01298	Prae.g_01014
OG0000155	Syaa.g_00804	Prae.g_01183
OG0000156	Syaa.g_00751	Prae.g_01317
OG0000157	Syaa.g_00750	Prae.g_01318
OG0000158	Syaa.g_00148	Prae.g_01426
OG0000160	Syaa.g_01776	Prae.g_01460
OG0000161	Syaa.g_01782	Prae.g_01466
OG0000162	Syaa.g_01788	Prae.g_01472
OG0000163	Syaa.g_00624	Prae.g_01506
OG0000164	Syaa.g_00507	Prae.g_01647
OG0000165	Syaa.g_00681	Prae.g_01654
OG0000166	Syaa.g_02289	Prae.g_01722
OG0000167	Syaa.g_00160	Prae.g_01789
OG0000168	Syaa.g_00145	Prae.g_01799
OG0000169	Syaa.g_00134	Prae.g_01809
OG0000170	Syaa.g_00128	Prae.g_01811
OG0000171	Syaa.g_00093	Prae.g_01830
OG0000172	Syaa.g_00079	Prae.g_01838
OG0000173	Syaa.g_00060	Prae.g_01853
OG0000174	Syaa.g_02651	Prae.g_01881
OG0000175	Syaa.g_02726	Prae.g_01891
OG0000176	Syaa.g_00004	Prae.g_00004
OG0000177	Syaa.g_00005	Prae.g_00005
OG0000178	Syaa.g_00006	Prae.g_00006
OG0000179	Syaa.g_00023	Prae.g_00016
OG0000180	Syaa.g_00024	Prae.g_00017
OG0000181	Syaa.g_00025	Prae.g_00018
OG0000182	Syaa.g_00026	Prae.g_00019
OG0000183	Syaa.g_00030	Prae.g_00023
OG0000184	Syaa.g_02578	Prae.g_00048
OG0000185	Syaa.g_02575	Prae.g_00051
OG0000186	Syaa.g_00359	Prae.g_00064
OG0000187	Syaa.g_00358	Prae.g_00065
OG0000188	Syaa.g_00334	Prae.g_00082
OG0000189	Syaa.g_02367	Prae.g_00096
OG0000190	Syaa.g_02369	Prae.g_00097
OG0000191	Syaa.g_02404	Prae.g_00117
OG0000192	Syaa.g_02410	Prae.g_00121
OG0000193	Syaa.g_02449	Prae.g_00149
OG0000194	Syaa.g_02452	Prae.g_00152
OG0000195	Syaa.g_02459	Prae.g_00154
OG0000196	Syaa.g_02469	Prae.g_00164
