Orthogroup	Syaa	Praj
OG0000001	Syaa.g_02435, Syaa.g_02438, Syaa.g_02437, Syaa.g_02436, Syaa.g_02439, Syaa.g_02329	Praj.g_01549
OG0000004	Syaa.g_00892	Praj.g_01396
OG0000004	Syaa.g_01667, Syaa.g_02116	Praj.g_00271
OG0000005	Syaa.g_00534	Praj.g_01349
OG0000005	Syaa.g_00573	Praj.g_01712
OG0000006	Syaa.g_01611, Syaa.g_01043, Syaa.g_02353, Syaa.g_02099	Praj.g_00282, Praj.g_01281, Praj.g_01505
OG0000007	Syaa.g_02032	Praj.g_00489
OG0000007	Syaa.g_00551	Praj.g_01768
OG0000008	Syaa.g_00918	Praj.g_01829
OG0000008	Syaa.g_00919	Praj.g_01830
OG0000010	Syaa.g_01843	Praj.g_01026
OG0000011	Syaa.g_00921	Praj.g_01158
OG0000013	Syaa.g_02212, Syaa.g_02204, Syaa.g_02217	Praj.g_00362
OG0000014	Syaa.g_00222	Praj.g_00341
OG0000014	Syaa.g_00481	Praj.g_01609
OG0000015	Syaa.g_02739, Syaa.g_01079, Syaa.g_01989	Praj.g_01113
OG0000016	Syaa.g_00014	Praj.g_00013
OG0000016	Syaa.g_00981, Syaa.g_01481	Praj.g_01865
OG0000018	Syaa.g_01801	Praj.g_01482
OG0000019	Syaa.g_00307	Praj.g_00747
OG0000021	Syaa.g_02627	Praj.g_01859, Praj.g_00084
OG0000022	Syaa.g_01571	Praj.g_01216
OG0000023	Syaa.g_01529, Syaa.g_01216	Praj.g_01365, Praj.g_01329
OG0000024	Syaa.g_00922	Praj.g_01134, Praj.g_00666
OG0000025	Syaa.g_00839	Praj.g_00805
OG0000026	Syaa.g_00038	Praj.g_00031
OG0000027	Syaa.g_01605, Syaa.g_00854	Praj.g_01331
OG0000028	Syaa.g_00205	Praj.g_01571
OG0000029	Syaa.g_01578	Praj.g_01745
OG0000030	Syaa.g_00099, Syaa.g_00098	Praj.g_02024
OG0000031	Syaa.g_00200, Syaa.g_00480	Praj.g_00371
OG0000032	Syaa.g_01818	Praj.g_01669
OG0000033	Syaa.g_02478, Syaa.g_00485	Praj.g_00209
OG0000034	Syaa.g_00722, Syaa.g_02444	Praj.g_01538
OG0000035	Syaa.g_01773	Praj.g_01632
OG0000037	Syaa.g_02384	Praj.g_00147
OG0000038	Syaa.g_02596	Praj.g_02089
OG0000039	Syaa.g_00846	Praj.g_00679
OG0000040	Syaa.g_01606	Praj.g_01844, Praj.g_01735
OG0000041	Syaa.g_00660, Syaa.g_00869	Praj.g_01813
OG0000042	Syaa.g_00103	Praj.g_02020
OG0000043	Syaa.g_01437	Praj.g_00864
OG0000045	Syaa.g_01518	Praj.g_01303
OG0000046	Syaa.g_02211, Syaa.g_02205, Syaa.g_02218	Praj.g_00363
OG0000047	Syaa.g_02189	Praj.g_00370, Praj.g_00408
OG0000048	Syaa.g_00275, Syaa.g_02719	Praj.g_00308
OG0000050	Syaa.g_01591	Praj.g_01398
OG0000050	Syaa.g_01213, Syaa.g_01712	Praj.g_00099
OG0000052	Syaa.g_00174	Praj.g_00095
OG0000053	Syaa.g_01797	Praj.g_01651
OG0000054	Syaa.g_01691, Syaa.g_01502	Praj.g_00594
OG0000055	Syaa.g_01564	Praj.g_01842
OG0000057	Syaa.g_01466, Syaa.g_00889	Praj.g_01313, Praj.g_00691
OG0000058	Syaa.g_00193, Syaa.g_00455	Praj.g_00839
OG0000059	Syaa.g_02315	Praj.g_01892
OG0000060	Syaa.g_02053, Syaa.g_01007	Praj.g_01108
OG0000061	Syaa.g_00770	Praj.g_01461
OG0000062	Syaa.g_00571	Praj.g_01714
OG0000063	Syaa.g_00042	Praj.g_01867
OG0000065	Syaa.g_02380	Praj.g_00145
OG0000066	Syaa.g_01968	Praj.g_00530
OG0000067	Syaa.g_01154	Praj.g_00769
OG0000068	Syaa.g_02059	Praj.g_01575
OG0000069	Syaa.g_01497, Syaa.g_01256	Praj.g_01276, Praj.g_01675
OG0000070	Syaa.g_00718	Praj.g_00444
OG0000071	Syaa.g_00735	Praj.g_01528
OG0000072	Syaa.g_02480	Praj.g_00211
OG0000073	Syaa.g_02030	Praj.g_00491
OG0000074	Syaa.g_00372	Praj.g_01060
OG0000075	Syaa.g_00157	Praj.g_01987
OG0000076	Syaa.g_00123	Praj.g_02012
OG0000078	Syaa.g_02103	Praj.g_00280
OG0000079	Syaa.g_00303	Praj.g_00291
OG0000081	Syaa.g_02089, Syaa.g_01694	Praj.g_00522
OG0000082	Syaa.g_01905	Praj.g_01827
OG0000084	Syaa.g_01827, Syaa.g_02302, Syaa.g_01770	Praj.g_01628
OG0000085	Syaa.g_00564	Praj.g_01762
OG0000086	Syaa.g_00324	Praj.g_00126
OG0000087	Syaa.g_02433	Praj.g_00179
OG0000088	Syaa.g_02474	Praj.g_00206
OG0000089	Syaa.g_02149	Praj.g_00403
OG0000090	Syaa.g_01980	Praj.g_00524
OG0000091	Syaa.g_01625	Praj.g_00630
OG0000093	Syaa.g_01139	Praj.g_00754
OG0000094	Syaa.g_01288	Praj.g_00846
OG0000095	Syaa.g_00879	Praj.g_01024
OG0000097	Syaa.g_00979	Praj.g_01416
OG0000098	Syaa.g_01970	Praj.g_01546
OG0000099	Syaa.g_00202	Praj.g_00372
OG0000100	Syaa.g_01201	Praj.g_01709
OG0000101	Syaa.g_02249	Praj.g_01952
OG0000102	Syaa.g_00118	Praj.g_02017
OG0000103	Syaa.g_02740	Praj.g_02135
OG0000104	Syaa.g_02754	Praj.g_02145
OG0000105	Syaa.g_00270	Praj.g_00310
OG0000106	Syaa.g_01439	Praj.g_01156, Praj.g_01282
OG0000107	Syaa.g_02351	Praj.g_01869
OG0000108	Syaa.g_02051	Praj.g_00473
OG0000109	Syaa.g_02036	Praj.g_00486
OG0000110	Syaa.g_01918	Praj.g_00565
OG0000111	Syaa.g_00888	Praj.g_00692
OG0000112	Syaa.g_01366	Praj.g_00938
OG0000113	Syaa.g_01196	Praj.g_00793, Praj.g_01176
OG0000114	Syaa.g_01094	Praj.g_00887
OG0000115	Syaa.g_01795	Praj.g_01725
OG0000116	Syaa.g_00757	Praj.g_01471
OG0000117	Syaa.g_01009	Praj.g_01355
OG0000118	Syaa.g_01874	Praj.g_01540
OG0000119	Syaa.g_00785	Praj.g_01568
OG0000120	Syaa.g_00201	Praj.g_00664
OG0000121	Syaa.g_01777	Praj.g_01634
OG0000122	Syaa.g_01598	Praj.g_01673
OG0000123	Syaa.g_02242	Praj.g_01959
OG0000124	Syaa.g_00092	Praj.g_02031
OG0000125	Syaa.g_02598	Praj.g_02091
