Orthogroup	Syaa	Prbb
OG0000001	Syaa.g_02435, Syaa.g_02438, Syaa.g_02437, Syaa.g_02436, Syaa.g_02439, Syaa.g_02329	Prbb.g_01611
OG0000004	Syaa.g_00892	Prbb.g_01450
OG0000004	Syaa.g_01667, Syaa.g_02116	Prbb.g_00288
OG0000005	Syaa.g_00534	Prbb.g_01393
OG0000005	Syaa.g_00573	Prbb.g_01766
OG0000006	Syaa.g_01611, Syaa.g_01043, Syaa.g_02353, Syaa.g_02099	Prbb.g_00299, Prbb.g_01328, Prbb.g_01560
OG0000007	Syaa.g_02032	Prbb.g_00501
OG0000007	Syaa.g_00551	Prbb.g_01823
OG0000008	Syaa.g_00918	Prbb.g_01884
OG0000008	Syaa.g_00919	Prbb.g_01885
OG0000010	Syaa.g_01843	Prbb.g_01072
OG0000011	Syaa.g_00921	Prbb.g_01199, Prbb.g_01137, Prbb.g_01138
OG0000013	Syaa.g_02212, Syaa.g_02204, Syaa.g_02217	Prbb.g_00378
OG0000014	Syaa.g_00222	Prbb.g_00357
OG0000015	Syaa.g_02739, Syaa.g_01079, Syaa.g_01989	Prbb.g_01158
OG0000016	Syaa.g_00014	Prbb.g_00014
OG0000016	Syaa.g_00981, Syaa.g_01481	Prbb.g_01919
OG0000018	Syaa.g_01801	Prbb.g_01539
OG0000019	Syaa.g_00307	Prbb.g_00761
OG0000021	Syaa.g_02627	Prbb.g_01914, Prbb.g_00099
OG0000022	Syaa.g_01571	Prbb.g_01258
OG0000023	Syaa.g_01529, Syaa.g_01216	Prbb.g_01411, Prbb.g_01373
OG0000024	Syaa.g_00922	Prbb.g_01175, Prbb.g_00680
OG0000025	Syaa.g_00839	Prbb.g_00052, Prbb.g_00818
OG0000026	Syaa.g_00038	Prbb.g_00032
OG0000027	Syaa.g_01605, Syaa.g_00854	Prbb.g_01375
OG0000028	Syaa.g_00205	Prbb.g_01635
OG0000029	Syaa.g_01578	Prbb.g_01800
OG0000030	Syaa.g_00099, Syaa.g_00098	Prbb.g_02073
OG0000031	Syaa.g_00200, Syaa.g_00480	Prbb.g_00387
OG0000032	Syaa.g_01818	Prbb.g_01723
OG0000033	Syaa.g_02478, Syaa.g_00485	Prbb.g_00226
OG0000034	Syaa.g_00722, Syaa.g_02444	Prbb.g_01596
OG0000035	Syaa.g_01773	Prbb.g_01686
OG0000037	Syaa.g_02384	Prbb.g_00164
OG0000038	Syaa.g_02596	Prbb.g_02129
OG0000039	Syaa.g_00846	Prbb.g_00692
OG0000040	Syaa.g_01606	Prbb.g_01899, Prbb.g_01790
OG0000041	Syaa.g_00660, Syaa.g_00869	Prbb.g_01868
OG0000042	Syaa.g_00103	Prbb.g_02069
OG0000043	Syaa.g_01437	Prbb.g_00909
OG0000044	Syaa.g_01737, Syaa.g_00363, Syaa.g_00851	Prbb.g_00079
OG0000045	Syaa.g_01518	Prbb.g_01347
