Orthogroup	Syaa	Syam
OG0000001	Syaa.g_02438, Syaa.g_02437, Syaa.g_02436	Syam.g_02177
OG0000001	Syaa.g_02439	Syam.g_02178
OG0000001	Syaa.g_02329	Syam.g_00929
OG0000004	Syaa.g_00892	Syam.g_00787
OG0000004	Syaa.g_01667	Syam.g_01499
OG0000004	Syaa.g_02116	Syam.g_00501
OG0000005	Syaa.g_00534	Syam.g_02004
OG0000005	Syaa.g_00573	Syam.g_01970
OG0000005	Syaa.g_01449	Syam.g_01029
OG0000006	Syaa.g_01611	Syam.g_01446
OG0000006	Syaa.g_01043, Syaa.g_02353, Syaa.g_02099	Syam.g_00286, Syam.g_00518
OG0000007	Syaa.g_02032	Syam.g_00602
OG0000007	Syaa.g_00551	Syam.g_01990
OG0000008	Syaa.g_00918	Syam.g_00810
OG0000008	Syaa.g_00919	Syam.g_00811
OG0000009	Syaa.g_02378	Syam.g_02119
OG0000010	Syaa.g_01843	Syam.g_01669
OG0000011	Syaa.g_00921	Syam.g_00814
OG0000012	Syaa.g_01660	Syam.g_01492
OG0000012	Syaa.g_02304	Syam.g_00994
OG0000013	Syaa.g_02212	Syam.g_00409
OG0000013	Syaa.g_02204	Syam.g_00421
OG0000013	Syaa.g_02217	Syam.g_00404
OG0000014	Syaa.g_00222	Syam.g_00191
OG0000015	Syaa.g_01079	Syam.g_01218
OG0000015	Syaa.g_01989	Syam.g_01362
OG0000016	Syaa.g_00014	Syam.g_00014
OG0000016	Syaa.g_00981	Syam.g_00876
OG0000016	Syaa.g_01481	Syam.g_01011
OG0000017	Syaa.g_01890	Syam.g_01715
OG0000017	Syaa.g_01883	Syam.g_01708
OG0000018	Syaa.g_01801	Syam.g_01640
OG0000019	Syaa.g_00307	Syam.g_00274
OG0000021	Syaa.g_02627	Syam.g_00523
OG0000022	Syaa.g_01571	Syam.g_01418
OG0000023	Syaa.g_01216	Syam.g_01217, Syam.g_01553, Syam.g_01583, Syam.g_01075
OG0000024	Syaa.g_00922	Syam.g_00815
OG0000025	Syaa.g_00839	Syam.g_00740
OG0000026	Syaa.g_00038	Syam.g_00035
OG0000027	Syaa.g_01605	Syam.g_01442
OG0000027	Syaa.g_00854	Syam.g_00989
OG0000028	Syaa.g_00205	Syam.g_00176
OG0000029	Syaa.g_01578	Syam.g_01390, Syam.g_01055
OG0000030	Syaa.g_00099	Syam.g_00104
OG0000030	Syaa.g_00098	Syam.g_00103
OG0000031	Syaa.g_00200	Syam.g_00171
OG0000032	Syaa.g_01818	Syam.g_01660
OG0000033	Syaa.g_02478	Syam.g_02217
OG0000034	Syaa.g_00722, Syaa.g_02444	Syam.g_02185, Syam.g_01843, Syam.g_02187
OG0000035	Syaa.g_01773	Syam.g_01612
OG0000037	Syaa.g_02384	Syam.g_02125
OG0000038	Syaa.g_02596	Syam.g_02317
OG0000039	Syaa.g_00846	Syam.g_00749
OG0000040	Syaa.g_02690	Syam.g_02390
OG0000041	Syaa.g_00660	Syam.g_01899
OG0000041	Syaa.g_00869	Syam.g_00765
OG0000042	Syaa.g_00103	Syam.g_00107
OG0000043	Syaa.g_01437	Syam.g_01041
OG0000044	Syaa.g_00363	Syam.g_02052
OG0000045	Syaa.g_01560	Syam.g_02028
OG0000046	Syaa.g_02211	Syam.g_00410
OG0000046	Syaa.g_02205	Syam.g_00420
OG0000046	Syaa.g_02218	Syam.g_00403
OG0000047	Syaa.g_02189	Syam.g_00434
OG0000048	Syaa.g_00275	Syam.g_00243
OG0000052	Syaa.g_00461, Syaa.g_00174	Syam.g_00161
OG0000053	Syaa.g_01797	Syam.g_01636
OG0000054	Syaa.g_01691	Syam.g_01515
OG0000055	Syaa.g_00852	Syam.g_00754
OG0000057	Syaa.g_00889	Syam.g_00784
OG0000058	Syaa.g_00193	Syam.g_00169
OG0000059	Syaa.g_02315	Syam.g_00320
OG0000060	Syaa.g_01007	Syam.g_00902
OG0000061	Syaa.g_00770	Syam.g_01795
OG0000062	Syaa.g_00571	Syam.g_01972
OG0000063	Syaa.g_00042	Syam.g_00039
OG0000064	Syaa.g_00579	Syam.g_01964
OG0000064	Syaa.g_02666	Syam.g_02363
OG0000064	Syaa.g_01568	Syam.g_01414
OG0000065	Syaa.g_02380	Syam.g_02121
OG0000066	Syaa.g_01968	Syam.g_00552, Syam.g_00662
OG0000067	Syaa.g_01154	Syam.g_01290
OG0000068	Syaa.g_02059	Syam.g_00575
OG0000069	Syaa.g_01497	Syam.g_01521
OG0000070	Syaa.g_00718	Syam.g_01847
OG0000071	Syaa.g_00735	Syam.g_01830
OG0000072	Syaa.g_02480	Syam.g_02219
OG0000073	Syaa.g_02030	Syam.g_00604
OG0000074	Syaa.g_00372	Syam.g_00533
OG0000075	Syaa.g_00157	Syam.g_00148
OG0000076	Syaa.g_00123	Syam.g_00115
OG0000078	Syaa.g_02103	Syam.g_00514
OG0000079	Syaa.g_00303	Syam.g_00270
OG0000081	Syaa.g_02089	Syam.g_00520
OG0000081	Syaa.g_01694	Syam.g_01918
OG0000082	Syaa.g_01905	Syam.g_01730
OG0000084	Syaa.g_01827, Syaa.g_02302	Syam.g_00441
OG0000085	Syaa.g_00564	Syam.g_01979
OG0000086	Syaa.g_00324	Syam.g_02092
OG0000087	Syaa.g_02433	Syam.g_02175
OG0000088	Syaa.g_02474	Syam.g_02213
OG0000089	Syaa.g_02149	Syam.g_00489
OG0000090	Syaa.g_01980	Syam.g_00651
OG0000091	Syaa.g_01625	Syam.g_01460
OG0000093	Syaa.g_01139	Syam.g_01305
OG0000094	Syaa.g_01288	Syam.g_01198
OG0000095	Syaa.g_00879	Syam.g_00774
OG0000097	Syaa.g_00979	Syam.g_00874
OG0000098	Syaa.g_01970	Syam.g_00944
OG0000099	Syaa.g_00202	Syam.g_00173
OG0000100	Syaa.g_01201	Syam.g_01259
OG0000101	Syaa.g_02249	Syam.g_00371
OG0000102	Syaa.g_00118	Syam.g_00110
OG0000103	Syaa.g_02740	Syam.g_02428
OG0000104	Syaa.g_02754	Syam.g_02442
OG0000105	Syaa.g_00270	Syam.g_00238
OG0000106	Syaa.g_01439	Syam.g_01039
OG0000107	Syaa.g_02351	Syam.g_00288
OG0000108	Syaa.g_02051	Syam.g_00583
OG0000109	Syaa.g_02036	Syam.g_00598
OG0000110	Syaa.g_01918	Syam.g_01743
OG0000111	Syaa.g_00888	Syam.g_00783
OG0000112	Syaa.g_01366	Syam.g_01115
OG0000113	Syaa.g_01196	Syam.g_01264
OG0000114	Syaa.g_01094	Syam.g_01349
OG0000115	Syaa.g_01795	Syam.g_01634
OG0000116	Syaa.g_00757	Syam.g_01807
OG0000117	Syaa.g_01009	Syam.g_00904
OG0000118	Syaa.g_01874	Syam.g_01698
OG0000120	Syaa.g_00201	Syam.g_00172
OG0000121	Syaa.g_01777	Syam.g_01615
