Orthogroup	Prbi	Prbj
OG0000000	Prbi.g_01432	Prbj.g_02517
OG0000000	Prbi.g_00681	Prbj.g_00030
OG0000001	Prbi.g_01370	Prbj.g_00166
OG0000002	Prbi.g_01424	Prbj.g_01549, Prbj.g_02662, Prbj.g_02690, Prbj.g_00672, Prbj.g_00169
OG0000003	Prbi.g_01371, Prbi.g_01710	Prbj.g_00165
OG0000004	Prbi.g_00782	Prbj.g_00697, Prbj.g_01897, Prbj.g_00073
OG0000006	Prbi.g_00500	Prbj.g_01610
OG0000006	Prbi.g_01787	Prbj.g_00857
OG0000007	Prbi.g_01536, Prbi.g_01764, Prbi.g_00675, Prbi.g_01540, Prbi.g_01539, Prbi.g_01765	Prbj.g_00928, Prbj.g_00929
OG0000009	Prbi.g_00827, Prbi.g_00273	Prbj.g_01349
OG0000011	Prbi.g_00354	Prbj.g_00666
OG0000012	Prbi.g_00600	Prbj.g_01761, Prbj.g_01769
OG0000013	Prbi.g_00810, Prbi.g_01304	Prbj.g_02502
OG0000016	Prbi.g_01435	Prbj.g_00740, Prbj.g_00778
OG0000018	Prbi.g_00265	Prbj.g_02699
OG0000019	Prbi.g_01742, Prbi.g_00389	Prbj.g_01774
OG0000024	Prbi.g_00330	Prbj.g_01442
OG0000026	Prbi.g_00033	Prbj.g_01208
OG0000028	Prbi.g_01589, Prbi.g_01591	Prbj.g_01056
OG0000031	Prbi.g_01281	Prbj.g_00705
OG0000034	Prbi.g_01478	Prbj.g_01487
OG0000036	Prbi.g_00587	Prbj.g_01789
OG0000037	Prbi.g_00625	Prbj.g_02552
OG0000038	Prbi.g_00805	Prbj.g_00050, Prbj.g_01572
OG0000039	Prbi.g_00190	Prbj.g_00521, Prbj.g_00912
OG0000040	Prbi.g_00384	Prbj.g_02392
OG0000042	Prbi.g_00745	Prbj.g_02178, Prbj.g_00913
OG0000043	Prbi.g_00832	Prbj.g_00023, Prbj.g_00025
OG0000044	Prbi.g_01207	Prbj.g_00971
OG0000045	Prbi.g_01461	Prbj.g_01467
OG0000046	Prbi.g_01780	Prbj.g_00869
OG0000047	Prbi.g_01994	Prbj.g_01598
OG0000048	Prbi.g_02001	Prbj.g_01808, Prbj.g_00001
OG0000050	Prbi.g_00031	Prbj.g_01204
OG0000051	Prbi.g_00181	Prbj.g_00530
OG0000052	Prbi.g_00394	Prbj.g_00875
OG0000053	Prbi.g_00542	Prbj.g_02141
OG0000054	Prbi.g_00799	Prbj.g_01324
OG0000055	Prbi.g_00869	Prbj.g_02437
OG0000056	Prbi.g_01163	Prbj.g_00227
OG0000058	Prbi.g_00478	Prbj.g_00128
OG0000059	Prbi.g_00702	Prbj.g_00758
OG0000062	Prbi.g_01174	Prbj.g_01990
OG0000063	Prbi.g_01330	Prbj.g_01915
OG0000065	Prbi.g_01391	Prbj.g_01728
OG0000066	Prbi.g_01460	Prbj.g_01465
OG0000068	Prbi.g_01938	Prbj.g_00415, Prbj.g_00981
OG0000069	Prbi.g_01497	Prbj.g_01468
OG0000070	Prbi.g_01276	Prbj.g_00371, Prbj.g_02533
OG0000071	Prbi.g_00011	Prbj.g_02085
OG0000072	Prbi.g_00346	Prbj.g_01460
OG0000073	Prbi.g_00672	Prbj.g_00824
OG0000074	Prbi.g_00694	Prbj.g_00933
OG0000075	Prbi.g_00854	Prbj.g_02419
OG0000076	Prbi.g_01086	Prbj.g_01838
OG0000078	Prbi.g_01462	Prbj.g_01464
OG0000079	Prbi.g_01482, Prbi.g_01668	Prbj.g_00881
OG0000080	Prbi.g_01725	Prbj.g_01678
OG0000081	Prbi.g_01968	Prbj.g_01500
OG0000083	Prbi.g_00003	Prbj.g_02076
OG0000084	Prbi.g_00006	Prbj.g_02079
OG0000085	Prbi.g_00023	Prbj.g_01195
OG0000087	Prbi.g_00060	Prbj.g_01921
OG0000088	Prbi.g_00120	Prbj.g_01551
OG0000089	Prbi.g_00129	Prbj.g_01566
OG0000090	Prbi.g_00147	Prbj.g_01547
OG0000091	Prbi.g_00193	Prbj.g_00518
OG0000092	Prbi.g_00194	Prbj.g_00517
OG0000093	Prbi.g_00208	Prbj.g_01138
OG0000094	Prbi.g_00226	Prbj.g_01167
OG0000095	Prbi.g_00231	Prbj.g_00288
OG0000096	Prbi.g_00275	Prbj.g_01352
OG0000097	Prbi.g_00298	Prbj.g_01397
OG0000099	Prbi.g_00318	Prbj.g_01422
OG0000100	Prbi.g_00321	Prbj.g_01426
OG0000101	Prbi.g_00381	Prbj.g_00067
OG0000102	Prbi.g_00407	Prbj.g_02004
OG0000103	Prbi.g_00479	Prbj.g_00127
OG0000104	Prbi.g_00483	Prbj.g_01630
OG0000105	Prbi.g_00502	Prbj.g_01608
OG0000106	Prbi.g_00535	Prbj.g_02125
OG0000107	Prbi.g_00536	Prbj.g_02127
OG0000108	Prbi.g_00546	Prbj.g_02668
