Orthogroup	Prbi	Prav
OG0000000	Prbi.g_01432	Prav.g_01466
OG0000000	Prbi.g_00681	Prav.g_01276
OG0000001	Prbi.g_01268	Prav.g_01821
OG0000001	Prbi.g_01370	Prav.g_01730, Prav.g_01715
OG0000002	Prbi.g_01424	Prav.g_01458
OG0000002	Prbi.g_01270	Prav.g_01820, Prav.g_02007
OG0000003	Prbi.g_01371	Prav.g_01413
OG0000003	Prbi.g_01710	Prav.g_01698
OG0000004	Prbi.g_00775	Prav.g_00330
OG0000004	Prbi.g_00782	Prav.g_00338
OG0000005	Prbi.g_01709	Prav.g_01695
OG0000006	Prbi.g_00500	Prav.g_01095
OG0000006	Prbi.g_01787	Prav.g_01761
OG0000007	Prbi.g_01764	Prav.g_01749
OG0000007	Prbi.g_00675	Prav.g_01270
OG0000007	Prbi.g_01539, Prbi.g_01765	Prav.g_01750
OG0000008	Prbi.g_00408	Prav.g_01000
OG0000008	Prbi.g_01331	Prav.g_01016
OG0000009	Prbi.g_00827	Prav.g_00375
OG0000009	Prbi.g_00273	Prav.g_01896
OG0000010	Prbi.g_01352	Prav.g_01400
OG0000011	Prbi.g_00354	Prav.g_01976
OG0000012	Prbi.g_00600	Prav.g_01194
OG0000013	Prbi.g_00810	Prav.g_00363
OG0000013	Prbi.g_01304	Prav.g_00961
OG0000014	Prbi.g_01374	Prav.g_01416
OG0000014	Prbi.g_00472	Prav.g_01068
OG0000015	Prbi.g_00406	Prav.g_00998
OG0000016	Prbi.g_01435	Prav.g_01469
OG0000017	Prbi.g_01611	Prav.g_01598
OG0000018	Prbi.g_00265	Prav.g_02001
OG0000019	Prbi.g_00389	Prav.g_00984
OG0000020	Prbi.g_00398	Prav.g_00993
OG0000021	Prbi.g_00829	Prav.g_00377
OG0000022	Prbi.g_01373	Prav.g_01736, Prav.g_01415
OG0000023	Prbi.g_01701	Prav.g_01688
OG0000024	Prbi.g_00330	Prav.g_01952
OG0000025	Prbi.g_01122	Prav.g_00247
OG0000026	Prbi.g_00033	Prav.g_00101
OG0000027	Prbi.g_00778	Prav.g_00333
OG0000028	Prbi.g_01589, Prbi.g_01591	Prav.g_01578
OG0000029	Prbi.g_01702	Prav.g_01689
OG0000031	Prbi.g_01364	Prav.g_01410
OG0000033	Prbi.g_00013	Prav.g_00081
OG0000034	Prbi.g_01478	Prav.g_01533
OG0000035	Prbi.g_00936	Prav.g_01877
OG0000036	Prbi.g_00587	Prav.g_01182
OG0000037	Prbi.g_00625	Prav.g_01221
OG0000038	Prbi.g_00805	Prav.g_00360
OG0000039	Prbi.g_00190	Prav.g_00872
OG0000040	Prbi.g_00384	Prav.g_00979
OG0000042	Prbi.g_00745	Prav.g_00306
OG0000043	Prbi.g_00832	Prav.g_00381
OG0000044	Prbi.g_01207	Prav.g_00065
OG0000045	Prbi.g_01461	Prav.g_01512
OG0000046	Prbi.g_01780	Prav.g_01754
OG0000047	Prbi.g_01994	Prav.g_00689
OG0000048	Prbi.g_02001	Prav.g_00696
OG0000050	Prbi.g_00031	Prav.g_00099
OG0000051	Prbi.g_00181	Prav.g_00881
OG0000052	Prbi.g_00394	Prav.g_00989
OG0000053	Prbi.g_00542	Prav.g_01137
OG0000054	Prbi.g_00799	Prav.g_00354
OG0000055	Prbi.g_00869	Prav.g_00419
OG0000056	Prbi.g_01163	Prav.g_00021
OG0000057	Prbi.g_00261	Prav.g_00801
OG0000058	Prbi.g_00478	Prav.g_01073
OG0000059	Prbi.g_00702	Prav.g_01296
OG0000060	Prbi.g_00780	Prav.g_00335
OG0000061	Prbi.g_01172	Prav.g_00031
OG0000061	Prbi.g_01029	Prav.g_00576
OG0000062	Prbi.g_01174	Prav.g_00033
OG0000063	Prbi.g_01330	Prav.g_01390
OG0000064	Prbi.g_01341	Prav.g_01396
OG0000064	Prbi.g_01740	Prav.g_01729
OG0000065	Prbi.g_01391	Prav.g_01438
OG0000066	Prbi.g_01460	Prav.g_01513
OG0000068	Prbi.g_01938	Prav.g_00632
OG0000069	Prbi.g_01497	Prav.g_01499
OG0000071	Prbi.g_00011	Prav.g_00079
OG0000072	Prbi.g_00346	Prav.g_01968
OG0000073	Prbi.g_00672	Prav.g_01267
OG0000074	Prbi.g_00694	Prav.g_01289
OG0000075	Prbi.g_00854	Prav.g_00404
OG0000076	Prbi.g_01086	Prav.g_00933
OG0000078	Prbi.g_01462	Prav.g_01514
OG0000079	Prbi.g_01482	Prav.g_01551
OG0000079	Prbi.g_01668	Prav.g_01656
OG0000080	Prbi.g_01725	Prav.g_01705
OG0000081	Prbi.g_01968	Prav.g_00663
OG0000082	Prbi.g_02069	Prav.g_00751
OG0000083	Prbi.g_00003	Prav.g_00789
OG0000084	Prbi.g_00006	Prav.g_00792
OG0000085	Prbi.g_00023	Prav.g_00091
OG0000086	Prbi.g_00048	Prav.g_00110
OG0000087	Prbi.g_00060	Prav.g_00120
OG0000088	Prbi.g_00120	Prav.g_00178
OG0000089	Prbi.g_00129	Prav.g_00186
OG0000090	Prbi.g_00147	Prav.g_00204
OG0000091	Prbi.g_00193	Prav.g_00869
OG0000092	Prbi.g_00194	Prav.g_00868
OG0000093	Prbi.g_00208	Prav.g_00854
OG0000094	Prbi.g_00226	Prav.g_00836
OG0000095	Prbi.g_00231	Prav.g_00831
OG0000096	Prbi.g_00275	Prav.g_01898
OG0000097	Prbi.g_00298	Prav.g_01920
OG0000098	Prbi.g_00308	Prav.g_01930
OG0000099	Prbi.g_00318	Prav.g_01940
OG0000100	Prbi.g_00321	Prav.g_01943
OG0000101	Prbi.g_00381	Prav.g_00976
OG0000102	Prbi.g_00407	Prav.g_00999
OG0000103	Prbi.g_00479	Prav.g_01074
OG0000104	Prbi.g_00483	Prav.g_01078
OG0000105	Prbi.g_00502	Prav.g_01097
OG0000106	Prbi.g_00535	Prav.g_01130
OG0000107	Prbi.g_00536	Prav.g_01131
OG0000108	Prbi.g_00546	Prav.g_01141
OG0000109	Prbi.g_00555	Prav.g_01150
OG0000110	Prbi.g_00571	Prav.g_01166
OG0000111	Prbi.g_00654	Prav.g_01249
OG0000112	Prbi.g_00655	Prav.g_01250
OG0000113	Prbi.g_00767	Prav.g_00328
OG0000114	Prbi.g_00845	Prav.g_00395
OG0000115	Prbi.g_01009	Prav.g_00556
OG0000116	Prbi.g_01013	Prav.g_00560
OG0000117	Prbi.g_01083	Prav.g_00930
OG0000118	Prbi.g_01136	Prav.g_00261
OG0000119	Prbi.g_01177	Prav.g_00036
OG0000120	Prbi.g_01213	Prav.g_00071
OG0000121	Prbi.g_01232	Prav.g_01856
OG0000122	Prbi.g_01251	Prav.g_01837
OG0000123	Prbi.g_01264	Prav.g_01824
OG0000124	Prbi.g_01277	Prav.g_02003
OG0000125	Prbi.g_01403	Prav.g_01450
OG0000126	Prbi.g_01439	Prav.g_01473
OG0000127	Prbi.g_01576	Prav.g_01565
OG0000128	Prbi.g_01592	Prav.g_01579
OG0000129	Prbi.g_01627	Prav.g_01615
OG0000130	Prbi.g_01785	Prav.g_01759
OG0000131	Prbi.g_01823	Prav.g_01797
OG0000132	Prbi.g_01826	Prav.g_01800
OG0000133	Prbi.g_01897	Prav.g_00591
OG0000134	Prbi.g_01933	Prav.g_00627
OG0000135	Prbi.g_01935	Prav.g_00629
OG0000136	Prbi.g_01979	Prav.g_00674
OG0000137	Prbi.g_02011	Prav.g_00706
OG0000138	Prbi.g_02059	Prav.g_00741
OG0000139	Prbi.g_02086	Prav.g_00768
OG0000140	Prbi.g_00001	Prav.g_00787
OG0000141	Prbi.g_00002	Prav.g_00788
OG0000142	Prbi.g_00004	Prav.g_00790
OG0000143	Prbi.g_00005	Prav.g_00791
OG0000144	Prbi.g_00007	Prav.g_00793
OG0000145	Prbi.g_00008	Prav.g_00794
OG0000146	Prbi.g_00009	Prav.g_00795
OG0000147	Prbi.g_00010	Prav.g_00078
OG0000148	Prbi.g_00012	Prav.g_00080
OG0000149	Prbi.g_00014	Prav.g_00082
OG0000150	Prbi.g_00015	Prav.g_00083
OG0000151	Prbi.g_00016	Prav.g_00084
OG0000152	Prbi.g_00017	Prav.g_00085
OG0000153	Prbi.g_00018	Prav.g_00086
OG0000154	Prbi.g_00019	Prav.g_00087
OG0000155	Prbi.g_00020	Prav.g_00088
OG0000156	Prbi.g_00021	Prav.g_00089
OG0000157	Prbi.g_00022	Prav.g_00090
OG0000158	Prbi.g_00024	Prav.g_00092
OG0000159	Prbi.g_00025	Prav.g_00093
OG0000160	Prbi.g_00026	Prav.g_00094
OG0000161	Prbi.g_00027	Prav.g_00095
OG0000162	Prbi.g_00028	Prav.g_00096
OG0000163	Prbi.g_00029	Prav.g_00097
OG0000164	Prbi.g_00032	Prav.g_00100
OG0000165	Prbi.g_00035	Prav.g_00103
OG0000166	Prbi.g_00036	Prav.g_00104
OG0000167	Prbi.g_00037	Prav.g_00105
OG0000168	Prbi.g_00049	Prav.g_00111
OG0000169	Prbi.g_00051	Prav.g_00113
OG0000170	Prbi.g_00052	Prav.g_00114
OG0000171	Prbi.g_00053	Prav.g_00115
OG0000172	Prbi.g_00056	Prav.g_00116
OG0000173	Prbi.g_00057	Prav.g_00117
OG0000174	Prbi.g_00058	Prav.g_00118
OG0000175	Prbi.g_00059	Prav.g_00119
OG0000176	Prbi.g_00061	Prav.g_00121
OG0000177	Prbi.g_00062	Prav.g_00122
OG0000178	Prbi.g_00063	Prav.g_00123
OG0000179	Prbi.g_00071	Prav.g_00129
OG0000180	Prbi.g_00072	Prav.g_00130
OG0000181	Prbi.g_00073	Prav.g_00131
OG0000182	Prbi.g_00076	Prav.g_00134
OG0000183	Prbi.g_00077	Prav.g_00135
OG0000184	Prbi.g_00080	Prav.g_00138
OG0000185	Prbi.g_00084	Prav.g_00142
OG0000186	Prbi.g_00085	Prav.g_00143
OG0000187	Prbi.g_00086	Prav.g_00144
OG0000188	Prbi.g_00087	Prav.g_00145
OG0000189	Prbi.g_00088	Prav.g_00146
OG0000190	Prbi.g_00089	Prav.g_00147
OG0000191	Prbi.g_00090	Prav.g_00148
OG0000192	Prbi.g_00091	Prav.g_00149
OG0000193	Prbi.g_00092	Prav.g_00150
OG0000194	Prbi.g_00093	Prav.g_00151
OG0000195	Prbi.g_00095	Prav.g_00153
OG0000196	Prbi.g_00096	Prav.g_00154
OG0000197	Prbi.g_00097	Prav.g_00155
OG0000198	Prbi.g_00098	Prav.g_00156
OG0000199	Prbi.g_00101	Prav.g_00159
OG0000200	Prbi.g_00102	Prav.g_00160
OG0000201	Prbi.g_00103	Prav.g_00161
OG0000202	Prbi.g_00104	Prav.g_00162
OG0000203	Prbi.g_00105	Prav.g_00163
OG0000204	Prbi.g_00106	Prav.g_00164
OG0000205	Prbi.g_00107	Prav.g_00165
OG0000206	Prbi.g_00108	Prav.g_00166
OG0000207	Prbi.g_00109	Prav.g_00167
OG0000208	Prbi.g_00110	Prav.g_00168
OG0000209	Prbi.g_00111	Prav.g_00169
OG0000210	Prbi.g_00113	Prav.g_00171
OG0000211	Prbi.g_00114	Prav.g_00172
OG0000212	Prbi.g_00115	Prav.g_00173
OG0000213	Prbi.g_00116	Prav.g_00174
OG0000214	Prbi.g_00118	Prav.g_00176
OG0000215	Prbi.g_00119	Prav.g_00177
OG0000216	Prbi.g_00121	Prav.g_00179
OG0000217	Prbi.g_00123	Prav.g_00180
OG0000218	Prbi.g_00124	Prav.g_00181
OG0000219	Prbi.g_00125	Prav.g_00182
OG0000220	Prbi.g_00128	Prav.g_00185
OG0000221	Prbi.g_00130	Prav.g_00187
OG0000222	Prbi.g_00131	Prav.g_00188
OG0000223	Prbi.g_00132	Prav.g_00189
OG0000224	Prbi.g_00135	Prav.g_00192
OG0000225	Prbi.g_00137	Prav.g_00194
OG0000226	Prbi.g_00138	Prav.g_00195
OG0000227	Prbi.g_00139	Prav.g_00196
OG0000228	Prbi.g_00140	Prav.g_00197
OG0000229	Prbi.g_00141	Prav.g_00198
OG0000230	Prbi.g_00142	Prav.g_00199
OG0000231	Prbi.g_00144	Prav.g_00201
OG0000232	Prbi.g_00145	Prav.g_00202
OG0000233	Prbi.g_00148	Prav.g_00205
OG0000234	Prbi.g_00150	Prav.g_00207
OG0000235	Prbi.g_00169	Prav.g_00212
OG0000236	Prbi.g_00170	Prav.g_00213
OG0000237	Prbi.g_00171	Prav.g_00214
OG0000238	Prbi.g_00172	Prav.g_00215
OG0000239	Prbi.g_00173	Prav.g_00216
OG0000240	Prbi.g_00175	Prav.g_00887
OG0000241	Prbi.g_00176	Prav.g_00886
OG0000242	Prbi.g_00177	Prav.g_00885
OG0000243	Prbi.g_00178	Prav.g_00884
OG0000244	Prbi.g_00179	Prav.g_00883
OG0000245	Prbi.g_00180	Prav.g_00882
OG0000246	Prbi.g_00182	Prav.g_00880
OG0000247	Prbi.g_00183	Prav.g_00879
OG0000248	Prbi.g_00184	Prav.g_00878
OG0000249	Prbi.g_00185	Prav.g_00877
OG0000250	Prbi.g_00186	Prav.g_00876
OG0000251	Prbi.g_00187	Prav.g_00875
OG0000252	Prbi.g_00188	Prav.g_00874
OG0000253	Prbi.g_00189	Prav.g_00873
OG0000254	Prbi.g_00191	Prav.g_00871
OG0000255	Prbi.g_00192	Prav.g_00870
OG0000256	Prbi.g_00195	Prav.g_00867
OG0000257	Prbi.g_00197	Prav.g_00865
OG0000258	Prbi.g_00198	Prav.g_00864
OG0000259	Prbi.g_00199	Prav.g_00863
OG0000260	Prbi.g_00200	Prav.g_00862
OG0000261	Prbi.g_00201	Prav.g_00861
OG0000262	Prbi.g_00202	Prav.g_00860
OG0000263	Prbi.g_00203	Prav.g_00859
OG0000264	Prbi.g_00205	Prav.g_00857
OG0000265	Prbi.g_00206	Prav.g_00856
OG0000266	Prbi.g_00207	Prav.g_00855
OG0000267	Prbi.g_00209	Prav.g_00853
OG0000268	Prbi.g_00210	Prav.g_00852
OG0000269	Prbi.g_00211	Prav.g_00851
OG0000270	Prbi.g_00212	Prav.g_00850
OG0000271	Prbi.g_00213	Prav.g_00849
OG0000272	Prbi.g_00214	Prav.g_00848
OG0000273	Prbi.g_00215	Prav.g_00847
OG0000274	Prbi.g_00216	Prav.g_00846
OG0000275	Prbi.g_00217	Prav.g_00845
OG0000276	Prbi.g_00218	Prav.g_00844
OG0000277	Prbi.g_00219	Prav.g_00843
OG0000278	Prbi.g_00220	Prav.g_00842
OG0000279	Prbi.g_00221	Prav.g_00841
OG0000280	Prbi.g_00222	Prav.g_00840
OG0000281	Prbi.g_00224	Prav.g_00838
OG0000282	Prbi.g_00225	Prav.g_00837
OG0000283	Prbi.g_00228	Prav.g_00834
OG0000284	Prbi.g_00229	Prav.g_00833
OG0000285	Prbi.g_00230	Prav.g_00832
OG0000286	Prbi.g_00232	Prav.g_00830
OG0000287	Prbi.g_00233	Prav.g_00829
OG0000288	Prbi.g_00234	Prav.g_00828
OG0000289	Prbi.g_00235	Prav.g_00827
OG0000290	Prbi.g_00236	Prav.g_00826
OG0000291	Prbi.g_00237	Prav.g_00825
OG0000292	Prbi.g_00238	Prav.g_00824
OG0000293	Prbi.g_00239	Prav.g_00823
OG0000294	Prbi.g_00240	Prav.g_00822
OG0000295	Prbi.g_00241	Prav.g_00821
OG0000296	Prbi.g_00242	Prav.g_00820
OG0000297	Prbi.g_00243	Prav.g_00819
OG0000298	Prbi.g_00244	Prav.g_00818
OG0000299	Prbi.g_00245	Prav.g_00817
OG0000300	Prbi.g_00246	Prav.g_00816
OG0000301	Prbi.g_00247	Prav.g_00815
OG0000302	Prbi.g_00248	Prav.g_00814
OG0000303	Prbi.g_00249	Prav.g_00813
OG0000304	Prbi.g_00250	Prav.g_00812
OG0000305	Prbi.g_00251	Prav.g_00811
OG0000306	Prbi.g_00252	Prav.g_00810
OG0000307	Prbi.g_00253	Prav.g_00809
OG0000308	Prbi.g_00254	Prav.g_00808
OG0000309	Prbi.g_00255	Prav.g_00807
OG0000310	Prbi.g_00256	Prav.g_00806
OG0000311	Prbi.g_00257	Prav.g_00805
OG0000312	Prbi.g_00259	Prav.g_00803
OG0000313	Prbi.g_00260	Prav.g_00802
OG0000314	Prbi.g_00263	Prav.g_00799
OG0000315	Prbi.g_00264	Prav.g_00798
OG0000316	Prbi.g_00266	Prav.g_01889
OG0000317	Prbi.g_00268	Prav.g_01891
OG0000318	Prbi.g_00269	Prav.g_01892
OG0000319	Prbi.g_00270	Prav.g_01893
OG0000320	Prbi.g_00271	Prav.g_01894
OG0000321	Prbi.g_00274	Prav.g_01897
OG0000322	Prbi.g_00277	Prav.g_01900
OG0000323	Prbi.g_00278	Prav.g_01901
OG0000324	Prbi.g_00281	Prav.g_01904
OG0000325	Prbi.g_00283	Prav.g_01906
OG0000326	Prbi.g_00284	Prav.g_01907
OG0000327	Prbi.g_00286	Prav.g_01909
OG0000328	Prbi.g_00287	Prav.g_01910
OG0000329	Prbi.g_00288	Prav.g_01911
OG0000330	Prbi.g_00289	Prav.g_01912
OG0000331	Prbi.g_00290	Prav.g_01913
OG0000332	Prbi.g_00291	Prav.g_01914
OG0000333	Prbi.g_00292	Prav.g_01915
OG0000334	Prbi.g_00293	Prav.g_01916
OG0000335	Prbi.g_00294	Prav.g_01917
OG0000336	Prbi.g_00295	Prav.g_01918
OG0000337	Prbi.g_00299	Prav.g_01921
OG0000338	Prbi.g_00300	Prav.g_01922
OG0000339	Prbi.g_00301	Prav.g_01923
OG0000340	Prbi.g_00302	Prav.g_01924
OG0000341	Prbi.g_00306	Prav.g_01928
OG0000342	Prbi.g_00307	Prav.g_01929
OG0000343	Prbi.g_00309	Prav.g_01931
OG0000344	Prbi.g_00310	Prav.g_01932
OG0000345	Prbi.g_00311	Prav.g_01933
OG0000346	Prbi.g_00312	Prav.g_01934
OG0000347	Prbi.g_00313	Prav.g_01935
OG0000348	Prbi.g_00314	Prav.g_01936
OG0000349	Prbi.g_00315	Prav.g_01937
OG0000350	Prbi.g_00316	Prav.g_01938
OG0000351	Prbi.g_00319	Prav.g_01941
OG0000352	Prbi.g_00322	Prav.g_01944
OG0000353	Prbi.g_00323	Prav.g_01945
OG0000354	Prbi.g_00324	Prav.g_01946
OG0000355	Prbi.g_00325	Prav.g_01947
