Orthogroup	Prbi	Prbd
OG0000000	Prbi.g_01432	Prbd.g_01771
OG0000000	Prbi.g_00681	Prbd.g_00566
OG0000001	Prbi.g_01268	Prbd.g_00528
OG0000001	Prbi.g_01370	Prbd.g_01836
OG0000002	Prbi.g_01424	Prbd.g_01779
OG0000002	Prbi.g_01270	Prbd.g_01930
OG0000003	Prbi.g_01371	Prbd.g_01835
OG0000003	Prbi.g_01710	Prbd.g_01567
OG0000004	Prbi.g_00775	Prbd.g_00031
OG0000004	Prbi.g_00782	Prbd.g_00038
OG0000005	Prbi.g_01709	Prbd.g_01568
OG0000006	Prbi.g_00500	Prbd.g_00745
OG0000006	Prbi.g_01787	Prbd.g_01525
OG0000007	Prbi.g_00675	Prbd.g_00572
OG0000008	Prbi.g_00408	Prbd.g_00854
OG0000008	Prbi.g_01042	Prbd.g_00297
OG0000008	Prbi.g_01331	Prbd.g_01894
OG0000009	Prbi.g_00827	Prbd.g_00082
OG0000009	Prbi.g_00273	Prbd.g_00990
OG0000010	Prbi.g_01156	Prbd.g_00409
OG0000010	Prbi.g_01352	Prbd.g_01870
OG0000011	Prbi.g_00354	Prbd.g_00909
OG0000012	Prbi.g_00600	Prbd.g_00646
OG0000013	Prbi.g_00810	Prbd.g_00065
OG0000013	Prbi.g_01304	Prbd.g_00826
OG0000014	Prbi.g_01374	Prbd.g_01832
OG0000014	Prbi.g_00472	Prbd.g_00772
OG0000015	Prbi.g_00406	Prbd.g_00856
OG0000016	Prbi.g_01435	Prbd.g_01768
OG0000017	Prbi.g_01611	Prbd.g_01669
OG0000018	Prbi.g_00265	Prbd.g_00998
OG0000019	Prbi.g_01742	Prbd.g_01546
OG0000019	Prbi.g_00389	Prbd.g_00874
OG0000020	Prbi.g_00398	Prbd.g_00864
OG0000021	Prbi.g_00829	Prbd.g_00084
OG0000022	Prbi.g_01373	Prbd.g_01833
OG0000023	Prbi.g_01338	Prbd.g_01887
OG0000023	Prbi.g_01701	Prbd.g_01576
OG0000024	Prbi.g_00330	Prbd.g_00933
OG0000025	Prbi.g_01122	Prbd.g_00375
OG0000026	Prbi.g_00033	Prbd.g_01204
OG0000027	Prbi.g_01677	Prbd.g_01601
OG0000027	Prbi.g_00778	Prbd.g_00034
OG0000028	Prbi.g_01589, Prbi.g_01591	Prbd.g_01689
OG0000029	Prbi.g_01702	Prbd.g_01575
OG0000031	Prbi.g_01281	Prbd.g_01544
OG0000033	Prbi.g_00013	Prbd.g_01224
OG0000035	Prbi.g_00936	Prbd.g_00192
OG0000036	Prbi.g_00587	Prbd.g_00658
OG0000037	Prbi.g_00625	Prbd.g_00621
OG0000038	Prbi.g_00805	Prbd.g_00061
OG0000039	Prbi.g_00190	Prbd.g_01074
OG0000040	Prbi.g_00384	Prbd.g_00879
